"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P31625","Caleb's Hometown Pharmacy","801 Main St","Collins","MS",39428,31.638956,-89.559863,"MS1",31.63905333,-89.557085,263.5052477,"covington",28031,19172,413.819,8
"P31283","R AND D PHARMACY","23457 CENTRAL DRIVE","SAUCIER","MS",39574,30.63057,-89.13248,"MS100",30.63057,-89.13248,0,"harrison",28047,200491,573.642,2
"P31298","STANDARD DRUG STORE","32 S 6TH ST","BAY SPRINGS","MS",39422,31.97603,-89.290429,"MS101",31.97603,-89.290429,0,"jasper",28061,16547,676.24,9
"P31306","WALMART PHARMACY 10-1069","231 EASTSIDE DR","NEWTON","MS",39345,32.338866,-89.142178,"MS102",32.3357975,-89.146384,522.6627273,"newton",28101,21437,577.854,7
"P31524","CVS Pharmacy #04376","1209 SUNSET DR","GRENADA","MS",38901,33.772351,-89.822049,"MS103",33.77179167,-89.81766633,410.3017686,"grenada",28043,21379,422.122,7
"P31310","POLK'S FLORENCE DISCOUNT DRUGS","101 49 Place","FLORENCE","MS",39073,32.146508,-90.11042,"MS104",32.146508,-90.11042,0,"rankin",28121,149645,775.494,2
"P31519","WALGREENS","348 HIGHWAY 90","WAVELAND","MS",395762672,30.306259,-89.378476,"MS105",30.33007317,-89.37571383,2664.235909,"hancock",28045,46277,473.966,2
"P31714","Martin's Pharmacy","124 BAKER ST","INDIANOLA","MS",387512451,33.457086,-90.650759,"MS106",33.45741733,-90.65084233,37.68711014,"sunflower",28133,26915,697.758,7
"P31610","CVS Pharmacy #08993","365 Cole Rd","Hattiesburg","MS",394027919,31.315173,-89.444313,"MS108",31.30354075,-89.436335,1500.831825,"lamar",28073,60517,496.673,3
"P31335","Sumner Drug Store","108 N COURT ST","SUMNER","MS",389579999,33.971013,-90.369294,"MS109",33.971013,-90.369294,0,"tallahatchie",28135,14552,645.223,7
"P31664","Coastal Family Health Center Gulfport","9113 Highway 49 Ste 200","Gulfport","MS",395034330,30.41556,-89.093759,"MS11",30.41344779,-89.08303771,1055.763402,"harrison",28047,200491,573.642,2
"P31410","BOONEVILLE COMMUNITY PHARMACY","206 N 2ND ST","BOONEVILLE","MS",38829,34.658256,-88.566659,"MS110",34.66202371,-88.55982471,753.3346568,"prentiss",28117,25389,414.985,7
"P31761","GetWell Pharmacy #3600","607A Earl Frye Blvd","Amory","MS",388215503,33.977218,-88.477461,"MS111",33.97725263,-88.47355463,360.6288796,"monroe",28095,35967,765.088,7
"P31361","POTTS CAMP FAMILY PHARMACY","41 S CENTER ST","POTTS CAMP","MS",38659,34.644906,-89.307169,"MS112",34.644906,-89.307169,0,"marshall",28093,35981,706.185,1
"P31368","MOORES PHARMACY","103 CHADWICK AVE","WALNUT GROVE","MS",39189,32.58804,-89.454844,"MS113",32.58804,-89.454844,0,"leake",28079,22936,582.897,6
"P31669","Parkwood Behavioral Health System","8135 Goodman Rd Bldg D Building D","Olive Branch","MS",386542103,34.962198,-89.845591,"MS114",34.9584139,-89.8465509,430.2507184,"de soto",28033,173267,476.311,1
"P31378","POLK'S DISCOUNT DRUGS #6","7264 SIWELL RD","BYRAM","MS",39272,32.189505,-90.265915,"MS115",32.19123925,-90.27124175,537.6755983,"hinds",28049,243249,869.829,2
"P31379","BURNHAM DRUGS #3","2525 HWY 90","GAUTIER","MS",39553,30.390383,-88.650175,"MS116",30.39009233,-88.64896167,120.9189498,"jackson",28059,141314,722.798,2
"P31478","WALGREENS #9545","120 W RAILROAD ST","LONG BEACH","MS",39560,30.350873,-89.152067,"MS117",30.34594933,-89.162552,1146.714763,"harrison",28047,200491,573.642,2
"P31386","FREDS PHARMACY","4233 ROCKY BRANCH RD","SUMRALL","MS",39482,31.412111,-89.555366,"MS118",31.413287,-89.55383033,196.018033,"lamar",28073,60517,496.673,3
"P31480","CVS Pharmacy #01119","7021 HWY 614","HURLEY","MS",395550789,30.653915,-88.490874,"MS119",30.652992,-88.489994,132.8872473,"jackson",28059,141314,722.798,2
"P31419","SAMS PHARMACY 10-4740","465 GOODMAN ROAD","SOUTHAVEN","MS",38671,34.962346,-89.995582,"MS12",34.96307777,-89.99716281,165.6319067,"de soto",28033,173267,476.311,1
"P31700","Walgreens #17341","200 HIGHWAY 45 NORTH","ABERDEEN","MS",397300886,33.829058,-88.561498,"MS120",33.83984833,-88.567852,1337.16923,"monroe",28095,35967,765.088,7
"P31449","LITTLES PHARMACY","122 MAIN ST","RALEIGH","MS",391539802,32.033914,-89.52294,"MS121",32.033914,-89.52294,0,"smith",28129,16114,636.267,8
"P31455","BURNSVILLE DISCOUNT DRUGS","603 S Highway 365","BURNSVILLE","MS",38833,34.835193,-88.324482,"MS122",34.835193,-88.324482,0,"tishomingo",28141,19476,424.302,8
"P31461","Long Beach Pharmacy","118 Davis Ave SUITE 100","LONG BEACH","MS",39560,30.316461,-89.241843,"MS124",30.316461,-89.241843,0,"harrison",28047,200491,573.642,2
"P31469","NEWPOINTE PHARMACY #2","345 General Robert E Blount Dr","BASSFIELD","MS",39421,31.497621,-89.747684,"MS125",31.497621,-89.747684,0,"jefferson davis",28065,11639,408.446,8
"P31481","Gloster Discount Pharmacy","434 S CAPTIAN GLOSTER DR","GLOSTER","MS",39638,31.199624,-91.009742,"MS126",31.199624,-91.009742,0,"amite",28005,12574,730.101,8
"P31482","KILN PHARMACY","17343 hwy 603 unit e","KILN","MS",39556,30.427024,-89.431821,"MS127",30.427024,-89.431821,0,"hancock",28045,46277,473.966,2
"P31485","HAMMONDS PHARMACY AND GIFTS","405 C NORTH APPLEGATE","WINONA","MS",38967,33.488308,-89.736136,"MS128",33.48203067,-89.73585567,699.2740872,"montgomery",28097,10309,406.981,7
"P31515","SHERMAN DRUGS","670 HWY 178 STE 1","SHERMAN","MS",38869,34.358148,-88.831713,"MS129",34.348108,-88.819211,1602.891413,"pontotoc",28115,31075,497.764,7
"P31483","JAMES B MARTIN MD","1103 HANLEY RD","OCEAN SPRINGS","MS",39564,30.415616,-88.795757,"MS13",30.41853455,-88.79834836,409.1922215,"jackson",28059,141314,722.798,2
"P31520","CVS Pharmacy #03426","6040 GOODMAN RD","WALLS","MS",38680,34.962633,-90.102183,"MS130",34.962633,-90.102183,0,"de soto",28033,173267,476.311,1
"P31532","NEW HOPE PHARMACY","3654 New Hope RD","Columbus","MS",39702,33.44684,-88.327347,"MS131",33.44684,-88.327347,0,"lowndes",28087,59558,505.443,5
