"ID","Origin","Destination","Drive_Time"
"C744_MS1","C744","MS1",7100.05962945101
"C745_MS1","C745","MS1",4847.1295311385
"C746_MS1","C746","MS1",4781.56628352535
"C747_MS1","C747","MS1",5636.09196711736
"C744_MS100","C744","MS100",1778.56289037088
"C745_MS101","C745","MS101",4720.11536526472
"C746_MS101","C746","MS101",4592.43698482442
"C747_MS101","C747","MS101",3797.1696048555
"C745_MS102","C745","MS102",4852.28648904062
"C746_MS102","C746","MS102",4694.91135076732
"C747_MS102","C747","MS102",2474.87789844196
"C745_MS104","C745","MS104",1380.28426453182
"C746_MS104","C746","MS104",1382.4764070359
"C747_MS104","C747","MS104",6365.81627947678
"C744_MS105","C744","MS105",2270.13764336702
"C745_MS106","C745","MS106",6382.03945963796
"C746_MS106","C746","MS106",6416.52851679164
"C744_MS108","C744","MS108",5289.94580832641
"C745_MS108","C745","MS108",6170.00375231946
"C746_MS108","C746","MS108",6118.85150469465
"C747_MS108","C747","MS108",6444.2455528405
"C744_MS11","C744","MS11",1046.67020700903
"C745_MS113","C745","MS113",3803.51944113834
"C746_MS113","C746","MS113",3648.04366770309
"C747_MS113","C747","MS113",3855.96551456311
"C745_MS115","C745","MS115",1222.68071825481
"C746_MS115","C746","MS115",1337.42309095441
"C747_MS115","C747","MS115",6942.19367724142
"C744_MS116","C744","MS116",1722.65891443437
"C744_MS117","C744","MS117",1318.93093453131
"C744_MS118","C744","MS118",5901.61389437495
"C745_MS118","C745","MS118",5544.0321077597
"C746_MS118","C746","MS118",5497.68245736016
"C747_MS118","C747","MS118",6312.340595679
"C744_MS119","C744","MS119",2716.0453108981
"C745_MS121","C745","MS121",3716.51713584448
"C746_MS121","C746","MS121",3594.54136852932
"C747_MS121","C747","MS121",4406.06456276812
"C744_MS124","C744","MS124",1719.71339363637
"C744_MS125","C744","MS125",6854.3925613496
"C745_MS125","C745","MS125",5042.93912967991
"C746_MS125","C746","MS125",5014.79745096325
"C747_MS125","C747","MS125",6648.56278735909
"C745_MS126","C745","MS126",7059.17830573772
"C746_MS126","C746","MS126",7181.08028668882
"C744_MS127","C744","MS127",2431.88116757185
"C745_MS128","C745","MS128",6483.90581965196
"C746_MS128","C746","MS128",6413.99347255412
"C744_MS13","C744","MS13",1127.59258290217
"C747_MS131","C747","MS131",5966.26574762408
"C745_MS132","C745","MS132",6958.07130946253
"C746_MS132","C746","MS132",6837.02789768739
"C747_MS132","C747","MS132",5695.9021922238
"C747_MS133","C747","MS133",4861.44179846315
"C745_MS134","C745","MS134",4874.58959703351
"C746_MS134","C746","MS134",4903.33429968453
"C744_MS135","C744","MS135",1926.75179056532
"C747_MS137","C747","MS137",7053.97577075191
"C745_MS138","C745","MS138",4666.59210205211
"C746_MS138","C746","MS138",4768.98770180274
"C744_MS14","C744","MS14",3670.86503936446
"C744_MS140","C744","MS140",3676.47827329771
"C744_MS141","C744","MS141",1510.521539753
"C745_MS142","C745","MS142",4566.7047000722
"C746_MS142","C746","MS142",4465.77191533017
"C747_MS142","C747","MS142",4642.75424531053
"C744_MS147","C744","MS147",4164.35154356585
"C747_MS147","C747","MS147",6376.34842794969
"C745_MS148","C745","MS148",1582.86536390127
"C746_MS148","C746","MS148",1653.48442520394
"C747_MS148","C747","MS148",7116.24681451252
"C745_MS150","C745","MS150",2248.96772839264
"C746_MS150","C746","MS150",2359.21091277297
"C745_MS151","C745","MS151",5156.5544040516
"C746_MS151","C746","MS151",4997.38950150058
"C747_MS151","C747","MS151",2591.02636850114
"C745_MS155","C745","MS155",5644.82655485942
"C746_MS155","C746","MS155",5731.81221152751
"C745_MS156","C745","MS156",6484.12522901743
"C746_MS156","C746","MS156",6546.29791627324
"C745_MS16","C745","MS16",3175.48481392685
"C746_MS16","C746","MS16",3211.36369074609
"C747_MS160","C747","MS160",6607.28803051799
"C745_MS161","C745","MS161",3285.63790801744
"C746_MS161","C746","MS161",3134.72243027536
"C747_MS161","C747","MS161",4421.50240068983
"C745_MS17","C745","MS17",892.700975701433
"C746_MS17","C746","MS17",1055.16768627936
"C747_MS17","C747","MS17",6911.93827526845
"C745_MS18","C745","MS18",1080.43512595278
"C746_MS18","C746","MS18",949.571132629576
"C747_MS18","C747","MS18",5982.48061333099
"C744_MS2","C744","MS2",684.35976886295
"C745_MS20","C745","MS20",5729.71203262261
"C746_MS20","C746","MS20",5855.23461225077
"C744_MS21","C744","MS21",6666.65383019257
"C745_MS21","C745","MS21",5289.25241018186
"C746_MS21","C746","MS21",5224.16752599974
"C747_MS21","C747","MS21",5739.82372017704
"C745_MS23","C745","MS23",3366.65910135765
"C746_MS23","C746","MS23",3538.12917534982
"C745_MS24","C745","MS24",2849.51645947828
"C746_MS24","C746","MS24",2950.09386379296
"C745_MS25","C745","MS25",5293.83095230846
"C746_MS25","C746","MS25",5448.83210126096
"C745_MS27","C745","MS27",2533.93711828829
"C746_MS27","C746","MS27",2474.51958178315
"C747_MS27","C747","MS27",5690.17484104988
"C745_MS29","C745","MS29",4374.97818984589
"C746_MS29","C746","MS29",4463.81970361871
"C744_MS3","C744","MS3",2196.31316692346
"C745_MS31","C745","MS31",1954.60003498193
"C746_MS31","C746","MS31",1875.88267233453
"C747_MS31","C747","MS31",6076.46795305329
"C745_MS32","C745","MS32",3859.91726771184
"C746_MS32","C746","MS32",3718.28758679829
"C747_MS32","C747","MS32",4423.38572402766
"C744_MS34","C744","MS34",5962.64184863841
"C745_MS34","C745","MS34",6027.00153305351
"C746_MS34","C746","MS34",6022.43539415898
"C745_MS35","C745","MS35",5018.74635979599
"C746_MS35","C746","MS35",4859.23318026193
"C747_MS35","C747","MS35",2368.3850457963
"C745_MS36","C745","MS36",4412.3713269917
"C746_MS36","C746","MS36",4337.40468171725
"C747_MS36","C747","MS36",6358.95760799073
"C744_MS37","C744","MS37",6365.13732703786
"C745_MS37","C745","MS37",5791.72646129774
"C746_MS37","C746","MS37",5696.06074717046
"C747_MS37","C747","MS37",4747.74769166677
"C744_MS38","C744","MS38",2187.23939441523
"C747_MS39","C747","MS39",6797.59829586444
"C744_MS4","C744","MS4",5152.58104282329
"C745_MS4","C745","MS4",6394.3199490356
"C746_MS4","C746","MS4",6331.87084854204
"C747_MS4","C747","MS4",6176.17754374657
"C745_MS42","C745","MS42",5434.38637012259
"C746_MS42","C746","MS42",5509.92366049911
"C745_MS45","C745","MS45",4877.76982135739
"C746_MS45","C746","MS45",4769.981645999
"C747_MS45","C747","MS45",5519.64607498267
"C744_MS46","C744","MS46",4652.82123758855
"C747_MS46","C747","MS46",6528.71395743412
"C745_MS47","C745","MS47",4397.0740489189
"C746_MS47","C746","MS47",4355.27756146472
"C747_MS47","C747","MS47",7108.70468672637
"C745_MS48","C745","MS48",6828.70130516103
"C746_MS48","C746","MS48",6933.48317494277
"C745_MS49","C745","MS49",6548.51413687356
"C746_MS49","C746","MS49",6411.16577449614
"C747_MS49","C747","MS49",4546.88541834759
"C744_MS50","C744","MS50",3468.14052517592
"C744_MS51","C744","MS51",4020.93804996306
"C747_MS52","C747","MS52",4337.62405610351
"C745_MS53","C745","MS53",3268.70869621029
"C746_MS53","C746","MS53",3200.63160102119
"C747_MS53","C747","MS53",5429.82250865887
"C745_MS54","C745","MS54",6388.37212755365
"C746_MS54","C746","MS54",6460.17429154518
"C745_MS55","C745","MS55",4422.25033859197
"C746_MS55","C746","MS55",4450.50657924763
"C745_MS56","C745","MS56",6528.76163266131
"C746_MS56","C746","MS56",6478.60506403735
"C745_MS58","C745","MS58",1994.84653415517
"C746_MS58","C746","MS58",1838.34719842354
"C747_MS58","C747","MS58",5025.23992326476
"C744_MS59","C744","MS59",5172.60213411907
"C745_MS59","C745","MS59",6520.82704961536
"C746_MS59","C746","MS59",6448.42304116394
"C747_MS59","C747","MS59",5885.98083544029
"C745_MS6","C745","MS6",6265.7312662752
"C746_MS6","C746","MS6",6247.03503067851
"C745_MS60","C745","MS60",5396.48515603784
"C746_MS60","C746","MS60",5243.61643060775
"C747_MS60","C747","MS60",3271.52693338961
"C744_MS61","C744","MS61",3798.78901810694
"C745_MS62","C745","MS62",4403.2045482756
"C746_MS62","C746","MS62",4569.90000853569
"C745_MS63","C745","MS63",4414.22229182653
"C746_MS63","C746","MS63",4397.47716142017
"C747_MS63","C747","MS63",6685.16189820353
"C744_MS64","C744","MS64",4496.54816235687
"C745_MS64","C745","MS64",6947.17565879069
"C746_MS64","C746","MS64",6902.46931135281
"C747_MS64","C747","MS64",7069.25537325803
"C745_MS65","C745","MS65",6783.00495667909
"C746_MS65","C746","MS65",6637.46328258074
"C747_MS65","C747","MS65",2364.4523521176
"C745_MS66","C745","MS66",1514.03987681342
"C746_MS66","C746","MS66",1679.71247627564
"C744_MS7","C744","MS7",6816.9093331192
"C745_MS7","C745","MS7",5646.95627279342
"C746_MS7","C746","MS7",5538.78373862388
"C747_MS7","C747","MS7",4224.2545962539
"C744_MS72","C744","MS72",6738.02658950438
"C745_MS72","C745","MS72",6519.84186256001
"C746_MS72","C746","MS72",6557.26644849321
"C744_MS74","C744","MS74",2896.22702328036
"C744_MS76","C744","MS76",5042.93439724762
"C747_MS76","C747","MS76",5517.83653967341
"C745_MS78","C745","MS78",4723.0637691841
"C746_MS78","C746","MS78",4710.04449121446
"C747_MS8","C747","MS8",6601.59381038483
"C744_MS81","C744","MS81",6889.11560944673
"C747_MS81","C747","MS81",3980.76152897605
"C745_MS82","C745","MS82",5895.08659343002
"C746_MS82","C746","MS82",5971.66187152117
"C745_MS83","C745","MS83",3448.73109417915
"C746_MS83","C746","MS83",3290.57041292184
"C747_MS83","C747","MS83",3790.32546531924
"C747_MS86","C747","MS86",6197.95334685546
"C745_MS87","C745","MS87",4186.5196531064
"C746_MS87","C746","MS87",4028.56415957289
"C747_MS87","C747","MS87",3397.80335361822
"C745_MS88","C745","MS88",2741.18003291269
"C746_MS88","C746","MS88",2582.82354804392
"C747_MS88","C747","MS88",4498.25051031672
"C745_MS9","C745","MS9",6744.36304502645
"C746_MS9","C746","MS9",6818.99216589675
"C745_MS91","C745","MS91",6664.38095389339
"C746_MS91","C746","MS91",6821.34722819034
"C745_MS92","C745","MS92",6013.15535506109
"C746_MS92","C746","MS92",5853.42073073558
"C747_MS92","C747","MS92",1474.92120184381
"C747_MS94","C747","MS94",5861.21935819044
"C744_MS95","C744","MS95",1705.14239040873
"C747_MS96","C747","MS96",5808.31745534223
"MS1_C744","MS1","C744",7100.05962945101
"MS1_C745","MS1","C745",4847.1295311385
"MS1_C746","MS1","C746",4781.56628352535
"MS1_C747","MS1","C747",5636.09196711736
"MS100_C744","MS100","C744",1778.56289037088
"MS101_C745","MS101","C745",4720.11536526472
"MS101_C746","MS101","C746",4592.43698482442
"MS101_C747","MS101","C747",3797.1696048555
"MS102_C745","MS102","C745",4852.28648904062
"MS102_C746","MS102","C746",4694.91135076732
"MS102_C747","MS102","C747",2474.87789844196
"MS104_C745","MS104","C745",1380.28426453182
"MS104_C746","MS104","C746",1382.4764070359
"MS104_C747","MS104","C747",6365.81627947678
"MS105_C744","MS105","C744",2270.13764336702
"MS106_C745","MS106","C745",6382.03945963796
"MS106_C746","MS106","C746",6416.52851679164
"MS108_C744","MS108","C744",5289.94580832641
"MS108_C745","MS108","C745",6170.00375231946
"MS108_C746","MS108","C746",6118.85150469465
"MS108_C747","MS108","C747",6444.2455528405
"MS11_C744","MS11","C744",1046.67020700903
"MS113_C745","MS113","C745",3803.51944113834
"MS113_C746","MS113","C746",3648.04366770309
"MS113_C747","MS113","C747",3855.96551456311
"MS115_C745","MS115","C745",1222.68071825481
"MS115_C746","MS115","C746",1337.42309095441
"MS115_C747","MS115","C747",6942.19367724142
