"ID","Origin","Destination","Drive_Time"
"MS100_MS1","MS100","MS1",5826.34920277944
"MS101_MS1","MS101","MS1",2733.48675177633
"MS102_MS1","MS102","MS1",4481.76332236108
"MS104_MS1","MS104","MS1",4021.01305341224
"MS105_MS1","MS105","MS1",7125.28344231532
"MS108_MS1","MS108","MS1",2356.54141163363
"MS11_MS1","MS11","MS1",6844.29080138798
"MS113_MS1","MS113","MS1",5283.69232672552
"MS115_MS1","MS115","MS1",4602.11742276512
"MS117_MS1","MS117","MS1",7071.05819122809
"MS118_MS1","MS118","MS1",1826.45800464154
"MS119_MS1","MS119","MS1",7129.67695561098
"MS121_MS1","MS121","MS1",2637.12435769061
"MS124_MS1","MS124","MS1",7145.35111113339
"MS125_MS1","MS125","MS1",1769.1077951759
"MS126_MS1","MS126","MS1",6992.7484520551
"MS127_MS1","MS127","MS1",6532.09506372187
"MS135_MS1","MS135","MS1",6398.9257095531
"MS14_MS1","MS14","MS1",6063.55089618146
"MS140_MS1","MS140","MS1",5711.87530923127
"MS141_MS1","MS141","MS1",6295.99188665929
"MS142_MS1","MS142","MS1",1790.67176005908
"MS147_MS1","MS147","MS1",4168.43999388753
"MS148_MS1","MS148","MS1",5952.57458123314
"MS150_MS1","MS150","MS1",4417.41023187302
"MS151_MS1","MS151","MS1",5560.4692480964
"MS155_MS1","MS155","MS1",5001.49497761224
"MS161_MS1","MS161","MS1",5291.196359262
"MS17_MS1","MS17","MS1",4947.034424186
"MS18_MS1","MS18","MS1",4369.15942529496
"MS2_MS1","MS2","MS1",6951.42866909457
"MS20_MS1","MS20","MS1",6128.55916420128
"MS21_MS1","MS21","MS1",1197.36471551066
"MS23_MS1","MS23","MS1",6970.2376981102
"MS24_MS1","MS24","MS1",4299.02212606108
"MS25_MS1","MS25","MS1",6827.51025322525
"MS27_MS1","MS27","MS1",2812.40888630688
"MS29_MS1","MS29","MS1",4392.64380993758
"MS31_MS1","MS31","MS1",5750.01606077684
"MS32_MS1","MS32","MS1",5945.7623360383
"MS34_MS1","MS34","MS1",2947.89727982164
"MS35_MS1","MS35","MS1",4968.9024377043
"MS37_MS1","MS37","MS1",2221.30523470763
"MS4_MS1","MS4","MS1",2510.71469598544
"MS46_MS1","MS46","MS1",5405.21242566456
"MS48_MS1","MS48","MS1",6281.40593387796
"MS50_MS1","MS50","MS1",5969.74625344167
"MS51_MS1","MS51","MS1",3803.63118815916
"MS53_MS1","MS53","MS1",2079.48736359838
"MS54_MS1","MS54","MS1",5088.15681100182
"MS55_MS1","MS55","MS1",2997.56073750689
"MS58_MS1","MS58","MS1",4147.50465172539
"MS59_MS1","MS59","MS1",2642.99639551175
"MS60_MS1","MS60","MS1",6404.07227401293
"MS61_MS1","MS61","MS1",4547.56549882912
"MS62_MS1","MS62","MS1",6697.52693177156
"MS63_MS1","MS63","MS1",2005.69055632634
"MS64_MS1","MS64","MS1",3172.65512404647
"MS65_MS1","MS65","MS1",4660.08397493903
"MS66_MS1","MS66","MS1",5296.16759802725
"MS7_MS1","MS7","MS1",2446.96381322756
"MS72_MS1","MS72","MS1",4250.28862701996
"MS74_MS1","MS74","MS1",4876.89913160171
"MS76_MS1","MS76","MS1",3623.17176607653
"MS81_MS1","MS81","MS1",4480.45474693511
"MS82_MS1","MS82","MS1",4880.59253196299
"MS83_MS1","MS83","MS1",4168.36674212601
"MS87_MS1","MS87","MS1",5244.69259500777
"MS88_MS1","MS88","MS1",4166.46650951886
"MS92_MS1","MS92","MS1",5748.21062898893
"MS95_MS1","MS95","MS1",7109.73540478375
"MS1_MS100","MS1","MS100",5826.34920277944
"MS101_MS100","MS101","MS100",7197.13515225395
"MS105_MS100","MS105","MS100",2314.35643824135
"MS108_MS100","MS108","MS100",4008.06341217705
"MS11_MS100","MS11","MS100",1507.20167839869
"MS116_MS100","MS116","MS100",2753.72632280739
"MS117_MS100","MS117","MS100",1804.73523032551
"MS118_MS100","MS118","MS100",4609.14875249753
"MS119_MS100","MS119","MS100",3098.47911195711
"MS124_MS100","MS124","MS100",2031.55469423867
"MS125_MS100","MS125","MS100",5550.50361519474
"MS127_MS100","MS127","MS100",2034.20357988571
"MS13_MS100","MS13","MS100",2188.72684342839
"MS135_MS100","MS135","MS100",1516.06682345518
"MS14_MS100","MS14","MS100",2937.3555278412
"MS140_MS100","MS140","MS100",2804.60720861928
"MS141_MS100","MS141","MS100",1041.77365994712
"MS142_MS100","MS142","MS100",6545.2450913253
"MS147_MS100","MS147","MS100",3218.17669591702
"MS2_MS100","MS2","MS100",1672.64010403915
"MS21_MS100","MS21","MS100",5398.44429830428
"MS3_MS100","MS3","MS100",3199.91429942297
"MS34_MS100","MS34","MS100",4673.44918635544
"MS37_MS100","MS37","MS100",5204.09318367801
"MS38_MS100","MS38","MS100",3033.17237060535
"MS4_MS100","MS4","MS100",3906.86239640833
"MS46_MS100","MS46","MS100",4142.05078920293
"MS50_MS100","MS50","MS100",3202.2649196219
"MS51_MS100","MS51","MS100",2716.66514625934
"MS53_MS100","MS53","MS100",6863.21517632244
"MS54_MS100","MS54","MS100",6572.2023794432
"MS55_MS100","MS55","MS100",6637.2531589883
"MS59_MS100","MS59","MS100",3973.33389760403
"MS61_MS100","MS61","MS100",2565.40397707574
"MS63_MS100","MS63","MS100",6216.30304831635
"MS64_MS100","MS64","MS100",3204.33981797531
"MS7_MS100","MS7","MS100",5684.02017354909
"MS72_MS100","MS72","MS100",5543.14391099147
"MS74_MS100","MS74","MS100",1678.37306094452
"MS76_MS100","MS76","MS100",4051.62257020844
"MS81_MS100","MS81","MS100",6059.2357407969
"MS82_MS100","MS82","MS100",6851.29565152508
"MS95_MS100","MS95","MS100",2352.77579986298
"MS1_MS101","MS1","MS101",2733.48675177633
"MS100_MS101","MS100","MS101",7197.13515225395
"MS102_MS101","MS102","MS101",2622.31504102077
"MS104_MS101","MS104","MS101",4185.01497242927
