"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
28001000100,"MS91","Mississippi",28001,5,31583,462.344,31.47233,-91.24629,5.111586464,"CVS Pharmacy #05870","505 Highway 61 N",31.564605,-91.349661,31.5464996,-91.3732216,14203.5801842761,31583,462.344,5,5,68.3106085512086,1230.9121141063
28001000200,"MS91","Mississippi",28001,5,31583,462.344,31.65408,-91.36936,2.307592839,"CVS Pharmacy #05870","505 Highway 61 N",31.564605,-91.349661,31.5464996,-91.3732216,10133.8810337333,31583,462.344,5,5,68.3106085512086,1057.21735436114
28001000300,"MS91","Mississippi",28001,5,31583,462.344,31.57183,-91.3858,1.243238002,"WALMART PHARMACY 10-0874","314 Sgt S Prentiss Dr",31.553296,-91.37196,31.5464996,-91.3732216,2445.42200360216,31583,462.344,5,5,68.3106085512086,729.07392295514
28001000400,"MS91","Mississippi",28001,5,31583,462.344,31.56295,-91.37761,1.909577795,"WALMART PHARMACY 10-0874","314 Sgt S Prentiss Dr",31.553296,-91.37196,31.5464996,-91.3732216,1200.90129875871,31583,462.344,5,5,68.3106085512086,675.957779272421
28001000500,"MS91","Mississippi",28001,5,31583,462.344,31.57882,-91.31935,2.678136539,"CVS Pharmacy #05870","505 Highway 61 N",31.564605,-91.349661,31.5464996,-91.3732216,3281.51418635775,31583,462.344,5,5,68.3106085512086,764.758337315148
28001000600,"MS91","Mississippi",28001,5,31583,462.344,31.54938,-91.37898,1.434898537,"WALMART PHARMACY 10-0874","314 Sgt S Prentiss Dr",31.553296,-91.37196,31.5464996,-91.3732216,795.932890773874,31583,462.344,5,5,68.3106085512086,658.673727619628
28001000700,"MS91","Mississippi",28001,5,31583,462.344,31.55578,-91.40515,1.061799363,"WALMART PHARMACY 10-0874","314 Sgt S Prentiss Dr",31.553296,-91.37196,31.5464996,-91.3732216,3160.52506407319,31583,462.344,5,5,68.3106085512086,759.594521576043
28001000800,"MS91","Mississippi",28001,5,31583,462.344,31.35292,-91.46159,1.999658246,"ERNST PHARMACY","300 HIGHLAND BLVD STE E",31.521152,-91.399167,31.5464996,-91.3732216,19643.5998699772,31583,462.344,5,5,68.3106085512086,1463.09215429203
28001000900,"MS91","Mississippi",28001,5,31583,462.344,31.52734,-91.38625,2.430894449,"WALGREENS","49 SGT PRENTISS DR",31.532675,-91.382098,31.5464996,-91.3732216,712.678864770223,31583,462.344,5,5,68.3106085512086,655.120445789793
28003950100,"MS122","Mississippi",28003,7,37242,400.043,34.95722,-88.43421,4.769169097,"BURNSVILLE DISCOUNT DRUGS","603 S Highway 365",34.835193,-88.324482,34.835193,-88.324482,16878.8326341429,19476,424.302,8,8,93.094992288329,1471.28130410704
28003950100,"MS84","Mississippi",28003,7,37242,400.043,34.95722,-88.43421,4.769169097,"Shiloh Apothecary","2049 E Shiloh Rd",34.945238,-88.501647,34.927463125,-88.516003625,6295.99073809633,37242,400.043,7,7,93.094992288329,976.865611983769
28003950200,"MS84","Mississippi",28003,7,37242,400.043,34.96798,-88.50285,6.20324894,"Gunn Drug Co., Inc.","1815 E SHILOH RD",34.945507,-88.50445,34.927463125,-88.516003625,2505.93830042758,37242,400.043,7,7,93.094992288329,815.106173944066
28003950300,"MS84","Mississippi",28003,7,37242,400.043,34.96538,-88.55648,3.180584223,"MEDICAL PLAZA PHARMACY","111 ALCORN DR",34.933054,-88.558763,34.927463125,-88.516003625,3604.53814087995,37242,400.043,7,7,93.094992288329,861.994415134574
28003950400,"MS84","Mississippi",28003,7,37242,400.043,34.92709,-88.70291,4.457598179,"MEDICAL PLAZA PHARMACY","111 ALCORN DR",34.933054,-88.558763,34.927463125,-88.516003625,13172.381087033,37242,400.043,7,7,93.094992288329,1270.34995207639
28003950400,"MS98","Mississippi",28003,7,37242,400.043,34.92709,-88.70291,4.457598179,"DUNCANS PHARMACY INC","28271 HWY 15",34.946188,-88.902634,34.946188,-88.902634,18350.0089499528,21993,457.824,6,7,93.094992288329,1491.3311092658
28003950500,"MS67","Mississippi",28003,7,37242,400.043,34.89082,-88.53795,5.021840308,"SMITH DRUG COMPANY","90 Main St",34.765965,-88.530052,34.765965,-88.530052,13917.520009398,37242,400.043,7,7,93.094992288329,1302.15248128292
28003950500,"MS84","Mississippi",28003,7,37242,400.043,34.89082,-88.53795,5.021840308,"WALMART PHARMACY 10-0105","2301 HARPER ROAD",34.908668,-88.534358,34.927463125,-88.516003625,2013.71386245993,37242,400.043,7,7,93.094992288329,794.098034931607
28003950600,"MS122","Mississippi",28003,7,37242,400.043,34.83984,-88.42089,4.192122684,"BURNSVILLE DISCOUNT DRUGS","603 S Highway 365",34.835193,-88.324482,34.835193,-88.324482,8823.81063795753,19476,424.302,8,8,93.094992288329,1127.49296530984
28003950600,"MS67","Mississippi",28003,7,37242,400.043,34.83984,-88.42089,4.192122684,"SMITH DRUG COMPANY","90 Main St",34.765965,-88.530052,34.765965,-88.530052,12930.3084088822,37242,400.043,7,7,93.094992288329,1260.01829017291
28003950600,"MS84","Mississippi",28003,7,37242,400.043,34.83984,-88.42089,4.192122684,"WALGREENS #1913","2026 HIGHWAY 72 E",34.90673,-88.487977,34.927463125,-88.516003625,9642.8698532099,37242,400.043,7,7,93.094992288329,1119.71041261682
28003950700,"MS110","Mississippi",28003,7,37242,400.043,34.8044,-88.62072,3.965913661,"WALMART PHARMACY 10-0114","300 Walmart Cir",34.677526,-88.564145,34.6620237142857,-88.5598247142857,15041.8575083878,25389,414.985,7,7,93.094992288329,1350.13920573981
28003950700,"MS67","Mississippi",28003,7,37242,400.043,34.8044,-88.62072,3.965913661,"SMITH DRUG COMPANY","90 Main St",34.765965,-88.530052,34.765965,-88.530052,9328.50333623079,37242,400.043,7,7,93.094992288329,1106.29324967215
28003950700,"MS84","Mississippi",28003,7,37242,400.043,34.8044,-88.62072,3.965913661,"WALMART PHARMACY 10-0105","2301 HARPER ROAD",34.908668,-88.534358,34.927463125,-88.516003625,14034.2065008906,37242,400.043,7,7,93.094992288329,1307.13266073983
