"ID","Origin","Destination","Drive_Time"
"C749_MO1","C749","MO1",5874.18928158883
"C752_MO1","C752","MO1",6596.19933812289
"C753_MO1","C753","MO1",6621.541048387
"C754_MO1","C754","MO1",6018.49612266683
"C757_MO1","C757","MO1",5873.03063804286
"C758_MO1","C758","MO1",5480.57097517555
"C750_MO10","C750","MO10",1412.77785442935
"C756_MO10","C756","MO10",1347.39679895649
"C760_MO10","C760","MO10",632.168561717162
"C761_MO10","C761","MO10",1172.31556323954
"C762_MO10","C762","MO10",1172.55726665835
"C749_MO100","C749","MO100",5900.13277307651
"C750_MO100","C750","MO100",4640.51995663161
"C756_MO100","C756","MO100",4324.74643944751
"C760_MO100","C760","MO100",5360.21393085108
"C761_MO100","C761","MO100",4916.93946114307
"C762_MO100","C762","MO100",4824.33566429031
"C748_MO101","C748","MO101",6133.11398316319
"C755_MO101","C755","MO101",3866.98657318989
"C763_MO101","C763","MO101",5078.12383065861
"C749_MO102","C749","MO102",5512.41166166991
"C757_MO102","C757","MO102",5223.16883940363
"C758_MO102","C758","MO102",4944.41432240945
"C751_MO103","C751","MO103",1226.38314909466
"C757_MO103","C757","MO103",4388.52064640012
"C758_MO103","C758","MO103",4275.3985965782
"C751_MO104","C751","MO104",4541.51884264222
"C754_MO104","C754","MO104",7134.21497742478
"C757_MO104","C757","MO104",3832.39861131957
"C758_MO104","C758","MO104",3444.5194461425
"C748_MO105","C748","MO105",6035.74716310288
"C755_MO105","C755","MO105",3616.75639139136
"C748_MO106","C748","MO106",2108.19223011849
"C755_MO106","C755","MO106",3668.57651536614
"C760_MO106","C760","MO106",6619.86511904226
"C761_MO106","C761","MO106",6861.1415023156
"C751_MO107","C751","MO107",1821.85992773746
"C757_MO107","C757","MO107",5747.52128889663
"C758_MO107","C758","MO107",5746.48889919029
"C752_MO108","C752","MO108",1245.57832527516
"C753_MO108","C753","MO108",1224.7067929954
"C754_MO108","C754","MO108",1711.82612691646
"C759_MO108","C759","MO108",3343.8925615929
