"ID","Origin","Destination","Drive_Time"
"MO102_MO1","MO102","MO1",3248.16062481587
"MO103_MO1","MO103","MO1",7013.15273674219
"MO104_MO1","MO104","MO1",3789.29244736834
"MO108_MO1","MO108","MO1",6866.16284771788
"MO110_MO1","MO110","MO1",4515.66252542988
"MO113_MO1","MO113","MO1",5666.85451364498
"MO116_MO1","MO116","MO1",6452.19097599855
"MO118_MO1","MO118","MO1",3531.10968654313
"MO119_MO1","MO119","MO1",5164.83650445067
"MO120_MO1","MO120","MO1",7147.59712543474
"MO127_MO1","MO127","MO1",7177.66888514699
"MO131_MO1","MO131","MO1",3556.35459784264
"MO132_MO1","MO132","MO1",5667.90766805032
"MO134_MO1","MO134","MO1",3780.91498220903
"MO138_MO1","MO138","MO1",4880.30641351606
"MO140_MO1","MO140","MO1",2239.77454075041
"MO141_MO1","MO141","MO1",4360.67664611159
"MO143_MO1","MO143","MO1",6082.86780515886
"MO150_MO1","MO150","MO1",4863.99557255487
"MO151_MO1","MO151","MO1",5680.97934040637
"MO152_MO1","MO152","MO1",4161.47822952578
"MO154_MO1","MO154","MO1",3684.89911216227
"MO155_MO1","MO155","MO1",6061.83553575474
"MO156_MO1","MO156","MO1",5416.84758140546
"MO16_MO1","MO16","MO1",5348.82259848524
"MO165_MO1","MO165","MO1",3931.61489327192
"MO167_MO1","MO167","MO1",3242.44324414065
"MO168_MO1","MO168","MO1",5622.18536558659
"MO172_MO1","MO172","MO1",5540.36577626725
"MO173_MO1","MO173","MO1",5755.75886717818
"MO175_MO1","MO175","MO1",6719.49020642343
"MO177_MO1","MO177","MO1",4459.68759959136
"MO178_MO1","MO178","MO1",4969.51627853172
"MO179_MO1","MO179","MO1",4448.935526399
"MO18_MO1","MO18","MO1",6422.14082612055
"MO182_MO1","MO182","MO1",6855.59623501812
"MO183_MO1","MO183","MO1",1876.5302873429
"MO184_MO1","MO184","MO1",2259.70779414388
"MO186_MO1","MO186","MO1",5214.0511465011
"MO19_MO1","MO19","MO1",6948.4355256275
"MO192_MO1","MO192","MO1",5346.78634311059
"MO195_MO1","MO195","MO1",4104.61312793328
"MO197_MO1","MO197","MO1",6064.71598569176
"MO200_MO1","MO200","MO1",7127.14390935263
"MO201_MO1","MO201","MO1",6247.70392408494
"MO205_MO1","MO205","MO1",5547.07778269005
"MO21_MO1","MO21","MO1",4896.11465529611
"MO212_MO1","MO212","MO1",6469.23593254534
"MO216_MO1","MO216","MO1",4787.70127746655
"MO217_MO1","MO217","MO1",6457.08418820268
"MO222_MO1","MO222","MO1",2287.73181628232
"MO224_MO1","MO224","MO1",6992.32949211879
"MO230_MO1","MO230","MO1",4528.72494691534
"MO233_MO1","MO233","MO1",6437.81873830299
"MO234_MO1","MO234","MO1",5441.48167474789
"MO235_MO1","MO235","MO1",6734.05763617763
"MO236_MO1","MO236","MO1",4878.76996486265
"MO237_MO1","MO237","MO1",6478.55093053137
"MO242_MO1","MO242","MO1",5122.62832918065
"MO244_MO1","MO244","MO1",5459.08856643861
"MO27_MO1","MO27","MO1",5253.27979086527
"MO31_MO1","MO31","MO1",4848.1725458713
"MO32_MO1","MO32","MO1",6476.90634665637
"MO33_MO1","MO33","MO1",4841.07242187149
"MO35_MO1","MO35","MO1",5703.59294125882
"MO38_MO1","MO38","MO1",6051.75238479389
"MO41_MO1","MO41","MO1",7139.74667054364
"MO45_MO1","MO45","MO1",5448.14167210669
"MO47_MO1","MO47","MO1",3895.51594556015
"MO51_MO1","MO51","MO1",6740.89172644574
"MO52_MO1","MO52","MO1",5728.58613738161
"MO53_MO1","MO53","MO1",4814.19167898409
"MO61_MO1","MO61","MO1",5721.29491007018
"MO62_MO1","MO62","MO1",5546.38373478982
"MO65_MO1","MO65","MO1",6899.74309118783
"MO73_MO1","MO73","MO1",4752.54058924963
"MO75_MO1","MO75","MO1",6837.12465952439
"MO77_MO1","MO77","MO1",6748.61622748375
"MO78_MO1","MO78","MO1",2906.21298441947
"MO8_MO1","MO8","MO1",5594.11089063359
"MO83_MO1","MO83","MO1",2841.07341543682
"MO85_MO1","MO85","MO1",2173.97878800425
"MO86_MO1","MO86","MO1",3787.65911924102
"MO9_MO1","MO9","MO1",7100.55761452176
"MO90_MO1","MO90","MO1",6777.78598678837
"MO98_MO1","MO98","MO1",2777.359978133
"MO100_MO10","MO100","MO10",5203.94953758017
"MO101_MO10","MO101","MO10",7176.57434425024
"MO106_MO10","MO106","MO10",6718.89267676653
"MO115_MO10","MO115","MO10",3320.84441789397
"MO12_MO10","MO12","MO10",690.664032334716
"MO124_MO10","MO124","MO10",2263.67583628855
"MO125_MO10","MO125","MO10",3275.91614155525
"MO130_MO10","MO130","MO10",2038.77023300958
"MO139_MO10","MO139","MO10",6823.6035635008
"MO142_MO10","MO142","MO10",5127.10096087206
"MO147_MO10","MO147","MO10",2941.45096269454
"MO153_MO10","MO153","MO10",809.901655349542
"MO157_MO10","MO157","MO10",4679.30414106587
"MO161_MO10","MO161","MO10",5440.34840415347
"MO163_MO10","MO163","MO10",861.581481991336
"MO168_MO10","MO168","MO10",7024.10135448899
"MO169_MO10","MO169","MO10",2113.03190935307
"MO172_MO10","MO172","MO10",6957.61817171599
"MO173_MO10","MO173","MO10",6395.98921512659
"MO182_MO10","MO182","MO10",5128.26539758266
"MO185_MO10","MO185","MO10",4771.59922292929
"MO193_MO10","MO193","MO10",1400.4398188395
"MO197_MO10","MO197","MO10",6303.61801937808
"MO203_MO10","MO203","MO10",3516.08352065898
"MO204_MO10","MO204","MO10",3813.36642786036
"MO205_MO10","MO205","MO10",6406.74803939538
"MO212_MO10","MO212","MO10",5428.28962224411
"MO213_MO10","MO213","MO10",5152.99343778369
"MO214_MO10","MO214","MO10",3385.41107996432
"MO220_MO10","MO220","MO10",1397.61868949369
"MO228_MO10","MO228","MO10",2586.02967828408
"MO229_MO10","MO229","MO10",2505.7997010558
"MO231_MO10","MO231","MO10",3937.34152101231
"MO24_MO10","MO24","MO10",2178.62603320346
"MO26_MO10","MO26","MO10",4953.28535271354
"MO27_MO10","MO27","MO10",6756.8398137438
"MO30_MO10","MO30","MO10",6394.2632813925
"MO36_MO10","MO36","MO10",3683.75781370398
"MO4_MO10","MO4","MO10",855.375817928687
"MO40_MO10","MO40","MO10",1460.86038338169
"MO41_MO10","MO41","MO10",7174.77144730128
"MO44_MO10","MO44","MO10",2349.11297305204
"MO48_MO10","MO48","MO10",4144.20336417067
"MO50_MO10","MO50","MO10",5347.57465884002
"MO51_MO10","MO51","MO10",5917.81940769081
"MO55_MO10","MO55","MO10",4057.19375187099
"MO56_MO10","MO56","MO10",1932.20348885919
"MO6_MO10","MO6","MO10",894.871972854557
"MO68_MO10","MO68","MO10",2952.95743270901
"MO72_MO10","MO72","MO10",3722.90972067523
"MO75_MO10","MO75","MO10",6103.82034856002
"MO76_MO10","MO76","MO10",6440.35992409577
"MO80_MO10","MO80","MO10",1317.98946903699
"MO81_MO10","MO81","MO10",2349.4177306973
"MO82_MO10","MO82","MO10",5606.97803462083
"MO87_MO10","MO87","MO10",1611.99846759801
"MO91_MO10","MO91","MO10",2912.77876984573
"MO92_MO10","MO92","MO10",4620.99198115862
"MO95_MO10","MO95","MO10",1070.54278662344
"MO99_MO10","MO99","MO10",4311.43431647954
"MO10_MO100","MO10","MO100",5203.94953758017
"MO115_MO100","MO115","MO100",2375.36337872756
"MO12_MO100","MO12","MO100",4855.11713432108
"MO121_MO100","MO121","MO100",5459.05979819722
"MO124_MO100","MO124","MO100",5486.94320847965
"MO125_MO100","MO125","MO100",6584.83364986895
"MO130_MO100","MO130","MO100",7048.67464955087
"MO132_MO100","MO132","MO100",6898.96991240311
"MO139_MO100","MO139","MO100",2485.42761441762
"MO144_MO100","MO144","MO100",4909.7390123956
"MO147_MO100","MO147","MO100",3788.59137284094
"MO153_MO100","MO153","MO100",5753.06938420039
"MO157_MO100","MO157","MO100",3531.64822330841
"MO163_MO100","MO163","MO100",5312.26471963434
"MO169_MO100","MO169","MO100",3746.18276876422
"MO172_MO100","MO172","MO100",6158.84985437388
"MO173_MO100","MO173","MO100",6158.7582894101
"MO181_MO100","MO181","MO100",3353.04382104485
"MO182_MO100","MO182","MO100",6770.59620377114
"MO193_MO100","MO193","MO100",6433.83572718094
"MO194_MO100","MO194","MO100",7056.01578471376
"MO203_MO100","MO203","MO100",5808.72482269503
"MO205_MO100","MO205","MO100",6554.69068785402
"MO207_MO100","MO207","MO100",4612.27187432451
"MO209_MO100","MO209","MO100",3080.77044858086
"MO210_MO100","MO210","MO100",4460.68518095994
"MO211_MO100","MO211","MO100",6130.18755895539
"MO212_MO100","MO212","MO100",6171.31045966582
"MO220_MO100","MO220","MO100",5396.01348224909
"MO228_MO100","MO228","MO100",3661.55861262365
"MO229_MO100","MO229","MO100",3151.05579248495
"MO231_MO100","MO231","MO100",6922.11510285486
"MO232_MO100","MO232","MO100",6443.49201052711
"MO24_MO100","MO24","MO100",4992.26157411797
"MO25_MO100","MO25","MO100",6012.63378404603
"MO26_MO100","MO26","MO100",1479.44877851676
"MO27_MO100","MO27","MO100",6697.20011515618
"MO29_MO100","MO29","MO100",6598.79406497295
"MO30_MO100","MO30","MO100",4066.17371311498
"MO4_MO100","MO4","MO100",5163.26058623362
"MO40_MO100","MO40","MO100",6102.3488648182
"MO41_MO100","MO41","MO100",4860.35456513266
"MO44_MO100","MO44","MO100",7142.45277385291
"MO51_MO100","MO51","MO100",5037.89260272874
"MO55_MO100","MO55","MO100",4524.81152748798
"MO56_MO100","MO56","MO100",6759.56762305542
"MO6_MO100","MO6","MO100",5658.52596200528
"MO63_MO100","MO63","MO100",6106.40827529122
"MO66_MO100","MO66","MO100",5792.69084264819
"MO68_MO100","MO68","MO100",4783.64879445291
"MO69_MO100","MO69","MO100",4294.63041406204
"MO80_MO100","MO80","MO100",4302.00403045651
"MO81_MO100","MO81","MO100",5907.4245922367
"MO82_MO100","MO82","MO100",2526.35896815114
"MO87_MO100","MO87","MO100",4070.05784921514
"MO91_MO100","MO91","MO100",2946.88462430473
"MO95_MO100","MO95","MO100",6100.30714663729
"MO99_MO100","MO99","MO100",6163.63840864896
"MO10_MO101","MO10","MO101",7176.57434425024
"MO105_MO101","MO105","MO101",6734.33240318069
"MO106_MO101","MO106","MO101",4574.52874397103
"MO123_MO101","MO123","MO101",4854.34044839422
"MO124_MO101","MO124","MO101",6495.67575689643
"MO125_MO101","MO125","MO101",5463.15563545164
"MO126_MO101","MO126","MO101",5714.8902692326
"MO129_MO101","MO129","MO101",3773.14904247831
"MO130_MO101","MO130","MO101",5858.81847914267
"MO136_MO101","MO136","MO101",3825.00651388696
"MO142_MO101","MO142","MO101",5478.90444480364
"MO148_MO101","MO148","MO101",2553.73970550374
"MO151_MO101","MO151","MO101",6044.49604326509
"MO153_MO101","MO153","MO101",6799.51572088452
"MO158_MO101","MO158","MO101",4156.88108501772
"MO160_MO101","MO160","MO101",1986.72615348382
"MO161_MO101","MO161","MO101",5128.25977952244
"MO163_MO101","MO163","MO101",6761.41322402216
"MO168_MO101","MO168","MO101",6327.69123639128
"MO176_MO101","MO176","MO101",1928.17733815651
"MO182_MO101","MO182","MO101",6510.11003366979
"MO185_MO101","MO185","MO101",4527.2097073953
"MO188_MO101","MO188","MO101",7127.69696929488
"MO193_MO101","MO193","MO101",6438.55565733985
"MO197_MO101","MO197","MO101",6580.17688885434
"MO203_MO101","MO203","MO101",6453.44585286731
"MO204_MO101","MO204","MO101",5664.85565989617
"MO213_MO101","MO213","MO101",2945.22219007158
"MO214_MO101","MO214","MO101",5377.86316379038
"MO217_MO101","MO217","MO101",6630.92107363149
"MO218_MO101","MO218","MO101",7095.26677720692
"MO220_MO101","MO220","MO101",6736.53771221072
"MO221_MO101","MO221","MO101",4358.94163745346
"MO223_MO101","MO223","MO101",6269.41883817562
"MO227_MO101","MO227","MO101",3886.6842559053
"MO231_MO101","MO231","MO101",5240.97956394509
"MO24_MO101","MO24","MO101",6990.48111791314
"MO34_MO101","MO34","MO101",5102.76963243494
"MO36_MO101","MO36","MO101",4275.64926871077
"MO40_MO101","MO40","MO101",6181.36582923728
