"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
29001950100,"MO60","Missouri",29001,7,25437,567.325,40.21118,-92.46793,4.751087575,"WALGREENS #9986","311 N BALTIMORE ST",40.196431,-92.572141,40.1938106666667,-92.5765595,9010.92317676519,25437,567.325,7,7,44.8367337945622,1096.69272758455
29001950200,"MO60","Missouri",29001,7,25437,567.325,40.16672,-92.72608,3.285197315,"Med Depot Pharmacy","800 W JEFFERSON ST",40.193145,-92.588866,40.1938106666667,-92.5765595,12035.1530714167,25437,567.325,7,7,44.8367337945622,1225.76685948828
29001950300,"MO60","Missouri",29001,7,25437,567.325,40.22535,-92.61455,3.989601915,"WALMART PHARMACY 10-0189","2206 NORTH BALTIMORE",40.215006,-92.582222,40.1938106666667,-92.5765595,2979.39326504892,25437,567.325,7,7,44.8367337945622,839.267030952499
29001950400,"MO60","Missouri",29001,7,25437,567.325,40.2172,-92.55932,4.737728181,"WALMART PHARMACY 10-0189","2206 NORTH BALTIMORE",40.215006,-92.582222,40.1938106666667,-92.5765595,1962.0492730301,25437,567.325,7,7,44.8367337945622,795.846789373136
29001950500,"MO60","Missouri",29001,7,25437,567.325,40.1824,-92.61706,8.337478585,"Med Depot Pharmacy","800 W JEFFERSON ST",40.193145,-92.588866,40.1938106666667,-92.5765595,2679.43833268678,25437,567.325,7,7,44.8367337945622,826.464954439283
29001950900,"MO60","Missouri",29001,7,25437,567.325,40.19481,-92.57409,2.984003624,"WALGREENS #9986","311 N BALTIMORE ST",40.196431,-92.572141,40.1938106666667,-92.5765595,245.003343857439,25437,567.325,7,7,44.8367337945622,722.563269116047
29001951000,"MO60","Missouri",29001,7,25437,567.325,40.18515,-92.58062,2.807902474,"RIDER DRUG INC","1207 S BALTIMORE",40.18537,-92.572098,40.1938106666667,-92.5765595,725.157499184645,25437,567.325,7,7,44.8367337945622,743.056248465412
29005950100,"MO109","Missouri",29005,9,5335,547.285,40.41556,-95.32076,3.495426814,"ROGERS PHARMACY","411 MAIN ST",40.440374,-95.37969,40.440374,-95.37969,5706.73561563863,5335,547.285,9,9,9.74812026640599,1044.02481258203
29005950200,"MO109","Missouri",29005,9,5335,547.285,40.44748,-95.55629,2.758128535,"ROGERS PHARMACY","411 MAIN ST",40.440374,-95.37969,40.440374,-95.37969,14982.2202888124,5335,547.285,9,9,9.74812026640599,1439.90249843309
29005950200,"MO74","Missouri",29005,9,5335,547.285,40.44748,-95.55629,2.758128535,"STONER DRUG","315 S MAIN ST",40.411803,-95.514692,40.411803,-95.514692,5310.17300841426,5335,547.285,9,9,9.74812026640599,1027.09952050569
29007950100,"MO82","Missouri",29007,6,25763,692.246,39.30597,-91.49299,5.420271947,"County Market Pharmacy 392","1555 US 54 West",39.302797,-91.50421,39.302797,-91.50421,1028.99242140387,25763,692.246,6,6,37.2165386293312,713.908245535616
29007950200,"MO30","Missouri",29007,6,25763,692.246,39.21126,-91.71013,6.21576335,"A AND B PRESCRIPTION SHOP INC","201 E MONROE ST",39.172807,-91.880479,39.1594528333333,-91.8880296666667,15307.7404533785,25763,692.246,6,6,37.2165386293312,1323.32521154029
29007950300,"MO30","Missouri",29007,6,25763,692.246,39.22708,-92.0887,4.299297041,"WEBBER PHARMACY INC","1101 W Monroe St",39.17457,-91.898643,39.1594528333333,-91.8880296666667,17406.1984386084,25763,692.246,6,6,37.2165386293312,1412.88739834991
29007950300,"MO41","Missouri",29007,6,25763,692.246,39.22708,-92.0887,4.299297041,"KINKEAD PHARMACY","105 S Allen St",39.21135,-92.139181,39.21135,-92.139181,4692.5725880043,174589,685.551,3,6,254.669601532198,852.45391760249
29007950400,"MO30","Missouri",29007,6,25763,692.246,39.1854,-91.84832,3.279124861,"A AND B PRESCRIPTION SHOP INC","201 E MONROE ST",39.172807,-91.880479,39.1594528333333,-91.8880296666667,3109.04646477783,25763,692.246,6,6,37.2165386293312,802.684952106817
29007950500,"MO30","Missouri",29007,6,25763,692.246,39.20648,-91.90426,4.496044531,"WEBBER PHARMACY INC","1101 W Monroe St",39.17457,-91.898643,39.1594528333333,-91.8880296666667,3585.11091654342,25763,692.246,6,6,37.2165386293312,823.003382908172
29007950600,"MO30","Missouri",29007,6,25763,692.246,39.16393,-91.92302,3.530524434,"WEBBER PHARMACY INC","1101 W Monroe St",39.17457,-91.898643,39.1594528333333,-91.8880296666667,2414.33759213065,25763,692.246,6,6,37.2165386293312,773.034777422235
29007950600,"MO41","Missouri",29007,6,25763,692.246,39.16393,-91.92302,3.530524434,"KINKEAD PHARMACY","105 S Allen St",39.21135,-92.139181,39.21135,-92.139181,19383.3548610682,174589,685.551,3,6,254.669601532198,1479.45650501686
29007950700,"MO30","Missouri",29007,6,25763,692.246,39.1441,-91.8648,4.047897468,"Parkway Pharmacy","340 Kelley Pkwy",39.146037,-91.888745,39.1594528333333,-91.8880296666667,2078.47879738353,25763,692.246,6,6,37.2165386293312,758.700324062428
29009960100,"MO162","Missouri",29009,6,35398,778.074,36.74469,-93.70841,8.147975688,"PLAZA PHARMACY","24875 State Hwy 39",36.625125,-93.622653,36.625125,-93.622653,15354.5398856246,35398,778.074,6,6,45.4943874233042,1324.64440715687
29009960100,"MO22","Missouri",29009,6,35398,778.074,36.74469,-93.70841,8.147975688,"SATER PHARMACY","705 MAIN ST",36.678632,-93.868128,36.6785646666667,-93.8759886666667,16038.3252363924,35398,778.074,6,6,45.4943874233042,1353.82836592764
29009960200,"MO20","Missouri",29009,6,35398,778.074,36.82189,-93.93824,7.547073668,"WALMART PHARMACY 10-0048","885 HIGHWAY 60",36.916047,-93.947793,36.9251393333333,-93.9352283333333,10515.9795811004,35398,778.074,6,6,45.4943874233042,1118.13465335977
29009960200,"MO22","Missouri",29009,6,35398,778.074,36.82189,-93.93824,7.547073668,"WALMART PHARMACY 10-0914","1401 Old Exeter Rd",36.677199,-93.890047,36.6785646666667,-93.8759886666667,16670.6673365138,35398,778.074,6,6,45.4943874233042,1380.81672676082
29009960300,"MO20","Missouri",29009,6,35398,778.074,36.90048,-93.93408,8.209344403,"WALMART PHARMACY 10-0048","885 HIGHWAY 60",36.916047,-93.947793,36.9251393333333,-93.9352283333333,2119.63611168273,35398,778.074,6,6,45.4943874233042,759.778714085028
29009960401,"MO22","Missouri",29009,6,35398,778.074,36.55931,-93.93594,5.578160666,"WALMART PHARMACY 10-0914","1401 Old Exeter Rd",36.677199,-93.890047,36.6785646666667,-93.8759886666667,13749.0301458494,35398,778.074,6,6,45.4943874233042,1256.12125146326
