"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P31796","THRIFTY DRUG","201 E PARK ST","ANACONDA","MT",59711,46.129625,-112.955843,"MT1",46.129508,-112.955086333333,59.8104438129194,"deer lodge",30023,9131,736.682,7
"P31805","WESTERN DRUG","537 2ND AVE S","GLASGOW","MT",59230,48.194065,-106.637359,"MT10",48.1914215,-106.635748,317.630042871603,"valley",30105,7561,4926.1,7
"P31878","OSCO PHARMACY #4023","307 Harmon St","GLENDIVE","MT",593301510,47.107719,-104.727781,"MT11",47.107021,-104.727351,84.2549133635948,"dawson",30021,9324,2371.917,7
"P31999","Big Sky Managed Care Great Falls","915 1st Ave S Ste 110","Great Falls","MT",594013705,47.504458,-111.291229,"MT12",47.5039055294118,-111.284715470588,493.665659586711,"cascade",30013,81816,2698.173,3
"P31875","OSCO PHARMACY #0019","117 W JANEAUX ST","LEWISTOWN","MT",594573073,47.065537,-109.422953,"MT14",47.0617775,-109.4331955,882.258376516004,"fergus",30027,11327,4339.329,7
"P31812","VALLEY DRUG of Malta, Inc.","131 S 1ST AVE E","MALTA","MT",59538,48.359203,-107.871859,"MT15",48.359203,-107.871859,0,"phillips",30071,4139,5140.478,9
"P31886","OSCO PHARMACY #0039","519 S Haynes Ave","MILES CITY","MT",593014768,46.403312,-105.823879,"MT16",46.40359475,-105.835544,895.996190083225,"custer",30017,11895,3783.309,7
"P31816","PLENTYWOOD DRUG INC","119 N MAIN ST","PLENTYWOOD","MT",59254,48.775022,-104.559136,"MT18",48.775022,-104.559136,0,"sheridan",30091,3568,1675.808,9
"P31870","SAFEWAY PHARMACY #1646","40774 MT HIGHWAY 35","POLSON","MT",598609540,47.688472,-114.123204,"MT19",47.6866994,-114.1346724,881.77279017238,"lake",30047,29518,1490.465,6
"P31797","BAKER DRUG CO","103 S MAIN","BAKER","MT",593130459,46.367723,-104.275853,"MT2",46.367723,-104.275853,0,"fallon",30025,2925,1620.595,9
"P31818","RED LODGE DRUG","211 NORTH BROADWAY","RED LODGE","MT",590681030,45.189355,-109.247363,"MT20",45.189355,-109.247363,0,"carbon",30009,10466,2047.706,3
"P31819","SERVICE DRUG INC","119 MAIN ST","SCOBEY","MT",592631107,48.79164,-105.420909,"MT21",48.79164,-105.420909,0,"daniels",30019,1788,1426.016,9
"P32003","Marias Healthcare Services Inc - Pharmacy","670 Park Ave","Shelby","MT",594741663,48.510321,-111.850381,"MT22",48.507534,-111.8529955,365.283868158436,"toole",30101,5031,1915.016,7
"P31822","WHITE DRUG #25","402 EAST MAIN","SIDNEY","MT",592704699,47.714134,-104.152628,"MT24",47.714134,-104.152628,0,"richland",30083,11405,2084.555,7
"P31984","Northwest Community Health Center","320 E 2nd St","Libby","MT",599232010,48.392859,-115.54661,"MT25",48.3882803333333,-115.551819666667,638.824127043789,"lincoln",30053,19249,3612.534,7
"P31827","WESTERN DRUG OF LIVINGSTON","1313 W PARK STREET","LIVINGSTON","MT",59047,45.651227,-110.571332,"MT27",45.646764,-110.573544,525.793700367349,"park",30067,16001,2802.471,7
"P31798","REMEDIES PHARMACY & GIFT","500 EAST WASHINGTON AVE.","CHESTER","MT",59522,48.514307,-110.958295,"MT3",48.5136405,-110.962453,315.468946768102,"liberty",30051,2245,1429.983,9
"P31833","Olson's Drug","5 4TH AVE SE","CONRAD","MT",594252327,48.169114,-111.946438,"MT30",48.167595,-111.948134,210.82725397151,"pondera",30073,6081,1624.567,7
"P31985","Valley Drug & Variety","301 MAIN ST","STEVENSVILLE","MT",59870,46.509783,-114.094155,"MT31",46.5107386666667,-114.099712333333,438.852746215337,"ravalli",30081,41387,2390.998,6
"P31836","MISSION DRUG","110 N MAIN","ST IGNATIUS","MT",59865,47.31901,-114.096405,"MT32",47.31901,-114.096405,0,"lake",30047,29518,1490.465,6
"P31838","Whitehall Drug","203 W Legion Ave","WHITEHALL","MT",59759,45.870153,-112.10169,"MT33",45.870153,-112.10169,0,"jefferson",30043,11625,1656.863,9
"P31840","Stillwater Family Pharmacy","133 N 5TH Street","COLUMBUS","MT",59019,45.638853,-109.2532,"MT34",45.638853,-109.2532,0,"stillwater",30095,9342,1796.746,8
"P31842","FAMILY HEALTH PHARMACY","63307 US-935","RONAN","MT",59864,47.526959,-114.097621,"MT35",47.523473,-114.0970525,390.405665860676,"lake",30047,29518,1490.465,6
"P31970","Walgreens #13818","2611 Harrison Ave","Butte","MT",597013759,45.985797,-112.5086,"MT36",45.989566875,-112.519872875,967.651630586219,"silver bow",30093,34514,717.984,5
"P31848","SAFEWAY PHARMACY #1486","611 N MONTANA AVE","HELENA","MT",596013827,46.590637,-112.017261,"MT38",46.5960940833333,-112.010542,795.739163761461,"lewis and clark",30049,66290,3458.379,5
"P31857","SAFEWAY PHARMACY #1581","570 N MONTANA ST","DILLON","MT",597253315,45.223815,-112.628128,"MT39",45.2199865,-112.632418,542.940041046036,"beaverhead",30001,9360,5542.686,7
"P32006","Glacier Pharmacy","601 W Main St Ste 1A","Cut Bank","MT",594272832,48.640471,-112.340504,"MT43",48.640448,-112.3387435,129.524020494893,"glacier",30035,13677,2994.946,7
"P31895","Townsend Drug","308 BROADWAY","TOWNSEND","MT",59644,46.320077,-111.518191,"MT44",46.320077,-111.518191,0,"broadwater",30007,5755,1192.359,9
"P31905","MAC'S CHC PHARMACY","317 Madison St","SHERIDAN","MT",59749,45.453147,-112.19121,"MT45",45.453147,-112.19121,0,"madison",30057,7902,3588.158,9
"P31980","Bullhook Community Health Center Pharmacy","521 4th St","Havre","MT",595013649,48.550403,-109.675042,"MT46",48.5497306,-109.6891538,1042.58392100974,"hill",30041,16468,2899.171,7
