"ID","Origin","Destination","Drive_Time"
"C764_MT1","C764","MT1",6808.10237964871
"C767_MT1","C767","MT1",5594.33794725062
"C766_MT19","C766","MT19",3216.57246133131
"C767_MT19","C767","MT19",4673.89054688994
"C765_MT20","C765","MT20",4066.11553037017
"C766_MT25","C766","MT25",4686.61987412433
"C764_MT27","C764","MT27",2824.03346781647
"C767_MT31","C767","MT31",2295.1035809904
"C766_MT32","C766","MT32",4953.36608118652
"C767_MT32","C767","MT32",2918.09864183491
"C764_MT33","C764","MT33",3871.05101723783
"C764_MT34","C764","MT34",7194.93021222802
"C765_MT34","C765","MT34",3097.36774787603
"C766_MT35","C766","MT35",3982.3303836577
"C767_MT35","C767","MT35",3902.45300500175
"C764_MT36","C764","MT36",5123.88946249931
"C767_MT36","C767","MT36",7059.26261813739
"C764_MT38","C764","MT38",5396.00670347923
"C764_MT39","C764","MT39",6171.23030213354
"C764_MT44","C764","MT44",3638.57192621377
"C764_MT45","C764","MT45",4462.66338481563
"C764_MT47","C764","MT47",3072.18911180938
"C767_MT48","C767","MT48",1685.58447177729
"C767_MT5","C767","MT5",3451.34063540109
"C764_MT50","C764","MT50",4569.42282567606
"C766_MT54","C766","MT54",6297.88061022008
"C767_MT54","C767","MT54",1583.08186611131
"C766_MT56","C766","MT56",6284.12364944674
"C767_MT56","C767","MT56",2858.07468411138
"C764_MT6","C764","MT6",6598.21798282539
"C767_MT6","C767","MT6",5374.84985384919
"C764_MT60","C764","MT60",4602.38210271425
"C766_MT61","C766","MT61",4702.22683771882
"C764_MT62","C764","MT62",4625.70574743185
"C767_MT64","C767","MT64",4174.0877128673
"C764_MT65","C764","MT65",6267.64437256435
"C765_MT65","C765","MT65",6055.60277453651
"C764_MT66","C764","MT66",2718.96595333738
"C764_MT69","C764","MT69",4884.55240713684
"C765_MT69","C765","MT69",5404.49579283805
"C765_MT72","C765","MT72",3862.73841873289
"C765_MT75","C765","MT75",4003.94365118733
"MT1_C764","MT1","C764",6808.10237964871
"MT1_C767","MT1","C767",5594.33794725062
"MT19_C766","MT19","C766",3216.57246133131
"MT19_C767","MT19","C767",4673.89054688994
"MT20_C765","MT20","C765",4066.11553037017
"MT25_C766","MT25","C766",4686.61987412433
"MT27_C764","MT27","C764",2824.03346781647
"MT31_C767","MT31","C767",2295.1035809904
"MT32_C766","MT32","C766",4953.36608118652
"MT32_C767","MT32","C767",2918.09864183491
"MT33_C764","MT33","C764",3871.05101723783
"MT34_C764","MT34","C764",7194.93021222802
"MT34_C765","MT34","C765",3097.36774787603
"MT35_C766","MT35","C766",3982.3303836577
"MT35_C767","MT35","C767",3902.45300500175
"MT36_C764","MT36","C764",5123.88946249931
"MT36_C767","MT36","C767",7059.26261813739
"MT38_C764","MT38","C764",5396.00670347923
"MT39_C764","MT39","C764",6171.23030213354
"MT44_C764","MT44","C764",3638.57192621377
"MT45_C764","MT45","C764",4462.66338481563
"MT47_C764","MT47","C764",3072.18911180938
"MT48_C767","MT48","C767",1685.58447177729
"MT5_C767","MT5","C767",3451.34063540109
"MT50_C764","MT50","C764",4569.42282567606
"MT54_C766","MT54","C766",6297.88061022008
"MT54_C767","MT54","C767",1583.08186611131
"MT56_C766","MT56","C766",6284.12364944674
"MT56_C767","MT56","C767",2858.07468411138
"MT6_C764","MT6","C764",6598.21798282539
"MT6_C767","MT6","C767",5374.84985384919
"MT60_C764","MT60","C764",4602.38210271425
"MT61_C766","MT61","C766",4702.22683771882
"MT62_C764","MT62","C764",4625.70574743185
"MT64_C767","MT64","C767",4174.0877128673
"MT65_C764","MT65","C764",6267.64437256435
"MT65_C765","MT65","C765",6055.60277453651
"MT66_C764","MT66","C764",2718.96595333738
"MT69_C764","MT69","C764",4884.55240713684
"MT69_C765","MT69","C765",5404.49579283805
"MT72_C765","MT72","C765",3862.73841873289
"MT75_C765","MT75","C765",4003.94365118733
