"ID","Origin","Destination","Drive_Time"
"MT31_MT1","MT31","MT1",4863.20984252701
"MT33_MT1","MT33","MT1",3877.04216174695
"MT36_MT1","MT36","MT1",2337.02477810688
"MT38_MT1","MT38","MT1",4491.51408830456
"MT39_MT1","MT39","MT1",5153.73428475276
"MT44_MT1","MT44","MT1",5611.53650904329
"MT45_MT1","MT45","MT1",4892.45271849973
"MT48_MT1","MT48","MT1",5117.66882928507
"MT5_MT1","MT5","MT1",4720.28859070535
"MT54_MT1","MT54","MT1",6631.97325999219
"MT56_MT1","MT56","MT1",5900.32013900958
"MT6_MT1","MT6","MT1",2203.70459388053
"MT60_MT1","MT60","MT1",3601.66530308755
"MT64_MT1","MT64","MT1",2224.7246058478
"MT15_MT10","MT15","MT10",4782.68492196986
"MT21_MT10","MT21","MT10",5568.71777536897
"MT16_MT11","MT16","MT11",5607.20664437017
"MT2_MT11","MT2","MT11",4612.25948020153
"MT24_MT11","MT24","MT11",4138.87024077957
"MT73_MT11","MT73","MT11",5689.00371845691
"MT14_MT12","MT14","MT12",7085.30651183377
"MT22_MT12","MT22","MT12",5812.03722900514
"MT3_MT12","MT3","MT12",5711.99030042493
"MT30_MT12","MT30","MT12",4499.86450297292
"MT38_MT12","MT38","MT12",5564.82564789919
"MT43_MT12","MT43","MT12",7055.64302147956
"MT44_MT12","MT44","MT12",6473.90843200471
"MT49_MT12","MT49","MT12",3029.79011504813
"MT62_MT12","MT62","MT12",5520.41337020764
"MT12_MT14","MT12","MT14",7085.30651183377
"MT62_MT14","MT62","MT14",6174.98348331469
"MT65_MT14","MT65","MT14",4077.62674646569
"MT69_MT14","MT69","MT14",6906.29920652582
"MT75_MT14","MT75","MT14",4880.67945782022
"MT10_MT15","MT10","MT15",4782.68492196986
"MT46_MT15","MT46","MT15",6554.62582907218
"MT11_MT16","MT11","MT16",5607.20664437017
"MT2_MT16","MT2","MT16",5877.13316273808
"MT63_MT16","MT63","MT16",5567.81110631528
"MT71_MT16","MT71","MT16",4432.78960099015
"MT21_MT18","MT21","MT18",3500.04952964341
"MT24_MT18","MT24","MT18",6002.70818378949
"MT73_MT18","MT73","MT18",3797.6135598677
"MT25_MT19","MT25","MT19",6339.37042818315
"MT31_MT19","MT31","MT19",6272.29334267288
"MT32_MT19","MT32","MT19",2428.88024182527
"MT35_MT19","MT35","MT19",1443.14761955684
"MT48_MT19","MT48","MT19",5663.9982309181
"MT54_MT19","MT54","MT19",3885.75509943417
"MT56_MT19","MT56","MT19",3925.82420943577
"MT61_MT19","MT61","MT19",7145.30124754184
"MT11_MT2","MT11","MT2",4612.25948020153
"MT16_MT2","MT16","MT2",5877.13316273808
"MT63_MT2","MT63","MT2",6573.05726135445
"MT27_MT20","MT27","MT20",5645.67097744774
"MT34_MT20","MT34","MT20",2893.79981818365
"MT50_MT20","MT50","MT20",5664.79661019535
"MT65_MT20","MT65","MT20",7027.70050274775
"MT66_MT20","MT66","MT20",6314.8537105768
"MT69_MT20","MT69","MT20",4664.27270474347
"MT72_MT20","MT72","MT20",6735.49932640912
"MT75_MT20","MT75","MT20",7153.06400808337
"MT10_MT21","MT10","MT21",5568.71777536897
"MT18_MT21","MT18","MT21",3500.04952964341
"MT73_MT21","MT73","MT21",4989.57841227968
"MT12_MT22","MT12","MT22",5812.03722900514
"MT3_MT22","MT3","MT22",3608.86183577052
"MT30_MT22","MT30","MT22",2364.72668670931
"MT43_MT22","MT43","MT22",2375.56062267193
"MT49_MT22","MT49","MT22",5032.59457948212
"MT11_MT24","MT11","MT24",4138.87024077957
"MT18_MT24","MT18","MT24",6002.70818378949
"MT73_MT24","MT73","MT24",3068.13046731264
"MT19_MT25","MT19","MT25",6339.37042818315
"MT35_MT25","MT35","MT25",6892.77206974153
"MT61_MT25","MT61","MT25",3538.78137154778
"MT20_MT27","MT20","MT27",5645.67097744774
"MT33_MT27","MT33","MT27",5978.73861101775
"MT34_MT27","MT34","MT27",5136.58895102784
"MT44_MT27","MT44","MT27",5258.20354238381
"MT45_MT27","MT45","MT27",6271.59818727243
"MT47_MT27","MT47","MT27",3771.39551269757
"MT50_MT27","MT50","MT27",3701.32002193028
"MT60_MT27","MT60","MT27",6624.37506500789
"MT62_MT27","MT62","MT27",5193.36667120828
"MT65_MT27","MT65","MT27",5253.80971681031
"MT66_MT27","MT66","MT27",1841.38310418261
"MT69_MT27","MT69","MT27",3021.34825924492
"MT12_MT3","MT12","MT3",5711.99030042493
"MT22_MT3","MT22","MT3",3608.86183577052
"MT30_MT3","MT30","MT3",4326.20248436022
"MT43_MT3","MT43","MT3",5186.77865346853
"MT46_MT3","MT46","MT3",4841.72581251554
"MT49_MT3","MT49","MT3",6168.25628994775
"MT12_MT30","MT12","MT30",4499.86450297292
"MT22_MT30","MT22","MT30",2364.72668670931
"MT3_MT30","MT3","MT30",4326.20248436022
"MT43_MT30","MT43","MT30",3276.66347490391
"MT49_MT30","MT49","MT30",3393.47960160776
"MT1_MT31","MT1","MT31",4863.20984252701
"MT19_MT31","MT19","MT31",6272.29334267288
"MT32_MT31","MT32","MT31",4516.15558634852
"MT35_MT31","MT35","MT31",5504.15148474812
"MT36_MT31","MT36","MT31",6442.72485242054
"MT48_MT31","MT48","MT31",1283.12177787047
"MT5_MT31","MT5","MT31",1828.28791495142
"MT54_MT31","MT54","MT31",3112.50445140983
"MT56_MT31","MT56","MT31",4364.23961176778
"MT6_MT31","MT6","MT31",5150.98089897595
"MT64_MT31","MT64","MT31",3514.11697225736
"MT19_MT32","MT19","MT32",2428.88024182527
"MT31_MT32","MT31","MT32",4516.15558634852
"MT35_MT32","MT35","MT32",1659.41493837565
"MT48_MT32","MT48","MT32",3907.09680132402
"MT5_MT32","MT5","MT32",5658.2382909431
"MT54_MT32","MT54","MT32",2175.48198855143
"MT56_MT32","MT56","MT32",2809.14988370377
"MT6_MT32","MT6","MT32",6877.35917620476
"MT64_MT32","MT64","MT32",6123.81981045574
"MT1_MT33","MT1","MT33",3877.04216174695
"MT27_MT33","MT27","MT33",5978.73861101775
"MT36_MT33","MT36","MT33",2249.95058292783
"MT38_MT33","MT38","MT33",4234.02046158102
"MT39_MT33","MT39","MT33",4335.94095085163
"MT44_MT33","MT44","MT33",3675.62805886097
"MT45_MT33","MT45","MT33",2804.10352565309
"MT47_MT33","MT47","MT33",4733.16642196271
"MT50_MT33","MT50","MT33",6930.29052623642
"MT6_MT33","MT6","MT33",4079.32362719072
"MT60_MT33","MT60","MT33",2550.92143031801
"MT62_MT33","MT62","MT33",5917.80811506845
"MT64_MT33","MT64","MT33",5296.79919832423
"MT66_MT33","MT66","MT33",5757.06857068769
"MT20_MT34","MT20","MT34",2893.79981818365
"MT27_MT34","MT27","MT34",5136.58895102784
"MT50_MT34","MT50","MT34",6407.3795194794
"MT65_MT34","MT65","MT34",5037.49369461939
"MT66_MT34","MT66","MT34",5386.14585082586
"MT69_MT34","MT69","MT34",3305.40297304524
"MT72_MT34","MT72","MT34",6249.16765847854
"MT75_MT34","MT75","MT34",5238.75228911085
"MT19_MT35","MT19","MT35",1443.14761955684
"MT25_MT35","MT25","MT35",6892.77206974153
"MT31_MT35","MT31","MT35",5504.15148474812
"MT32_MT35","MT32","MT35",1659.41493837565
"MT48_MT35","MT48","MT35",4895.02594883046
"MT5_MT35","MT5","MT35",6645.44291012632
"MT54_MT35","MT54","MT35",3137.27214495652
"MT56_MT35","MT56","MT35",3320.75660715053
"MT64_MT35","MT64","MT35",7004.89971153865
"MT1_MT36","MT1","MT36",2337.02477810688
"MT31_MT36","MT31","MT36",6442.72485242054
"MT33_MT36","MT33","MT36",2249.95058292783
"MT38_MT36","MT38","MT36",3921.82623948609
"MT39_MT36","MT39","MT36",4353.84014781998
"MT44_MT36","MT44","MT36",4423.30789196817
"MT45_MT36","MT45","MT36",3538.25783227815
"MT47_MT36","MT47","MT36",5915.80648189457
"MT48_MT36","MT48","MT36",6683.04381479396
"MT5_MT36","MT5","MT36",6262.38663351901
"MT56_MT36","MT56","MT36",7043.33151938896
"MT6_MT36","MT6","MT36",2786.11963028973
"MT60_MT36","MT60","MT36",2554.63469314433
"MT62_MT36","MT62","MT36",6739.58629772451
"MT64_MT36","MT64","MT36",3815.34956916407
"MT66_MT36","MT66","MT36",7024.24479263143
"MT1_MT38","MT1","MT38",4491.51408830456
"MT12_MT38","MT12","MT38",5564.82564789919
"MT33_MT38","MT33","MT38",4234.02046158102
"MT36_MT38","MT36","MT38",3921.82623948609
"MT44_MT38","MT44","MT38",2878.3390499638
"MT45_MT38","MT45","MT38",6234.41590684557
"MT49_MT38","MT49","MT38",5624.93854976049
"MT56_MT38","MT56","MT38",6082.95690628289
"MT6_MT38","MT6","MT38",3180.49486109414
"MT60_MT38","MT60","MT38",2506.1860318095
"MT62_MT38","MT62","MT38",4477.99741738715
"MT64_MT38","MT64","MT38",5107.94694346814
"MT66_MT38","MT66","MT38",6437.41228243172
"MT1_MT39","MT1","MT39",5153.73428475276
"MT33_MT39","MT33","MT39",4335.94095085163
"MT36_MT39","MT36","MT39",4353.84014781998
"MT44_MT39","MT44","MT39",7177.08234337405
"MT45_MT39","MT45","MT39",2622.14807826971
"MT47_MT39","MT47","MT39",5156.23230476371
"MT6_MT39","MT6","MT39",6329.36165936051
"MT60_MT39","MT60","MT39",5908.21263003825
"MT64_MT39","MT64","MT39",6466.5669049278
"MT12_MT43","MT12","MT43",7055.64302147956
