"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
30001000200,"MT39","Montana",30001,7,9360,5542.686,45.25258,-112.6924,4.544797507,"Blacktail Pharmacy","125 E Glendale St",45.216158,-112.636708,45.2199865,-112.632418,5958.1143522308,9360,5542.686,7,7,1.6887119349716,969.933964384378
30001000300,"MT39","Montana",30001,7,9360,5542.686,45.21608,-112.6226,5.594845504,"SAFEWAY PHARMACY #1581","570 N MONTANA ST",45.223815,-112.628128,45.2199865,-112.632418,964.005636423905,9360,5542.686,7,7,1.6887119349716,756.78540439374
30003000100,"MT72","Montana",30003,6,13290,4997.815,45.84309,-107.5348,5.722858682,"Hardin Family Pharmacy","901 N Center Ave",45.738364,-107.604842,45.7352995,-107.6055865,12863.4363660877,13290,4997.815,6,6,2.65916205381752,1221.83359895755
30007000100,"MT44","Montana",30007,9,5755,1192.359,46.33747,-111.5199,2.649467118,"Townsend Drug","308 BROADWAY",46.320077,-111.518191,46.320077,-111.518191,1940.63137346496,5755,1192.359,9,9,4.82656649549339,883.690706426509
30007000200,"MT44","Montana",30007,9,5755,1192.359,46.32985,-111.4979,4.536057513,"Townsend Drug","308 BROADWAY",46.320077,-111.518191,46.320077,-111.518191,1901.75963914562,5755,1192.359,9,9,4.82656649549339,882.031660805759
30009000300,"MT20","Montana",30009,3,10466,2047.706,45.21208,-109.246,2.907188439,"RED LODGE DRUG","211 NORTH BROADWAY",45.189355,-109.247363,45.189355,-109.247363,2531.99357270912,10466,2047.706,3,3,5.11108528275055,652.466734466009
30009000400,"MT20","Montana",30009,3,10466,2047.706,45.20383,-109.4236,2.473368414,"RED LODGE DRUG","211 NORTH BROADWAY",45.189355,-109.247363,45.189355,-109.247363,13918.3597710726,10466,2047.706,3,3,5.11108528275055,1138.43684381216
30013000100,"MT12","Montana",30013,3,81816,2698.173,47.52226,-111.2269,4.346583088,"SNYDER DRUGS","2515 6TH AVE NO",47.512322,-111.262941,47.5039055294118,-111.284715470588,2926.75968594654,81816,2698.173,3,3,30.322740610035,667.249761258018
30013000200,"MT12","Montana",30013,3,81816,2698.173,47.51331,-111.2528,5.723618317,"SNYDER DRUGS","2515 6TH AVE NO",47.512322,-111.262941,47.5039055294118,-111.284715470588,770.372909009127,81816,2698.173,3,3,30.322740610035,575.215173618329
30013000300,"MT12","Montana",30013,3,81816,2698.173,47.5123,-111.2737,6.563643478,"SNYDER DRUGS","2515 6TH AVE NO",47.512322,-111.262941,47.5039055294118,-111.284715470588,808.959158571461,81816,2698.173,3,3,30.322740610035,576.86203474965
