"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P34160","BREHM DRUG","608 HOWARD AVE","SAINT PAUL","NE",68873,41.213697,-98.457186,"NE10",41.213697,-98.457186,0,"howard",31093,6385,569.338,3
"P34464","U SAVE PHARMACY GRETNA","611 N Highway 6","Gretna","NE",68028,41.144197,-96.239547,"NE100",41.144197,-96.239547,0,"sarpy",31153,175188,238.154,2
"P34477","Hy-Vee Pharmacy (1527)","16418 Westside Dr","Plattsmouth","NE",68048,41.011949,-95.910197,"NE101",41.011949,-95.910197,0,"cass",31025,25513,557.354,2
"P34480","Arbor State Pharmacy","203 S 7th St Ste B","Wymore","NE",684662101,40.120321,-96.661866,"NE102",40.120321,-96.661866,0,"gage",31067,21632,851.462,6
"P34483","The Apothecary Shop","958 Wellness Way","PENDER","NE",680474509,42.105532,-96.710229,"NE103",42.105532,-96.710229,0,"thurston",31173,7055,393.584,8
"P34488","Dave's Pharmacy","508 Niobrara Ave","HEMINGFORD","NE",69348,42.321408,-103.072922,"NE104",42.321408,-103.072922,0,"box butte",31013,11200,1075.292,7
"P34489","Kex Rx Pharmacy & Home Care","120 E 18TH ST","FALLS CITY","NE",68355,40.062991,-95.60199,"NE105",40.062991,-95.60199,0,"richardson",31147,8045,551.84,7
"P34492","Tooley's Osceola Pharmacy","415 Hawkeye St","Osceola","NE",68651,41.179426,-97.547167,"NE106",41.179426,-97.547167,0,"polk",31143,5244,438.345,9
"P34500","TEKAMAH DRUG COMPANY","412 S 13th St","Tekamah","NE",680610009,41.774457,-96.221089,"NE107",41.774457,-96.221089,0,"burt",31021,6546,491.586,8
"P34506","Wisner Apothecary","1024 Ave E","Wisner","NE",687912248,41.987981,-96.915,"NE108",41.987981,-96.915,0,"cuming",31039,9039,570.525,7
"P34161","ADAMS DRUG COMPANY INC","513 BROADWAY","IMPERIAL","NE",690330369,40.516325,-101.643533,"NE11",40.516325,-101.643533,0,"chase",31029,3803,894.419,9
"P34512","Lambert's Family Pharmacy","814 1st St","Gibbon","NE",688406206,40.747721,-98.845977,"NE111",40.747721,-98.845977,0,"buffalo",31019,48834,968.22,4
"P34519","Tilden Pharmacy","103 E 2ND STREET Pob 190","TILDEN","NE",68781,42.046735,-97.833697,"NE113",42.046735,-97.833697,0,"madison",31119,35062,572.624,5
"P34521","Franklin Drug","1406 Q St","Franklin","NE",689391073,40.101677,-98.954818,"NE114",40.101677,-98.954818,0,"franklin",31061,3019,575.816,9
"P34522","Curtis Discount Pharmacy","115 Center Ave","Curtis","NE",69025,40.62988,-100.515682,"NE115",40.62988,-100.515682,0,"frontier",31063,2624,974.631,9
"P34530","Emerson Apothecary","1003 S Main St Ste 2","Emerson","NE",687333606,42.278217,-96.726225,"NE116",42.278217,-96.726225,0,"dixon",31051,5765,476.11,3
"P34531","Pierce Pharmacy","215 E. Main Street, Ste. B","Pierce","NE",687671314,42.199201,-97.525378,"NE117",42.199201,-97.525378,0,"pierce",31139,7175,573.248,9
"P34539","Our Town Pharmacy","733 2nd St","Chappell","NE",691296876,41.092426,-102.471262,"NE119",41.092426,-102.471262,0,"deuel",31049,1901,439.851,9
"P34253","WALGREENS #12115","2320 23RD AVE","COLUMBUS","NE",686013304,41.438737,-97.355521,"NE12",41.44032925,-97.3588095,326.69310281496,"platte",31141,32875,674.1,5
"P34163","SCRIBNER DRUGSTORE","416 MAIN ST","SCRIBNER","NE",680573196,41.665944,-96.665459,"NE13",41.665944,-96.665459,0,"dodge",31053,36576,529.064,4
"P34164","SCHUYLER PHARMACY","122 W. 16TH STREET","SCHUYLER","NE",68661,41.452758,-97.062186,"NE14",41.452758,-97.062186,0,"colfax",31037,10616,411.646,7
"P34166","Wells Drug","113 S 4TH ST","ALBION","NE",686201215,41.692468,-98.000762,"NE15",41.692363,-98.0011655,35.5193130039963,"boone",31011,5357,686.554,9
"P34167","HAYS PHARMACY","706 W MAIN","ALMA","NE",68920,40.097521,-99.362201,"NE16",40.097521,-99.362201,0,"harlan",31083,3469,553.466,9
"P34168","West Holt Pharmacy","313 W PEARL","ATKINSON","NE",68713,42.529212,-98.981618,"NE17",42.529212,-98.981618,0,"holt",31089,10293,2412.396,7
"P34169","RONS PHARMACY","537 WEST GAGE ST","BLUE HILL","NE",689300307,40.332297,-98.449591,"NE18",40.332297,-98.449591,0,"webster",31181,3597,574.914,9
"P34392","VARNEY HEALTH MART","744 SOUTH E ST","BROKEN BOW","NE",688220070,41.401477,-99.639082,"NE19",41.4012685,-99.6390685,23.2374715324201,"custer",31041,10836,2575.594,7
"P34498","U Save Pharmacy Cozad","312 W 8th St","Cozad","NE",691301772,40.859697,-99.981897,"NE21",40.8595495,-99.9833775,125.723911209448,"dawson",31047,23925,1013.089,7
"P34175","KORBEL DRUG","405 5TH ST","FAIRBURY","NE",683522598,40.13633,-97.179962,"NE23",40.144788,-97.1782646666667,952.555399713345,"jefferson",31095,7276,570.172,7
"P34176","JOHNSON PHARMACY","151 MAPLE ST","FRIEND","NE",683591030,40.653944,-97.286763,"NE24",40.653944,-97.286763,0,"saline",31151,14325,574.061,6
"P34177","Stockmen's Drug","116 N MAIN ST","GORDON","NE",693431501,42.803962,-102.203656,"NE25",42.803962,-102.203656,0,"sheridan",31161,5241,2440.96,9
"P34178","Grant Pharmacy","218 CENTRAL AVE","GRANT","NE",69140,40.841279,-101.725509,"NE26",40.841279,-101.725509,0,"perkins",31135,2904,883.335,9
"P34179","Steffen Drug","214 NORTH BROADWAY","HARTINGTON","NE",687390248,42.622107,-97.265052,"NE27",42.622107,-97.265052,0,"cedar",31027,8561,740.243,9
"P34183","Henderson Pharmacy","1060 N MAIN ST","HENDERSON","NE",68371,40.780682,-97.812124,"NE28",40.780682,-97.812124,0,"york",31185,13832,572.51,6
"P34184","HOLDREGE PHARMACY","516 W 14TH ST Suite 500","HOLDREGE","NE",68949,40.448923,-99.385757,"NE29",40.4485885,-99.3834465,199.239068872238,"phelps",31137,9163,539.789,7
"P34181","BERTS PHARMACY","1021 W 14th St","HASTINGS","NE",689013046,40.600442,-98.394573,"NE3",40.596715,-98.3896926666667,585.055906358614,"adams",31001,31564,563.274,4
"P34427","Family Fresh Market Pharmacy 3765","3920 2nd Avenue","Kearney","NE",688472485,40.714061,-99.084127,"NE30",40.7129459,-99.0846101,130.653999797053,"buffalo",31019,48834,968.22,4
"P34186","Bemis Drug LLC","129 S Chestnut St","KIMBALL","NE",691451208,41.237294,-103.662703,"NE31",41.237294,-103.662703,0,"kimball",31105,3688,951.846,8
"P34189","LT PEDLEY DRUG","419 N COLORADO","MINDEN","NE",68959,40.498846,-98.949511,"NE32",40.498846,-98.949511,0,"kearney",31099,6547,516.243,7
"P34190","MOSER'S U SAVE PHARMACY","1821 S 11th St","NEBRASKA CITY","NE",68410,40.659767,-95.858568,"NE33",40.6633943333333,-95.8584096666667,404.014195025534,"otoe",31131,15875,615.665,6
"P34428","Hilltop Drugs Etc","108 W 11th St","Neligh","NE",68756,42.135423,-98.029767,"NE34",42.1322115,-98.0300335,358.178834986779,"antelope",31003,6406,857.156,9
"P34192","O'Neill Family Pharmacy","317 E DOUGLAS STREET","ONEILL","NE",687631829,42.457325,-98.648633,"NE35",42.457325,-98.648633,0,"holt",31089,10293,2412.396,7
"P34193","CORNER DRUG","301 N OAKLAND AVENUE","OAKLAND","NE",68045,41.835499,-96.466723,"NE36",41.835499,-96.466723,0,"burt",31021,6546,491.586,8
"P34194","U SAVE PHARMACY OGALLALA","23 N SPRUCE ST","OGALLALA","NE",69153,41.12409,-101.718729,"NE37",41.122307,-101.719243666667,203.120643109331,"keith",31101,8129,1061.6,7
"P34240","GOOD LIFE PHARMACY","125 S 16TH ST","ORD","NE",68862,41.602368,-98.929453,"NE38",41.602164,-98.9283225,96.8059063194675,"valley",31175,4252,568.111,9
"P34198","PETES PHARMACY","643 G ST","PAWNEE CITY","NE",684200072,40.109116,-96.153343,"NE39",40.109116,-96.153343,0,"pawnee",31133,2704,431.075,9
"P34199","Plainview Family Pharmacy","103 S MAIN","PLAINVIEW","NE",687690217,42.350468,-97.79319,"NE40",42.350468,-97.79319,0,"pierce",31139,7175,573.248,9
"P34200","KELLER PHARMACY","101 W 3RD ST","PONCA","NE",687700365,42.564713,-96.718597,"NE41",42.564713,-96.718597,0,"dixon",31051,5765,476.11,3
"P34201","SVANDA PHARMACY","314 GRAND AVE","RAVENNA","NE",688691393,41.025844,-98.913143,"NE42",41.025844,-98.913143,0,"buffalo",31019,48834,968.22,4
"P34202","Village Pharmacy","317 N WEBSTER ST","RED CLOUD","NE",689702549,40.088227,-98.519713,"NE43",40.088227,-98.519713,0,"webster",31181,3597,574.914,9
"P34243","PAC N SAVE DISCOUNT PHARMACY","1519 W HWY 34 STE 1","SEWARD","NE",68434,40.903681,-97.109401,"NE44",40.89941175,-97.099713,943.566794344031,"seward",31159,17045,571.43,2
