"ID","Origin","Destination","Drive_Time"
"C768_NE100","C768","NE100",2619.30385082957
"C769_NE100","C769","NE100",987.615554974798
"C770_NE100","C770","NE100",1510.56990818166
"C768_NE101","C768","NE101",3323.61202878363
"C769_NE101","C769","NE101",1493.69838265617
"C770_NE101","C770","NE101",1591.90322779921
"C768_NE102","C768","NE102",3935.71089183354
"C769_NE102","C769","NE102",6104.23390425536
"C770_NE102","C770","NE102",6536.57364798678
"C768_NE103","C768","NE103",6870.53159279178
"C769_NE103","C769","NE103",5421.10491263518
"C770_NE103","C770","NE103",5403.902795707
"C768_NE105","C768","NE105",5914.19132905409
"C769_NE105","C769","NE105",6295.23285292309
"C770_NE105","C770","NE105",6445.7819756776
"C768_NE106","C768","NE106",4398.10214457688
"C769_NE106","C769","NE106",5883.18604284919
"C770_NE106","C770","NE106",6337.39780301946
"C768_NE107","C768","NE107",5555.79457842929
"C769_NE107","C769","NE107",3350.78659374489
"C770_NE107","C770","NE107",3198.63943204824
"C768_NE108","C768","NE108",6340.35503056756
"C769_NE108","C769","NE108",5305.81690290099
"C770_NE108","C770","NE108",5388.35430766994
"C769_NE116","C769","NE116",5970.2574532401
"C770_NE116","C770","NE116",5918.03518684162
"C768_NE12","C768","NE12",4477.28484539094
"C769_NE12","C769","NE12",5146.54442590056
"C770_NE12","C770","NE12",5522.81875112496
"C768_NE13","C768","NE13",4608.45030311263
"C769_NE13","C769","NE13",3442.61278999996
"C770_NE13","C770","NE13",3585.17489958431
"C768_NE14","C768","NE14",4047.94657402709
"C769_NE14","C769","NE14",4243.1987799604
"C770_NE14","C770","NE14",4593.25402326581
"C768_NE15","C768","NE15",7126.72163852459
"C768_NE23","C768","NE23",4411.72587715966
"C769_NE23","C769","NE23",7015.56583130529
"C768_NE24","C768","NE24",3024.42628522214
"C769_NE24","C769","NE24",5581.84433804132
"C770_NE24","C770","NE24",6105.06796732612
"C768_NE28","C768","NE28",4791.10617444316
"C769_NE28","C769","NE28",7044.62766747683
"C768_NE3","C768","NE3",6887.36120630443
"C768_NE33","C768","NE33",3617.81573622798
"C769_NE33","C769","NE33",3269.00949348427
"C770_NE33","C770","NE33",3445.65347931182
"C768_NE36","C768","NE36",5633.46886673653
"C769_NE36","C769","NE36",3890.21599211433
"C770_NE36","C770","NE36",3859.2826323354
"C768_NE39","C768","NE39",4584.99709314474
"C769_NE39","C769","NE39",5892.28139464132
"C770_NE39","C770","NE39",6207.85562848683
"C770_NE41","C770","NE41",7124.34011379711
"C768_NE44","C768","NE44",2144.28521519219
"C769_NE44","C769","NE44",4300.98731963276
"C770_NE44","C770","NE44",4815.86725692168
"C768_NE46","C768","NE46",7119.62280721997
"C768_NE47","C768","NE47",2497.91331131906
"C769_NE47","C769","NE47",3116.13823490319
"C770_NE47","C770","NE47",3477.85112862999
"C768_NE48","C768","NE48",3426.71922602911
"C769_NE48","C769","NE48",4634.02461893707
"C770_NE48","C770","NE48",4974.58026651106
"C768_NE49","C768","NE49",2363.66689219441
"C769_NE49","C769","NE49",2261.59900736234
"C770_NE49","C770","NE49",2719.27781103059
"C768_NE5","C768","NE5",3101.7814837286
"C769_NE5","C769","NE5",678.833516406027
"C770_NE5","C770","NE5",1065.33238275694
"C769_NE50","C769","NE50",6406.59518771046
"C770_NE50","C770","NE50",6440.83340320727
"C768_NE51","C768","NE51",2558.42659340881
"C769_NE51","C769","NE51",5203.62644345699
"C770_NE51","C770","NE51",5710.43179592034
"C768_NE53","C768","NE53",2808.37963875693
"C769_NE53","C769","NE53",780.471197547705
"C770_NE53","C770","NE53",1295.13653564816
"C768_NE56","C768","NE56",5395.51981984195
"C768_NE58","C768","NE58",5525.95480430314
"C768_NE59","C768","NE59",4383.94097864817
"C769_NE59","C769","NE59",6950.2939471109
"C768_NE62","C768","NE62",3260.18202811489
"C769_NE62","C769","NE62",5595.01400952892
"C770_NE62","C770","NE62",6055.18796058134
"C768_NE63","C768","NE63",2988.67548188517
"C769_NE63","C769","NE63",1409.04412658544
"C770_NE63","C770","NE63",1744.23694496562
"C768_NE64","C768","NE64",2409.68541417244
"C769_NE64","C769","NE64",4402.60045311187
"C770_NE64","C770","NE64",4843.64638974042
"C768_NE65","C768","NE65",7004.62446156668
"C769_NE65","C769","NE65",6653.08530636867
"C770_NE65","C770","NE65",6833.59486017574
"C768_NE66","C768","NE66",4003.09657737481
"C769_NE66","C769","NE66",6181.13192854057
"C770_NE66","C770","NE66",6686.97984678677
"C768_NE68","C768","NE68",3330.09723744752
"C769_NE68","C769","NE68",4263.97518834417
"C770_NE68","C770","NE68",4699.28480927816
"C768_NE69","C768","NE69",6095.92369644629
"C768_NE70","C768","NE70",1966.67399173213
"C769_NE70","C769","NE70",1655.3651188381
