"ID","Origin","Destination","Drive_Time"
"NE106_NE10","NE106","NE10",4057.65326840446
"NE111_NE10","NE111","NE10",3199.90889285524
"NE113_NE10","NE113","NE10",5160.34295136885
"NE114_NE10","NE114","NE10",6379.79527741532
"NE117_NE10","NE117","NE10",6531.40196749593
"NE12_NE10","NE12","NE10",4699.73287494484
"NE14_NE10","NE14","NE10",5818.26345677995
"NE15_NE10","NE15","NE10",3596.01637788792
"NE16_NE10","NE16","NE10",7026.27721266514
"NE18_NE10","NE18","NE10",4988.06385528851
"NE19_NE10","NE19","NE10",5026.24249060887
"NE21_NE10","NE21","NE10",6430.8743194644
"NE24_NE10","NE24","NE10",5642.96293945306
"NE28_NE10","NE28","NE10",3766.67867472137
"NE29_NE10","NE29","NE10",5648.4325548214
"NE3_NE10","NE3","NE10",3505.27566340679
"NE30_NE10","NE30","NE10",3853.61337713994
"NE32_NE10","NE32","NE10",4544.22954045288
"NE34_NE10","NE34","NE10",5434.7960066863
"NE35_NE10","NE35","NE10",6662.21467055255
"NE38_NE10","NE38","NE10",3298.75595502439
"NE40_NE10","NE40","NE10",6691.18703753489
"NE42_NE10","NE42","NE10",2443.49329981301
"NE43_NE10","NE43","NE10",6152.32699884133
"NE44_NE10","NE44","NE10",5590.43649027639
"NE46_NE10","NE46","NE10",6642.94757721429
"NE49_NE10","NE49","NE10",7114.26341757485
"NE51_NE10","NE51","NE10",7073.01592779468
"NE54_NE10","NE54","NE10",6973.38794006814
"NE55_NE10","NE55","NE10",5761.90422484328
"NE56_NE10","NE56","NE10",2808.64240430327
"NE58_NE10","NE58","NE10",2251.27283075225
"NE59_NE10","NE59","NE10",5245.68035974014
"NE65_NE10","NE65","NE10",5963.70655955728
"NE66_NE10","NE66","NE10",4202.34992776925
"NE68_NE10","NE68","NE10",5419.63464212618
"NE69_NE10","NE69","NE10",2638.95080642702
"NE71_NE10","NE71","NE10",7036.61050279724
"NE74_NE10","NE74","NE10",6759.32451448212
"NE76_NE10","NE76","NE10",6674.46022090981
"NE77_NE10","NE77","NE10",3914.40030815486
"NE78_NE10","NE78","NE10",4686.40700465942
"NE8_NE10","NE8","NE10",1986.53232494606
"NE81_NE10","NE81","NE10",2599.73527643566
"NE85_NE10","NE85","NE10",5233.70874723493
"NE87_NE10","NE87","NE10",5996.96376663961
"NE93_NE10","NE93","NE10",4349.21932566429
"NE95_NE10","NE95","NE10",3578.86787647804
"NE96_NE10","NE96","NE10",5962.31966243427
"NE101_NE100","NE101","NE100",1778.2764399679
"NE102_NE100","NE102","NE100",5710.06422336999
"NE103_NE100","NE103","NE100",5561.93228586921
"NE105_NE100","NE105","NE100",6283.70950877464
"NE106_NE100","NE106","NE100",5421.16140013809
"NE107_NE100","NE107","NE100",3693.41103553455
"NE108_NE100","NE108","NE100",5328.42487447085
"NE116_NE100","NE116","NE100",6142.13103616857
"NE12_NE100","NE12","NE100",4792.44215417632
"NE13_NE100","NE13","NE100",3433.90982658301
"NE14_NE100","NE14","NE100",3937.46165131925
"NE23_NE100","NE23","NE100",6522.65628147967
"NE24_NE100","NE24","NE100",5036.37486156099
"NE28_NE100","NE28","NE100",6513.11733669233
"NE33_NE100","NE33","NE100",3290.26531102841
"NE36_NE100","NE36","NE100",4080.75110686346
"NE39_NE100","NE39","NE100",5668.59486393749
"NE44_NE100","NE44","NE100",3762.51402199256
"NE47_NE100","NE47","NE100",2876.38897038136
"NE48_NE100","NE48","NE100",4390.29021519415
"NE49_NE100","NE49","NE100",1832.75480559275
"NE5_NE100","NE5","NE100",936.805302837128
"NE50_NE100","NE50","NE100",6472.84142054473
"NE51_NE100","NE51","NE100",4693.28121883705
"NE53_NE100","NE53","NE100",706.191993690154
"NE56_NE100","NE56","NE100",6980.25304838826
"NE58_NE100","NE58","NE100",6777.74078712044
"NE59_NE100","NE59","NE100",6404.59426020238
"NE62_NE100","NE62","NE100",5160.57185178377
"NE63_NE100","NE63","NE100",1248.46519758038
"NE64_NE100","NE64","NE100",4006.8202050664
"NE65_NE100","NE65","NE100",6537.90033454904
"NE66_NE100","NE66","NE100",5652.23454349624
"NE68_NE100","NE68","NE100",3836.64440503476
"NE69_NE100","NE69","NE100",6962.90027605876
"NE70_NE100","NE70","NE100",1124.87299340328
"NE72_NE100","NE72","NE100",6814.70386146609
"NE73_NE100","NE73","NE100",4499.10092313055
"NE74_NE100","NE74","NE100",4084.82819343468
"NE77_NE100","NE77","NE100",5600.22585554972
"NE79_NE100","NE79","NE100",4431.15741425963
"NE85_NE100","NE85","NE100",5983.13578261294
"NE86_NE100","NE86","NE100",2110.90480097039
"NE87_NE100","NE87","NE100",3844.96648129844
"NE9_NE100","NE9","NE100",2197.69240639404
"NE90_NE100","NE90","NE100",1481.95477333511
"NE92_NE100","NE92","NE100",1069.69293577413
"NE93_NE100","NE93","NE100",7051.20139391581
"NE94_NE100","NE94","NE100",2377.14008255537
"NE95_NE100","NE95","NE100",6215.34802057867
"NE100_NE101","NE100","NE101",1778.2764399679
"NE102_NE101","NE102","NE101",5699.70860059372
"NE103_NE101","NE103","NE101",6677.98449432251
"NE105_NE101","NE105","NE101",5355.94249180851
"NE106_NE101","NE106","NE101",6712.35694721471
"NE107_NE101","NE107","NE101",4543.20283392
"NE108_NE101","NE108","NE101",6567.52271826266
"NE12_NE101","NE12","NE101",6174.75909940082
"NE13_NE101","NE13","NE101",4694.44013323769
"NE14_NE101","NE14","NE101",5330.25884245062
"NE23_NE101","NE23","NE101",6900.95769191134
"NE24_NE101","NE24","NE101",5901.84437886216
"NE33_NE101","NE33","NE101",2352.80762422791
"NE36_NE101","NE36","NE101",5141.17554018006
"NE39_NE101","NE39","NE101",5175.83146263816
"NE44_NE101","NE44","NE101",4831.68476847724
"NE47_NE101","NE47","NE101",2562.73679037888
"NE48_NE101","NE48","NE101",3983.57224270156
"NE49_NE101","NE49","NE101",3203.12402882246
"NE5_NE101","NE5","NE101",1794.82977459514
"NE51_NE101","NE51","NE101",5215.77087104931
"NE53_NE101","NE53","NE101",1549.95641988647
"NE62_NE101","NE62","NE101",5311.90045768727
"NE63_NE101","NE63","NE101",2476.53010605834
"NE64_NE101","NE64","NE101",4065.42959622109
"NE66_NE101","NE66","NE101",6752.31450944942
"NE68_NE101","NE68","NE101",5181.47696666308
"NE70_NE101","NE70","NE101",2149.74054855008
"NE73_NE101","NE73","NE101",3674.79135835674
"NE74_NE101","NE74","NE101",4770.812349546
"NE77_NE101","NE77","NE101",6858.4591810162
"NE79_NE101","NE79","NE101",5632.45824318408
"NE86_NE101","NE86","NE101",2632.42983295728
"NE87_NE101","NE87","NE101",4751.11964969144
"NE9_NE101","NE9","NE101",3482.53933061964
"NE90_NE101","NE90","NE101",2296.93119978901
"NE92_NE101","NE92","NE101",2120.70736694419
"NE94_NE101","NE94","NE101",3145.27162545613
"NE100_NE102","NE100","NE102",5710.06422336999
"NE101_NE102","NE101","NE102",5699.70860059372
"NE105_NE102","NE105","NE102",4575.59848388888
"NE106_NE102","NE106","NE102",6757.64401592924
"NE23_NE102","NE23","NE102",2597.32816782639
"NE24_NE102","NE24","NE102",4068.25077999121
"NE28_NE102","NE28","NE102",5880.32056461763
"NE33_NE102","NE33","NE102",4546.30591127978
"NE39_NE102","NE39","NE102",2647.63256509418
"NE44_NE102","NE44","NE102",4728.324963766
"NE46_NE102","NE46","NE102",5945.82598709199
"NE47_NE102","NE47","NE102",3809.61922950868
"NE48_NE102","NE48","NE102",2815.1292551129
"NE49_NE102","NE49","NE102",5851.52609412261
"NE5_NE102","NE5","NE102",6191.98852096736
"NE51_NE102","NE51","NE102",2702.40647730327
"NE53_NE102","NE53","NE102",5792.96093080645
"NE56_NE102","NE56","NE102",6728.15101846465
"NE59_NE102","NE59","NE102",4665.36826889456
"NE62_NE102","NE62","NE102",1422.28173054715
"NE63_NE102","NE63","NE102",6312.21871470019
