"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
31001965400,"NE3","Nebraska",31001,4,31564,563.274,40.63378,-98.52589,4.37213444,"BERTS PHARMACY","1021 W 14th St",40.600442,-98.394573,40.596715,-98.3896926666667,11700.447938586,31564,563.274,4,4,56.0366713180441,1082.34403353776
31001965500,"NE3","Nebraska",31001,4,31564,563.274,40.61573,-98.39771,3.980834798,"KEITHS MEDICAL PARK PHARMACY","2115 N KANSAS AVE",40.607023,-98.386713,40.596715,-98.3896926666667,1342.79971678322,31564,563.274,4,4,56.0366713180441,640.27960743122
31001965600,"NE3","Nebraska",31001,4,31564,563.274,40.60437,-98.35705,5.376928997,"CROSIER PARK PHARMACY","405 EAST 14TH STREET",40.601006,-98.376964,40.596715,-98.3896926666667,1724.2537652768,31564,563.274,4,4,56.0366713180441,656.560066220927
31001965700,"NE3","Nebraska",31001,4,31564,563.274,40.58874,-98.38925,1.455084095,"KEITHS DRIVE IN DRUG","500 N HASTINGS",40.588136,-98.389693,40.596715,-98.3896926666667,76.9628610655009,31564,563.274,4,4,56.0366713180441,586.253690429188
31001965800,"NE3","Nebraska",31001,4,31564,563.274,40.58645,-98.40831,2.108888773,"ALLENS DISCOUNT PHARMACY","1115 W 2ND ST",40.584686,-98.396156,40.596715,-98.3896926666667,1046.09428625098,31564,563.274,4,4,56.0366713180441,627.616219656104
31001965900,"NE3","Nebraska",31001,4,31564,563.274,40.60067,-98.43655,4.396713563,"BERTS PHARMACY","1021 W 14th St",40.600442,-98.394573,40.596715,-98.3896926666667,3548.02844255328,31564,563.274,4,4,56.0366713180441,734.398769447087
31001966000,"NE3","Nebraska",31001,4,31564,563.274,40.55996,-98.40978,4.485198407,"ALLENS DISCOUNT PHARMACY","1115 W 2ND ST",40.584686,-98.396156,40.596715,-98.3896926666667,2983.83680774507,31564,563.274,4,4,56.0366713180441,710.319070473472
31001966100,"NE3","Nebraska",31001,4,31564,563.274,40.56457,-98.34615,2.446114344,"BERTS PHARMACY","700 W 2ND ST",40.585359,-98.390132,40.596715,-98.3896926666667,4380.10017182827,31564,563.274,4,4,56.0366713180441,769.911590852543
31001966200,"NE18","Nebraska",31001,4,31564,563.274,40.45916,-98.50613,2.410720406,"RONS PHARMACY","537 WEST GAGE ST",40.332297,-98.449591,40.332297,-98.449591,14913.6236972051,3597,574.914,9,9,56.0366713180441,1433.18237491563
31001966200,"NE3","Nebraska",31001,4,31564,563.274,40.45916,-98.50613,2.410720406,"ALLENS DISCOUNT PHARMACY","1115 W 2ND ST",40.584686,-98.396156,40.596715,-98.3896926666667,16788.7055458227,31564,563.274,4,4,56.0366713180441,1299.51086821463
31003979700,"NE34","Nebraska",31003,9,6406,857.156,42.13008,-98.02251,1.549478471,"WANEK PHARMACY","410 MAIN STREET",42.129,-98.0303,42.1322115,-98.0300335,654.266770342634,6406,857.156,9,9,7.47355207220156,828.571797636948
31003979800,"NE34","Nebraska",31003,9,6406,857.156,42.03824,-98.09443,2.607430539,"WANEK PHARMACY","410 MAIN STREET",42.129,-98.0303,42.1322115,-98.0300335,11408.3084797476,6406,857.156,9,9,7.47355207220156,1287.55429779435
