"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P37509","Raley's Pharmacy #122","1400 Us Highway 95a N","FERNLEY","NV",89408,39.608822,-119.224237,"NV10",39.6081,-119.216890333333,635.175239193365,"lyon",32019,52303,2001.236,4
"P37440","SAFEWAY PHARMACY #1517","890 W Williams Ave","Fallon","NV",89406,39.477069,-118.787099,"NV11",39.4790753333333,-118.791326333333,426.401190987691,"churchill",32001,24022,4950.52,6
"P37113","SAFEWAY PHARMACY #2255","1095 Hwy 95","HAWTHORNE","NV",894150000,38.530701,-118.63314,"NV13",38.530701,-118.63314,0,"mineral",32021,4471,3752.842,7
"P37263","WALMART PHARMACY 10-3277","155 DAMONTE RANCH PKWY","RENO","NV",89511,39.422763,-119.756413,"NV16",39.4228764285714,-119.757436857143,88.9445171543357,"washoe",32031,445551,6316.162,2
"P37424","Ridley's Pharmacy #1154","1689 Great Basin Blvd","Ely","NV",89301,39.245235,-114.871639,"NV2",39.251412,-114.870779,691.605666349634,"white pine",32033,9858,8886.665,7
"P37238","WALGREENS #05646","770 S NV-160","PAHRUMP","NV",890484639,36.208109,-115.984821,"NV21",36.2078714,-115.9838734,89.1295305220582,"nye",32023,43296,18181.914,4
"P37328","CVS Pharmacy #08801","550 W IDAHO ST","ELKO","NV",89801,40.827972,-115.773786,"NV22",40.831241,-115.77046725,458.877625315193,"elko",32007,52377,17173.446,5
"P37396","WALGREENS #12646","329 N Sandhill Blvd","MESQUITE","NV",890274729,36.808669,-114.065079,"NV23",36.8076713333333,-114.078428333333,1194.9648162147,"clark",32003,2112436,7891.66,1
"P37170","SAFEWAY PHARMACY #1537","212 ELKS POINT ROAD","ZEPHYR COVE","NV",894489800,38.985699,-119.943369,"NV25",38.985699,-119.943369,0,"douglas",32005,47632,709.72,4
"P37472","Ridley's Pharmacy #1135","1125 W WINNEMUCCA BLVD","WINNEMUCCA","NV",89445,40.963868,-117.743887,"NV27",40.960052,-117.741538666667,468.423143470686,"humboldt",32013,17088,9640.791,7
"P37097","LINS  PHARMACY #5","350 S MOAPA VALLEY BLVD","OVERTON","NV",89040,36.537884,-114.441814,"NV3",36.537884,-114.441814,0,"clark",32003,2112436,7891.66,1
"P37387","THE PILL BOX, LLC","568 W SPRING VALLEY COURT","SPRING CREEK","NV",89815,40.786696,-115.678086,"NV32",40.786696,-115.678086,0,"elko",32007,52377,17173.446,5
"P37490","Jolly's Drug Store - Alamo","414 Broadway","Alamo","NV",890010244,37.363884,-115.167141,"NV35",37.363884,-115.167141,0,"lincoln",32017,5203,10633.386,8
"P37515","Silver Stage Pharmacy","1250 Nevada Ave # 2","Silver Springs","NV",894297979,39.407835,-119.226086,"NV38",39.407835,-119.226086,0,"lyon",32019,52303,2001.236,4
"P37510","Raley's Pharmacy #123","176 W Goldfield Ave","YERINGTON","NV",89447,38.994021,-119.165043,"NV4",38.990918,-119.1638865,359.625143425249,"lyon",32019,52303,2001.236,4
"P37329","CVS Pharmacy #08779","220 FAIRVIEW LANE","CARSON CITY","NV",89701,39.150461,-119.766304,"NV5",39.15710475,-119.76459725,754.111152075302,"carson city",32510,54219,144.661,3
"P37126","RITE AID PHARMACY 06121","1329 US HIGHWAY 395 NORTH CARSON VALLEY FAIR SHOPPING CENTER","GARDNERVILLE","NV",894105391,38.935961,-119.73746,"NV6",38.9341816,-119.7358742,241.022923976802,"douglas",32005,47632,709.72,4
"P37102","RALEY'S PHARMACY #113","930 TAHOE BLVD","INCLINE VILLAGE","NV",89450,39.250425,-119.950605,"NV8",39.249535,-119.9517475,139.699160838244,"washoe",32031,445551,6316.162,2
