"ID","Origin","Destination","Drive_Time"
"C771_NV10","C771","NV10",3427.41067479718
"C783_NV10","C783","NV10",2744.09829097091
"C784_NV10","C784","NV10",2605.89249065951
"C771_NV11","C771","NV11",4514.90613856043
"C783_NV11","C783","NV11",4371.86971646619
"C784_NV11","C784","NV11",4291.0773919003
"C771_NV13","C771","NV13",5860.88123131348
"C783_NV13","C783","NV13",7004.44711629714
"C784_NV13","C784","NV13",7115.17729861782
"C771_NV16","C771","NV16",1706.65967142253
"C783_NV16","C783","NV16",887.602667583511
"C784_NV16","C784","NV16",1096.20119904105
"C772_NV21","C772","NV21",4214.65744131221
"C773_NV21","C773","NV21",4030.78100691175
"C774_NV21","C774","NV21",4393.58127349113
"C775_NV21","C775","NV21",3958.41048314579
"C776_NV21","C776","NV21",3948.08924372614
"C777_NV21","C777","NV21",3827.42933444313
"C778_NV21","C778","NV21",3336.38171433459
"C779_NV21","C779","NV21",3834.3116951803
"C780_NV21","C780","NV21",3988.47625801752
"C781_NV21","C781","NV21",3881.4490124004
"C782_NV21","C782","NV21",3624.47490523184
"C772_NV23","C772","NV23",5633.71567486686
"C773_NV23","C773","NV23",6012.78647995018
"C774_NV23","C774","NV23",5490.59022417204
"C775_NV23","C775","NV23",5579.66548083891
"C776_NV23","C776","NV23",5561.5943442432
"C777_NV23","C777","NV23",5579.86828905908
"C778_NV23","C778","NV23",5791.65412426214
"C779_NV23","C779","NV23",5543.76186172895
"C780_NV23","C780","NV23",5886.64419907931
"C781_NV23","C781","NV23",5396.18690469678
"C782_NV23","C782","NV23",5559.6802085824
"C771_NV25","C771","NV25",1661.01598550177
"C783_NV25","C783","NV25",3078.86768197345
"C784_NV25","C784","NV25",3329.48514834243
"C772_NV3","C772","NV3",3706.87187782349
"C773_NV3","C773","NV3",4086.18316760867
"C774_NV3","C774","NV3",3566.32881092911
"C775_NV3","C775","NV3",3655.52885645962
"C776_NV3","C776","NV3",3638.44020304068
"C777_NV3","C777","NV3",3663.13721816466
"C778_NV3","C778","NV3",3916.19599024598
"C779_NV3","C779","NV3",3628.66109456392
"C780_NV3","C780","NV3",3958.95511233923
"C781_NV3","C781","NV3",3488.0564002573
"C782_NV3","C782","NV3",3668.47494108821
"C772_NV35","C772","NV35",6961.44033575013
"C774_NV35","C774","NV35",6962.02454044681
"C775_NV35","C775","NV35",6635.96510962526
"C776_NV35","C776","NV35",6599.86681661646
"C777_NV35","C777","NV35",6486.87133358263
"C778_NV35","C778","NV35",6174.58678614354
"C779_NV35","C779","NV35",6441.25122851183
"C780_NV35","C780","NV35",7047.31512198052
"C781_NV35","C781","NV35",6268.7640346899
"C782_NV35","C782","NV35",6183.25509860257
"C771_NV38","C771","NV38",2830.87795295092
"C783_NV38","C783","NV38",2720.58762146523
"C784_NV38","C784","NV38",2690.32766160547
"C771_NV4","C771","NV4",2922.17657740149
"C783_NV4","C783","NV4",3922.68041413403
"C784_NV4","C784","NV4",4033.45316655019
"C771_NV5","C771","NV5",615.962165312111
"C783_NV5","C783","NV5",2173.50926038809
"C784_NV5","C784","NV5",2405.3177522357
"C771_NV6","C771","NV6",1681.79685235593
"C783_NV6","C783","NV6",3265.41819498988
"C784_NV6","C784","NV6",3494.68736240215
"C771_NV8","C771","NV8",1295.65108502105
"C783_NV8","C783","NV8",1804.69831958346
"C784_NV8","C784","NV8",2057.81983724209
"NV10_C771","NV10","C771",3427.41067479718
"NV10_C783","NV10","C783",2744.09829097091
"NV10_C784","NV10","C784",2605.89249065951
"NV11_C771","NV11","C771",4514.90613856043
"NV11_C783","NV11","C783",4371.86971646619
"NV11_C784","NV11","C784",4291.0773919003
"NV13_C771","NV13","C771",5860.88123131348
"NV13_C783","NV13","C783",7004.44711629714
"NV13_C784","NV13","C784",7115.17729861782
"NV16_C771","NV16","C771",1706.65967142253
"NV16_C783","NV16","C783",887.602667583511
"NV16_C784","NV16","C784",1096.20119904105
"NV21_C772","NV21","C772",4214.65744131221
"NV21_C773","NV21","C773",4030.78100691175
"NV21_C774","NV21","C774",4393.58127349113
"NV21_C775","NV21","C775",3958.41048314579
"NV21_C776","NV21","C776",3948.08924372614
"NV21_C777","NV21","C777",3827.42933444313
"NV21_C778","NV21","C778",3336.38171433459
"NV21_C779","NV21","C779",3834.3116951803
"NV21_C780","NV21","C780",3988.47625801752
"NV21_C781","NV21","C781",3881.4490124004
"NV21_C782","NV21","C782",3624.47490523184
"NV23_C772","NV23","C772",5633.71567486686
"NV23_C773","NV23","C773",6012.78647995018
"NV23_C774","NV23","C774",5490.59022417204
"NV23_C775","NV23","C775",5579.66548083891
"NV23_C776","NV23","C776",5561.5943442432
"NV23_C777","NV23","C777",5579.86828905908
"NV23_C778","NV23","C778",5791.65412426214
"NV23_C779","NV23","C779",5543.76186172895
"NV23_C780","NV23","C780",5886.64419907931
"NV23_C781","NV23","C781",5396.18690469678
"NV23_C782","NV23","C782",5559.6802085824
"NV25_C771","NV25","C771",1661.01598550177
"NV25_C783","NV25","C783",3078.86768197345
"NV25_C784","NV25","C784",3329.48514834243
"NV3_C772","NV3","C772",3706.87187782349
"NV3_C773","NV3","C773",4086.18316760867
