"ID","Origin","Destination","Drive_Time"
"NV11_NV10","NV11","NV10",2390.47114491158
"NV13_NV10","NV13","NV10",6280.61868725434
"NV16_NV10","NV16","NV10",2723.29381711126
"NV25_NV10","NV25","NV10",4551.39174582276
"NV38_NV10","NV38","NV10",1540.35530887104
"NV4_NV10","NV4","NV10",3514.50527291926
"NV5_NV10","NV5","NV10",3507.32524874632
"NV6_NV10","NV6","NV10",4294.59752328812
"NV8_NV10","NV8","NV10",3744.82947677115
"NV10_NV11","NV10","NV11",2390.47114491158
"NV13_NV11","NV13","NV11",5247.4729405379
"NV16_NV11","NV16","NV11",4232.73063504336
"NV25_NV11","NV25","NV11",5521.12224748536
"NV38_NV11","NV38","NV11",2314.8342282963
"NV4_NV11","NV4","NV11",3354.45452951569
"NV5_NV11","NV5","NV11",4561.9859532719
"NV6_NV11","NV6","NV11",5009.2362884365
"NV8_NV11","NV8","NV11",5074.64307720379
"NV10_NV13","NV10","NV13",6280.61868725434
"NV11_NV13","NV11","NV13",5247.4729405379
"NV16_NV13","NV16","NV13",6640.82638670762
"NV25_NV13","NV25","NV13",6024.06059122905
"NV38_NV13","NV38","NV13",5421.50607986542
"NV4_NV13","NV4","NV13",3668.05598070111
"NV5_NV13","NV5","NV13",5808.96688119532
"NV6_NV13","NV6","NV13",5233.3382043863
"NV8_NV13","NV8","NV13",6662.14512763257
"NV10_NV16","NV10","NV16",2723.29381711126
"NV11_NV16","NV11","NV16",4232.73063504336
"NV13_NV16","NV13","NV16",6640.82638670762
"NV25_NV16","NV25","NV16",2769.42287851996
"NV38_NV16","NV38","NV16",2529.65657460472
"NV4_NV16","NV4","NV16",3563.21615540107
"NV5_NV16","NV5","NV16",1808.36213850739
"NV6_NV16","NV6","NV16",2895.68632198122
"NV8_NV16","NV8","NV16",1582.41499720088
"NV3_NV21","NV3","NV21",6672.68147462786
"NV35_NV21","NV35","NV21",7069.65647086905
"NV32_NV22","NV32","NV22",1026.15593125886
"NV3_NV23","NV3","NV23",2365.13161392038
"NV35_NV23","NV35","NV23",5676.69080019012
"NV10_NV25","NV10","NV25",4551.39174582276
"NV11_NV25","NV11","NV25",5521.12224748536
"NV13_NV25","NV13","NV25",6024.06059122905
"NV16_NV25","NV16","NV25",2769.42287851996
"NV38_NV25","NV38","NV25",3898.3119115335
"NV4_NV25","NV4","NV25",3456.55763107844
"NV5_NV25","NV5","NV25",1576.35456959492
"NV6_NV25","NV6","NV25",1378.62151075342
"NV8_NV25","NV8","NV25",1839.80723340319
"NV21_NV3","NV21","NV3",6672.68147462786
"NV23_NV3","NV23","NV3",2365.13161392038
"NV35_NV3","NV35","NV3",5530.85815287815
"NV22_NV32","NV22","NV32",1026.15593125886
"NV21_NV35","NV21","NV35",7069.65647086905
"NV23_NV35","NV23","NV35",5676.69080019012
"NV3_NV35","NV3","NV35",5530.85815287815
"NV10_NV38","NV10","NV38",1540.35530887104
"NV11_NV38","NV11","NV38",2314.8342282963
"NV13_NV38","NV13","NV38",5421.50607986542
"NV16_NV38","NV16","NV38",2529.65657460472
"NV25_NV38","NV25","NV38",3898.3119115335
"NV4_NV38","NV4","NV38",2564.30095403238
"NV5_NV38","NV5","NV38",2889.75952488762
"NV6_NV38","NV6","NV38",3510.19295009278
"NV8_NV38","NV8","NV38",3347.46787178773
"NV10_NV4","NV10","NV4",3514.50527291926
"NV11_NV4","NV11","NV4",3354.45452951569
"NV13_NV4","NV13","NV4",3668.05598070111
"NV16_NV4","NV16","NV4",3563.21615540107
"NV25_NV4","NV25","NV4",3456.55763107844
"NV38_NV4","NV38","NV4",2564.30095403238
"NV5_NV4","NV5","NV4",2895.85582472401
"NV6_NV4","NV6","NV4",2714.56086269413
"NV8_NV4","NV8","NV4",3723.11400723258
"NV10_NV5","NV10","NV5",3507.32524874632
"NV11_NV5","NV11","NV5",4561.9859532719
"NV13_NV5","NV13","NV5",5808.96688119532
"NV16_NV5","NV16","NV5",1808.36213850739
"NV25_NV5","NV25","NV5",1576.35456959492
"NV38_NV5","NV38","NV5",2889.75952488762
"NV4_NV5","NV4","NV5",2895.85582472401
"NV6_NV5","NV6","NV5",1581.50992858855
"NV8_NV5","NV8","NV5",1342.37455866906
"NV10_NV6","NV10","NV6",4294.59752328812
"NV11_NV6","NV11","NV6",5009.2362884365
"NV13_NV6","NV13","NV6",5233.3382043863
"NV16_NV6","NV16","NV6",2895.68632198122
"NV25_NV6","NV25","NV6",1378.62151075342
"NV38_NV6","NV38","NV6",3510.19295009278
"NV4_NV6","NV4","NV6",2714.56086269413
"NV5_NV6","NV5","NV6",1581.50992858855
"NV8_NV6","NV8","NV6",2269.95355043709
"NV10_NV8","NV10","NV8",3744.82947677115
"NV11_NV8","NV11","NV8",5074.64307720379
"NV13_NV8","NV13","NV8",6662.14512763257
"NV16_NV8","NV16","NV8",1582.41499720088
"NV25_NV8","NV25","NV8",1839.80723340319
"NV38_NV8","NV38","NV8",3347.46787178773
"NV4_NV8","NV4","NV8",3723.11400723258
"NV5_NV8","NV5","NV8",1342.37455866906
"NV6_NV8","NV6","NV8",2269.95355043709
