"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
32001950301,"NV11","Nevada",32001,6,24022,4950.52,39.47441,-118.7685,6.345884914,"CVS Pharmacy #09843","461 W Williams Ave",39.47439,-118.782218,39.4790753333333,-118.791326333333,1178.76905048561,24022,4950.52,6,6,4.8524195438055,722.952304341502
32001950302,"NV11","Nevada",32001,6,24022,4950.52,39.47317,-118.7887,8.059407579,"SAFEWAY PHARMACY #1517","890 W Williams Ave",39.477069,-118.787099,39.4790753333333,-118.791326333333,455.314883575366,24022,4950.52,6,6,4.8524195438055,692.075280497773
32001950400,"NV11","Nevada",32001,6,24022,4950.52,39.42244,-118.7047,1.238751507,"CVS Pharmacy #09843","461 W Williams Ave",39.47439,-118.782218,39.4790753333333,-118.791326333333,8823.02367388722,24022,4950.52,6,6,4.8524195438055,1049.20909166828
32001950500,"NV11","Nevada",32001,6,24022,4950.52,39.60091,-118.6829,2.509265873,"Walgreens","1280 Highway 95 A North",39.493216,-118.772092,39.4790753333333,-118.791326333333,14224.5869209676,24022,4950.52,6,6,4.8524195438055,1279.74781105367
32003005607,"NV23","Nevada",32003,1,2112436,7891.66,36.80277,-114.0821,4.901582641,"WALGREENS #12646","329 N Sandhill Blvd",36.808669,-114.065079,36.8076713333333,-114.078428333333,1653.11083477166,2112436,7891.66,1,1,267.679550310074,507.96378487115
32003005612,"NV3","Nevada",32003,1,2112436,7891.66,36.54078,-114.4429,1.628143466,"LINS  PHARMACY #5","350 S MOAPA VALLEY BLVD",36.537884,-114.441814,36.537884,-114.441814,336.695927822495,2112436,7891.66,1,1,267.679550310074,451.77919664256
32003005613,"NV3","Nevada",32003,1,2112436,7891.66,36.35663,-114.5789,6.239457415,"LINS  PHARMACY #5","350 S MOAPA VALLEY BLVD",36.537884,-114.441814,36.537884,-114.441814,23617.8450307575,2112436,7891.66,1,1,267.679550310074,1445.41864035583
32003005614,"NV23","Nevada",32003,1,2112436,7891.66,36.80156,-114.0981,3.558430249,"WALMART PHARMACY 10-3847","1120 WEST PIONEER BLVD",36.805645,-114.107376,36.8076713333333,-114.078428333333,943.599595387672,2112436,7891.66,1,1,267.679550310074,477.681845174242
32003005615,"NV23","Nevada",32003,1,2112436,7891.66,36.78908,-114.116,2.01736739,"WALMART PHARMACY 10-3847","1120 WEST PIONEER BLVD",36.805645,-114.107376,36.8076713333333,-114.078428333333,1997.83145899237,2112436,7891.66,1,1,267.679550310074,522.67646111289
32003005903,"NV23","Nevada",32003,1,2112436,7891.66,36.82885,-114.0784,3.123027215,"WALGREENS #12646","329 N Sandhill Blvd",36.808669,-114.065079,36.8076713333333,-114.078428333333,2540.89547537371,2112436,7891.66,1,1,267.679550310074,545.854433332046
