"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P34557","CVS Pharmacy #00650","1351 WHITE MOUNTAIN HWY NWAY SHOPPING PLZ","NORTH CONWAY","NH",3860,44.016204,-71.113178,"NH13",44.017238,-71.111662,167.265366938838,"carroll",33003,47524,931.862,6
"P34750","Sugar River Pharmacy","46 John Stark Hwy Sugar River Plaza","Newport","NH",37731811,43.370155,-72.12313,"NH14",43.3660015,-72.1472595,2006.662717935,"sullivan",33019,43073,537.544,7
"P34683","RITE AID PHARMACY 10268","614 NASHUA STREET","MILFORD","NH",30554943,42.825308,-71.62984,"NH15",42.8274713333333,-71.6312646666667,267.439693587043,"hillsborough",33011,406371,876.531,2
"P34564","RITE AID PHARMACY 01397","53 CHURCH STREET","KINGSTON","NH",38480036,42.946947,-71.056282,"NH16",42.946947,-71.056282,0,"rockingham",33015,302479,695.388,1
"P34675","RITE AID PHARMACY 10293","865 CENTRAL AVENUE","DOVER","NH",38202506,43.216337,-70.881003,"NH17",43.2202119166667,-70.8812595,431.855351424529,"strafford",33017,126552,367.47,1
"P34571","RITE AID PHARMACY 01653","14 PETERBOROUGH STREET","JAFFREY","NH",34525857,42.814949,-72.022275,"NH20",42.814949,-72.022275,0,"cheshire",33005,76109,706.709,4
"P34572","HOLLIS PHARMACY","6 Ash St","HOLLIS","NH",30496548,42.743516,-71.590254,"NH21",42.743516,-71.590254,0,"hillsborough",33011,406371,876.531,2
"P34676","RITE AID PHARMACY 10280","288 UNION AVENUE","LACONIA","NH",32463115,43.533066,-71.463752,"NH22",43.5442954285714,-71.4572912857143,1354.41840066495,"belknap",33001,60383,401.843,4
"P34657","RITE AID PHARMACY 10272","142 MAIN STREET","SALEM","NH",30793106,42.781087,-71.225639,"NH23",42.7773385555556,-71.2376608888889,1067.21642507523,"rockingham",33015,302479,695.388,1
"P34746","CVS Pharmacy #06596","321A Lafayette Rd","Hampton","NH",38422108,42.936772,-70.837488,"NH24",42.9260263333333,-70.8483771666667,1489.49301200683,"rockingham",33015,302479,695.388,1
"P34711","WALGREENS #9250","12 MAIN ST","EPPING","NH",30422425,43.031791,-71.07364,"NH25",43.0331391666667,-71.1173991666667,3563.88365219759,"rockingham",33015,302479,695.388,1
"P34620","RITE AID PHARMACY 04155","6 SOUTH MAIN STREET","PLYMOUTH","NH",32641440,43.753329,-71.688434,"NH26",43.7511525,-71.71338725,2021.07054921008,"grafton",33009,89280,1708.6,5
"P34590","Dartmouth-Hitchcock Pharmacy","One Medical Center Drive","Lebanon","NH",37560001,43.967542,-71.840883,"NH27",43.967542,-71.840883,0,"grafton",33009,89280,1708.6,5
"P34705","OSCO PHARMACY #0621","100 SHAWS LN","STRATHAM","NH",38856532,42.997447,-70.927866,"NH28",42.9938848,-70.923558,529.410520094043,"rockingham",33015,302479,695.388,1
"P34623","RITE AID PHARMACY 04165","800 ISLINGTON STREET UNIT 1","PORTSMOUTH","NH",38014272,43.068232,-70.77131,"NH29",43.0609332222222,-70.790434,1754.75855422208,"rockingham",33015,302479,695.388,1
"P34765","Roberts Scarlett Pharmacy","276 Newport Rd Ste 109","New London","NH",32575468,43.423925,-72.001356,"NH3",43.423001,-71.998322,265.993329729817,"merrimack",33013,147958,932.878,4
"P34759","CVS Pharmacy #05347","1 Wall St","Claremont","NH",37432751,43.372902,-72.335731,"NH31",43.37284525,-72.3362415,41.7889727750759,"sullivan",33019,43073,537.544,7
"P34610","WALMART PHARMACY 10-2057","750 Us Route 202","RINDGE","NH",34615615,42.742403,-72.039694,"NH32",42.7414415,-72.039376,110.145869463806,"cheshire",33005,76109,706.709,4
"P34611","RITE AID PHARMACY 03589","829 NH ROUTE 11","FARMINGTON","NH",38353661,43.384756,-71.073847,"NH33",43.384756,-71.073847,0,"strafford",33017,126552,367.47,1
"P34719","WALGREENS #10410","274 DELLS RD","LITTLTON","NH",35613513,44.308976,-71.797426,"NH34",44.3086786,-71.8023124,390.649010325918,"grafton",33009,89280,1708.6,5
"P34621","RITE AID PHARMACY 04156","ROUTE 112 MAIN STREET","LINCOLN","NH",32510538,44.043585,-71.669602,"NH35",44.043585,-71.669602,0,"grafton",33009,89280,1708.6,5
"P34622","RITE AID PHARMACY 04163","315 WEST MAIN STREET","HILLSBORO","NH",32445234,43.112518,-71.919544,"NH36",43.111382,-71.9174875,209.575151317343,"hillsborough",33011,406371,876.531,2
"P34624","RITE AID PHARMACY 04166","360 SUMMER STREET","BRISTOL","NH",32223213,43.597036,-71.726607,"NH37",43.597036,-71.726607,0,"grafton",33009,89280,1708.6,5
"P34627","RITE AID PHARMACY 10295","5 MILL ROAD UNIT G","DURHAM","NH",38243046,43.132726,-70.925578,"NH38",43.12671,-70.9693115,3615.55392718676,"strafford",33017,126552,367.47,1
"P34631","RITE AID PHARMACY 10281","89 NH ROUTE 25 SUITE A","MEREDITH","NH",32536335,43.661832,-71.492478,"NH39",43.661364,-71.4950475,213.384112661037,"belknap",33001,60383,401.843,4
"P34545","Henniker Pharmacy","4 Bridge St","HENNIKER","NH",3242,43.179444,-71.822605,"NH4",43.179444,-71.822605,0,"merrimack",33013,147958,932.878,4
"P34738","CVS Pharmacy #03063","125 Dublin Ave","Peterborough","NH",3458,42.875652,-71.960717,"NH40",42.87184,-71.955661,591.783172710018,"hillsborough",33011,406371,876.531,2
"P34649","RITE AID PHARMACY 04794","41 CARROLL STREET","PITTSFIELD","NH",32633301,43.305995,-71.323445,"NH42",43.305995,-71.323445,0,"merrimack",33013,147958,932.878,4
"P34781","Walgreens #19075","200 PLEASANT STREET","BERLIN","NH",35702044,44.4704,-71.180626,"NH43",44.448226,-71.187591,2529.67180588155,"coos",33007,32119,1794.574,7
"P34732","WALMART PHARMACY 10-4389","4901 DARTMOUTH COLLEGE HWY","WOODSVILLE","NH",3785,44.140959,-72.024679,"NH45",44.140938,-72.0249343333333,20.5310980841138,"grafton",33009,89280,1708.6,5
"P34783","Walgreens #19912","910 ROUTE 16","OSSIPEE","NH",38647171,43.703147,-71.109582,"NH47",43.6942535,-71.113156,1030.95967522837,"carroll",33003,47524,931.862,6
"P34693","HANNAFORD FOOD AND DRUG","174 FIRST NH TURNPIKE","NORTHWOOD","NH",3261,43.196021,-71.150802,"NH48",43.196021,-71.150802,0,"rockingham",33015,302479,695.388,1
"P34717","HANNAFORD FOOD AND DRUG","80 Wolfeboro Hwy","ALTON","NH",3809,43.453614,-71.211782,"NH49",43.453614,-71.211782,0,"belknap",33001,60383,401.843,4
"P34690","RITE AID PHARMACY 10270","331 MAIN STREET","NASHUA","NH",30604601,42.750167,-71.461361,"NH5",42.7510921363636,-71.4653741363636,343.833720743541,"hillsborough",33011,406371,876.531,2
"P34726","WALGREENS #11985","14 PINNACLE LANE","WALPOLE","NH",36089801,43.10626,-72.428832,"NH50",43.10626,-72.428832,0,"cheshire",33005,76109,706.709,4
"P34752","Warner Pharmacy Inc","11 E. Main St","Warner","NH",3278,43.280534,-71.815265,"NH51",43.280534,-71.815265,0,"merrimack",33013,147958,932.878,4
"P34754","CARE PHARMACY","36 CENTER ST","WOLFEBORO FALLS","NH",38961012,43.597369,-71.199804,"NH52",43.5913745,-71.205664,817.618282795699,"carroll",33003,47524,931.862,6
"P34758","Hannaford Supermarket & Pharmacy","8 Market Street","West Lebanon","NH",3784,43.8089,-72.154906,"NH53",43.8089,-72.154906,0,"grafton",33009,89280,1708.6,5
"P34767","Indian Stream Health Center Pharmacy","141 Corliss Ln","Colebrook","NH",35763206,44.904125,-71.482354,"NH54",44.898328,-71.490154,891.460578697068,"coos",33007,32119,1794.574,7
"P34779","Walgreens #17167","177 MAIN STREET","LANCASTER","NH",35841722,44.494175,-71.572376,"NH55",44.494175,-71.572376,0,"coos",33007,32119,1794.574,7
"P34605","WALMART PHARMACY 10-1930","58 PLAISTOW ROAD","PLAISTOW","NH",3865,42.829376,-71.107744,"NH6",42.8376841428571,-71.1275425714286,1862.14756350059,"rockingham",33015,302479,695.388,1
"P34550","COLONIAL VILLAGE PHARMACY","54 PARK AVE PLAZA","CONTOOCOOK","NH",32290338,43.22471,-71.714225,"NH7",43.22471,-71.714225,0,"merrimack",33013,147958,932.878,4
"P34633","RITE AID PHARMACY 10299","190 WAKEFIELD STREET","ROCHESTER","NH",38671304,43.316726,-70.977581,"NH8",43.3189915714286,-70.9848785714286,642.600716542961,"strafford",33017,126552,367.47,1
