"ID","Origin","Destination","Drive_Time"
"C785_NH13","C785","NH13",4862.0374891901
"C786_NH13","C786","NH13",3893.66278047299
"C787_NH13","C787","NH13",6423.8225050145
"C788_NH13","C788","NH13",5656.4350287242
"C789_NH13","C789","NH13",5690.6925102936
"C791_NH13","C791","NH13",5251.85945810384
"C785_NH14","C785","NH14",2959.59205475865
"C786_NH14","C786","NH14",2442.31019880098
"C787_NH14","C787","NH14",4274.93445411681
"C788_NH14","C788","NH14",3588.37511883983
"C789_NH14","C789","NH14",3644.81710437267
"C790_NH14","C790","NH14",3301.96112459025
"C791_NH14","C791","NH14",2117.71127283481
"C785_NH15","C785","NH15",2289.53647811982
"C786_NH15","C786","NH15",3505.40700088266
"C787_NH15","C787","NH15",1216.04784231807
"C788_NH15","C788","NH15",1438.04761566958
"C789_NH15","C789","NH15",1426.10015198001
"C790_NH15","C790","NH15",3043.05197377429
"C791_NH15","C791","NH15",5186.73780760376
"C785_NH16","C785","NH16",2523.75909280235
"C786_NH16","C786","NH16",3651.89986592584
"C787_NH16","C787","NH16",1853.82782355465
"C788_NH16","C788","NH16",1896.19142696142
"C789_NH16","C789","NH16",1853.87047851977
"C790_NH16","C790","NH16",5061.07714029926
"C791_NH16","C791","NH16",6129.86017173076
"C785_NH17","C785","NH17",2789.73644898156
"C786_NH17","C786","NH17",3372.64992104797
"C787_NH17","C787","NH17",3113.83997152128
"C788_NH17","C788","NH17",2753.43575588929
"C789_NH17","C789","NH17",2742.37438847366
"C790_NH17","C790","NH17",5935.05093239467
"C791_NH17","C791","NH17",6037.55517201641
"C785_NH20","C785","NH20",3037.41392787356
"C786_NH20","C786","NH20",3872.36819451764
"C787_NH20","C787","NH20",2668.41295330873
"C788_NH20","C788","NH20",2664.03202542892
"C789_NH20","C789","NH20",2681.50084385717
"C790_NH20","C790","NH20",1713.89980903376
"C791_NH20","C791","NH20",4710.23654357579
"C785_NH21","C785","NH21",2651.26757305957
"C786_NH21","C786","NH21",3896.92272069248
"C787_NH21","C787","NH21",1171.39788392344
"C788_NH21","C788","NH21",1716.82554473843
"C789_NH21","C789","NH21",1689.54107249509
"C790_NH21","C790","NH21",3227.13851664423
"C791_NH21","C791","NH21",5590.31446381856
"C785_NH22","C785","NH22",2249.73009503833
"C786_NH22","C786","NH22",1278.73090533149
"C787_NH22","C787","NH22",3953.17030393779
"C788_NH22","C788","NH22",3127.88331619006
"C789_NH22","C789","NH22",3172.2793357885
"C790_NH22","C790","NH22",5035.39948214224
"C791_NH22","C791","NH22",3698.23894163632
"C785_NH23","C785","NH23",2724.50773353337
"C786_NH23","C786","NH23",4015.2618618316
"C787_NH23","C787","NH23",1144.33025094104
"C788_NH23","C788","NH23",1759.06358729592
"C789_NH23","C789","NH23",1701.48405573158
"C790_NH23","C790","NH23",4465.68124904766
"C791_NH23","C791","NH23",6218.18549923497
"C785_NH24","C785","NH24",3205.08289352607
"C786_NH24","C786","NH24",4216.87015381648
"C787_NH24","C787","NH24",2550.72153786817
"C788_NH24","C788","NH24",2656.90407642993
"C789_NH24","C789","NH24",2615.57024011181
"C790_NH24","C790","NH24",5815.41228324887
"C791_NH24","C791","NH24",6781.42146374109
"C785_NH25","C785","NH25",2269.69672049419
"C786_NH25","C786","NH25",3311.37872448419
"C787_NH25","C787","NH25",2026.26703874678
"C788_NH25","C788","NH25",1834.14911148498
"C789_NH25","C789","NH25",1804.91155868791
"C790_NH25","C790","NH25",5058.23339303207
"C791_NH25","C791","NH25",5847.65427886192
"C785_NH26","C785","NH26",3385.39333531293
"C786_NH26","C786","NH26",2084.21628313915
"C787_NH26","C787","NH26",5138.04532271333
"C788_NH26","C788","NH26",4299.12285078152
"C789_NH26","C789","NH26",4350.08379435035
"C790_NH26","C790","NH26",5482.73584809465
"C791_NH26","C791","NH26",2973.4146743107
"C785_NH27","C785","NH27",4500.93353574484
"C786_NH27","C786","NH27",3191.83211836095
"C787_NH27","C787","NH27",6250.82417876342
"C788_NH27","C788","NH27",5413.3257406908
"C789_NH27","C789","NH27",5465.80546177311
"C790_NH27","C790","NH27",6215.45588719987
"C791_NH27","C791","NH27",3021.95910959147
"C785_NH28","C785","NH28",2798.63164554228
"C786_NH28","C786","NH28",3790.50821338445
"C787_NH28","C787","NH28",2360.3667140564
"C788_NH28","C788","NH28",2327.213116903
"C789_NH28","C789","NH28",2291.73857398316
"C790_NH28","C790","NH28",5532.20353045726
"C791_NH28","C791","NH28",6361.25612121057
"C785_NH29","C785","NH29",3216.35415173895
"C786_NH29","C786","NH29",4028.1294485085
"C787_NH29","C787","NH29",2997.72467628791
"C788_NH29","C788","NH29",2897.83015734509
"C789_NH29","C789","NH29",2868.70778831759
"C790_NH29","C790","NH29",6121.87891868951
"C791_NH29","C791","NH29",6668.0333223261
"C785_NH3","C785","NH3",2584.46061364448
"C786_NH3","C786","NH3",1858.88748280197
