"ID","Origin","Destination","Drive_Time"
"NH14_NH13","NH14","NH13",5341.51548280828
"NH15_NH13","NH15","NH13",6567.36782278069
"NH16_NH13","NH16","NH13",5721.35075990084
"NH17_NH13","NH17","NH13",4528.08619008625
"NH20_NH13","NH20","NH13",7176.92336157717
"NH21_NH13","NH21","NH13",6902.11732083795
"NH22_NH13","NH22","NH13",3252.15450998587
"NH23_NH13","NH23","NH13",6518.41257300642
"NH24_NH13","NH24","NH13",5853.23501018764
"NH25_NH13","NH25","NH13",5316.44515221455
"NH26_NH13","NH26","NH13",3001.16833447367
"NH27_NH13","NH27","NH13",3166.86603959442
"NH28_NH13","NH28","NH13",5519.57280136999
"NH29_NH13","NH29","NH13",5292.65898618877
"NH3_NH13","NH3","NH13",4809.65879616657
"NH31_NH13","NH31","NH13",5903.28008836546
"NH33_NH13","NH33","NH13",3647.94708790684
"NH34_NH13","NH34","NH13",3384.18546659805
"NH35_NH13","NH35","NH13",2573.91526593471
"NH36_NH13","NH36","NH13",5747.79144588884
"NH37_NH13","NH37","NH13",3565.30565703374
"NH38_NH13","NH38","NH13",4891.7058330169
"NH39_NH13","NH39","NH13",2787.76006659507
"NH4_NH13","NH4","NH13",5325.10765159794
"NH40_NH13","NH40","NH13",6792.18819871919
"NH42_NH13","NH42","NH13",4110.85596354366
"NH43_NH13","NH43","NH13",2881.71588833887
"NH45_NH13","NH45","NH13",3835.77880129247
"NH47_NH13","NH47","NH13",2156.28274835219
"NH48_NH13","NH48","NH13",4536.33563712963
"NH49_NH13","NH49","NH13",3355.00668987405
"NH5_NH13","NH5","NH13",6769.10354610761
"NH50_NH13","NH50","NH13",6925.65520347189
"NH51_NH13","NH51","NH13",4907.66721356173
"NH52_NH13","NH52","NH13",2680.83976465751
"NH53_NH13","NH53","NH13",4367.78676842139
"NH54_NH13","NH54","NH13",5112.03706482303
"NH55_NH13","NH55","NH13",3468.17337894045
"NH6_NH13","NH6","NH13",6276.19070761832
"NH7_NH13","NH7","NH13",4951.26412187169
"NH8_NH13","NH8","NH13",4000.63970406576
"NH13_NH14","NH13","NH14",5341.51548280828
"NH15_NH14","NH15","NH14",3780.95085737612
"NH16_NH14","NH16","NH14",4888.90101270843
"NH17_NH14","NH17","NH14",5044.66584719714
"NH20_NH14","NH20","NH14",3367.91141936478
"NH21_NH14","NH21","NH14",4182.92135811984
"NH22_NH14","NH22","NH14",3105.82330350789
"NH23_NH14","NH23","NH14",4867.4949632394
"NH24_NH14","NH24","NH14",5588.89385628434
"NH25_NH14","NH25","NH14",4654.50654997534
"NH26_NH14","NH26","NH14",3065.89483156635
"NH27_NH14","NH27","NH14",3708.63932432404
"NH28_NH14","NH28","NH14",5183.62051910734
"NH29_NH14","NH29","NH14",5575.40138650801
"NH3_NH14","NH3","NH14",1194.71112953892
"NH31_NH14","NH31","NH14",1443.58283039203
"NH32_NH14","NH32","NH14",3703.51062876571
"NH33_NH14","NH33","NH14",4311.71926896673
"NH34_NH14","NH34","NH14",5307.18002343146
"NH35_NH14","NH35","NH14",4267.75815773687
"NH36_NH14","NH36","NH14",2090.17845236269
"NH37_NH14","NH37","NH14",2450.0243510733
"NH38_NH14","NH38","NH14",4982.42790060043
"NH39_NH14","NH39","NH14",3280.61732354145
"NH4_NH14","NH4","NH14",2081.80381133268
"NH40_NH14","NH40","NH14",3093.80029378414
"NH42_NH14","NH42","NH14",3482.90176266073
"NH43_NH14","NH43","NH14",6851.53404824915
"NH45_NH14","NH45","NH14",4386.9447451442
"NH47_NH14","NH47","NH14",4541.85718830486
"NH48_NH14","NH48","NH14",4143.37582589698
"NH49_NH14","NH49","NH14",3873.74052126633
"NH5_NH14","NH5","NH14",4413.27480497085
"NH50_NH14","NH50","NH14",2347.56341214566
"NH51_NH14","NH51","NH14",1848.88788479589
"NH52_NH14","NH52","NH14",4070.22290047997
"NH53_NH14","NH53","NH14",2796.60936642467
"NH55_NH14","NH55","NH14",6372.25452976229
"NH6_NH14","NH6","NH14",5040.03459580296
"NH7_NH14","NH7","NH14",2276.55380861143
"NH8_NH14","NH8","NH14",4653.83547464459
"NH13_NH15","NH13","NH15",6567.36782278069
"NH14_NH15","NH14","NH15",3780.95085737612
"NH16_NH15","NH16","NH15",2542.70526739578
"NH17_NH15","NH17","NH15",3660.54451528794
"NH20_NH15","NH20","NH15",1918.05752892002
"NH21_NH15","NH21","NH15",876.486295207895
"NH22_NH15","NH22","NH15",3961.09363708061
"NH23_NH15","NH23","NH15",1888.65920503987
"NH24_NH15","NH24","NH15",3273.00499208294
"NH25_NH15","NH25","NH15",2633.47822074058
"NH26_NH15","NH26","NH15",5006.10515733818
