"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
33001965100,"NH22","New Hampshire",33001,4,60383,401.843,43.65117,-71.61353,0,"CVS Pharmacy #00863","1371 LAKE SHORE RD",43.562214,-71.447995,43.5442954285714,-71.4572912857143,16616.1494213719,60383,401.843,4,4,150.265153306142,1284.42603329378
33001965100,"NH26","New Hampshire",33001,4,60383,401.843,43.65117,-71.61353,0,"HANNAFORD FOOD AND DRUG","HATCH PLAZA RTE 25",43.710919,-71.694017,43.7511525,-71.71338725,9285.73747713944,89280,1708.6,5,5,150.265153306142,1014.30405151394
33001965100,"NH37","New Hampshire",33001,4,60383,401.843,43.65117,-71.61353,0,"RITE AID PHARMACY 04166","360 SUMMER STREET",43.597036,-71.726607,43.597036,-71.726607,10924.421440876,89280,1708.6,5,5,150.265153306142,1084.24308308622
33001965100,"NH39","New Hampshire",33001,4,60383,401.843,43.65117,-71.61353,0,"Hannaford Supermarket & Pharmacy","38 NH-25",43.660896,-71.497617,43.661364,-71.4950475,9398.12746611471,60383,401.843,4,4,150.265153306142,976.360856243404
33001965200,"NH22","New Hampshire",33001,4,60383,401.843,43.65579,-71.44266,0,"WALMART PHARMACY 10-2639","1458 LAKE SHORE ROAD",43.565464,-71.439553,43.5442954285714,-71.4572912857143,10058.1623039622,60383,401.843,4,4,150.265153306142,1004.53114312273
33001965200,"NH39","New Hampshire",33001,4,60383,401.843,43.65579,-71.44266,0,"RITE AID PHARMACY 10281","89 NH ROUTE 25 SUITE A",43.661832,-71.492478,43.661364,-71.4950475,4068.1086420552,60383,401.843,4,4,150.265153306142,748.875652832544
33001965300,"NH22","New Hampshire",33001,4,60383,401.843,43.60808,-71.55008,0,"CVS Pharmacy #00863","1371 LAKE SHORE RD",43.562214,-71.447995,43.5442954285714,-71.4572912857143,9686.4591473689,60383,401.843,4,4,150.265153306142,988.666852399332
33001965300,"NH26","New Hampshire",33001,4,60383,401.843,43.60808,-71.55008,0,"HANNAFORD FOOD AND DRUG","HATCH PLAZA RTE 25",43.710919,-71.694017,43.7511525,-71.71338725,16291.9859154649,89280,1708.6,5,5,150.265153306142,1313.33073486167
33001965300,"NH37","New Hampshire",33001,4,60383,401.843,43.60808,-71.55008,0,"RITE AID PHARMACY 04166","360 SUMMER STREET",43.597036,-71.726607,43.597036,-71.726607,14283.0272066076,89280,1708.6,5,5,150.265153306142,1227.58837716764
33001965300,"NH39","New Hampshire",33001,4,60383,401.843,43.60808,-71.55008,0,"Hannaford Supermarket & Pharmacy","38 NH-25",43.660896,-71.497617,43.661364,-71.4950475,7241.14595262071,60383,401.843,4,4,150.265153306142,884.30088524748
