"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P35877","CureMed Pharmacy","353 Crooks Ave","Clifton","NJ",70111660,40.891003,-74.145927,"NJ1",40.89512079,-74.13808081,803.7796004,"passaic",34031,510563,186.013,1
"P35748","Shoprite Supermarkets Inc.","10 ROUTE 23 TRI STATE MALL","MONTAGUE","NJ",7821,41.349772,-74.685113,"NJ100",41.349772,-74.685113,0,"orange",36071,378174,812.314,1
"P35768","CVS Pharmacy #04771","5740 BERKSHIRE VALLEY RD","OAK RIDGE","NJ",7438,41.036658,-74.504808,"NJ101",41.0365615,-74.503981,70.26687135,"morris",34027,498847,460.957,1
"P35972","CVS Pharmacy #10322","302 State Rt 94","Vernon","NJ",74623205,41.198889,-74.485322,"NJ102",41.196794,-74.4840095,257.8274185,"sussex",34037,143570,518.756,1
"P36065","jefferson pharmacy","706 toute 15 south suite 104","lake hopatcong","NJ",7849,40.957672,-74.598189,"NJ105",40.957672,-74.598189,0,"morris",34027,498847,460.957,1
"P36546","CVS Pharmacy #00003","1497 Route 206","Tabernacle","NJ",8088,39.849055,-74.734396,"NJ110",39.849055,-74.734396,0,"burlington",34005,449192,799.296,1
"P36417","CVS Pharmacy #07915","115 SKYLINE DRIVE","RINGWOOD","NJ",7456,41.085752,-74.262777,"NJ111",41.085752,-74.262777,0,"passaic",34031,510563,186.013,1
"P36422","CVS Pharmacy #06947","819 BARNEGAT AVENUE","SHIP BOTTOM","NJ",8008,39.651491,-74.180493,"NJ112",39.651491,-74.180493,0,"ocean",34029,589699,628.337,1
"P36618","WALGREENS #11507","1502 Union Valley Rd","West Milford","NJ",74801354,41.13139,-74.367365,"NJ12",41.13137475,-74.367106,21.78241868,"passaic",34031,510563,186.013,1
"P36492","WALGREENS #9335","206 US HWY 46","ROCKAWAY","NJ",78663805,40.889715,-74.514365,"NJ20",40.87424447,-74.50721164,1824.375489,"morris",34027,498847,460.957,1
"P35307","FRANKLYNS PHARMACY","204 Warren Ave","HO HO KUS","NJ",74231538,40.998811,-74.110511,"NJ21",40.9996,-74.08707023,1971.331444,"bergen",34003,937920,232.782,1
"P36729","Riverview Pharmacy","2405 Hamburg Tpke Ste C","Wayne","NJ",74706287,40.989504,-74.279515,"NJ23",40.98582718,-74.28753112,788.1962074,"passaic",34031,510563,186.013,1
"P35409","RITE AID PHARMACY 10408","2 VERNON AVENUE","HAMBURG","NJ",7419,41.153275,-74.576146,"NJ25",41.1416034,-74.5861116,1544.657852,"sussex",34037,143570,518.756,1
"P36452","WALGREENS #9249","1982 STATE RT 57","HACKETTSTOWN","NJ",78403470,40.823874,-74.833909,"NJ33",40.825548,-74.81984363,1199.388865,"morris",34027,498847,460.957,1
"P34871","SHOPRITE PHARMACY #655","ROUTE 9 FIRST STREET","FORKED RIVER","NJ",8734,39.856271,-74.179524,"NJ36",39.84904311,-74.17858667,808.5825283,"ocean",34029,589699,628.337,1
"P35079","SHOPRITE PHARMACY","125 Water St","NEWTON","NJ",7860,41.065828,-74.745204,"NJ37",41.06668957,-74.73561914,810.1482352,"sussex",34037,143570,518.756,1
"P36801","Vitalis Pharmacy","3495 John F Kennedy Blvd","Jersey City","NJ",73074119,40.75145,-74.053991,"NJ4",40.74992654,-74.05151597,268.9344904,"hudson",34017,679756,46.19,1
"P36288","Troy Hills Pharmacy","280 US Highway 46 Ste 282","Parsippany","NJ",70542313,40.859569,-74.357881,"NJ44",40.87080805,-74.35177271,1352.680822,"morris",34027,498847,460.957,1
"P34798","RITE AID PHARMACY 10513","2 ROUTE 37 EAST","TOMS RIVER","NJ",8753,39.96362,-74.202777,"NJ5",39.97096348,-74.18950422,1396.625226,"ocean",34029,589699,628.337,1
"P36084","Walmart Pharmacy 10-3212","6801 BLACK HORSE PIKE STE 100","Egg Harbor Township","NJ",82348321,39.397632,-74.55201,"NJ53",39.42601515,-74.55461835,3167.552076,"atlantic",34001,272926,555.519,2
"P35224","SHOPRITE PHARMACY","RT 46 LACKAWANNA PLAZA","NETCONG","NJ",7857,40.896301,-74.697232,"NJ56",40.88595214,-74.68348186,1632.811469,"morris",34027,498847,460.957,1
"P36014","Little Falls Pharmacy","75 Newark Pompton Tpke","Little Falls","NJ",7424,40.885039,-74.245134,"NJ59",40.8796302,-74.2423622,645.7182963,"essex",34013,800401,126.084,1
"P35004","RITE AID PHARMACY 00220","2 UPPER SAREPTA ROAD","BELVIDERE","NJ",78232630,40.845683,-75.052922,"NJ60",40.845683,-75.052922,0,"warren",34041,107088,356.536,2
"P36034","Walmart Pharmacy 10-3830","631 Route 9 N","Little Egg Harbor Twp","NJ",80873517,39.601413,-74.364401,"NJ61",39.594116,-74.3635596,815.4982181,"ocean",34029,589699,628.337,1
"P36185","Walgreens #19361","3218 Atlantic Ave","Atlantic City","NJ",84013509,39.353127,-74.44988,"NJ68",39.35825807,-74.44538536,689.8761441,"atlantic",34001,272926,555.519,2
"P35106","STAFFORD PHARMACY","24 NAUTILUS DR UNIT 1","MANAHAWKIN","NJ",80502490,39.719522,-74.284001,"NJ74",39.72340354,-74.25637677,2404.400167,"ocean",34029,589699,628.337,1
"P35138","FAMILY DRUG SHOPS","19 MAIN STREET","BRANCHVILLE","NJ",78265526,41.146384,-74.753312,"NJ77",41.146384,-74.753312,0,"sussex",34037,143570,518.756,1
"P36291","CVS Pharmacy #11271","30 BELVIDERE AVE","WASHINGTON","NJ",78821415,40.759095,-74.979881,"NJ78",40.76424733,-74.98461367,698.7142389,"warren",34041,107088,356.536,2
"P35220","KAPLERS PHARMACY","1 SOUTH BAY AVE","BEACH HAVEN","NJ",80081794,39.563458,-74.23989,"NJ81",39.563458,-74.23989,0,"ocean",34029,589699,628.337,1
"P36273","Valley Health Pharmacy","1400 Macarthur Blvd","Mahwah","NJ",74303618,41.079571,-74.156098,"NJ83",41.0850092,-74.145374,1084.52412,"bergen",34003,937920,232.782,1
"P35248","CVS Pharmacy #01033","1 SOUTH NEW YORK ROAD VILLAGE SHOPS","SMITHVILLE","NJ",8205,39.493917,-74.458026,"NJ84",39.493917,-74.458026,0,"atlantic",34001,272926,555.519,2
"P35986","ACME PHARMACY #0295","5 Ortley Plaza","Ortley Beach","NJ",87510000,39.950731,-74.076148,"NJ92",39.95733333,-74.073026,781.7625668,"ocean",34029,589699,628.337,1
"P35976","ACME PHARMACY #1851","152 STATE RTE 94","BLAIRSTOWN","NJ",78252122,40.982862,-74.996155,"NJ93",40.982619,-74.99637933,32.97175602,"warren",34041,107088,356.536,2
"P35466","SAV-ON PHARMACY #1908","18 BROADWAY","BROWNS MILLS","NJ",80153248,39.974141,-74.581066,"NJ95",39.9700864,-74.5766326,588.8711585,"burlington",34005,449192,799.296,1
"P35902","Sparta Pharmacy","61 Sparta Ave Unit B","Sparta","NJ",78711822,41.039406,-74.641549,"NJ98",41.03756733,-74.63699667,433.587225,"sussex",34037,143570,518.756,1
"P35739","PANTHER VALLEY PHARMACY","RT 517 VILLAGE SQUARE MALL","ALLAMUCHY","NJ",7820,40.930738,-74.811976,"NJ99",40.930738,-74.811976,0,"warren",34041,107088,356.536,2
