"ID","Origin","Destination","Drive_Time"
"C793_NJ1","C793","NJ1",6643.40145593125
"C794_NJ1","C794","NJ1",4117.16128168775
"C796_NJ1","C796","NJ1",5214.11462018449
"C798_NJ1","C798","NJ1",1434.11977138634
"C799_NJ1","C799","NJ1",671.941609170437
"C800_NJ1","C800","NJ1",627.064718704882
"C801_NJ1","C801","NJ1",1065.0824710166
"C802_NJ1","C802","NJ1",780.032407022751
"C803_NJ1","C803","NJ1",173.764280215389
"C804_NJ1","C804","NJ1",118.209712879771
"C805_NJ1","C805","NJ1",-160.768635210177
"C807_NJ1","C807","NJ1",5100.59624250338
"C808_NJ1","C808","NJ1",3419.62930181099
"C809_NJ1","C809","NJ1",2428.90882223422
"C810_NJ1","C810","NJ1",951.838600156809
"C811_NJ1","C811","NJ1",834.690535519035
"C812_NJ1","C812","NJ1",576.530774468916
"C813_NJ1","C813","NJ1",386.217821705748
"C814_NJ1","C814","NJ1",381.844589794966
"C815_NJ1","C815","NJ1",5924.994128044
"C816_NJ1","C816","NJ1",4103.15755753496
"C817_NJ1","C817","NJ1",1613.30697180249
"C819_NJ1","C819","NJ1",2663.8917687606
"C821_NJ1","C821","NJ1",-141.684497241666
"C822_NJ1","C822","NJ1",2519.10028147643
"C823_NJ1","C823","NJ1",2191.9293957256
"C824_NJ1","C824","NJ1",4701.79009892008
"C825_NJ1","C825","NJ1",4156.23047826184
"C826_NJ1","C826","NJ1",4062.89419305208
"C827_NJ1","C827","NJ1",3871.16446494422
"C794_NJ100","C794","NJ100",6769.86238134174
"C796_NJ100","C796","NJ100",6355.52892012961
"C798_NJ100","C798","NJ100",2704.36475636665
"C799_NJ100","C799","NJ100",3202.49506017834
"C800_NJ100","C800","NJ100",3254.49882721592
"C801_NJ100","C801","NJ100",3679.70332531512
"C802_NJ100","C802","NJ100",3329.67408612251
"C803_NJ100","C803","NJ100",3023.72895858203
"C804_NJ100","C804","NJ100",2973.39548749472
"C805_NJ100","C805","NJ100",2625.41484736881
"C807_NJ100","C807","NJ100",6873.33930307507
"C808_NJ100","C808","NJ100",6167.70571632008
"C809_NJ100","C809","NJ100",4399.42519036778
"C810_NJ100","C810","NJ100",3570.11606374198
"C811_NJ100","C811","NJ100",3469.25232839571
"C812_NJ100","C812","NJ100",2950.4547289151
"C813_NJ100","C813","NJ100",3286.88494730992
"C814_NJ100","C814","NJ100",2998.28576880582
"C815_NJ100","C815","NJ100",7170.56199454828
"C816_NJ100","C816","NJ100",4036.7273774966
"C817_NJ100","C817","NJ100",3601.06471099255
"C819_NJ100","C819","NJ100",5419.10404790219
"C821_NJ100","C821","NJ100",2762.39971027618
"C822_NJ100","C822","NJ100",4079.56051604265
"C823_NJ100","C823","NJ100",4540.79025854974
"C825_NJ100","C825","NJ100",5726.7711447128
"C826_NJ100","C826","NJ100",5654.78224480833
"C827_NJ100","C827","NJ100",5574.3151656067
"C793_NJ101","C793","NJ101",6892.73518199077
"C794_NJ101","C794","NJ101",5144.81203566393
"C796_NJ101","C796","NJ101",5143.90084125335
"C798_NJ101","C798","NJ101",1103.49387932871
"C799_NJ101","C799","NJ101",1600.20088399288
"C800_NJ101","C800","NJ101",1663.28398281991
"C801_NJ101","C801","NJ101",2071.05284365723
"C802_NJ101","C802","NJ101",1723.06976332354
"C803_NJ101","C803","NJ101",1468.83256510214
"C804_NJ101","C804","NJ101",1423.1866213619
"C805_NJ101","C805","NJ101",1066.70905750239
"C807_NJ101","C807","NJ101",5438.82476309972
"C808_NJ101","C808","NJ101",4546.40667795001
"C809_NJ101","C809","NJ101",2833.75603440721
"C810_NJ101","C810","NJ101",1965.45106446015
"C811_NJ101","C811","NJ101",1867.86011289148
"C812_NJ101","C812","NJ101",1689.81321754317
"C813_NJ101","C813","NJ101",1811.75609904509
"C814_NJ101","C814","NJ101",1558.49812253456
"C815_NJ101","C815","NJ101",5932.03821628926
"C816_NJ101","C816","NJ101",3323.31951866534
"C817_NJ101","C817","NJ101",2006.27999134649
"C819_NJ101","C819","NJ101",3798.64383739969
"C821_NJ101","C821","NJ101",1262.1191325811
"C822_NJ101","C822","NJ101",2621.92365633647
