"ID","Origin","Destination","Drive_Time"
"NJ100_NJ1","NJ100","NJ1",3145.66457564123
"NJ101_NJ1","NJ101","NJ1",1696.19855603345
"NJ102_NJ1","NJ102","NJ1",2136.76992027893
"NJ105_NJ1","NJ105","NJ1",1888.6111699198
"NJ110_NJ1","NJ110","NJ1",5623.67392399067
"NJ111_NJ1","NJ111","NJ1",1250.2110854534
"NJ112_NJ1","NJ112","NJ1",6124.85883990224
"NJ12_NJ1","NJ12","NJ1",1625.37661412493
"NJ20_NJ1","NJ20","NJ1",1557.78212778841
"NJ21_NJ1","NJ21","NJ1",656.97104117902
"NJ23_NJ1","NJ23","NJ1",904.445167802088
"NJ25_NJ1","NJ25","NJ1",2217.09891415093
"NJ33_NJ1","NJ33","NJ1",2727.17590838742
"NJ36_NJ1","NJ36","NJ1",5152.09626441097
"NJ37_NJ1","NJ37","NJ1",2538.89277242523
"NJ4_NJ1","NJ4","NJ1",-5.52389364384454
"NJ44_NJ1","NJ44","NJ1",1010.41106272282
"NJ5_NJ1","NJ5","NJ1",4645.35941234221
"NJ56_NJ1","NJ56","NJ1",2214.62518678083
"NJ59_NJ1","NJ59","NJ1",296.691827304757
"NJ60_NJ1","NJ60","NJ1",3543.00323014877
"NJ61_NJ1","NJ61","NJ1",6412.45760062046
"NJ74_NJ1","NJ74","NJ1",5822.73841251743
"NJ77_NJ1","NJ77","NJ1",2727.00053617342
"NJ78_NJ1","NJ78","NJ1",3340.22965225484
"NJ81_NJ1","NJ81","NJ1",6550.98255205242
"NJ83_NJ1","NJ83","NJ1",1025.8802336787
"NJ84_NJ1","NJ84","NJ1",7010.8548032288
"NJ92_NJ1","NJ92","NJ1",4708.92575550407
"NJ93_NJ1","NJ93","NJ1",3359.82753206364
"NJ95_NJ1","NJ95","NJ1",4866.08352260859
"NJ98_NJ1","NJ98","NJ1",2147.24649200361
"NJ99_NJ1","NJ99","NJ1",2676.12189919156
"NJ1_NJ100","NJ1","NJ100",3145.66457564123
"NJ101_NJ100","NJ101","NJ100",1991.97454731759
"NJ102_NJ100","NJ102","NJ100",1432.55039184969
"NJ105_NJ100","NJ105","NJ100",2259.361723632
"NJ111_NJ100","NJ111","NJ100",2197.0223148225
"NJ12_NJ100","NJ12","NJ100",1772.36983152271
"NJ20_NJ100","NJ20","NJ100",2640.28713816438
"NJ21_NJ100","NJ21","NJ100",2775.54114130739
"NJ23_NJ100","NJ23","NJ100",2478.13414109921
"NJ25_NJ100","NJ25","NJ100",1432.66697764477
"NJ33_NJ100","NJ33","NJ100",2925.45951388084
"NJ37_NJ100","NJ37","NJ100",1787.23978528594
"NJ4_NJ100","NJ4","NJ100",2885.99169646126
"NJ44_NJ100","NJ44","NJ100",2977.71669416515
"NJ5_NJ100","NJ5","NJ100",7193.7794984034
"NJ56_NJ100","NJ56","NJ100",2525.60528466101
"NJ59_NJ100","NJ59","NJ100",2651.29903848364
"NJ60_NJ100","NJ60","NJ100",3197.09316099281
"NJ77_NJ100","NJ77","NJ100",1417.75364399606
"NJ78_NJ100","NJ78","NJ100",3462.43889039249
"NJ83_NJ100","NJ83","NJ100",2414.56537409976
"NJ93_NJ100","NJ93","NJ100",2531.9007024798
"NJ95_NJ100","NJ95","NJ100",6959.82586749486
"NJ98_NJ100","NJ98","NJ100",1903.9842710584
"NJ99_NJ100","NJ99","NJ100",2505.90805816179
"NJ1_NJ101","NJ1","NJ101",1696.19855603345
"NJ100_NJ101","NJ100","NJ101",1991.97454731759
"NJ102_NJ101","NJ102","NJ101",1144.60290808765
"NJ105_NJ101","NJ105","NJ101",873.621279930385
"NJ110_NJ101","NJ110","NJ101",6073.85035320427
"NJ111_NJ101","NJ111","NJ101",1132.33424012329
"NJ112_NJ101","NJ112","NJ101",7055.71285502424
"NJ12_NJ101","NJ12","NJ101",901.422215807185
"NJ20_NJ101","NJ20","NJ101",1069.66016766419
"NJ21_NJ101","NJ21","NJ101",1554.07535575851
"NJ23_NJ101","NJ23","NJ101",1072.63199726802
"NJ25_NJ101","NJ25","NJ101",980.779709436805
"NJ33_NJ101","NJ33","NJ101",1925.51556357151
"NJ36_NJ101","NJ36","NJ101",6100.81493911104
"NJ37_NJ101","NJ37","NJ101",1243.07426019258
"NJ4_NJ101","NJ4","NJ101",1364.92454281026
"NJ44_NJ101","NJ44","NJ101",1363.59969733686
"NJ5_NJ101","NJ5","NJ101",5584.2581163399
"NJ56_NJ101","NJ56","NJ101",1330.48993419773
"NJ59_NJ101","NJ59","NJ101",1116.91244843587
"NJ60_NJ101","NJ60","NJ101",2579.71638523488
"NJ74_NJ101","NJ74","NJ101",6679.35788442144
"NJ77_NJ101","NJ77","NJ101",1401.96769212895
"NJ78_NJ101","NJ78","NJ101",2569.76692901876
"NJ83_NJ101","NJ83","NJ101",1395.02727603463
"NJ92_NJ101","NJ92","NJ101",5757.47325286503
"NJ93_NJ101","NJ93","NJ101",2193.42685553174
"NJ95_NJ101","NJ95","NJ101",5426.32717985667
"NJ98_NJ101","NJ98","NJ101",860.880226788618
"NJ99_NJ101","NJ99","NJ101",1624.59835663753
"NJ1_NJ102","NJ1","NJ102",2136.76992027893
"NJ100_NJ102","NJ100","NJ102",1432.55039184969
"NJ101_NJ102","NJ101","NJ102",1144.60290808765
"NJ105_NJ102","NJ105","NJ102",1585.92423054688
"NJ110_NJ102","NJ110","NJ102",6889.28230789953
"NJ111_NJ102","NJ111","NJ102",1195.16865912332
"NJ12_NJ102","NJ12","NJ102",764.407969287672
"NJ20_NJ102","NJ20","NJ102",1843.27888351443
"NJ21_NJ102","NJ21","NJ102",1773.74805490799
"NJ23_NJ102","NJ23","NJ102",1472.47731081965
"NJ25_NJ102","NJ25","NJ102",827.125986340815
"NJ33_NJ102","NJ33","NJ102",2546.99543785985
"NJ36_NJ102","NJ36","NJ102",6856.25303334941
"NJ37_NJ102","NJ37","NJ102",1561.18217931104
"NJ4_NJ102","NJ4","NJ102",1882.87244455077
"NJ44_NJ102","NJ44","NJ102",2046.28122447565
"NJ5_NJ102","NJ5","NJ102",6339.24087635636
"NJ56_NJ102","NJ56","NJ102",1996.50228091197
"NJ59_NJ102","NJ59","NJ102",1660.9450638185
"NJ60_NJ102","NJ60","NJ102",3114.7964404421
"NJ77_NJ102","NJ77","NJ102",1427.01118449793
"NJ78_NJ102","NJ78","NJ102",3218.41410512026
"NJ83_NJ102","NJ83","NJ102",1436.54049392167
"NJ92_NJ102","NJ92","NJ102",6493.64113945504
"NJ93_NJ102","NJ93","NJ102",2574.91872407554
"NJ95_NJ102","NJ95","NJ102",6242.46041519267
"NJ98_NJ102","NJ98","NJ102",1378.37360215585
"NJ99_NJ102","NJ99","NJ102",2207.30521755686
"NJ1_NJ105","NJ1","NJ105",1888.6111699198
"NJ100_NJ105","NJ100","NJ105",2259.361723632
