"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P36805","CJS PILL BOX","109 W 4TH ST","PORTALES","NM",881306369,34.184097,-103.335101,"NM1",34.184945,-103.329619333333,513.541464239463,"roosevelt",35041,19313,2446.051,7
"P36896","WALGREENS #2425","620 MILLS AVENUE","LAS VEGAS","NM",877014671,35.606281,-105.222443,"NM12",35.6036685,-105.22254775,290.976663967409,"san miguel",35047,28203,4721.515,6
"P36830","NOWELL PHARMACY LLC","122 W ADAMS","LOVINGTON","NM",88260,32.950438,-103.350859,"NM13",32.9486295,-103.350889,201.34080308451,"lea",35025,69505,4391.47,5
"P36999","WalMart Pharmacy 10-4341","2001 HR Ashbaugh Dr","Truth or Consequence","NM",87901,33.152616,-107.249714,"NM14",33.1404945,-107.253428,1393.05395956075,"sierra",35051,11254,4181.196,6
"P36832","Wellborn Pharmacy","315 S 2ND STREET","TUCUMCARI","NM",884010985,35.176376,-103.726353,"NM15",35.175355,-103.7263935,113.716926666423,"quay",35037,8447,2873.955,7
"P37047","WALGREENS #15607","1509 E Santa Fe Ave","Grants","NM",870204005,35.129369,-107.828293,"NM16",35.13608025,-107.84245975,1490.4894745334,"cibola",35006,27049,4539.985,6
"P36837","Kare Drug #4","100 N Church St Ste A","BLOOMFIELD","NM",874135727,36.711668,-107.992293,"NM17",36.711668,-107.992293,0,"san juan",35045,128221,5517.205,3
"P37071","CVS Pharmacy #10448","801 N Canal St","Carlsbad","NM",882205107,32.428934,-104.229242,"NM19",32.4227728333333,-104.234643833333,853.248017187054,"eddy",35015,56793,4176.344,5
"P36841","UNITED DRUG SUPERSTORE","221 W HALL ST","HATCH","NM",879370427,32.66511,-107.154693,"NM20",32.66511,-107.154693,0,"dona ana",35013,213849,3808.192,3
"P36847","ALBERTSONS MARKET PHARMACY #680","2402 N GRIMES","HOBBS","NM",88240,32.7274,-103.143691,"NM22",32.7295021666667,-103.144874166667,258.917421127526,"lea",35025,69505,4391.47,5
"P36866","WALMART PHARMACY 10-0806","571 S WALTON BLVD","LAS CRUCES","NM",88001,32.315318,-106.750155,"NM23",32.3262935263158,-106.763943052632,1781.90314543569,"dona ana",35013,213849,3808.192,3
"P36855","WALGREENS #5350","1835 N MAIN ST","ROSWELL","NM",882015168,33.415575,-104.522258,"NM25",33.411932125,-104.527128125,607.646836391465,"chaves",35005,65454,6067.174,5
"P36865","SMITHS PHARMACY #432","31 SHERWOOD BLVD","WHITE ROCK","NM",87547,35.826062,-106.21069,"NM26",35.826062,-106.21069,0,"santa fe",35049,147514,1910.38,3
