"ID","Origin","Destination","Drive_Time"
"C829_NM12","C829","NM12",6654.46204540489
"C830_NM12","C830","NM12",6473.85012033843
"C831_NM12","C831","NM12",6744.75527539241
"C832_NM12","C832","NM12",6659.30254354525
"C833_NM12","C833","NM12",6658.24675139569
"C834_NM12","C834","NM12",6534.34911903972
"C835_NM12","C835","NM12",6482.59928289802
"C837_NM12","C837","NM12",4487.21123998417
"C840_NM12","C840","NM12",3512.24549410924
"C841_NM12","C841","NM12",3521.78423701812
"C839_NM14","C839","NM14",5172.58395048275
"C829_NM16","C829","NM16",5330.19423855546
"C830_NM16","C830","NM16",5465.0977374275
"C831_NM16","C831","NM16",5153.76717783612
"C832_NM16","C832","NM16",5222.44949309137
"C833_NM16","C833","NM16",5198.3436832732
"C834_NM16","C834","NM16",5260.3811249259
"C835_NM16","C835","NM16",5364.93896071347
"C836_NM16","C836","NM16",5446.47175195536
"C838_NM17","C838","NM17",1336.88747753736
"C839_NM20","C839","NM20",2914.77794499164
"C839_NM23","C839","NM23",593.878847071373
"C829_NM26","C829","NM26",4503.57899253475
"C830_NM26","C830","NM26",4339.8385197035
"C831_NM26","C831","NM26",4445.19725944375
"C832_NM26","C832","NM26",4369.20213772175
"C833_NM26","C833","NM26",4331.95067166586
"C834_NM26","C834","NM26",4156.0625234219
"C835_NM26","C835","NM26",4211.02723665553
"C836_NM26","C836","NM26",6379.79685139231
"C837_NM26","C837","NM26",1578.2733930327
"C840_NM26","C840","NM26",1785.81351285956
"C841_NM26","C841","NM26",1849.41149686931
"C837_NM27","C837","NM27",3360.61055392814
"C840_NM27","C840","NM27",4457.89777866233
"C841_NM27","C841","NM27",4575.36253204265
"C838_NM31","C838","NM31",6708.58852206704
"C839_NM34","C839","NM34",4840.14704940088
"C839_NM35","C839","NM35",7171.11511066874
"C840_NM36","C840","NM36",6720.06275311889
"C841_NM36","C841","NM36",6667.25557864585
"C829_NM38","C829","NM38",2178.58185206837
"C830_NM38","C830","NM38",2035.87604574348
"C831_NM38","C831","NM38",2347.13731599284
"C832_NM38","C832","NM38",2279.25581080639
"C833_NM38","C833","NM38",2306.16486418858
"C834_NM38","C834","NM38",2267.92833303875
"C835_NM38","C835","NM38",2146.43827842727
"C836_NM38","C836","NM38",3352.42473919823
"C837_NM38","C837","NM38",5094.37048791217
"C840_NM38","C840","NM38",3541.88961856547
"C841_NM38","C841","NM38",3422.6116549471
"C829_NM39","C829","NM39",4760.15409274561
"C830_NM39","C830","NM39",4606.3348682093
"C831_NM39","C831","NM39",4680.23612218692
"C832_NM39","C832","NM39",4609.147450801
"C833_NM39","C833","NM39",4567.51109986767
"C834_NM39","C834","NM39",4390.99620977515
"C835_NM39","C835","NM39",4461.38910229915
"C836_NM39","C836","NM39",6643.91651808532
"C837_NM39","C837","NM39",1693.83143057872
"C840_NM39","C840","NM39",2341.80038158372
"C841_NM39","C841","NM39",2404.24483233068
"C829_NM40","C829","NM40",2687.56233178104
"C830_NM40","C830","NM40",2560.35243675694
"C831_NM40","C831","NM40",2870.78852043712
"C832_NM40","C832","NM40",2808.52278771324
"C833_NM40","C833","NM40",2839.87488706592
"C834_NM40","C834","NM40",2814.88386844249
"C835_NM40","C835","NM40",2687.12378246267
"C836_NM40","C836","NM40",3593.30005002589
"C837_NM40","C837","NM40",5352.60226983523
"C840_NM40","C840","NM40",3694.60539109117
"C841_NM40","C841","NM40",3573.86838736953
"C839_NM41","C839","NM41",4704.64371999829
"C829_NM42","C829","NM42",5432.02129865685
"C830_NM42","C830","NM42",5579.50761314631
"C831_NM42","C831","NM42",5537.17127155501
"C832_NM42","C832","NM42",5599.39835840992
"C833_NM42","C833","NM42",5646.49231530787
"C834_NM42","C834","NM42",5820.10197645231
"C835_NM42","C835","NM42",5733.40504041917
"C836_NM42","C836","NM42",3622.16261794552
"C837_NM45","C837","NM45",4453.31044778049
"C840_NM45","C840","NM45",5788.2117023868
"C841_NM45","C841","NM45",5908.24772733757
"C839_NM49","C839","NM49",2491.6401479414
"C839_NM53","C839","NM53",2077.42497545961
"C839_NM54","C839","NM54",2803.11535173593
"C829_NM9","C829","NM9",2396.13205516021
"C830_NM9","C830","NM9",2554.84232386609
"C831_NM9","C831","NM9",2488.74855115978
"C832_NM9","C832","NM9",2553.50235844244
"C833_NM9","C833","NM9",2599.10817930973
"C834_NM9","C834","NM9",2773.94612471454
"C835_NM9","C835","NM9",2695.04633247646
"C836_NM9","C836","NM9",664.563493597514
"C840_NM9","C840","NM9",6261.81324538743
"C841_NM9","C841","NM9",6152.92225219467
"NM12_C829","NM12","C829",6654.46204540489
"NM12_C830","NM12","C830",6473.85012033843
"NM12_C831","NM12","C831",6744.75527539241
"NM12_C832","NM12","C832",6659.30254354525
"NM12_C833","NM12","C833",6658.24675139569
"NM12_C834","NM12","C834",6534.34911903972
"NM12_C835","NM12","C835",6482.59928289802
"NM12_C837","NM12","C837",4487.21123998417
"NM12_C840","NM12","C840",3512.24549410924
"NM12_C841","NM12","C841",3521.78423701812
"NM14_C839","NM14","C839",5172.58395048275
"NM16_C829","NM16","C829",5330.19423855546
"NM16_C830","NM16","C830",5465.0977374275
"NM16_C831","NM16","C831",5153.76717783612
"NM16_C832","NM16","C832",5222.44949309137
"NM16_C833","NM16","C833",5198.3436832732
"NM16_C834","NM16","C834",5260.3811249259
"NM16_C835","NM16","C835",5364.93896071347
"NM16_C836","NM16","C836",5446.47175195536
"NM17_C838","NM17","C838",1336.88747753736
"NM20_C839","NM20","C839",2914.77794499164
"NM23_C839","NM23","C839",593.878847071373
"NM26_C829","NM26","C829",4503.57899253475
"NM26_C830","NM26","C830",4339.8385197035
"NM26_C831","NM26","C831",4445.19725944375
"NM26_C832","NM26","C832",4369.20213772175
"NM26_C833","NM26","C833",4331.95067166586
"NM26_C834","NM26","C834",4156.0625234219
"NM26_C835","NM26","C835",4211.02723665553
"NM26_C836","NM26","C836",6379.79685139231
"NM26_C837","NM26","C837",1578.2733930327
"NM26_C840","NM26","C840",1785.81351285956
"NM26_C841","NM26","C841",1849.41149686931
"NM27_C837","NM27","C837",3360.61055392814
"NM27_C840","NM27","C840",4457.89777866233
"NM27_C841","NM27","C841",4575.36253204265
"NM31_C838","NM31","C838",6708.58852206704
"NM34_C839","NM34","C839",4840.14704940088
"NM35_C839","NM35","C839",7171.11511066874
"NM36_C840","NM36","C840",6720.06275311889
"NM36_C841","NM36","C841",6667.25557864585
"NM38_C829","NM38","C829",2178.58185206837
"NM38_C830","NM38","C830",2035.87604574348
"NM38_C831","NM38","C831",2347.13731599284
"NM38_C832","NM38","C832",2279.25581080639
"NM38_C833","NM38","C833",2306.16486418858
"NM38_C834","NM38","C834",2267.92833303875
"NM38_C835","NM38","C835",2146.43827842727
"NM38_C836","NM38","C836",3352.42473919823
"NM38_C837","NM38","C837",5094.37048791217
"NM38_C840","NM38","C840",3541.88961856547
"NM38_C841","NM38","C841",3422.6116549471
"NM39_C829","NM39","C829",4760.15409274561
"NM39_C830","NM39","C830",4606.3348682093
"NM39_C831","NM39","C831",4680.23612218692
"NM39_C832","NM39","C832",4609.147450801
"NM39_C833","NM39","C833",4567.51109986767
"NM39_C834","NM39","C834",4390.99620977515
"NM39_C835","NM39","C835",4461.38910229915
"NM39_C836","NM39","C836",6643.91651808532
"NM39_C837","NM39","C837",1693.83143057872
"NM39_C840","NM39","C840",2341.80038158372
"NM39_C841","NM39","C841",2404.24483233068
"NM40_C829","NM40","C829",2687.56233178104
"NM40_C830","NM40","C830",2560.35243675694
"NM40_C831","NM40","C831",2870.78852043712
"NM40_C832","NM40","C832",2808.52278771324
"NM40_C833","NM40","C833",2839.87488706592
"NM40_C834","NM40","C834",2814.88386844249
"NM40_C835","NM40","C835",2687.12378246267
"NM40_C836","NM40","C836",3593.30005002589
"NM40_C837","NM40","C837",5352.60226983523
"NM40_C840","NM40","C840",3694.60539109117
"NM40_C841","NM40","C841",3573.86838736953
"NM41_C839","NM41","C839",4704.64371999829
"NM42_C829","NM42","C829",5432.02129865685
"NM42_C830","NM42","C830",5579.50761314631
"NM42_C831","NM42","C831",5537.17127155501
"NM42_C832","NM42","C832",5599.39835840992
"NM42_C833","NM42","C833",5646.49231530787
"NM42_C834","NM42","C834",5820.10197645231
"NM42_C835","NM42","C835",5733.40504041917
"NM42_C836","NM42","C836",3622.16261794552
"NM45_C837","NM45","C837",4453.31044778049
"NM45_C840","NM45","C840",5788.2117023868
"NM45_C841","NM45","C841",5908.24772733757
"NM49_C839","NM49","C839",2491.6401479414
"NM53_C839","NM53","C839",2077.42497545961
"NM54_C839","NM54","C839",2803.11535173593
"NM9_C829","NM9","C829",2396.13205516021
"NM9_C830","NM9","C830",2554.84232386609
"NM9_C831","NM9","C831",2488.74855115978
"NM9_C832","NM9","C832",2553.50235844244
"NM9_C833","NM9","C833",2599.10817930973
"NM9_C834","NM9","C834",2773.94612471454
"NM9_C835","NM9","C835",2695.04633247646
"NM9_C836","NM9","C836",664.563493597514
"NM9_C840","NM9","C840",6261.81324538743
"NM9_C841","NM9","C841",6152.92225219467
