"ID","Origin","Destination","Drive_Time"
"NM13_NM1","NM13","NM1",6576.07206025511
"NM15_NM1","NM15","NM1",5671.18532624041
"NM25_NM1","NM25","NM1",6656.23229134185
"NM36_NM1","NM36","NM1",7103.8259664525
"NM5_NM1","NM5","NM1",2004.46405881911
"NM15_NM12","NM15","NM12",6859.28191549708
"NM26_NM12","NM26","NM12",4619.29930126835
"NM27_NM12","NM27","NM12",4701.31103545717
"NM36_NM12","NM36","NM12",4526.79517218076
"NM38_NM12","NM38","NM12",5221.75942663624
"NM39_NM12","NM39","NM12",5016.59705445799
"NM40_NM12","NM40","NM12",4972.11430321038
"NM45_NM12","NM45","NM12",6093.19133563439
"NM1_NM13","NM1","NM13",6576.07206025511
"NM19_NM13","NM19","NM13",4927.2577421547
"NM22_NM13","NM22","NM13",1973.18719061192
"NM25_NM13","NM25","NM13",5784.4908262389
"NM44_NM13","NM44","NM13",3180.65682662578
"NM7_NM13","NM7","NM13",4892.41385485814
"NM20_NM14","NM20","NM14",3015.44155218251
"NM23_NM14","NM23","NM14",5119.42333903108
"NM34_NM14","NM34","NM14",6004.77656457935
"NM35_NM14","NM35","NM14",5070.74048885902
"NM41_NM14","NM41","NM14",5312.96922642025
"NM42_NM14","NM42","NM14",5234.97389659026
"NM49_NM14","NM49","NM14",6988.64055796378
"NM53_NM14","NM53","NM14",6704.11289505531
"NM1_NM15","NM1","NM15",5671.18532624041
"NM12_NM15","NM12","NM15",6859.28191549708
"NM36_NM15","NM36","NM15",4654.67681558157
"NM5_NM15","NM5","NM15",4784.85822236638
"NM31_NM16","NM31","NM16",4763.87885595092
"NM38_NM16","NM38","NM16",7044.96210373404
"NM42_NM16","NM42","NM16",6921.28766642397
"NM9_NM16","NM9","NM16",5325.68460175331
"NM31_NM17","NM31","NM17",6938.12710306994
"NM13_NM19","NM13","NM19",4927.2577421547
"NM22_NM19","NM22","NM19",5200.53994678207
"NM25_NM19","NM25","NM19",5460.28689715885
"NM44_NM19","NM44","NM19",4921.02675710918
"NM7_NM19","NM7","NM19",2751.30928835901
"NM14_NM20","NM14","NM20",3015.44155218251
"NM23_NM20","NM23","NM20",2861.88337481068
"NM34_NM20","NM34","NM20",5539.2619079547
"NM35_NM20","NM35","NM20",5132.90409241136
"NM41_NM20","NM41","NM20",3694.30054977735
"NM49_NM20","NM49","NM20",4863.03858413645
"NM53_NM20","NM53","NM20",4376.73334017285
"NM54_NM20","NM54","NM20",5004.87910332073
"NM13_NM22","NM13","NM22",1973.18719061192
"NM19_NM22","NM19","NM22",5200.53994678207
"NM25_NM22","NM25","NM22",7017.57780437462
"NM44_NM22","NM44","NM22",2004.25317828454
"NM7_NM22","NM7","NM22",5729.65662246208
"NM14_NM23","NM14","NM23",5119.42333903108
"NM20_NM23","NM20","NM23",2861.88337481068
"NM34_NM23","NM34","NM23",4833.66169379575
"NM35_NM23","NM35","NM23",7126.97565838304
"NM41_NM23","NM41","NM23",4676.2982484665
"NM49_NM23","NM49","NM23",2543.74757678964
"NM53_NM23","NM53","NM23",2129.65617720689
"NM54_NM23","NM54","NM23",2853.01943886268
"NM1_NM25","NM1","NM25",6656.23229134185
"NM13_NM25","NM13","NM25",5784.4908262389
"NM19_NM25","NM19","NM25",5460.28689715885
"NM22_NM25","NM22","NM25",7017.57780437462
"NM30_NM25","NM30","NM25",5125.72179110642
"NM34_NM25","NM34","NM25",6799.00619722869
"NM7_NM25","NM7","NM25",3360.63067587432
"NM12_NM26","NM12","NM26",4619.29930126835
"NM27_NM26","NM27","NM26",4325.42271658134
"NM38_NM26","NM38","NM26",4171.43063833576
"NM39_NM26","NM39","NM26",1094.48279329227
"NM40_NM26","NM40","NM26",4490.33493448338
"NM45_NM26","NM45","NM26",5445.01524981363
"NM9_NM26","NM9","NM26",6481.22011201996
"NM12_NM27","NM12","NM27",4701.31103545717
"NM26_NM27","NM26","NM27",4325.42271658134
"NM39_NM27","NM39","NM27",4373.57788104055
"NM45_NM27","NM45","NM27",2152.24207563183
"NM25_NM30","NM25","NM30",5125.72179110642
"NM34_NM30","NM34","NM30",3093.73620346967
"NM42_NM30","NM42","NM30",6819.70980402524
"NM7_NM30","NM7","NM30",6056.19071996437
"NM16_NM31","NM16","NM31",4763.87885595092
"NM17_NM31","NM17","NM31",6938.12710306994
"NM14_NM34","NM14","NM34",6004.77656457935
"NM20_NM34","NM20","NM34",5539.2619079547
"NM23_NM34","NM23","NM34",4833.66169379575
"NM25_NM34","NM25","NM34",6799.00619722869
"NM30_NM34","NM30","NM34",3093.73620346967
"NM49_NM34","NM49","NM34",5044.20521665074
"NM53_NM34","NM53","NM34",5595.88585984157
"NM54_NM34","NM54","NM34",6294.16294867806
"NM7_NM34","NM7","NM34",6750.85382437526
"NM14_NM35","NM14","NM35",5070.74048885902
"NM20_NM35","NM20","NM35",5132.90409241136
"NM23_NM35","NM23","NM35",7126.97565838304
"NM41_NM35","NM41","NM35",3895.60082464233
"NM48_NM35","NM48","NM35",3573.79075717148
"NM1_NM36","NM1","NM36",7103.8259664525
"NM12_NM36","NM12","NM36",4526.79517218076
"NM15_NM36","NM15","NM36",4654.67681558157
"NM38_NM36","NM38","NM36",6565.71952552064
"NM40_NM36","NM40","NM36",6011.48329900676
"NM5_NM36","NM5","NM36",6987.92110321956
"NM12_NM38","NM12","NM38",5221.75942663624
"NM16_NM38","NM16","NM38",7044.96210373404
"NM26_NM38","NM26","NM38",4171.43063833576
"NM36_NM38","NM36","NM38",6565.71952552064
"NM39_NM38","NM39","NM38",4580.93633060814
"NM40_NM38","NM40","NM38",1142.86983389342
"NM42_NM38","NM42","NM38",6137.72915334531
"NM9_NM38","NM9","NM38",3505.91313695158
"NM12_NM39","NM12","NM39",5016.59705445799
"NM26_NM39","NM26","NM39",1094.48279329227
"NM27_NM39","NM27","NM39",4373.57788104055
"NM38_NM39","NM38","NM39",4580.93633060814
"NM40_NM39","NM40","NM39",4938.79352843253
"NM45_NM39","NM45","NM39",5392.46392753635
"NM9_NM39","NM9","NM39",6735.80908344984
"NM12_NM40","NM12","NM40",4972.11430321038
"NM26_NM40","NM26","NM40",4490.33493448338
"NM36_NM40","NM36","NM40",6011.48329900676
"NM38_NM40","NM38","NM40",1142.86983389342
"NM39_NM40","NM39","NM40",4938.79352843253
"NM42_NM40","NM42","NM40",6215.09392441872
"NM9_NM40","NM9","NM40",3756.49188227336
"NM14_NM41","NM14","NM41",5312.96922642025
"NM20_NM41","NM20","NM41",3694.30054977735
"NM23_NM41","NM23","NM41",4676.2982484665
"NM35_NM41","NM35","NM41",3895.60082464233
"NM48_NM41","NM48","NM41",4678.42801869953
"NM49_NM41","NM49","NM41",6245.16783263952
"NM53_NM41","NM53","NM41",5426.50622727718
"NM54_NM41","NM54","NM41",5639.21476015089
"NM14_NM42","NM14","NM42",5234.97389659026
"NM16_NM42","NM16","NM42",6921.28766642397
"NM30_NM42","NM30","NM42",6819.70980402524
"NM38_NM42","NM38","NM42",6137.72915334531
"NM40_NM42","NM40","NM42",6215.09392441872
"NM9_NM42","NM9","NM42",3546.75221655219
