"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
35001003803,"NM38","New Mexico",35001,2,674855,1161.255,35.18564,-106.3135,0,"WALMART PHARMACY 10-4201","66 State Road 344",35.070876,-106.188193,35.0644133333333,-106.189991666667,17127.9444558752,147514,1910.38,3,3,581.142815316188,1228.2276385179
35001003804,"NM38","New Mexico",35001,2,674855,1161.255,35.12377,-106.3067,0,"WALMART PHARMACY 10-4201","66 State Road 344",35.070876,-106.188193,35.0644133333333,-106.189991666667,12295.1088157864,147514,1910.38,3,3,581.142815316188,1021.96221339891
35001003805,"NM38","New Mexico",35001,2,674855,1161.255,35.1193,-106.4063,0,"WALGREENS #7881","5 WALKER RD",35.060758,-106.192191,35.0644133333333,-106.189991666667,20562.5840708232,147514,1910.38,3,3,581.142815316188,1374.81805728388
35001003806,"NM38","New Mexico",35001,2,674855,1161.255,35.06117,-106.3052,0,"WALGREENS #7881","5 WALKER RD",35.060758,-106.192191,35.0644133333333,-106.189991666667,10297.4363212516,147514,1910.38,3,3,581.142815316188,936.701551332163
35001003806,"NM40","New Mexico",35001,2,674855,1161.255,35.06117,-106.3052,0,"May Health Mart Pharmacy II","600 US-66",35.00457,-106.050728,35.00457,-106.050728,24035.8703889585,15534,3345.212,2,2,581.142815316188,1480.31791734189
35001003807,"NM38","New Mexico",35001,2,674855,1161.255,34.95985,-106.3111,0,"WALGREENS #7881","5 WALKER RD",35.060758,-106.192191,35.0644133333333,-106.189991666667,15611.6106997534,147514,1910.38,3,3,581.142815316188,1163.51051380662
35001003807,"NM40","New Mexico",35001,2,674855,1161.255,34.95985,-106.3111,0,"May Health Mart Pharmacy II","600 US-66",35.00457,-106.050728,35.00457,-106.050728,24264.0228392425,15534,3345.212,2,2,581.142815316188,1490.05546392001
35005000201,"NM25","New Mexico",35005,5,65454,6067.174,33.39145,-104.5325,4.930872076,"ALBERTSONS MARKET PHARMACY #691","900 W 2ND ST",33.393653,-104.535361,33.411932125,-104.527128125,361.730419829534,65454,6067.174,5,5,10.7882186995132,644.854775560273
35005000202,"NM25","New Mexico",35005,5,65454,6067.174,33.38855,-104.5503,5.208384452,"ALBERTSONS MARKET PHARMACY #691","900 W 2ND ST",33.393653,-104.535361,33.411932125,-104.527128125,1500.20543327326,65454,6067.174,5,5,10.7882186995132,693.444889134052
35005000300,"NM25","New Mexico",35005,5,65454,6067.174,33.41145,-104.5367,8.318668089,"CVS Pharmacy #11332","700 N UNION",33.400197,-104.536576,33.411932125,-104.527128125,1252.73122839241,65454,6067.174,5,5,10.7882186995132,682.882690069737
35005000400,"NM25","New Mexico",35005,5,65454,6067.174,33.40864,-104.4936,6.026174547,"WALGREENS #5350","1835 N MAIN ST",33.415575,-104.522258,33.411932125,-104.527128125,2772.60107755741,65454,6067.174,5,5,10.7882186995132,747.750735232099
35005000500,"NM25","New Mexico",35005,5,65454,6067.174,33.38286,-104.5246,2.75367353,"ALBERTSONS MARKET PHARMACY #690","1110 S MAIN ST",33.380953,-104.52384,33.411932125,-104.527128125,223.732433080901,65454,6067.174,5,5,10.7882186995132,638.965021485842
35005000600,"NM25","New Mexico",35005,5,65454,6067.174,33.36407,-104.4955,6.165601054,"WALGREENS #1941","1200 S Main St",33.379344,-104.523342,33.411932125,-104.527128125,3096.84871762655,65454,6067.174,5,5,10.7882186995132,761.58962451025
35005000700,"NM25","New Mexico",35005,5,65454,6067.174,33.35392,-104.5272,6.545002033,"WALGREENS #1941","1200 S Main St",33.379344,-104.523342,33.411932125,-104.527128125,2852.82464460953,65454,6067.174,5,5,10.7882186995132,751.174677073884
35005000800,"NM25","New Mexico",35005,5,65454,6067.174,33.36319,-104.5476,7.866872578,"WALGREENS #1941","1200 S Main St",33.379344,-104.523342,33.411932125,-104.527128125,2884.34759091849,65454,6067.174,5,5,10.7882186995132,752.52007642235
35005000900,"NM25","New Mexico",35005,5,65454,6067.174,33.40407,-104.5818,3.901260941,"CVS Pharmacy #11332","700 N UNION",33.400197,-104.536576,33.411932125,-104.527128125,4224.8382189047,65454,6067.174,5,5,10.7882186995132,809.732216424802
35005001001,"NM25","New Mexico",35005,5,65454,6067.174,33.43878,-104.5071,7.455296252,"Farmers Uptown Pharmacy","2800 N Main St",33.42811,-104.523664,33.411932125,-104.527128125,1943.87820454019,65454,6067.174,5,5,10.7882186995132,712.380843011724
35005001002,"NM25","New Mexico",35005,5,65454,6067.174,33.43716,-104.5397,5.709783625,"SAMS PHARMACY 10-4961","4400 NORTH MAIN STREET",33.447722,-104.525961,33.411932125,-104.527128125,1735.25488283129,65454,6067.174,5,5,10.7882186995132,703.476799641188
35005001101,"NM25","New Mexico",35005,5,65454,6067.174,33.30062,-104.5252,8.26236123,"WALGREENS #1941","1200 S Main St",33.379344,-104.523342,33.411932125,-104.527128125,8765.21891639467,65454,6067.174,5,5,10.7882186995132,1003.51566459367
35006974201,"NM16","New Mexico",35006,6,27049,4539.985,35.13444,-107.8132,5.050816787,"WALGREENS #15607","1509 E Santa Fe Ave",35.129369,-107.828293,35.13608025,-107.84245975,1485.50850537213,27049,4539.985,6,6,5.95794920027269,735.953368231304
35006974202,"NM16","New Mexico",35006,6,27049,4539.985,35.15497,-107.8357,2.938532,"TRUST PHARMACY","1000 ROOSEVELT",35.161041,-107.82658,35.13608025,-107.84245975,1070.3596080719,27049,4539.985,6,6,5.95794920027269,718.23481329453
35006974400,"NM16","New Mexico",35006,6,27049,4539.985,35.19284,-107.8789,4.131236061,"TRUST PHARMACY","1000 ROOSEVELT",35.161041,-107.82658,35.13608025,-107.84245975,5932.43569626206,27049,4539.985,6,6,5.95794920027269,925.748220738486
35009000100,"NM5","New Mexico",35009,5,50283,1405.512,34.40671,-103.2316,7.3279355,"Plains Regional Medical Center Pharmacy","2401 W 21st St",34.418877,-103.236024,34.42750525,-103.20953925,1414.04903590456,50283,1405.512,5,5,35.7755750217714,687.720519990873
35009000201,"NM5","New Mexico",35009,5,50283,1405.512,34.42666,-103.2317,6.213864076,"Plains Regional Medical Center Pharmacy","2401 W 21st St",34.418877,-103.236024,34.42750525,-103.20953925,953.048879844353,50283,1405.512,5,5,35.7755750217714,668.045033330223
35009000202,"NM5","New Mexico",35009,5,50283,1405.512,34.41319,-103.2217,5.248603637,"Plains Regional Medical Center Pharmacy","2401 W 21st St",34.418877,-103.236024,34.42750525,-103.20953925,1459.83718995747,50283,1405.512,5,5,35.7755750217714,689.674758405851
35009000301,"NM5","New Mexico",35009,5,50283,1405.512,34.42881,-103.2045,8.925977782,"RODEN-SMITH PHARMACY","305 E Llano Estacado Blvd",34.433837,-103.205076,34.42750525,-103.20953925,562.096600152835,50283,1405.512,5,5,35.7755750217714,651.359190032989
35009000303,"NM5","New Mexico",35009,5,50283,1405.512,34.41248,-103.1778,5.704421067,"WALGREENS #4950","700 E 21ST STREET",34.419747,-103.197112,34.42750525,-103.20953925,1949.27614242656,50283,1405.512,5,5,35.7755750217714,710.564012897232
35009000304,"NM5","New Mexico",35009,5,50283,1405.512,34.43113,-103.18,8.326711926,"WALMART PHARMACY 10-0821","3728 N PRINCE STREET",34.43756,-103.199945,34.42750525,-103.20953925,1966.1420865316,50283,1405.512,5,5,35.7755750217714,711.283851391635
35009000400,"NM5","New Mexico",35009,5,50283,1405.512,34.40081,-103.1733,5.522094095,"WALGREENS #4950","700 E 21ST STREET",34.419747,-103.197112,34.42750525,-103.20953925,3037.49954877916,50283,1405.512,5,5,35.7755750217714,757.009387880361
35009000500,"NM5","New Mexico",35009,5,50283,1405.512,34.38331,-103.2089,3.017779512,"WALGREENS #4950","700 E 21ST STREET",34.419747,-103.197112,34.42750525,-103.20953925,4198.1694205061,50283,1405.512,5,5,35.7755750217714,806.546778005667
