"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P40351","WALMART PHARMACY 10-1705","1860 N RD","WATERLOO","NY",13165,42.907735,-76.840959,"NY1",42.90529075,-76.84232275,293.937402,"seneca",36099,34843,323.71,6
"P41715","Walgreens #17276","3588 State Route 31","BALDWINSVILLE","NY",130278232,43.179405,-76.262269,"NY100",43.16757631,-76.27531123,1689.662378,"onondaga",36067,467669,778.39,2
"P38047","RITE AID PHARMACY 00868","9 BROAD STREET","SALAMANCA","NY",147791418,42.154543,-78.716518,"NY102",42.154543,-78.716518,0,"cattaraugus",36009,78175,1308.278,4
"P38062","BROWNS PRESCRIPTION PHARMACY OF DEPOSIT INC","115 FRONT ST","DEPOSIT","NY",137540066,42.060585,-75.426934,"NY104",42.060585,-75.426934,0,"broome",36007,196124,705.817,2
"P38063","Kinney Drugs","3318 MAIN STREET","MEXICO","NY",13114,43.459973,-76.234517,"NY105",43.459973,-76.234517,0,"oswego",36075,119833,951.648,2
"P38073","HANNAFORD FOOD AND DRUG","1165 ROUTE 29","GREENWICH","NY",12834,43.104833,-73.51493,"NY107",43.1038695,-73.5142735,119.7953664,"washington",36115,62183,831.168,3
"P38523","CORNER DRUG STORE","101 W MAIN ST","ENDICOTT","NY",13760,42.095266,-76.065553,"NY111",42.09620343,-76.07561671,837.8065878,"broome",36007,196124,705.817,2
"P38294","WALMART PHARMACY 10-1806","329 South Kingsboro Ave","Gloversville","NY",12078,43.032302,-74.343966,"NY112",43.041503,-74.342279,1033.407195,"fulton",36035,53955,495.46,4
"P39313","WALMART PHARMACY 10-3842","425 ROUTE 31","MACEDON","NY",14502,43.066465,-77.357832,"NY114",43.065757,-77.338513,1573.117713,"wayne",36117,91442,603.832,1
"P40830","WalMart Pharmacy 10-4570","7500 State Route 209","Napanoch","NY",124589998,41.742249,-74.371004,"NY116",41.73849925,-74.36529225,631.9250747,"ulster",36111,180129,1124.235,3
"P39419","TOPS PHARMACY","658 WEST MAIN STREET","ARCADE","NY",14009,42.531482,-78.446696,"NY117",42.53141675,-78.45614425,775.0933035,"wyoming",36121,40886,592.751,6
"P38171","PETERS PHARMACY OF NARROWSBURG","141 KIRK RD","NARROWSBURG","NY",127649802,41.612914,-75.056704,"NY118",41.612914,-75.056704,0,"sullivan",36105,75783,968.136,4
"P40263","VILLAGE PHARMACY","537 S MAIN ST","Central Square","NY",130360398,43.278118,-76.146049,"NY119",43.2651062,-76.1370628,1621.28467,"oswego",36075,119833,951.648,2
"P41802","Walgreens #18978","15 COLEMAN STREET","CHATHAM","NY",120371339,42.356622,-73.59925,"NY121",42.3533765,-73.6021535,433.1036455,"columbia",36021,61481,634.665,6
"P39810","RITE AID PHARMACY 10846","420 HAMILTON STREET","GENEVA","NY",144562951,42.857558,-77.001621,"NY122",42.8619678,-77.0027806,499.9330265,"ontario",36069,109491,644.05,1
"P39320","WALGREENS #10380","18 EASTERN BLVD","CANANDAIGUA","NY",144242219,42.878928,-77.268216,"NY124",42.88362167,-77.26696183,532.4178137,"ontario",36069,109491,644.05,1
