"ID","Origin","Destination","Drive_Time"
"C846_NY1","C846","NY1",5314.5046497443
"C847_NY1","C847","NY1",5725.67266172058
"C895_NY1","C895","NY1",3173.30699092592
"C899_NY1","C899","NY1",3032.87387120001
"C927_NY1","C927","NY1",3483.36287008353
"C935_NY1","C935","NY1",3413.1746904646
"C936_NY1","C936","NY1",3467.22484331266
"C937_NY1","C937","NY1",5661.38563612447
"C942_NY1","C942","NY1",3159.29194793861
"C943_NY1","C943","NY1",3119.02264308012
"C945_NY1","C945","NY1",6252.03639228881
"C947_NY1","C947","NY1",6685.59371850292
"C847_NY100","C847","NY100",5785.30201019041
"C895_NY100","C895","NY100",4109.82178265252
"C899_NY100","C899","NY100",887.094040722209
"C927_NY100","C927","NY100",1993.34953489092
"C935_NY100","C935","NY100",5022.14397424426
"C936_NY100","C936","NY100",5137.77509191488
"C937_NY100","C937","NY100",3230.36457909154
"C942_NY100","C942","NY100",1219.53498702421
"C943_NY100","C943","NY100",1153.30102187951
"C945_NY100","C945","NY100",3968.03537954147
"C947_NY100","C947","NY100",4493.78588121157
"C846_NY102","C846","NY102",5003.32270204135
"C880_NY102","C880","NY102",4195.73242985661
"C881_NY102","C881","NY102",4204.91744601288
"C882_NY102","C882","NY102",4256.13275357909
"C883_NY102","C883","NY102",4080.27399851562
"C884_NY102","C884","NY102",4678.03438238617
"C924_NY102","C924","NY102",5188.48805575909
"C926_NY102","C926","NY102",3583.05729985643
"C935_NY102","C935","NY102",6605.74282858744
"C936_NY102","C936","NY102",6437.1013873512
"C842_NY104","C842","NY104",7006.57395851794
"C843_NY104","C843","NY104",6937.83538539346
"C845_NY104","C845","NY104",6564.10621700626
"C847_NY104","C847","NY104",2201.69558987081
"C848_NY104","C848","NY104",5718.48486935817
"C849_NY104","C849","NY104",5638.41023663844
"C850_NY104","C850","NY104",5658.18244302994
"C851_NY104","C851","NY104",5619.86917019326
"C852_NY104","C852","NY104",5621.13298151901
"C853_NY104","C853","NY104",5637.45406891359
"C854_NY104","C854","NY104",5613.1692999832
"C855_NY104","C855","NY104",5740.57332581293
"C856_NY104","C856","NY104",5581.8781252381
"C857_NY104","C857","NY104",5590.84236788575
"C858_NY104","C858","NY104",5693.21607866355
"C859_NY104","C859","NY104",5512.86345696849
"C860_NY104","C860","NY104",5683.66164135776
"C861_NY104","C861","NY104",5633.16010204675
"C862_NY104","C862","NY104",6124.00772998578
"C863_NY104","C863","NY104",5879.44304507126
"C864_NY104","C864","NY104",6024.70822732373
