"ID","Origin","Destination","Drive_Time"
"NY100_NY1","NY100","NY1",3012.02381457881
"NY104_NY1","NY104","NY1",7033.38525958881
"NY105_NY1","NY105","NY1",4023.93580562172
"NY111_NY1","NY111","NY1",5370.16119135169
"NY114_NY1","NY114","NY1",2608.88739847634
"NY117_NY1","NY117","NY1",6547.19791779393
"NY119_NY1","NY119","NY1",3647.58172522016
"NY122_NY1","NY122","NY1",1267.12229851356
"NY124_NY1","NY124","NY1",2152.57896196278
"NY125_NY1","NY125","NY1",4343.70540839609
"NY131_NY1","NY131","NY1",3398.99025134495
"NY132_NY1","NY132","NY1",5622.78309097811
"NY133_NY1","NY133","NY1",1634.65147899144
"NY136_NY1","NY136","NY1",2625.7720008043
"NY138_NY1","NY138","NY1",4200.27054028922
"NY142_NY1","NY142","NY1",3869.50499824935
"NY144_NY1","NY144","NY1",4001.70818812314
"NY147_NY1","NY147","NY1",2548.51795124406
"NY149_NY1","NY149","NY1",3222.46167837213
"NY150_NY1","NY150","NY1",5630.64210821561
"NY154_NY1","NY154","NY1",4662.82205362385
"NY155_NY1","NY155","NY1",4991.04549715716
"NY156_NY1","NY156","NY1",3769.4554200706
"NY157_NY1","NY157","NY1",6934.55160472292
"NY158_NY1","NY158","NY1",6323.14518889932
"NY165_NY1","NY165","NY1",3894.33535922892
"NY172_NY1","NY172","NY1",6911.70075860904
"NY174_NY1","NY174","NY1",4097.93159774596
"NY177_NY1","NY177","NY1",6255.5834570087
"NY179_NY1","NY179","NY1",1724.42363320055
"NY180_NY1","NY180","NY1",5155.77378251383
"NY186_NY1","NY186","NY1",3181.55443813695
"NY187_NY1","NY187","NY1",2057.82621298366
"NY188_NY1","NY188","NY1",2474.63421725211
"NY189_NY1","NY189","NY1",2396.67195937535
"NY19_NY1","NY19","NY1",3797.73979360106
"NY190_NY1","NY190","NY1",5198.00268252517
"NY191_NY1","NY191","NY1",1877.51849446826
"NY192_NY1","NY192","NY1",4077.39752405859
"NY196_NY1","NY196","NY1",5536.43674811132
