"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
36001000100,"NY181","New York",36001,2,308580,522.823,42.66375,-73.73691,0,"NASSAU PHARMACY INC","3541 US Route 20",42.518046,-73.621168,42.518046,-73.621168,18789.7109857854,159800,652.459,2,2,590.218869483554,1255.66823289653
36001000100,"NY272","New York",36001,2,308580,522.823,42.66375,-73.73691,0,"CVS Pharmacy #05037","2480 US Route 9W Ste 3",42.465358,-73.816505,42.465358,-73.816505,23028.8860050521,308580,522.823,2,2,590.218869483554,1436.59622271884
36001000200,"NY181","New York",36001,2,308580,522.823,42.66441,-73.7515,0,"NASSAU PHARMACY INC","3541 US Route 20",42.518046,-73.621168,42.518046,-73.621168,19482.1517396462,159800,652.459,2,2,590.218869483554,1285.22160427131
36001000200,"NY272","New York",36001,2,308580,522.823,42.66441,-73.7515,0,"CVS Pharmacy #05037","2480 US Route 9W Ste 3",42.465358,-73.816505,42.465358,-73.816505,22790.3088108447,308580,522.823,2,2,590.218869483554,1426.41374807006
36001000300,"NY181","New York",36001,2,308580,522.823,42.68058,-73.78289,0,"NASSAU PHARMACY INC","3541 US Route 20",42.518046,-73.621168,42.518046,-73.621168,22427.1711587488,159800,652.459,2,2,590.218869483554,1410.91503307861
36001000300,"NY272","New York",36001,2,308580,522.823,42.68058,-73.78289,0,"CVS Pharmacy #05037","2480 US Route 9W Ste 3",42.465358,-73.816505,42.465358,-73.816505,24116.3595926332,308580,522.823,2,2,590.218869483554,1483.0095954368
36001000403,"NY181","New York",36001,2,308580,522.823,42.67687,-73.80526,0,"NASSAU PHARMACY INC","3541 US Route 20",42.518046,-73.621168,42.518046,-73.621168,23241.3557107518,159800,652.459,2,2,590.218869483554,1445.6644297581
36001000403,"NY272","New York",36001,2,308580,522.823,42.67687,-73.80526,0,"CVS Pharmacy #05037","2480 US Route 9W Ste 3",42.465358,-73.816505,42.465358,-73.816505,23563.4478532275,308580,522.823,2,2,590.218869483554,1459.41132239896
36001000501,"NY181","New York",36001,2,308580,522.823,42.67034,-73.78243,0,"NASSAU PHARMACY INC","3541 US Route 20",42.518046,-73.621168,42.518046,-73.621168,21495.563317281,159800,652.459,2,2,590.218869483554,1371.15401040477
36001000501,"NY272","New York",36001,2,308580,522.823,42.67034,-73.78243,0,"CVS Pharmacy #05037","2480 US Route 9W Ste 3",42.465358,-73.816505,42.465358,-73.816505,22988.8627672674,308580,522.823,2,2,590.218869483554,1434.88803093019
36001000502,"NY181","New York",36001,2,308580,522.823,42.66701,-73.78673,0,"NASSAU PHARMACY INC","3541 US Route 20",42.518046,-73.621168,42.518046,-73.621168,21426.0456754068,159800,652.459,2,2,590.218869483554,1368.18699744957
36001000502,"NY272","New York",36001,2,308580,522.823,42.66701,-73.78673,0,"CVS Pharmacy #05037","2480 US Route 9W Ste 3",42.465358,-73.816505,42.465358,-73.816505,22580.1417623655,308580,522.823,2,2,590.218869483554,1417.44381844097
36001000600,"NY181","New York",36001,2,308580,522.823,42.66459,-73.77365,0,"NASSAU PHARMACY INC","3541 US Route 20",42.518046,-73.621168,42.518046,-73.621168,20549.4676215565,159800,652.459,2,2,590.218869483554,1330.77464611124
36001000600,"NY272","New York",36001,2,308580,522.823,42.66459,-73.77365,0,"CVS Pharmacy #05037","2480 US Route 9W Ste 3",42.465358,-73.816505,42.465358,-73.816505,22454.9983280652,308580,522.823,2,2,590.218869483554,1412.10269666504
36001000700,"NY181","New York",36001,2,308580,522.823,42.6693,-73.76326,0,"NASSAU PHARMACY INC","3541 US Route 20",42.518046,-73.621168,42.518046,-73.621168,20471.8241338645,159800,652.459,2,2,590.218869483554,1327.46082205655
36001000700,"NY272","New York",36001,2,308580,522.823,42.6693,-73.76326,0,"CVS Pharmacy #05037","2480 US Route 9W Ste 3",42.465358,-73.816505,42.465358,-73.816505,23118.5883959119,308580,522.823,2,2,590.218869483554,1440.42472076073
36001000800,"NY181","New York",36001,2,308580,522.823,42.66036,-73.76521,0,"NASSAU PHARMACY INC","3541 US Route 20",42.518046,-73.621168,42.518046,-73.621168,19757.02212274,159800,652.459,2,2,590.218869483554,1296.95307222176
36001000800,"NY272","New York",36001,2,308580,522.823,42.66036,-73.76521,0,"CVS Pharmacy #05037","2480 US Route 9W Ste 3",42.465358,-73.816505,42.465358,-73.816505,22111.1864168825,308580,522.823,2,2,590.218869483554,1397.42880429576
36001001100,"NY181","New York",36001,2,308580,522.823,42.65255,-73.75006,0,"NASSAU PHARMACY INC","3541 US Route 20",42.518046,-73.621168,42.518046,-73.621168,18324.5568151141,159800,652.459,2,2,590.218869483554,1235.81545289228
36001001100,"NY272","New York",36001,2,308580,522.823,42.65255,-73.75006,0,"CVS Pharmacy #05037","2480 US Route 9W Ste 3",42.465358,-73.816505,42.465358,-73.816505,21538.5736541804,308580,522.823,2,2,590.218869483554,1372.98969158363
