"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P32060","Tar Heel Drug","300 MIDDLETON ST","ROBBINS","NC",27325,35.431702,-79.588204,"NC37",35.431702,-79.588204,0,"moore",37125,94191,697.677,4
"P32094","CVS Pharmacy #04126","1020 JOHN SMALL AVE","WASHINGTON","NC",27889,35.54762,-77.040188,"NC60",35.5439618,-77.0592358,1772.668539,"beaufort",37013,47316,832.093,6
"P32095","CVS Pharmacy #04165","371 Asheville Hwy","BREVARD","NC",28712,35.247405,-82.723403,"NC56",35.2530108,-82.7192584,728.95831,"transylvania",37175,33291,378.354,6
"P32121","WALGREENS  #9730","207 N FAYETTEVILLE ST","ASHEBORO","NC",272035529,35.70822,-79.814331,"NC33",35.70108258,-79.80959183,902.667945,"randolph",37151,142827,782.327,2
"P32124","BANNER ELK PHARMACY","110 PARK AVE","BANNER ELK","NC",28604,36.163994,-81.868752,"NC72",36.1410815,-81.852755,2927.98935,"avery",37011,17535,247.337,8
"P32148","DRUGCO DISCOUNT PHARMACY","139 ELAMS RD","LITTLETON","NC",27850,36.541801,-77.942783,"NC85",36.541801,-77.942783,0,"brunswick",51025,16435,566.233,6
"P32150","KOONCE DRUG COMPANY INC","112 E 7TH AVE","CHADBOURN","NC",28431,34.3295,-78.825242,"NC86",34.3295,-78.825242,0,"columbus",37047,56589,938.12,6
"P32156","WALMART PHARMACY 10-3305","6711 NC HIGHWAY 135","MAYODAN","NC",27027,36.415481,-79.941894,"NC89",36.4112844,-79.9498104,849.2304376,"rockingham",37157,91566,565.638,2
"P32177","INGLES PHARMACY","5580 HWY 25 70","MARSHALL","NC",28753,35.813339,-82.670849,"NC100",35.807343,-82.663915,915.0720689,"madison",37115,21347,449.615,2
"P32200","BRIDGE STREET PHARMACY","817 NORTH BRIDGE STREET","ELKIN","NC",28621,36.256972,-80.848292,"NC63",36.2574515,-80.84484067,314.3726291,"surry",37171,72315,533.74,4
"P32205","Elvington Drug","7490 Andrew Jackson Hwy SW","Cerro Gordo","NC",284309258,34.329133,-78.927778,"NC110",34.329133,-78.927778,0,"columbus",37047,56589,938.12,6
"P32223","Futrell Pharmacy of Rich Square","124 S MAIN ST","RICH SQUARE","NC",27869,36.273346,-77.284944,"NC118",36.273346,-77.284944,0,"northampton",37131,20426,536.678,9
"P32283","Medical Pharmacy of Locust","236 MARKET ST STE 100","LOCUST","NC",28097,35.260524,-80.430764,"NC135",35.258388,-80.4411355,972.2674957,"stanly",37167,60875,395.134,6
"P32292","WALGREENS #10088","5717 S NC 41 HWY","WALLACE","NC",284669220,34.739578,-77.977109,"NC138",34.73851275,-77.97814725,151.9291836,"duplin",37061,59350,814.758,6
"P32321","RHG PHARMACY","204 EVANS RD","HOLLISTER","NC",27844,36.24934,-77.958758,"NC146",36.24934,-77.958758,0,"warren",37185,20190,429.39,8
"P32323","FOOD LION PHARMACY","123 B FORBES LOOP RD","GRANDY","NC",27939,36.238828,-75.878033,"NC147",36.238828,-75.878033,0,"currituck",37053,264.513,25247,1
"P32325","Cochrane Ridenhour Drug Co #3","116 S MAIN ST","Mount Gilead","NC",27306,35.213363,-80.001763,"NC149",35.213363,-80.001763,0,"montgomery",37123,27445,491.537,6
"P32328","MOOSE DRUG COMPANY","8374 W FRANKLIN ST","MT PLEASANT","NC",28124,35.398916,-80.435937,"NC150",35.398916,-80.435937,0,"cabarrus",37025,196716,361.255,1
"P32330","Value RX Pharmacy","107 S PINE ST","WARSAW","NC",283781924,34.999084,-78.090539,"NC151",34.999084,-78.090539,0,"duplin",37061,59350,814.758,6
"P32339","Community Pharmacy Timberlake","413 HELENA MORIAH RD","TIMBERLAKE","NC",27583,36.286391,-78.95194,"NC154",36.286391,-78.95194,0,"person",37145,39240,392.334,2
"P32340","NEWTON GROVE DRUG CO INC","305 W WEEKS CIR","NEWTON GROVE","NC",28366,35.244893,-78.354652,"NC155",35.244893,-78.354652,0,"sampson",37163,63664,945.704,6
"P32361","Carolina Apothecary Inc","726 S SCALES ST","REIDSVILLE","NC",27320,36.351318,-79.66531,"NC78",36.35274325,-79.67192163,613.6351186,"rockingham",37157,91566,565.638,2
"P32374","CommWell Health of Tar Heel","16526 NC HIGHWAY 87 W","TAR HEEL","NC",28392,34.757112,-78.803549,"NC162",34.757112,-78.803549,0,"bladen",37017,34130,874.865,6
"P32384","MCDOWELLS PHARMACY","1004 MAIN ST","SCOTLAND NECK","NC",27874,36.128987,-77.422672,"NC163",36.128987,-77.422672,0,"halifax",37083,52300,723.738,4
"P32385","SEALEVEL PHARMACY","440 HIGHWAY 70 E","SEA LEVEL","NC",285779801,34.883262,-76.393567,"NC164",34.883262,-76.393567,0,"carteret",37031,68699,507.604,4
"P32399","Halsey Drug Company","55 S MAIN ST","SPARTA","NC",28675,36.504931,-81.119679,"NC166",36.5026095,-81.117529,322.1745588,"alleghany",37005,10935,234.418,9
"P32411","KELSAVE DRUGS","38 E MAIN ST","SYLVA","NC",28779,35.374021,-83.212846,"NC169",35.37171067,-83.20610833,663.4553478,"jackson",37099,41725,491.107,6
"P32412","DAMERON DISCOUNT DRUGS HEALTH MART","100 S MAIN ST","TABOR CITY","NC",284631910,34.14856,-78.876937,"NC170",34.149553,-78.87364867,322.4778571,"horry",45051,310186,1133.002,2
"P32416","STANDARD DRUG","522 ALLEN STREET STE 102","TROY","NC",27371,35.364819,-79.890652,"NC172",35.3560365,-79.9021155,1427.897147,"montgomery",37123,27445,491.537,6
"P32419","PARSONS DRUG","100 S GREENE STREET","WADESBORO","NC",28170,34.966183,-80.07705,"NC173",34.96684725,-80.0805785,330.2710456,"anson",37007,25531,531.462,6
"P32430","Peoples Drug","423 E 2ND ST","WEST JEFFERSON","NC",286949757,36.406085,-81.489192,"NC134",36.40865814,-81.48440829,515.4908949,"ashe",37009,26833,425.071,7
"P32432","Guitons Drug Store","801 S MADISON ST","WHITEVILLE","NC",284724613,34.321056,-78.703501,"NC112",34.32696314,-78.70636429,708.3108299,"columbus",37047,56589,938.12,6
"P32434","Beulaville Pharmacy Inc","103 Crossover Rd","Beulaville","NC",28518,34.928844,-77.768999,"NC177",34.9261045,-77.771742,394.5568315,"duplin",37061,59350,814.758,6
"P32446","CASHIERS VALLEY PHARMACY","52 CASHIERS SHOPPING CTR HWY 64 E","CASHIERS","NC",287170246,35.12081,-83.088041,"NC180",35.115558,-83.117584,2752.858335,"jackson",37099,41725,491.107,6
"P32452","WOODARDS PHARMACY, INC","101 N CHURCH STREET","HERTFORD","NC",27944,36.188919,-76.466005,"NC181",36.1845645,-76.4646375,500.0690985,"perquimans",37143,13506,247.171,8
"P32459","Futrell Pharmacy of Littleton","123 E South Main St","Littleton","NC",27850,36.435378,-77.910679,"NC183",36.435378,-77.910679,0,"warren",37185,20190,429.39,8
"P32460","WALGREENS #10675","4568 US HWY 220 N","Summerfield","NC",273589412,36.193923,-79.891149,"NC184",36.17166,-79.89690033,2531.607941,"guilford",37081,517197,645.926,2
"P32476","VILLAGE PHARMACY","108 S MAIN ST","ROBERSONVILLE","NC",278711087,35.823946,-77.253108,"NC186",35.823946,-77.253108,0,"martin",37117,23227,456.426,6
"P32477","Costwise Pharmacy Inc","712 Washington St","Williamston","NC",27892,35.844769,-77.060862,"NC187",35.8414412,-77.0630858,421.3093808,"martin",37117,23227,456.426,6
"P32496","Scott Community Health Center Pharmacy","5270 Union Ridge Rd","Burlington","NC",27217,36.212875,-79.397001,"NC192",36.212875,-79.397001,0,"alamance",37001,157844,423.448,3
"P32506","Walgreens #11088","1500 E Broad Ave","Rockingham","NC",283794908,34.919847,-79.748464,"NC127",34.92368,-79.74238529,699.9297879,"richmond",37153,45447,473.688,5
"P32510","Futrell Pharmacy of Jackson","119 W JEFFERSON ST","JACKSON","NC",27845,36.389313,-77.420632,"NC196",36.389313,-77.420632,0,"northampton",37131,20426,536.678,9
"P32528","STOKES PHARMACY OF DANBURY","111 Crawford St","DANBURY","NC",27016,36.411478,-80.216789,"NC201",36.411478,-80.216789,0,"stokes",37169,46124,449.016,2
"P32547","NORTH VILLAGE PHARMACY","1493 MAIN STREET","YANCEYVILLE","NC",27379,36.416112,-79.353916,"NC206",36.416112,-79.353916,0,"caswell",37033,22833,425.366,8
"P32552","The Medicine Shoppe Pharmacy","102 S MAIN ST","Bladenboro","NC",28320,34.538953,-78.787615,"NC207",34.538953,-78.787615,0,"bladen",37017,34130,874.865,6
