"ID","Origin","Destination","Drive_Time"
"C949_NC37","C949","NC37",3784.57069271146
"C959_NC37","C959","NC37",5162.98400668438
"C960_NC37","C960","NC37",5558.03625322991
"C961_NC37","C961","NC37",4938.97633363969
"C962_NC37","C962","NC37",5585.72675738525
"C963_NC37","C963","NC37",5389.1019563338
"C964_NC37","C964","NC37",5000.27351724663
"C966_NC37","C966","NC37",4449.65469663623
"C967_NC37","C967","NC37",4300.07496313734
"C968_NC37","C968","NC37",4320.53599727714
"C970_NC37","C970","NC37",4256.03057421616
"C971_NC37","C971","NC37",3706.1314186533
"C972_NC37","C972","NC37",3866.36927021324
"C973_NC37","C973","NC37",6578.31062659894
"C974_NC37","C974","NC37",6642.20169742322
"C975_NC37","C975","NC37",6838.01940204757
"C976_NC37","C976","NC37",3716.58415596282
"C977_NC37","C977","NC37",3840.04868453137
"C978_NC37","C978","NC37",3737.2223803801
"C982_NC37","C982","NC37",6751.26268650564
"C985_NC37","C985","NC37",7170.87150724501
"C987_NC37","C987","NC37",4078.12231856286
"C990_NC37","C990","NC37",3815.68878623821
"C991_NC37","C991","NC37",4844.05454188078
"C993_NC37","C993","NC37",4836.20411621672
"C998_NC37","C998","NC37",1777.52561513922
"C999_NC37","C999","NC37",4484.77414715817
"C1000_NC37","C1000","NC37",4784.67097529646
"C1001_NC37","C1001","NC37",4448.38061584623
"C1002_NC37","C1002","NC37",4927.18607794562
"C1005_NC37","C1005","NC37",4251.99023160864
"C1006_NC37","C1006","NC37",2277.95024936663
"C1009_NC37","C1009","NC37",2122.14337211803
"C1010_NC37","C1010","NC37",5752.60732775101
"C1011_NC37","C1011","NC37",5750.80209724591
"C1012_NC37","C1012","NC37",7129.07518339499
"C1013_NC37","C1013","NC37",3478.47179414029
"C1020_NC37","C1020","NC37",4568.31974437275
"C1021_NC37","C1021","NC37",4605.58155092806
"C1022_NC37","C1022","NC37",5827.77978236317
"C964_NC60","C964","NC60",6245.99240261536
"C969_NC60","C969","NC60",5507.14797503438
"C970_NC60","C970","NC60",6962.16674702939
"C975_NC60","C975","NC60",4344.04174217763
"C979_NC60","C979","NC60",1969.09441230973
"C980_NC60","C980","NC60",2138.61479734503
"C981_NC60","C981","NC60",2126.30955699031
"C982_NC60","C982","NC60",7127.09750253581
"C988_NC60","C988","NC60",4681.24052811312
"C994_NC60","C994","NC60",4705.99717524021
"C996_NC60","C996","NC60",2734.46965325094
"C999_NC60","C999","NC60",6790.46107153407
"C1000_NC60","C1000","NC60",6600.88116004811
