"ID","Origin","Destination","Drive_Time"
"NC33_NC37","NC33","NC37",2150.4691205961
"NC86_NC37","NC86","NC37",6684.02352720056
"NC89_NC37","NC89","NC37",5442.3972323086
"NC63_NC37","NC63","NC37",6815.36716787981
"NC110_NC37","NC110","NC37",6498.62230703827
"NC135_NC37","NC135","NC37",4025.38394870943
"NC149_NC37","NC149","NC37",2571.48077105739
"NC150_NC37","NC150","NC37",3829.07861306704
"NC151_NC37","NC151","NC37",6827.92015648816
"NC154_NC37","NC154","NC37",5319.03605750679
"NC155_NC37","NC155","NC37",5524.54242446052
"NC78_NC37","NC78","NC37",4953.56670990515
"NC162_NC37","NC162","NC37",5086.47370035234
"NC172_NC37","NC172","NC37",1875.65230989982
"NC173_NC37","NC173","NC37",3576.37817414117
"NC112_NC37","NC112","NC37",6965.53951771681
"NC184_NC37","NC184","NC37",4326.80211036454
"NC192_NC37","NC192","NC37",4340.84723778201
"NC127_NC37","NC127","NC37",3129.49609939489
"NC201_NC37","NC201","NC37",5822.27024808029
"NC206_NC37","NC206","NC37",5510.57185393748
"NC207_NC37","NC207","NC37",5925.24234142185
"NC208_NC37","NC208","NC37",5834.70242500649
"NC226_NC37","NC226","NC37",4099.83306165138
"NC230_NC37","NC230","NC37",1528.04106977626
"NC231_NC37","NC231","NC37",6240.2158743345
"NC107_NC37","NC107","NC37",6072.88322751426
"NC235_NC37","NC235","NC37",3206.99388938813
"NC232_NC37","NC232","NC37",2788.09857298896
"NC175_NC37","NC175","NC37",5218.70814097382
"NC94_NC37","NC94","NC37",5977.12148684449
"NC269_NC37","NC269","NC37",6439.31902779995
"NC270_NC37","NC270","NC37",3294.91576773487
"NC132_NC37","NC132","NC37",1363.02223702403
"NC271_NC37","NC271","NC37",1499.6566296399
"NC273_NC37","NC273","NC37",3669.86024236757
"NC275_NC37","NC275","NC37",6492.1274079161
"NC141_NC37","NC141","NC37",7016.54940952801
"NC246_NC37","NC246","NC37",2616.37340819339
"NC280_NC37","NC280","NC37",2932.46294528527
"NC298_NC37","NC298","NC37",6903.43363922336
"NC283_NC37","NC283","NC37",2052.78206239895
"NC302_NC37","NC302","NC37",5396.47367409953
"NC285_NC37","NC285","NC37",4520.39914542014
"NC305_NC37","NC305","NC37",2451.4400553659
"NC47_NC37","NC47","NC37",3885.63063470589
"NC42_NC37","NC42","NC37",3054.55884340167
"NC53_NC37","NC53","NC37",5722.3185669679
"NC218_NC37","NC218","NC37",5687.34484168573
"NC136_NC37","NC136","NC37",5495.93332557032
"NC85_NC60","NC85","NC60",6527.81155806102
"NC118_NC60","NC118","NC60",4370.92621275372
"NC138_NC60","NC138","NC60",5957.39366041292
"NC146_NC60","NC146","NC60",5613.17581922584
"NC147_NC60","NC147","NC60",6217.44182972391
"NC151_NC60","NC151","NC60",5503.41756627787
"NC155_NC60","NC155","NC60",5957.59902203635
"NC163_NC60","NC163","NC60",3797.55434725334
"NC164_NC60","NC164","NC60",4694.65345937342
"NC177_NC60","NC177","NC60",4746.4311689655
"NC181_NC60","NC181","NC60",4518.23443227212
"NC183_NC60","NC183","NC60",6137.83997046058
"NC186_NC60","NC186","NC60",2217.15762642595
"NC187_NC60","NC187","NC60",2082.42229915045
"NC196_NC60","NC196","NC60",5054.75238685992
"NC212_NC60","NC212","NC60",1918.38251196476
"NC213_NC60","NC213","NC60",3268.61132677266
"NC222_NC60","NC222","NC60",6204.8302931565
"NC105_NC60","NC105","NC60",3656.35041736903
"NC236_NC60","NC236","NC60",7163.63759143814
"NC237_NC60","NC237","NC60",4304.76071101941
"NC239_NC60","NC239","NC60",6432.84577048477
"NC198_NC60","NC198","NC60",4927.69991606786
"NC241_NC60","NC241","NC60",6686.48232428289
"NC98_NC60","NC98","NC60",5744.27253909639
"NC256_NC60","NC256","NC60",5574.03388428068
"NC240_NC60","NC240","NC60",6379.11724688841
"NC94_NC60","NC94","NC60",6272.34250048167
"NC264_NC60","NC264","NC60",4140.35871744091
"NC248_NC60","NC248","NC60",4267.27314805425
"NC115_NC60","NC115","NC60",3190.72734143289
"NC275_NC60","NC275","NC60",5385.54946393977
"NC278_NC60","NC278","NC60",3760.68325673835
"NC281_NC60","NC281","NC60",4904.07527432182
"NC215_NC60","NC215","NC60",2755.65878158523
"NC290_NC60","NC290","NC60",4813.45106150303
"NC24_NC60","NC24","NC60",6803.20335703032
"NC179_NC60","NC179","NC60",6645.09685592981
"NC258_NC60","NC258","NC60",5206.20525317512
"NC73_NC60","NC73","NC60",2252.25861636741
"NC82_NC60","NC82","NC60",6486.6053237929
"NC156_NC60","NC156","NC60",2577.68340439138
