"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
37001020100,"NC192","North Carolina",37001,3,157844,423.448,36.09148,-79.4456,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,14202.1302389639,157844,423.448,3,3,372.758874761482,1120.42678398977
37001020200,"NC192","North Carolina",37001,3,157844,423.448,36.09193,-79.41956,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,13615.3745230457,157844,423.448,3,3,372.758874761482,1095.38405003438
37001020300,"NC192","North Carolina",37001,3,157844,423.448,36.0977,-79.39649,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,12821.304618623,157844,423.448,3,3,372.758874761482,1061.49314651362
37001020400,"NC192","North Carolina",37001,3,157844,423.448,36.12079,-79.43223,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,10728.6267366695,157844,423.448,3,3,372.758874761482,972.177654511846
37001020501,"NC192","North Carolina",37001,3,157844,423.448,36.12206,-79.47952,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,12537.7652961439,157844,423.448,3,3,372.758874761482,1049.39168823021
37001020502,"NC192","North Carolina",37001,3,157844,423.448,36.11431,-79.4517,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,12023.1247109126,157844,423.448,3,3,372.758874761482,1027.42682805254
37001020601,"NC192","North Carolina",37001,3,157844,423.448,36.09224,-79.49039,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,15836.7350635778,157844,423.448,3,3,372.758874761482,1190.19171790429
37001020602,"NC192","North Carolina",37001,3,157844,423.448,36.0958,-79.46218,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,14288.9352248581,157844,423.448,3,3,372.758874761482,1124.13162078774
37001020701,"NC192","North Carolina",37001,3,157844,423.448,36.0698,-79.48109,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,17629.9465831622,157844,423.448,3,3,372.758874761482,1266.72598556015
37001020702,"NC192","North Carolina",37001,3,157844,423.448,36.06246,-79.45835,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,17629.0976090666,157844,423.448,3,3,372.758874761482,1266.68975134575
37001020801,"NC192","North Carolina",37001,3,157844,423.448,36.04901,-79.44931,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,18837.8992303237,157844,423.448,3,3,372.758874761482,1318.28140454101
37001020802,"NC192","North Carolina",37001,3,157844,423.448,36.07916,-79.42758,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,15136.7685828796,157844,423.448,3,3,372.758874761482,1160.31714850809
37001020901,"NC192","North Carolina",37001,3,157844,423.448,36.05668,-79.41806,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,17490.3244947218,157844,423.448,3,3,372.758874761482,1260.76691482552
37001020902,"NC192","North Carolina",37001,3,157844,423.448,36.02925,-79.41285,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,20490.6623562353,157844,423.448,3,3,372.758874761482,1388.82133475491
37001021000,"NC192","North Carolina",37001,3,157844,423.448,36.07727,-79.39793,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,15095.7105459812,157844,423.448,3,3,372.758874761482,1158.56479149327
37001021101,"NC192","North Carolina",37001,3,157844,423.448,36.06909,-79.37676,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,16109.1716344575,157844,423.448,3,3,372.758874761482,1201.81931074944
37001021102,"NC192","North Carolina",37001,3,157844,423.448,36.03773,-79.37467,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,19600.1724658531,157844,423.448,3,3,372.758874761482,1350.8152262334
37001021201,"NC192","North Carolina",37001,3,157844,423.448,36.10585,-79.35383,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,12529.8707430694,157844,423.448,3,3,372.758874761482,1049.05474870499
37001021204,"NC192","North Carolina",37001,3,157844,423.448,36.04411,-79.31895,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,20054.7719766979,157844,423.448,3,3,372.758874761482,1370.21753335626
37001021205,"NC192","North Carolina",37001,3,157844,423.448,36.0717,-79.28426,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,18700.1756725111,157844,423.448,3,3,372.758874761482,1312.40336309357
37001021206,"NC192","North Carolina",37001,3,157844,423.448,36.08547,-79.30592,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,16376.1176183418,157844,423.448,3,3,372.758874761482,1213.21256534162
37001021207,"NC192","North Carolina",37001,3,157844,423.448,36.10535,-79.29495,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,15079.7472474605,157844,423.448,3,3,372.758874761482,1157.88347791241
37001021300,"NC192","North Carolina",37001,3,157844,423.448,36.17938,-79.30744,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,8867.69829198203,157844,423.448,3,3,372.758874761482,892.753228492585
37001021400,"NC192","North Carolina",37001,3,157844,423.448,36.19818,-79.42302,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,2852.74606058309,157844,423.448,3,3,372.758874761482,636.035067256478
37001021500,"NC192","North Carolina",37001,3,157844,423.448,36.19161,-79.48358,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,8129.48831133296,157844,423.448,3,3,372.758874761482,861.246426518483
37001021600,"NC192","North Carolina",37001,3,157844,423.448,36.14479,-79.52027,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,13421.1927072905,157844,423.448,3,3,372.758874761482,1087.09637013795
37001021701,"NC192","North Carolina",37001,3,157844,423.448,36.09271,-79.52917,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,17890.4824511247,157844,423.448,3,3,372.758874761482,1277.84565640479
37001021702,"NC192","North Carolina",37001,3,157844,423.448,36.09309,-79.50833,0,"Scott Community Health Center Pharmacy","5270 Union Ridge Rd",36.212875,-79.397001,36.212875,-79.397001,16671.5613797221,157844,423.448,3,3,372.758874761482,1225.82210507733
