"ID","Origin","Destination","Drive_Time"
"C1023_ND11","C1023","ND11",4693.5793019123
"C1024_ND12","C1024","ND12",5266.77345341851
"C1023_ND13","C1023","ND13",3924.44721414809
"C1024_ND14","C1024","ND14",4449.80529837853
"C1023_ND15","C1023","ND15",4269.65393447915
"C1025_ND15","C1025","ND15",5460.30803827819
"C1024_ND16","C1024","ND16",3417.45523355997
"C1024_ND17","C1024","ND17",6822.42909646546
"C1024_ND19","C1024","ND19",6162.65220282169
"C1024_ND2","C1024","ND2",5503.78835062702
"C1024_ND21","C1024","ND21",6102.64411577806
"C1024_ND22","C1024","ND22",4171.33721063025
"C1023_ND24","C1023","ND24",6221.87028962199
"C1024_ND27","C1024","ND27",5306.53850246971
"C1023_ND28","C1023","ND28",5680.80472204154
"C1025_ND29","C1025","ND29",6787.77269831188
"C1023_ND3","C1023","ND3",4579.25869258003
"C1025_ND3","C1025","ND3",5733.5927303091
"C1025_ND30","C1025","ND30",4254.30151434529
"C1024_ND34","C1024","ND34",4497.88194441286
"C1024_ND36","C1024","ND36",3610.42559436039
"C1023_ND37","C1023","ND37",3169.73297766598
"C1025_ND37","C1025","ND37",5497.66136918637
"C1023_ND40","C1023","ND40",5251.39124213193
"C1025_ND40","C1025","ND40",3716.21285682725
"C1024_ND43","C1024","ND43",4192.55171423061
"C1023_ND46","C1023","ND46",2579.83684865059
"C1025_ND49","C1025","ND49",7122.89828317027
"C1025_ND5","C1025","ND5",4566.85746888678
"C1025_ND51","C1025","ND51",4857.84707275519
"C1025_ND55","C1025","ND55",6594.79246388263
"C1025_ND56","C1025","ND56",5742.08476010243
"C1025_ND57","C1025","ND57",4810.53953146693
"C1025_ND58","C1025","ND58",3239.50212237562
"C1024_ND61","C1024","ND61",2238.43572459831
"C1023_ND62","C1023","ND62",6710.97591684712
"C1024_ND63","C1024","ND63",6189.979814114
"C1025_ND64","C1025","ND64",6372.70029202545
"C1023_ND66","C1023","ND66",6140.77002868653
"C1025_ND66","C1025","ND66",5740.05749403121
"C1023_ND68","C1023","ND68",3895.35995216704
"C1025_ND70","C1025","ND70",5467.09632083614
"C1025_ND71","C1025","ND71",3845.14308456887
"C1024_ND9","C1024","ND9",5805.02307007762
"ND11_C1023","ND11","C1023",4693.5793019123
"ND12_C1024","ND12","C1024",5266.77345341851
"ND13_C1023","ND13","C1023",3924.44721414809
"ND14_C1024","ND14","C1024",4449.80529837853
"ND15_C1023","ND15","C1023",4269.65393447915
"ND15_C1025","ND15","C1025",5460.30803827819
"ND16_C1024","ND16","C1024",3417.45523355997
"ND17_C1024","ND17","C1024",6822.42909646546
"ND19_C1024","ND19","C1024",6162.65220282169
"ND2_C1024","ND2","C1024",5503.78835062702
"ND21_C1024","ND21","C1024",6102.64411577806
"ND22_C1024","ND22","C1024",4171.33721063025
"ND24_C1023","ND24","C1023",6221.87028962199
"ND27_C1024","ND27","C1024",5306.53850246971
"ND28_C1023","ND28","C1023",5680.80472204154
"ND29_C1025","ND29","C1025",6787.77269831188
"ND3_C1023","ND3","C1023",4579.25869258003
"ND3_C1025","ND3","C1025",5733.5927303091
"ND30_C1025","ND30","C1025",4254.30151434529
"ND34_C1024","ND34","C1024",4497.88194441286
"ND36_C1024","ND36","C1024",3610.42559436039
"ND37_C1023","ND37","C1023",3169.73297766598
"ND37_C1025","ND37","C1025",5497.66136918637
"ND40_C1023","ND40","C1023",5251.39124213193
"ND40_C1025","ND40","C1025",3716.21285682725
"ND43_C1024","ND43","C1024",4192.55171423061
"ND46_C1023","ND46","C1023",2579.83684865059
"ND49_C1025","ND49","C1025",7122.89828317027
"ND5_C1025","ND5","C1025",4566.85746888678
"ND51_C1025","ND51","C1025",4857.84707275519
"ND55_C1025","ND55","C1025",6594.79246388263
"ND56_C1025","ND56","C1025",5742.08476010243
"ND57_C1025","ND57","C1025",4810.53953146693
"ND58_C1025","ND58","C1025",3239.50212237562
"ND61_C1024","ND61","C1024",2238.43572459831
"ND62_C1023","ND62","C1023",6710.97591684712
"ND63_C1024","ND63","C1024",6189.979814114
"ND64_C1025","ND64","C1025",6372.70029202545
"ND66_C1023","ND66","C1023",6140.77002868653
"ND66_C1025","ND66","C1025",5740.05749403121
"ND68_C1023","ND68","C1023",3895.35995216704
"ND70_C1025","ND70","C1025",5467.09632083614
"ND71_C1025","ND71","C1025",3845.14308456887
"ND9_C1024","ND9","C1024",5805.02307007762
