"ID","Origin","Destination","Drive_Time"
"ND17_ND10","ND17","ND10",6488.95983414306
"ND2_ND10","ND2","ND10",6564.5086447951
"ND20_ND10","ND20","ND10",2433.41681148705
"ND21_ND10","ND21","ND10",4767.14092010019
"ND22_ND10","ND22","ND10",6455.19852185153
"ND27_ND10","ND27","ND10",5206.8763667683
"ND29_ND10","ND29","ND10",5067.84847918756
"ND34_ND10","ND34","ND10",6995.30246523078
"ND39_ND10","ND39","ND10",4481.63192252106
"ND48_ND10","ND48","ND10",5668.3921708714
"ND5_ND10","ND5","ND10",6851.61183681264
"ND50_ND10","ND50","ND10",4247.16088462299
"ND51_ND10","ND51","ND10",4505.07729772866
"ND52_ND10","ND52","ND10",5868.36645520479
"ND55_ND10","ND55","ND10",3042.88630625634
"ND56_ND10","ND56","ND10",4852.06418540362
"ND60_ND10","ND60","ND10",5483.48191351547
"ND64_ND10","ND64","ND10",5246.56313890392
"ND66_ND10","ND66","ND10",4585.28976466197
"ND70_ND10","ND70","ND10",5833.24594172655
"ND9_ND10","ND9","ND10",4755.49825708416
"ND13_ND11","ND13","ND11",2711.98766753798
"ND15_ND11","ND15","ND11",5049.13768128924
"ND24_ND11","ND24","ND11",2387.33374181597
"ND28_ND11","ND28","ND11",3502.76845632822
"ND3_ND11","ND3","ND11",4845.54017923892
"ND37_ND11","ND37","ND11",5728.27297000633
"ND40_ND11","ND40","ND11",6844.69821138572
"ND41_ND11","ND41","ND11",4626.92223004624
"ND46_ND11","ND46","ND11",3288.79007715671
"ND49_ND11","ND49","ND11",6257.10569950364
"ND53_ND11","ND53","ND11",4032.45202148312
"ND6_ND11","ND6","ND11",5996.18463842674
"ND68_ND11","ND68","ND11",6088.01007073689
"ND14_ND12","ND14","ND12",3226.41791943402
"ND17_ND12","ND17","ND12",5950.98469655373
"ND19_ND12","ND19","ND12",3270.80383702239
"ND34_ND12","ND34","ND12",4864.63307210708
"ND36_ND12","ND36","ND12",4258.90944910609
"ND43_ND12","ND43","ND12",2395.85591680375
"ND61_ND12","ND61","ND12",5719.66927469154
"ND62_ND12","ND62","ND12",6536.79216839813
"ND63_ND12","ND63","ND12",2314.75569546497
"ND69_ND12","ND69","ND12",4532.92150641594
"ND73_ND12","ND73","ND12",3777.17321300787
"ND11_ND13","ND11","ND13",2711.98766753798
"ND15_ND13","ND15","ND13",3087.26289343859
"ND24_ND13","ND24","ND13",3454.343262729
"ND28_ND13","ND28","ND13",2321.21380859216
"ND3_ND13","ND3","ND13",2848.9313141329
"ND37_ND13","ND37","ND13",4192.1282873966
"ND40_ND13","ND40","ND13",4947.3475038497
"ND41_ND13","ND41","ND13",3908.97587331109
"ND46_ND13","ND46","ND13",1904.4628483196
"ND49_ND13","ND49","ND13",4787.42859838493
"ND53_ND13","ND53","ND13",5484.81963024626
"ND57_ND13","ND57","ND13",6721.37049223515
"ND6_ND13","ND6","ND13",6734.95005208363
"ND68_ND13","ND68","ND13",6591.72722520499
"ND71_ND13","ND71","ND13",6316.69805710306
"ND12_ND14","ND12","ND14",3226.41791943402
