"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P43841","WALGREENS #7941","1400 MICHIGAN ST","SIDNEY","OH",453652449,40.288041,-84.177042,"OH1",40.2879094,-84.1764526,52.1488463642254,"shelby",39149,48902,407.695,4
"P44161","KHN Pharmacy - Fort Hamilton","1010 Cereal Ave","Hamilton","OH",450132784,39.414722,-84.572412,"OH10",39.4117281,-84.5756171,432.503032526056,"butler",39017,375702,466.529,1
"P44327","SOMC Pharmacy South Campus","1248 Kinneys Ln","Portsmouth","OH",456622927,38.746396,-82.986844,"OH102",38.7480129285714,-82.9819100714286,464.64265254114,"scioto",39145,76871,610.229,4
"P43824","WALMART PHARMACY 10-5184","6674 WINCHESTER BLVD","CANAL WINCHESTER","OH",43110,39.863197,-82.820427,"OH104",39.870956,-82.7930606666667,2492.64820672783,"franklin",39049,1253507,532.417,1
"P42705","RITE AID PHARMACY  01283","207 NORTH COURT STREET","MEDINA","OH",442562201,41.14133,-81.864129,"OH105",41.1441379166667,-81.8577088333333,622.396455987415,"medina",39103,176362,421.458,1
"P43126","CHEFFY DRUGS LLC","148 E MAIN ST","BARNESVILLE","OH",43713,39.987601,-81.175395,"OH108",39.988149,-81.1708823333333,389.693394961282,"belmont",39013,68889,532.124,3
"P42537","DAVIS DRUG","109 WEST ST","CALDWELL","OH",437241359,39.744159,-81.516612,"OH109",39.743582,-81.517776,118.542170869611,"noble",39121,14498,398.011,7
"P43455","KROGER PHARMACY","5420 LIBERTY FAIRFIELD ROAD","HAMILTON","OH",45011,39.418437,-84.474459,"OH11",39.403194,-84.46358,1937.71879776828,"butler",39017,375702,466.529,1
"P42544","FAMILY DRUG","120 S VINE ST","COLUMBIANA","OH",44408,40.886919,-80.694591,"OH111",40.89467325,-80.68440025,1216.78213933172,"columbiana",39029,104584,531.918,4
"P42549","QUAY DRUGS INC","2 PUBLIC SQUARE","GALION","OH",44833,40.733609,-82.789815,"OH112",40.748995,-82.78051625,1883.78647392733,"crawford",39033,42231,401.786,4
"P42550","CORNER PHARMACY LLC","259 JEFFERSON ST","GREENFIELD","OH",451231366,39.351828,-83.382793,"OH113",39.351026,-83.3865043333333,331.712391240476,"highland",39071,43031,553.083,6
"P43829","WALGREENS #07798","911 N MEMORIAL DR","LANCASTER","OH",431301745,39.724369,-82.608843,"OH114",39.7256043846154,-82.6097946153846,159.845774326142,"fairfield",39045,151526,504.408,1
"P42555","Shrivers Pharmacy #7","530 N MARKET ST","MC ARTHUR","OH",456511131,39.253757,-82.477897,"OH115",39.253757,-82.477897,0,"vinton",39163,13142,412.356,8
"P42556","SHRIVERS PHARMACY","105 N KENNEBEC AVE","MCCONNELSVILLE","OH",437561254,39.64983,-81.853062,"OH116",39.64983,-81.853062,0,"morgan",39115,14773,416.426,6
"P42557","Griffith L Vincent","283 YANKEETOWN ST","MT STERLING","OH",431439410,39.71395,-83.267938,"OH117",39.71395,-83.267938,0,"madison",39097,43732,465.81,1
"P42558","SHRIVERS PHARMACY","40 WATKINS ST","NELSONVILLE","OH",457641452,39.457003,-82.22778,"OH118",39.456574,-82.2268776666667,91.0798408852445,"athens",39009,65563,503.627,4
"P42559","NORTHSIDE NEW CONCORD PHARMACY","10 E MAIN ST","NEW CONCORD","OH",437621215,39.99387,-81.733374,"OH119",39.99387,-81.733374,0,"muskingum",39119,85933,664.543,4
"P42786","Samaritan Pharmacy","1025 CENTER ST","ASHLAND","OH",44805,40.858708,-82.310232,"OH12",40.86082,-82.3123956666667,297.420591667854,"ashland",39005,53299,422.961,4
"P43906","WALGREENS #9377","2124 E STATE ST","SALEM","OH",444602455,40.90108,-80.830775,"OH120",40.90125025,-80.835804875,423.636521877054,"columbiana",39029,104584,531.918,4
"P42564","Benzer Pharmacy","244 N MAIN ST","UTICA","OH",430809701,40.237763,-82.452164,"OH121",40.237763,-82.452164,0,"licking",39089,170678,682.437,1
"P44255","SOMC PHARMACY WEST UNION","90 Cic Blvd","West Union","OH",456938024,38.787239,-83.558203,"OH122",38.788766,-83.556034,253.605475961438,"adams",39001,27926,583.866,6
"P43109","RITE AID PHARMACY  02795","148 NORTH MAIN STREET","WOODSFIELD","OH",437931002,39.764593,-81.114595,"OH123",39.7632415,-81.1155295,170.379237312873,"monroe",39111,14239,455.723,8
"P44401","WALGREENS #17284","432 32nd St","BELLAIRE","OH",439061574,40.014462,-80.745444,"OH124",40.0262491111111,-80.7471887777778,1320.53898247503,"marshall",54051,32006,305.432,3
"P42570","FITZGERALDS PHARMACY","305 W MAIN ST","WILLIAMSBURG","OH",451761309,39.054231,-84.053837,"OH125",39.054231,-84.053837,0,"clermont",39025,202166,452.124,1
"P43349","RITE AID PHARMACY  00256","1081 MOUNT VERNON AVENUE","MARION","OH",433025643,40.58066,-83.10155,"OH126",40.5775980833333,-83.1075640833333,612.152345250124,"marion",39101,65483,403.808,4
"P42581","FRUTH PHARMACY 03","2991 STATE RT 160","GALLIPOLIS","OH",45631,38.843966,-82.233284,"OH127",38.834323,-82.220525,1541.49743814863,"gallia",39053,30203,466.532,6
"P42606","MEDICINE SHOPPE 0298","465 WEST PERRY STREET","TIFFIN","OH",44883,41.113635,-83.196852,"OH128",41.1133408333333,-83.1909068333333,499.689715541486,"seneca",39147,55549,551.027,4
"P43527","KROGER PHARMACY #838","1161 EAST DAYTONYELLOWSPRINGS RD","FAIRBORN","OH",45324,39.786034,-83.995064,"OH130",39.786034,-83.995064,0,"greene",39057,164825,413.625,2
"P42585","TUCKERS OTTAWA PHARMACY","1831 E MAIN ST","OTTAWA","OH",458751695,41.021189,-84.025442,"OH131",41.0249506666667,-84.0371013333333,1064.98232417094,"putnam",39137,34037,482.545,6
"P42587","MINFORD PHARMACY","8746 STATE ROUTE 335","MINFORD","OH",45653,38.858946,-82.858069,"OH132",38.858946,-82.858069,0,"scioto",39145,76871,610.229,4
"P42718","KROGER PHARMACY","226 E Perkins Ave","SANDUSKY","OH",44870,41.432155,-82.694286,"OH133",41.425305,-82.6904332727273,827.569349207424,"erie",39043,75369,251.379,4
"P44363","Shrivers Pharmacy #8","21 Hocking Mall","Logan","OH",43138,39.544569,-82.431401,"OH134",39.5431775,-82.4326685,189.296013447767,"hocking",39073,28547,421.328,1
"P43095","KROGER PHARMACY","731 W Market St","TROY","OH",45373,40.029996,-84.218933,"OH135",40.0202674285714,-84.2144802857143,1147.57006278629,"miami",39109,104081,406.511,2
"P42599","Scarbrough Pharmacy","139 W MAIN ST","DESHLER","OH",435161159,41.20739,-83.902969,"OH137",41.20739,-83.902969,0,"henry",39069,27463,416.009,6
"P42602","MCFADDEN PHARMACY","115 E MAIN ST","BAINBRIDGE","OH",45612,39.227737,-83.269452,"OH138",39.227737,-83.269452,0,"ross",39141,77125,689.187,4
"P42609","OKULEYS PHARMACY","102 S MAIN ST","CONTINENTAL","OH",458319151,41.096949,-84.266055,"OH139",41.096949,-84.266055,0,"putnam",39137,34037,482.545,6
"P44028","ROSS PARK PHARMACY WEST","4100 JOHNSON RD STE 105","STEUBENVILLE","OH",43952,40.366658,-80.658003,"OH14",40.3664483333333,-80.6644509166667,547.385350825305,"jefferson",39081,67349,408.123,3
"P42610","NEIMAYER PHARMACY","112 E MAIN ST","SCIO","OH",439880394,40.39619,-81.085337,"OH140",40.39619,-81.085337,0,"harrison",39067,15397,402.33,6
"P43597","KROGER PHARMACY","610 CARROL STREET","NEW LEXINGTON","OH",43764,39.721608,-82.203596,"OH141",39.720796,-82.204797,136.913272478279,"perry",39127,35983,407.934,1
"P42615","Blake Pharmacy","103 N MAIN ST","PEEBLES","OH",456601246,38.948867,-83.406413,"OH142",38.948867,-83.406413,0,"adams",39001,27926,583.866,6
"P43429","MERCY HOSPITAL OF WILLARD","1100 Neal Zick Rd","WILLARD","OH",44890,41.03747,-82.709746,"OH144",41.0311155,-82.7084075,716.253077071544,"huron",39077,58497,491.493,4
"P42620","DONOHOO PHARMACY","114 S MAIN ST","GEORGETOWN","OH",451211292,38.865668,-83.904537,"OH145",38.8647865,-83.900967,324.620082686362,"brown",39015,43799,490.017,1
"P43943","KROGER PHARMACY","7625 SAWMILL RD","DUBLIN","OH",43016,40.1215,-83.092223,"OH146",40.1225864,-83.11274184,1750.8085017695,"franklin",39049,1253507,532.417,1
"P42628","ASHVILLE APOTHECARY","3400 State Route 752","ASHVILLE","OH",43103,39.723733,-82.955659,"OH148",39.723733,-82.955659,0,"pickaway",39129,57075,501.229,1
"P44193","FRUTH PHARMACY 26","1848 State Route 141","Ironton","OH",456385213,38.526842,-82.663634,"OH149",38.52952,-82.6704298333333,662.661660023902,"greenup",21089,36012,344.462,2
"P43048","WALGREENS #7470","1032 HARRISON AVE","HARRISON","OH",450301522,39.257882,-84.803796,"OH15",39.2563396,-84.8007854,311.16253836339,"hamilton",39061,808703,405.407,1
"P42630","CVS Pharmacy #05813","463 TIFFIN AVE","FINDLAY","OH",45840,41.044849,-83.642687,"OH150",41.0457165,-83.6351703333333,638.416359511233,"hancock",39063,75508,531.326,4
"P43768","WALGREENS #7489","57 W MAIN ST","AMELIA","OH",45102,39.031192,-84.221108,"OH152",39.0307084,-84.221778,79.087584067619,"clermont",39025,202166,452.124,1
"P42782","RITE AID PHARMACY  01635","306 EAST MAIN STREET","POMEROY","OH",457691023,39.028325,-82.030466,"OH153",39.02499625,-82.0265455,502.254185294373,"mason",54053,27000,430.767,6
"P42635","POWHATAN HEALTH CENTER PHARMACY","63 HWY 7 S","POWHATAN POINT","OH",43942,39.859552,-80.815735,"OH154",39.859552,-80.815735,0,"marshall",54051,32006,305.432,3
"P43464","Giant Eagle Pharmacy #4016","11031 State Route 212, N.E.","BOLIVAR","OH",44612,40.640805,-81.442222,"OH155",40.640294,-81.3983555,3705.85754661571,"tuscarawas",39157,92531,567.432,4
"P43315","RITE AID PHARMACY  04279","15596 WEST HIGH STREET","MIDDLEFIELD","OH",440629292,41.463283,-81.085506,"OH156",41.46217,-81.08414175,168.235020452283,"geauga",39055,93895,400.301,1
"P43423","WALMART PHARMACY 10-2572","990 WEST EMMITT AVENUE","WAVERLY","OH",45690,39.110513,-82.997714,"OH157",39.1081875,-82.9965065,279.095276332031,"pike",39131,28291,440.28,7
"P42647","CHARLESTON PHARMACY","127 S CHILLICOTHE ST","S CHARLESTON","OH",45368,39.822516,-83.633595,"OH159",39.822516,-83.633595,0,"clark",39023,135520,396.875,3
"P42374","CVS Pharmacy #06173","106 MILAN AVENUE","NORWALK","OH",44857,41.251069,-82.611712,"OH16",41.2486403333333,-82.613793,321.602355419207,"huron",39077,58497,491.493,4
"P44117","Sam's Pharmacy 10-6556","50555 Valley Plaza Dr","St. Clairsville","OH",43950,40.075036,-80.878783,"OH160",40.074187,-80.8816122,258.867301028728,"belmont",39013,68889,532.124,3
"P42655","DILLONVALE PHARMACY","74 MAIN ST","DILLONVALE","OH",43917,40.196638,-80.775667,"OH161",40.1779185,-80.740867,3619.48709346093,"jefferson",39081,67349,408.123,3
"P42656","KAUP PHARMACY","102 North Wayne Street","FT RECOVERY","OH",458460605,40.413134,-84.779388,"OH162",40.413134,-84.779388,0,"mercer",39107,40723,462.443,7
"P42659","Klinger Pharmacy","102 W Jackson St","West Unity","OH",43570,41.586654,-84.434116,"OH163",41.586654,-84.434116,0,"williams",39171,37061,420.66,6
"P44081","RITE AID PHARMACY  06679","105 GOLDEN GATE PLAZA","MAUMEE","OH",43537,41.566286,-83.654844,"OH164",41.5718243333333,-83.6454855833333,993.771920110416,"wood",39173,129504,617.188,2
"P43104","The Medicine Shoppe Pharmacy","234 W MAIN STREET","BELLEVUE","OH",44811,41.274479,-82.843295,"OH165",41.2742295,-82.84278,51.2626407233882,"sandusky",39143,59559,408.246,4
"P42669","MORRISTOWN PHARMACY","66840 BELMONT MORRISTOWN RD","BELMONT","OH",437189665,40.064582,-81.056119,"OH167",40.064582,-81.056119,0,"belmont",39013,68889,532.124,3
"P42675","CVS Pharmacy #06191","214 LAFAYETTE ST","LONDON","OH",43140,39.896349,-83.438244,"OH168",39.89680275,-83.4380095,54.3367287243004,"madison",39097,43732,465.81,1
"P42676","CVS Pharmacy #11049","241 W MADISON ST","GIBSONBURG","OH",434311319,41.384399,-83.322721,"OH169",41.384399,-83.322721,0,"sandusky",39143,59559,408.246,4
"P42677","RITE AID PHARMACY  01167","633 SOUTH BROADWAY","GENEVA","OH",440411914,41.796654,-80.947183,"OH170",41.799549,-80.95004525,400.350075319446,"ashtabula",39007,98622,702.073,4
"P44420","Premier Pharmacy","4925 West Main St.","Berlin","OH",44681,40.561874,-81.799486,"OH171",40.561456,-81.799297,49.2002580311516,"holmes",39075,43808,422.553,7
"P43942","KROGER PHARMACY","475 FORTMAN DRIVE","ST MARYS","OH",45885,40.554617,-84.384699,"OH173",40.5513436666667,-84.3887743333333,501.589986695106,"auglaize",39011,45778,401.388,4
"P42690","FILLMORE PHARMACY","119 S SYCAMORE AVE","SYCAMORE","OH",448820107,40.949163,-83.170144,"OH174",40.949163,-83.170144,0,"wyandot",39175,22190,406.879,7
"P44339","Schwieterman Pharmacy","510 E Market St","Celina","OH",458221824,40.54892,-84.562825,"OH175",40.5546423333333,-84.5581856666667,748.172098176064,"mercer",39107,40723,462.443,7
"P42703","CAMDEN VILLAGE PHARMACY","75 W CENTRAL AVE","CAMDEN","OH",453111007,39.628928,-84.64968,"OH177",39.628928,-84.64968,0,"preble",39135,41328,424.227,6
"P42704","RITE AID PHARMACY  01282","11 MANSFIELD AVENUE","SHELBY","OH",448751301,40.881011,-82.656221,"OH178",40.873613,-82.6484725,1050.51176116195,"richland",39139,121533,495.199,3
"P42706","danner pharmacy","202 W MAIN ST","LOUDONVILLE","OH",448421198,40.635783,-82.235229,"OH179",40.635783,-82.235229,0,"ashland",39005,53299,422.961,4
"P43618","WALGREENS #6271","6320 E MAIN ST","REYNOLDSBURG","OH",43068,39.955103,-82.828474,"OH18",39.9518874489796,-82.8393578979592,995.355464313199,"franklin",39049,1253507,532.417,1
"P42711","CVS Pharmacy #06195","205 EAST MAIN STREET","CIRCLEVILLE","OH",43113,39.6008,-82.942014,"OH180",39.6005166,-82.9386704,288.51833747835,"pickaway",39129,57075,501.229,1
"P43414","RITE AID PHARMACY  04767","230 SOUTH MAIN STREET","BELLEFONTAINE","OH",433111702,40.358744,-83.760154,"OH182",40.3578143333333,-83.7535184444444,572.306227456319,"logan",39091,45323,458.51,6
"P43216","KROGER PHARMACY","1230 ROMBACH AVE","WILMINGTON","OH",45177,39.44795,-83.808057,"OH183",39.4480995,-83.8135195,469.857077532448,"clinton",39027,41869,408.686,6
"P42892","MILLERSPORT PHARMACY","12075 LANCASTER NEWARK RD NE","MILLERSPORT","OH",430469747,39.90105,-82.562297,"OH184",39.873507,-82.581755,3487.57019886171,"fairfield",39045,151526,504.408,1
"P42722","THORNVILLE PHARMACY","2 NORTH MAIN STREET","THORNVILLE","OH",43076,39.896568,-82.420895,"OH185",39.896568,-82.420895,0,"perry",39127,35983,407.934,1
"P43198","CVS Pharmacy #06194","4610 CEMETERY ROAD","HILLIARD","OH",43026,40.032165,-83.138998,"OH186",40.0273745833333,-83.1447341666667,723.490058725756,"franklin",39049,1253507,532.417,1
"P43452","CVS Pharmacy #03088","473 High St","WADSWORTH","OH",44281,41.035701,-81.728419,"OH187",41.026817,-81.722195375,1118.5621138576,"medina",39103,176362,421.458,1
"P42730","NORTHSIDE SOMERSET PHARMACY","110 W Main St","SOMERSET","OH",43783,39.807043,-82.299934,"OH188",39.807043,-82.299934,0,"perry",39127,35983,407.934,1
"P43174","CVS Pharmacy #04805","297 S MAIN ST","OBERLIN","OH",44074,41.284257,-82.217785,"OH189",41.29161,-82.2252376666667,1028.88436658025,"lorain",39093,305405,491.2,1
"P43356","KROGER PHARMACY","981 E COLUMBUS ST","KENTON","OH",43326,40.652986,-83.592324,"OH19",40.652222,-83.594303,187.530975998887,"hardin",39065,31576,470.309,6
"P42737","DISCOUNT DRUG MART","420 CLEVELAND ROAD EAST","HURON","OH",448391750,41.388082,-82.542996,"OH190",41.388082,-82.542996,0,"erie",39043,75369,251.379,4
"P42742","MAIN DISCOUNT DRUG","8507 MAIN ST","KINSMAN","OH",44428,41.452451,-80.582183,"OH191",41.452451,-80.582183,0,"trumbull",39155,203341,618.085,2
"P42745","RITE AID PHARMACY  00712","5 EAST ASHTABULA STREET","JEFFERSON","OH",440471109,41.742476,-80.768833,"OH192",41.739253,-80.7692435,360.399301679186,"ashtabula",39007,98622,702.073,4
"P43710","Giant Eagle Pharmacy #0203","12692 CHILLICOTHE ROAD","CHESTERLAND","OH",44026,41.523485,-81.337944,"OH193",41.524,-81.3376993333333,60.8479835830933,"geauga",39055,93895,400.301,1
"P43880","WALMART PHARMACY 10-3300","1257 BELLEFONTAINE STREET","WAPAKONETA","OH",45895,40.564925,-84.178352,"OH194",40.5709213333333,-84.1870103333333,990.77647527214,"auglaize",39011,45778,401.388,4
"P42756","MILLER'S PHARMACY & GIFTS LLC","101 S BROAD ST","KALIDA","OH",458530590,40.982652,-84.200223,"OH195",40.982652,-84.200223,0,"putnam",39137,34037,482.545,6
"P43860","Giant Eagle Pharmacy #4089","515 UNION AVENUE","DOVER","OH",44622,40.507549,-81.462856,"OH196",40.5058712222222,-81.4617296666667,209.692752299421,"tuscarawas",39157,92531,567.432,4
"P42944","RITE AID PHARMACY  02305","120 WEST  MAIN STREET","RUSSELLS POINT","OH",433489601,40.472997,-83.895897,"OH197",40.4702345,-83.8857065,916.125787139969,"logan",39091,45323,458.51,6
"P42776","DISCOUNT DRUG MART","814 NORTH MAIN STREET","WELLINGTON","OH",440901000,41.180183,-82.21708,"OH198",41.1762925,-82.2174575,434.241919583824,"lorain",39093,305405,491.2,1
"P42788","RITE AID PHARMACY  01659","437 NORTH WOLF CREEK STREET","BROOKVILLE","OH",45309,39.839622,-84.422859,"OH199",39.839682,-84.4232513333333,34.1936038335784,"montgomery",39113,531987,461.514,2
"P42357","MARTYS FAMILY PHARMACY","2249 LISBON ST","EAST LIVERPOOL","OH",439201024,40.645498,-80.597647,"OH2",40.6431801111111,-80.5880615555556,849.761788364667,"columbiana",39029,104584,531.918,4
"P42976","RITE AID PHARMACY  02364","618 NORTH CLINTON STREET","DEFIANCE","OH",435121609,41.295338,-84.360945,"OH202",41.2951348571429,-84.348815,1014.76212688997,"defiance",39039,38311,411.45,4
"P44096","Giant Eagle Pharmacy #1238","4453 LIBERTY AVENUE","Vermilion","OH",44089,41.423508,-82.343743,"OH203",41.424677,-82.3428673333333,149.254880815992,"lorain",39093,305405,491.2,1
"P42816","CVS Pharmacy #06145","1300 NORTH BARRON STREET","EATON","OH",45320,39.758974,-84.635746,"OH204",39.762656,-84.63819425,460.318260679953,"preble",39135,41328,424.227,6
"P42818","RITE AID PHARMACY  01793","651 LINCOLN STREET","CADIZ","OH",439079498,40.282243,-81.0009,"OH205",40.276815,-81.0001145,607.913420454261,"harrison",39067,15397,402.33,6
"P42826","CVS Pharmacy #11213","126 N MAIN STREET","BLUFFTON","OH",45817,40.893909,-83.890913,"OH206",40.893909,-83.890913,0,"allen",39003,104157,402.501,3
"P43744","KROGER PHARMACY","2028 E HARBOR RD","PORT CLINTON","OH",43452,41.514383,-82.902499,"OH207",41.515525,-82.8951022,629.523409877333,"ottawa",39123,40769,254.712,4
"P43770","DELPHOS DISCOUNT DRUGS","660 ELIDA AVE","DELPHOS","OH",45833,40.843558,-84.33203,"OH208",40.8432395,-84.329864,185.819631467072,"allen",39003,104157,402.501,3
"P42901","CVS Pharmacy #11396","119 N MARKET ST","SHREVE","OH",44676,40.681731,-82.02244,"OH209",40.681731,-82.02244,0,"wayne",39169,115915,554.805,4
"P43980","WALGREENS #10327","1000 E MAIN ST","GREENVILLE","OH",453312802,40.109708,-84.622806,"OH21",40.1082715,-84.6248836666667,238.457308922258,"darke",39037,51919,598.101,6
"P44316","SOMC Pharmacy Wheelersburg","8770 Ohio River Rd","Wheelersburg","OH",456941918,38.728639,-82.859914,"OH210",38.7237474,-82.858781,553.34898161413,"scioto",39145,76871,610.229,4
"P44129","DISCOUNT DRUG MART","525 W Marion Rd","Mount Gilead","OH",433381025,40.547523,-82.84502,"OH211",40.5479753333333,-82.845519,65.7046383086788,"morrow",39117,34935,406.134,1
"P42943","RITE AID PHARMACY  02303","101 WEST MAIN STREET","ENON","OH",453231233,39.878147,-83.937778,"OH217",39.878147,-83.937778,0,"clark",39023,135520,396.875,3
"P43020","Walmart Pharmacy 10-1416","1815 SCOTT ST.","NAPOLEON","OH",43545,41.401321,-84.132175,"OH218",41.3987485,-84.1322425,286.424852894152,"henry",39069,27463,416.009,6
"P42954","RITE AID PHARMACY  02320","113 N COUNTYLINE STREET","FOSTORIA","OH",448301766,41.158274,-83.421351,"OH219",41.161088,-83.4201713333333,328.484902481184,"seneca",39147,55549,551.027,4
"P44013","WALGREENS #9906","200 S LOCUST ST","OXFORD","OH",450561718,39.508167,-84.749465,"OH22",39.51262425,-84.75377475,619.028258194438,"butler",39017,375702,466.529,1
"P44206","Bryan Community Health Center Pharmacy","228 S Main St","Bryan","OH",435061755,41.472226,-84.551248,"OH221",41.4701992,-84.5547256,367.484599290355,"williams",39171,37061,420.66,6
"P42965","RITE AID PHARMACY  02348","1496 NORTH SHOOP AVENUE","WAUSEON","OH",435671825,41.572885,-84.133824,"OH222",41.5624866666667,-84.1342573333333,1158.0996679108,"fulton",39051,42296,405.448,2
"P44155","Kroger Pharmacy #531","8730 Waterville Swanton Rd","Waterville","OH",435669726,41.507466,-83.749498,"OH223",41.5148163333333,-83.7575486666667,1058.24315558357,"lucas",39095,433404,339.652,2
"P43914","KROGER PHARMACY","113 EAST AIRPORT HIGHWAY","SWANTON","OH",43558,41.582341,-83.885648,"OH224",41.5817365,-83.8861285,78.2886172107824,"lucas",39095,433404,339.652,2
"P42978","RITE AID PHARMACY  02372","1000 NORTH WILLIAMS STREET","PAULDING","OH",458791076,41.150104,-84.58084,"OH225",41.150104,-84.58084,0,"paulding",39125,18951,416.435,6
"P42987","RITE AID PHARMACY  02373","21991 WEST STATE ROUTE 51","GENOA","OH",434301251,41.530428,-83.357771,"OH226",41.530428,-83.357771,0,"ottawa",39123,40769,254.712,4
"P43115","MEDICINE CENTER PHARMACY","251 East St","MINERVA","OH",44657,40.730041,-81.101668,"OH227",40.726676,-81.10637,545.577156881007,"carroll",39019,27825,394.61,2
"P44468","DISCOUNT DRUG MART #88","7626 State Route 45","Lisbon","OH",444329394,40.789725,-80.776906,"OH229",40.7883875,-80.7760765,164.486708667746,"columbiana",39029,104584,531.918,4
"P43001","WEYRAUCHS PHARMACY","4959 KIDRON RD","KIDRON","OH",44636,40.739364,-81.745282,"OH230",40.739364,-81.745282,0,"wayne",39169,115915,554.805,4
