"ID","Origin","Destination","Drive_Time"
"C1031_OH1","C1031","OH1",6803.39226424216
"C1032_OH1","C1032","OH1",6016.60630265883
"C1033_OH1","C1033","OH1",6007.38366556737
"C1034_OH1","C1034","OH1",6153.34931305784
"C1035_OH1","C1035","OH1",5322.56062064642
"C1040_OH1","C1040","OH1",5194.6462549257
"C1041_OH1","C1041","OH1",4843.95449021646
"C1042_OH1","C1042","OH1",4919.73561843118
"C1043_OH1","C1043","OH1",3067.76522609128
"C1044_OH1","C1044","OH1",3255.84815898051
"C1047_OH1","C1047","OH1",2561.90293343667
"C1048_OH1","C1048","OH1",6907.97231857202
"C1049_OH1","C1049","OH1",4907.62089286277
"C1050_OH1","C1050","OH1",5852.13609977499
"C1051_OH1","C1051","OH1",5802.18688242596
"C1053_OH1","C1053","OH1",7152.08814958043
"C1031_OH10","C1031","OH10",6296.29029335217
"C1032_OH10","C1032","OH10",1627.29699095031
"C1033_OH10","C1033","OH10",1632.8286092683
"C1034_OH10","C1034","OH10",1657.06061212087
"C1035_OH10","C1035","OH10",1285.77723728466
"C1040_OH10","C1040","OH10",6718.06184121264
"C1041_OH10","C1041","OH10",6499.16964497644
"C1042_OH10","C1042","OH10",6665.39066398223
"C1043_OH10","C1043","OH10",2380.58409658457
"C1044_OH10","C1044","OH10",2231.59015192491
"C1047_OH10","C1047","OH10",6845.23025907441
"C1049_OH10","C1049","OH10",1446.26712744673
"C1050_OH10","C1050","OH10",1956.55484654412
"C1051_OH10","C1051","OH10",1959.80597639859
"C1027_OH102","C1027","OH102",4694.3130280991
"C1028_OH102","C1028","OH102",4940.00502015263
"C1031_OH102","C1031","OH102",3384.83007115365
"C1032_OH102","C1032","OH102",6348.16563251224
"C1033_OH102","C1033","OH102",6313.62434249034
"C1034_OH102","C1034","OH102",6709.52066874058
"C1035_OH102","C1035","OH102",6135.19327685802
"C1040_OH102","C1040","OH102",6028.46570534219
"C1041_OH102","C1041","OH102",6197.75892952118
"C1042_OH102","C1042","OH102",6322.4498398179
"C1043_OH102","C1043","OH102",7157.46145869302
"C1044_OH102","C1044","OH102",7024.96563674597
"C1045_OH102","C1045","OH102",2580.07340553944
"C1046_OH102","C1046","OH102",2616.33471307409
"C1049_OH102","C1049","OH102",6199.40711386464
"C1050_OH102","C1050","OH102",5747.89980927098
"C1051_OH102","C1051","OH102",5718.1344346013
"C1027_OH104","C1027","OH104",4200.87515705684
"C1028_OH104","C1028","OH104",3945.83013937452
"C1031_OH104","C1031","OH104",2981.81567247112
"C1035_OH104","C1035","OH104",6638.15787612181
"C1040_OH104","C1040","OH104",813.147692014092
"C1041_OH104","C1041","OH104",1165.29099759535
"C1042_OH104","C1042","OH104",1148.05435971449
"C1043_OH104","C1043","OH104",5566.69903067431
"C1044_OH104","C1044","OH104",5591.52502542283
"C1045_OH104","C1045","OH104",4529.85745117518
"C1046_OH104","C1046","OH104",4538.8234026991
"C1047_OH104","C1047","OH104",6440.92530605702
"C1048_OH104","C1048","OH104",4660.31094745491
"C1049_OH104","C1049","OH104",6129.12494764595
"C1050_OH104","C1050","OH104",6538.80422942048
"C1051_OH104","C1051","OH104",6469.94559769534
"C1057_OH104","C1057","OH104",3452.44371772024
"C1026_OH105","C1026","OH105",1748.15698250781
"C1029_OH105","C1029","OH105",1557.81363352515
"C1030_OH105","C1030","OH105",2810.85478406943
"C1036_OH105","C1036","OH105",1969.50681716669
"C1037_OH105","C1037","OH105",2042.03361782681
"C1038_OH105","C1038","OH105",2115.69521425875
"C1039_OH105","C1039","OH105",2215.66442287292
"C1042_OH105","C1042","OH105",7069.36109670148
"C1048_OH105","C1048","OH105",3551.65765732415
"C1052_OH105","C1052","OH105",6889.91161629282
