"ID","Origin","Destination","Drive_Time"
"OH10_OH1","OH10","OH1",4914.27026768568
"OH104_OH1","OH104","OH1",5723.66729763531
"OH11_OH1","OH11","OH1",4793.20016500838
"OH112_OH1","OH112","OH1",6017.40025451567
"OH113_OH1","OH113","OH1",5972.15731382949
"OH114_OH1","OH114","OH1",6866.97583117686
"OH117_OH1","OH117","OH1",4865.70901567265
"OH121_OH1","OH121","OH1",6825.10100112156
"OH125_OH1","OH125","OH1",6430.18768456594
"OH126_OH1","OH126","OH1",4704.56466298021
"OH128_OH1","OH128","OH1",5855.05698362075
"OH130_OH1","OH130","OH1",3030.16023385181
"OH131_OH1","OH131","OH1",4189.08181574463
"OH135_OH1","OH135","OH1",1801.9847372092
"OH137_OH1","OH137","OH1",5141.15378994191
"OH138_OH1","OH138","OH1",6608.09751695242
"OH139_OH1","OH139","OH1",4519.78156883711
"OH144_OH1","OH144","OH1",6952.71820191065
"OH146_OH1","OH146","OH1",4409.78036762076
"OH148_OH1","OH148","OH1",5768.56800925398
"OH15_OH1","OH15","OH1",5827.16233316719
"OH150_OH1","OH150","OH1",4654.77649948469
"OH152_OH1","OH152","OH1",6524.53500148155
"OH159_OH1","OH159","OH1",3525.66087417844
"OH162_OH1","OH162","OH1",2966.45787156705
"OH163_OH1","OH163","OH1",6901.67258474577
"OH164_OH1","OH164","OH1",6926.13477937551
"OH168_OH1","OH168","OH1",3844.80633344658
"OH169_OH1","OH169","OH1",6622.30956177972
"OH173_OH1","OH173","OH1",2050.23090156249
"OH174_OH1","OH174","OH1",5507.17446526855
"OH175_OH1","OH175","OH1",2572.37071624478
"OH177_OH1","OH177","OH1",4236.58632783189
"OH178_OH1","OH178","OH1",6735.72561108626
"OH18_OH1","OH18","OH1",5543.07767727191
"OH180_OH1","OH180","OH1",6136.31237934396
"OH182_OH1","OH182","OH1",2210.20366343953
"OH183_OH1","OH183","OH1",4875.26697013166
"OH184_OH1","OH184","OH1",6712.93580930627
"OH186_OH1","OH186","OH1",4354.99750020864
"OH19_OH1","OH19","OH1",3396.84074893373
"OH194_OH1","OH194","OH1",1893.24919820058
"OH195_OH1","OH195","OH1",3964.4481667478
"OH197_OH1","OH197","OH1",2007.66135073774
"OH199_OH1","OH199","OH1",2803.51098148097
"OH202_OH1","OH202","OH1",5409.01466568429
"OH204_OH1","OH204","OH1",3680.44116052386
"OH206_OH1","OH206","OH1",3624.41199521002
"OH208_OH1","OH208","OH1",3264.31083294741
"OH21_OH1","OH21","OH1",2489.32112072089
"OH211_OH1","OH211","OH1",5551.08850924937
"OH217_OH1","OH217","OH1",2692.43197973343
"OH218_OH1","OH218","OH1",5954.99234579182
"OH219_OH1","OH219","OH1",5527.30746174782
"OH22_OH1","OH22","OH1",4773.89786464373
"OH221_OH1","OH221","OH1",6447.75047436129
"OH222_OH1","OH222","OH1",6684.14597790608
"OH223_OH1","OH223","OH1",6476.627012447
"OH224_OH1","OH224","OH1",6720.67990605433
"OH225_OH1","OH225","OH1",5009.40765345731
"OH226_OH1","OH226","OH1",7169.49462627621
"OH235_OH1","OH235","OH1",2659.61326463905
"OH236_OH1","OH236","OH1",5424.95649007833
"OH237_OH1","OH237","OH1",6397.29461986539
"OH24_OH1","OH24","OH1",2672.40791522311
"OH240_OH1","OH240","OH1",6825.62567576091
"OH244_OH1","OH244","OH1",4230.88237854172
"OH246_OH1","OH246","OH1",7054.83535277786
"OH247_OH1","OH247","OH1",6565.26206071054
"OH249_OH1","OH249","OH1",5299.39164285894
"OH25_OH1","OH25","OH1",2920.90415630826
"OH250_OH1","OH250","OH1",6081.94053596895
"OH251_OH1","OH251","OH1",5282.17646165877
"OH255_OH1","OH255","OH1",6804.28701115556
"OH257_OH1","OH257","OH1",5939.79425879889
"OH262_OH1","OH262","OH1",5968.09549043418
"OH264_OH1","OH264","OH1",5479.93269867332
"OH265_OH1","OH265","OH1",4735.7663880059
"OH270_OH1","OH270","OH1",3078.23835833347
"OH273_OH1","OH273","OH1",6563.57791998313
"OH276_OH1","OH276","OH1",3951.66919678907
"OH278_OH1","OH278","OH1",6236.75064290889
"OH279_OH1","OH279","OH1",6719.78928432063
"OH280_OH1","OH280","OH1",1823.29635438684
"OH282_OH1","OH282","OH1",6848.27261367489
"OH283_OH1","OH283","OH1",5260.11730197106
"OH284_OH1","OH284","OH1",7083.75987520715
"OH285_OH1","OH285","OH1",6893.02211777772
"OH286_OH1","OH286","OH1",2197.78395878298
"OH289_OH1","OH289","OH1",3270.05823585239
"OH290_OH1","OH290","OH1",4511.73744386795
"OH294_OH1","OH294","OH1",3894.00842938336
"OH295_OH1","OH295","OH1",4022.70386100423
"OH297_OH1","OH297","OH1",1759.76384405003
"OH298_OH1","OH298","OH1",5170.85070864237
"OH299_OH1","OH299","OH1",3828.07516263618
"OH300_OH1","OH300","OH1",1452.29952438806
"OH301_OH1","OH301","OH1",3942.51967836493
"OH302_OH1","OH302","OH1",4218.63509558165
"OH305_OH1","OH305","OH1",4956.00602933469
"OH306_OH1","OH306","OH1",5474.70016210928
"OH307_OH1","OH307","OH1",5365.81954052526
"OH308_OH1","OH308","OH1",6502.90243147454
"OH309_OH1","OH309","OH1",4577.00790590626
"OH310_OH1","OH310","OH1",3480.91662561656
"OH311_OH1","OH311","OH1",5815.89138748172
"OH4_OH1","OH4","OH1",4820.06694131301
"OH52_OH1","OH52","OH1",4699.21482452898
"OH54_OH1","OH54","OH1",1286.86031485172
"OH55_OH1","OH55","OH1",3551.04885326206
"OH56_OH1","OH56","OH1",2357.58398912515
"OH57_OH1","OH57","OH1",2321.20948368479
"OH58_OH1","OH58","OH1",2701.25401680735
"OH59_OH1","OH59","OH1",4566.24221265275
"OH60_OH1","OH60","OH1",4898.23967802752
"OH64_OH1","OH64","OH1",4968.89554388544
"OH70_OH1","OH70","OH1",1597.29747818896
"OH71_OH1","OH71","OH1",6828.93945845595
"OH73_OH1","OH73","OH1",3861.92593632161
"OH74_OH1","OH74","OH1",5119.86212067451
"OH75_OH1","OH75","OH1",6150.30153921395
"OH77_OH1","OH77","OH1",4810.02738704924
"OH78_OH1","OH78","OH1",2591.44802619831
"OH79_OH1","OH79","OH1",2417.32406693438
"OH81_OH1","OH81","OH1",2339.77557446618
"OH83_OH1","OH83","OH1",7025.56935148676
"OH85_OH1","OH85","OH1",3144.07462861918
"OH89_OH1","OH89","OH1",5797.41455587413
"OH9_OH1","OH9","OH1",5260.97033383882
"OH93_OH1","OH93","OH1",6938.40443122633
"OH94_OH1","OH94","OH1",5582.50310870535
"OH96_OH1","OH96","OH1",6883.49926429589
"OH98_OH1","OH98","OH1",6829.03040092447
"OH99_OH1","OH99","OH1",3564.02113925984
"OH1_OH10","OH1","OH10",4914.27026768568
"OH102_OH10","OH102","OH10",7175.64037521006
"OH104_OH10","OH104","OH10",7021.21977116694
"OH11_OH10","OH11","OH10",753.3275896292
"OH113_OH10","OH113","OH10",4985.78724450146
"OH117_OH10","OH117","OH10",5378.20311327973
"OH122_OH10","OH122","OH10",5389.37704899806
"OH125_OH10","OH125","OH10",2957.59979324598
"OH130_OH10","OH130","OH10",3189.13753451492
"OH135_OH10","OH135","OH10",3632.00830165545
"OH138_OH10","OH138","OH10",5392.25240586406
"OH142_OH10","OH142","OH10",5437.99998559402
"OH145_OH10","OH145","OH10",3979.69337953633
"OH146_OH10","OH146","OH10",6629.90807969392
"OH148_OH10","OH148","OH10",6493.79269888451
"OH15_OH10","OH15","OH10",1426.49125207048
"OH152_OH10","OH152","OH10",2627.70450661567
"OH157_OH10","OH157","OH10",6619.93392175576
"OH159_OH10","OH159","OH10",4423.32164994098
"OH162_OH10","OH162","OH10",5452.95768533883
"OH168_OH10","OH168","OH10",5131.1595487167
"OH173_OH10","OH173","OH10",5980.29068649619
"OH175_OH10","OH175","OH10",6038.61981111968
"OH177_OH10","OH177","OH10",1663.44150993529
"OH18_OH10","OH18","OH10",7140.1280392947
"OH180_OH10","OH180","OH10",6434.80561752621
"OH182_OH10","OH182","OH10",5981.48742579582
"OH183_OH10","OH183","OH10",3416.44249687304
"OH186_OH10","OH186","OH10",6269.91973481164
"OH194_OH10","OH194","OH10",6171.43140422577
"OH197_OH10","OH197","OH10",6206.39894323048
"OH199_OH10","OH199","OH10",2499.25269961049
"OH204_OH10","OH204","OH10",2258.99935563862
"OH21_OH10","OH21","OH10",3914.14493099164
"OH217_OH10","OH217","OH10",3678.54036099953
"OH22_OH10","OH22","OH10",1180.05787238527
"OH235_OH10","OH235","OH10",6671.92654990894
"OH236_OH10","OH236","OH10",2923.5574240317
"OH24_OH10","OH24","OH10",2712.86029825598
"OH25_OH10","OH25","OH10",2943.90263493037
"OH255_OH10","OH255","OH10",4129.87484561897
"OH264_OH10","OH264","OH10",6734.71990369477
"OH265_OH10","OH265","OH10",7158.05007669649
"OH268_OH10","OH268","OH10",6977.06369729006
"OH270_OH10","OH270","OH10",3547.98080401291
"OH273_OH10","OH273","OH10",3364.69820448613
"OH275_OH10","OH275","OH10",4923.29644237424
"OH276_OH10","OH276","OH10",6139.53507809851
"OH280_OH10","OH280","OH10",4458.02565147013
"OH282_OH10","OH282","OH10",3179.92226825303
"OH283_OH10","OH283","OH10",770.876098591571
"OH284_OH10","OH284","OH10",7115.48408461427
"OH286_OH10","OH286","OH10",5581.91593226196
"OH290_OH10","OH290","OH10",860.613168438034
"OH297_OH10","OH297","OH10",4667.97462502681
"OH299_OH10","OH299","OH10",7077.68114737475
"OH300_OH10","OH300","OH10",5763.10561539541
"OH301_OH10","OH301","OH10",3655.6955039542
"OH302_OH10","OH302","OH10",5739.9900429946
"OH305_OH10","OH305","OH10",4120.7779257507
"OH310_OH10","OH310","OH10",3639.33337418629
"OH311_OH10","OH311","OH10",3584.83004076941
"OH4_OH10","OH4","OH10",6644.22524643469
"OH52_OH10","OH52","OH10",6211.58352509611
"OH54_OH10","OH54","OH10",4109.02084546759
"OH55_OH10","OH55","OH10",3070.34053691572
"OH56_OH10","OH56","OH10",5013.02040627863
"OH57_OH10","OH57","OH10",3662.24112220454
"OH58_OH10","OH58","OH10",4227.5253645776
"OH70_OH10","OH70","OH10",5427.24330905783
"OH74_OH10","OH74","OH10",4853.92053621067
"OH75_OH10","OH75","OH10",4273.35339850953
"OH77_OH10","OH77","OH10",6986.51695034477
"OH78_OH10","OH78","OH10",5719.66330076047
"OH79_OH10","OH79","OH10",2889.32401644201
"OH81_OH10","OH81","OH10",3113.21957000541
"OH85_OH10","OH85","OH10",5459.57189496108
"OH9_OH10","OH9","OH10",896.900225486214
"OH97_OH10","OH97","OH10",4552.06878268496
"OH98_OH10","OH98","OH10",2769.03438550847
"OH99_OH10","OH99","OH10",6304.10752331976
"OH10_OH102","OH10","OH102",7175.64037521006
"OH104_OH102","OH104","OH102",5735.86939924485
"OH11_OH102","OH11","OH102",6869.26076815926
"OH113_OH102","OH113","OH102",3888.93056310664
"OH114_OH102","OH114","OH102",5413.15135568811
"OH115_OH102","OH115","OH102",3804.65636542919
"OH116_OH102","OH116","OH102",6650.15505297313
"OH117_OH102","OH117","OH102",5289.15690594298
"OH118_OH102","OH118","OH102",4962.18305590213
"OH122_OH102","OH122","OH102",2788.1624057225
"OH125_OH102","OH125","OH102",4758.47886838247
"OH127_OH102","OH127","OH102",3491.36820133301
"OH130_OH102","OH130","OH102",6731.5305582737
"OH132_OH102","OH132","OH102",1293.67715868313
