"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P44891","REASORS PHARMACY #15","4909 E 41ST ST","TULSA","OK",74135,36.105531,-95.91906,"OK1",36.1071186081081,-95.9192805810811,177.841704948181,"tulsa",40143,637123,570.084,2
"P44783","HOMELAND PHARMACY","310 WEST TRUDGEON STREET","HENRYETTA","OK",744374026,35.441018,-95.984601,"OK10",35.4401073333333,-95.982262,235.111333972536,"okmulgee",40111,39121,697.444,2
"P44969","WALGREENS","601 W WILL ROGERS BLVD","CLAREMORE","OK",740176824,36.312381,-95.616801,"OK100",36.3115338333333,-95.6197071666667,277.222003786116,"rogers",40131,90098,675.634,2
"P45028","WALGREENS","1403 S WOOD DR","OKMULGEE","OK",744477841,35.609967,-95.961513,"OK101",35.610668,-95.9586056666667,274.448107688609,"okmulgee",40111,39121,697.444,2
"P44666","TRUMMEL DRUG STORE","459 S ELM ST","OOLOGAH","OK",74053,36.439905,-95.709107,"OK102",36.439905,-95.709107,0,"rogers",40131,90098,675.634,2
"P45032","CHECOTAH PHARMACY","1002 W Gentry Ave Ste B","CHECOTAH","OK",74426,35.472369,-95.531905,"OK103",35.472164,-95.5345115,237.399985814526,"mcintosh",40091,19874,618.29,6
"P44671","HOMELAND PHARMACY","412 WEST THIRD","ELK CITY","OK",736445202,35.411866,-99.408653,"OK104",35.4109351428571,-99.4100327142857,162.502063966882,"beckham",40009,22971,901.679,7
"P45230","Prague Pharmacy","1020 W Main St","PRAGUE","OK",748640843,35.486909,-96.688239,"OK105",35.486702,-96.689256,95.019155441033,"lincoln",40081,34759,952.372,1
"P44682","YALE DRUG","121 N MAIN ST","YALE","OK",740852507,36.114351,-96.699411,"OK107",36.114351,-96.699411,0,"payne",40119,80634,684.901,4
"P44683","NOBLE PHARMACY","125 S MAIN ST","NOBLE","OK",730680615,35.138108,-97.394246,"OK108",35.138108,-97.394246,0,"cleveland",40027,274024,538.788,1
"P44872","WALMART PHARMACY 10-0047","1101 WEST RUTH AVE","SALLISAW","OK",74955,35.451197,-94.801828,"OK109",35.45433575,-94.79522925,692.919096952483,"sequoyah",40135,41364,673.474,2
"P44518","WILSON PHARMACY","911 S Air Depot Blvd","MIDWEST CITY","OK",73110,35.45527,-97.406626,"OK11",35.455633,-97.40268992,359.192782856826,"oklahoma",40109,774203,708.858,1
"P44999","Lakeside Pharmacy","605 N MAIN ST","EUFAULA","OK",74432,35.290181,-95.582764,"OK112",35.2862485,-95.582718,437.783851613751,"mcintosh",40091,19874,618.29,6
"P45047","Marlow Medicine","129 N Broadway","Marlow","OK",73055,34.648406,-97.957954,"OK114",34.6433845,-97.957895,559.016936503689,"stephens",40137,44293,870.197,4
"P44694","PUCKETT DISCOUNT DRUG","101 N LOUIS TITTLE","MANGUM","OK",735544420,34.873738,-99.502727,"OK115",34.8733995,-99.50447,163.584294304995,"greer",40055,6018,639.282,7
"P45272","OneSource Pharmacy 4HE","100 Don Williams Avenue Ste 100","Tuttle","OK",73089,35.292447,-97.804458,"OK116",35.29162,-97.761279,3924.36551612083,"grady",40051,54351,1100.539,1
"P44708","WESTVIEW PHARMACY","3606 N Martin Luther King Jr. Blvd","TULSA","OK",74106,36.207067,-95.994527,"OK118",36.20163,-95.9873603333333,883.590950090324,"tulsa",40143,637123,570.084,2
"P44711","HEROD DISCOUNT DRUG STORE","212 W Main","CANTON","OK",73724,36.053571,-98.589749,"OK119",36.053571,-98.589749,0,"blaine",40011,9680,928.487,6
"P44718","LOVELLS PHARMACY INC","602 W CENTRAL","ANADARKO","OK",730053228,35.072254,-98.252598,"OK120",35.0680763333333,-98.2470816666667,684.742986475053,"caddo",40015,29437,1277.753,6
"P45164","Sooner Pharmacy of Oklahoma LLC","815 W BROADWAY ST","SULPHUR","OK",730864611,34.506216,-96.976848,"OK121",34.506304,-96.9833863333333,599.870196774832,"murray",40099,13797,416.374,7
"P44725","WALMART PHARMACY 10-0210","500 E BUS 270","HOLDENVILLE","OK",74848,35.087944,-96.381412,"OK122",35.086961,-96.3840585,264.743095982948,"hughes",40063,13519,804.486,7
"P44730","BOISE CITY FAMILY PHARMACY","318 W MAIN","BOISE CITY","OK",73933,36.729853,-102.517451,"OK123",36.729853,-102.517451,0,"cimarron",40025,2221,1834.808,9
"P44758","HARRAH PHARMACY","2060 N CHURCH","HARRAH","OK",730450247,35.492894,-97.167665,"OK124",35.4736593333333,-97.1704093333333,2155.59537113741,"oklahoma",40109,774203,708.858,1
"P44752","Thompsons Pharmacy","513 HILLERY RD SUITE B","COMANCHE","OK",735291240,34.373486,-97.965404,"OK125",34.373486,-97.965404,0,"stephens",40137,44293,870.197,4
"P44759","MURPHYS DRUG","145 E BROADWAY ST","DRUMRIGHT","OK",740303801,35.988619,-96.601572,"OK126",35.988619,-96.601572,0,"creek",40037,70899,949.854,2
"P44762","APACHE DRUG","116 E EVANS AVE","APACHE","OK",730069802,34.893358,-98.365049,"OK127",34.893358,-98.365049,0,"caddo",40015,29437,1277.753,6
"P44775","COMMUNITY PHARMACY","212 E 8TH ST","BEAVER","OK",739320640,36.810438,-100.516292,"OK128",36.810438,-100.516292,0,"beaver",40007,5445,1814.838,9
"P44521","PARKVIEW PHARMACY","115 MEDICAL DR","GUYMON","OK",739423698,36.690535,-101.481414,"OK13",36.6954766666667,-101.482450333333,557.82730251196,"texas",40139,21409,2041.275,7
"P44963","MAIN STREET DRUG","225 W MAIN","WILBURTON","OK",74578,34.918846,-95.313064,"OK130",34.916607,-95.3159915,365.4164223854,"latimer",40077,10621,722.092,7
"P44824","Medic Pharmacy & Gifts","102 W JANE JAYROE BLVD","LAVERNE","OK",738481250,36.709895,-99.89397,"OK132",36.709895,-99.89397,0,"harper",40059,3843,1038.584,9
"P44826","HINTON PHARMACY","401 N BROADWAY","HINTON","OK",73047,35.466506,-98.355579,"OK133",35.466506,-98.355579,0,"caddo",40015,29437,1277.753,6
"P44855","THE PHARMACY OF POCOLA","102 E FOLSOM BLVD","POCOLA","OK",74902,35.275623,-94.478058,"OK135",35.275623,-94.478058,0,"le flore",40079,49860,1589.198,2
"P44856","Clayton Pharmacy","536 N Lawson Blvd","CLAYTON","OK",74536,34.589666,-95.352345,"OK136",34.589666,-95.352345,0,"pushmataha",40127,11132,1395.537,9
"P44863","JACKS PHARMACY","500 WILLIAMS","MAYSVILLE","OK",73057,34.817556,-97.408241,"OK137",34.817556,-97.408241,0,"garvin",40049,27751,802.109,6
"P44885","FIKES PHARMACY","101 E 2ND ST","GRANDFIELD","OK",73546,34.230638,-98.6831,"OK138",34.230638,-98.6831,0,"tillman",40141,7591,871.134,6
"P44900","INOLA DRUG","19 W COMMERCIAL ST","INOLA","OK",740360700,36.151473,-95.509393,"OK139",36.151473,-95.509393,0,"rogers",40131,90098,675.634,2
"P44946","WESTERN DRUG #3","202 E. Broadway","VICI","OK",73859,36.149576,-99.301158,"OK141",36.149576,-99.301158,0,"dewey",40043,4904,999.635,9
"P45297","Central Oklahoma Family Medical Center Pharmacy","527 W 3rd St","Ada","OK",74849,34.960631,-96.759752,"OK142",34.9603795,-96.759831,28.9096664876463,"seminole",40133,25246,632.834,7
"P44962","Chelsea Family Pharmacy","600 Walnut St","CHELSEA","OK",740162030,36.53303,-95.430419,"OK143",36.53303,-95.430419,0,"mayes",40097,40929,655.379,6
"P44972","CVS Pharmacy #06234","3200 S SANTA FE AVE","EDMOND","OK",73013,35.768483,-97.513831,"OK144",35.768483,-97.513831,0,"logan",40083,45326,743.841,1
"P44987","REASORS PHARMACY #6","1624 N 3RD ST","LANGLEY","OK",74350,36.482354,-95.058133,"OK145",36.482293,-95.059037,81.1972866682049,"mayes",40097,40929,655.379,6
"P45004","Valu-Med Pharmacy","1201 S Lee St","FORT GIBSON","OK",74434,35.786013,-95.242993,"OK146",35.786013,-95.242993,0,"muskogee",40101,69471,810.623,4
"P45016","DEER CREEK PHARMACY","510 Arapaho","HYDRO","OK",73048,35.549573,-98.578203,"OK148",35.549573,-98.578203,0,"caddo",40015,29437,1277.753,6
"P44956","WALGREENS","10018 S Yale Ave","TULSA","OK",741376016,36.017898,-95.922813,"OK15",36.0178479166667,-95.936186875,1204.18249447602,"tulsa",40143,637123,570.084,2
"P45136","MEDICAP PHARMACY 8422","15030 S Memorial Dr","Bixby","OK",740083700,35.944938,-95.886724,"OK150",35.944525,-95.8862985,59.8681532197463,"tulsa",40143,637123,570.084,2
"P45074","PRUETTS FOOD-PHARMACY","111 Chappell Dr","Valliant","OK",747649018,34.000632,-95.08055,"OK151",34.000632,-95.08055,0,"mccurtain",40089,33026,1850.865,7
"P45079","CHEYENNE PROFESSIONAL DRUG","413 BROADWAY AVE","CHEYENNE","OK",73628,35.61378,-99.670754,"OK152",35.61378,-99.670754,0,"roger mills",40129,3734,1141.126,9
"P45089","Cotton County Drug","619 E Missouri St","Walters","OK",735721605,34.36227,-98.298504,"OK153",34.36227,-98.298504,0,"cotton",40033,6000,632.633,3
"P45111","Medication Station","8054 OK-16","Beggs","OK",744213126,35.740483,-96.050495,"OK155",35.740483,-96.050495,0,"okmulgee",40111,39121,697.444,2
"P45114","NeoHealth Hulbert Pharmacy","124 E Main St","Hulbert","OK",744418902,35.932648,-95.143425,"OK156",35.932648,-95.143425,0,"cherokee",40021,48404,749.002,6
"P45119","East Central Oklahoma Family Health Center, Inc. Pharmacy","109 S Main St","Wetumka","OK",748834015,35.236328,-96.2415,"OK157",35.236328,-96.2415,0,"hughes",40063,13519,804.486,7
"P45121","Bean Family Pharmacy","11103 Highway 76","HEALDTON","OK",734380460,34.232802,-97.487116,"OK158",34.232802,-97.487116,0,"carter",40019,48407,822.201,5
"P45122","Hughes Pharmacy","107 E Cherokee St","Medford","OK",737591209,36.806805,-97.735009,"OK159",36.806805,-97.735009,0,"grant",40053,4458,1000.74,9
"P45127","Kansas Pharmacy","1119 E Tulsa Ave","Kansas","OK",743477055,36.20507,-94.777482,"OK160",36.20507,-94.777482,0,"delaware",40041,41878,738.03,6
"P45132","BEARSKIN HEALTH CLINIC PHARMACY","1 Turtle Dr","Wyandotte","OK",743702114,36.801517,-94.727675,"OK161",36.801517,-94.727675,0,"ottawa",40115,31725,470.817,6
"P45182","Medic Pharmacy and Gifts","506 North Hoy","BUFFALO","OK",73834,36.839205,-99.630466,"OK163",36.8372225,-99.630299,221.191856582564,"harper",40059,3843,1038.584,9
"P45199","WELEETKA DRUG","309  W 9TH STREET","WELEETKA","OK",748800727,35.335426,-96.135384,"OK164",35.335426,-96.135384,0,"okfuskee",40107,12160,618.446,6
"P45201","Krittenbrink Pharmacy","315 KANSAS AVE","OKARCHE","OK",737620405,35.726849,-97.976959,"OK165",35.726849,-97.976959,0,"kingfisher",40073,15510,898.076,6
"P45225","WESTERN DRUG #7","417 SW 7th St Ste 2","Mooreland","OK",738527603,36.43422,-99.209111,"OK167",36.43422,-99.209111,0,"woodward",40153,21140,1242.786,7
"P45244","Heritage Pharmacy II","529 N Main St","Hennessey","OK",737421033,36.113977,-97.898741,"OK168",36.113977,-97.898741,0,"kingfisher",40073,15510,898.076,6
"P45251","CHOUTEAU FAMILY PHARMACY","214 N CHOUTEAU","CHOUTEAU","OK",74337,36.188533,-95.342196,"OK169",36.188533,-95.342196,0,"mayes",40097,40929,655.379,6
"P45259","McLoud Pharmacy","704 S 8TH STREET STE B","MCLOUD","OK",74851,35.423689,-97.097034,"OK170",35.423689,-97.097034,0,"pottawatomie",40125,71614,787.788,4
"P45268","Jones Drug Store","101 W MAIN ST","JONES","OK",73049,35.56591,-97.286588,"OK171",35.56591,-97.286588,0,"oklahoma",40109,774203,708.858,1
"P45273","Heartland Pharmacy","501 W Carl Hubbell","Meeker","OK",74855,35.503353,-96.900152,"OK172",35.503353,-96.900152,0,"lincoln",40081,34759,952.372,1
"P45280","Elgin Pharmacy","7523 US-277","ELGIN","OK",73538,34.782048,-98.299147,"OK173",34.782048,-98.299147,0,"comanche",40031,123066,1069.37,3
"P45284","Hominy Drug and Gift","104 W MAIN ST","HOMINY","OK",740351032,36.415396,-96.394116,"OK174",36.415396,-96.394116,0,"osage",40113,47350,2246.604,2
"P45295","Apothecary Pharmacy","1419 COMMERCIAL AVE","MOUNDS","OK",74047,35.879609,-96.060547,"OK175",35.879609,-96.060547,0,"creek",40037,70899,949.854,2
"P45302","Warner Family Pharmacy","806 Campbell Rd Unit B","Warner","OK",744695008,35.4942,-95.311088,"OK176",35.4942,-95.311088,0,"muskogee",40101,69471,810.623,4
"P45310","Granite Drug Co.","316 N Main St","Granite","OK",73547,34.960614,-99.381055,"OK178",34.960614,-99.381055,0,"greer",40055,6018,639.282,7
