"ID","Origin","Destination","Drive_Time"
"C1059_OK1","C1059","OK1",3584.20499620201
"C1061_OK1","C1061","OK1",6242.46546054116
"C1063_OK1","C1063","OK1",6237.63494940195
"C1065_OK1","C1065","OK1",7165.32193176228
"C1070_OK1","C1070","OK1",5917.60581014335
"C1071_OK1","C1071","OK1",6798.8077299048
"C1072_OK1","C1072","OK1",626.176921467001
"C1073_OK1","C1073","OK1",736.373862263527
"C1074_OK1","C1074","OK1",935.545842032955
"C1075_OK1","C1075","OK1",522.565410415394
"C1059_OK10","C1059","OK10",6812.7271816238
"C1061_OK10","C1061","OK10",3296.60692428935
"C1064_OK10","C1064","OK10",6641.64186307337
"C1065_OK10","C1065","OK10",6263.20368148604
"C1066_OK10","C1066","OK10",6220.11279978511
"C1067_OK10","C1067","OK10",6466.58287292401
"C1068_OK10","C1068","OK10",6433.12527592914
"C1069_OK10","C1069","OK10",6882.41392358427
"C1071_OK10","C1071","OK10",6230.17485051801
"C1072_OK10","C1072","OK10",3375.77686558682
"C1073_OK10","C1073","OK10",3860.09978486569
"C1074_OK10","C1074","OK10",4006.81272776107
"C1075_OK10","C1075","OK10",3548.09799511529
"C1059_OK100","C1059","OK100",3097.74249201126
"C1063_OK100","C1063","OK100",4802.00991927525
"C1070_OK100","C1070","OK100",6560.23886657665
"C1071_OK100","C1071","OK100",6566.63791965858
"C1072_OK100","C1072","OK100",2033.42366787841
"C1073_OK100","C1073","OK100",1615.61256680373
"C1074_OK100","C1074","OK100",1411.08515419807
"C1075_OK100","C1075","OK100",1879.41160027929
"C1059_OK101","C1059","OK101",6010.71494269212
"C1061_OK101","C1061","OK101",4038.40837740457
"C1064_OK101","C1064","OK101",6765.54614519077
"C1065_OK101","C1065","OK101",6372.82568120718
"C1066_OK101","C1066","OK101",6385.03575226428
"C1067_OK101","C1067","OK101",6619.71879282961
"C1068_OK101","C1068","OK101",6547.61244850399
"C1069_OK101","C1069","OK101",6932.5462552996
"C1071_OK101","C1071","OK101",6215.51499722174
"C1072_OK101","C1072","OK101",2568.15467308441
"C1073_OK101","C1073","OK101",3052.62716388263
"C1074_OK101","C1074","OK101",3200.95297410358
"C1075_OK101","C1075","OK101",2740.4578380233
"C1059_OK102","C1059","OK102",2398.25561699555
"C1063_OK102","C1063","OK102",4686.76706548591
"C1070_OK102","C1070","OK102",6030.82279804076
"C1072_OK102","C1072","OK102",2356.75453158529
"C1073_OK102","C1073","OK102",1870.39037441702
"C1074_OK102","C1074","OK102",1693.42189051918
"C1075_OK102","C1075","OK102",2183.20679739992
"C1059_OK103","C1059","OK103",6991.75729726561
"C1061_OK103","C1061","OK103",3456.85302443826
"C1071_OK103","C1071","OK103",4657.90801695133
"C1072_OK103","C1072","OK103",3728.20005361074
"C1073_OK103","C1073","OK103",4101.80308105006
"C1074_OK103","C1074","OK103",4161.75276973145
"C1075_OK103","C1075","OK103",3857.76048423814
"C1060_OK104","C1060","OK104",6209.62918759984
"C1058_OK105","C1058","OK105",7087.47640560156
"C1059_OK105","C1059","OK105",7173.75391571289
"C1061_OK105","C1061","OK105",5182.70052070706
"C1064_OK105","C1064","OK105",3876.98702600352
"C1065_OK105","C1065","OK105",3493.16573921952
"C1066_OK105","C1066","OK105",3477.28243616208
"C1067_OK105","C1067","OK105",3716.29070510399
"C1068_OK105","C1068","OK105",3664.79245674348
"C1069_OK105","C1069","OK105",4109.85964936121
"C1070_OK105","C1070","OK105",6822.04336859855
"C1072_OK105","C1072","OK105",4483.49572006075
"C1073_OK105","C1073","OK105",4906.50901984578
"C1074_OK105","C1074","OK105",5109.15559878009
"C1075_OK105","C1075","OK105",4632.52462688941
"C1059_OK107","C1059","OK107",4663.54808715063
"C1064_OK107","C1064","OK107",5149.55746631959
"C1065_OK107","C1065","OK107",4785.26785023527
"C1066_OK107","C1066","OK107",5049.56203869424
"C1067_OK107","C1067","OK107",5171.56413557603
"C1068_OK107","C1068","OK107",4938.8382701034
"C1069_OK107","C1069","OK107",4948.8983856627
"C1070_OK107","C1070","OK107",3975.90556069831
"C1072_OK107","C1072","OK107",3558.87022019926
"C1073_OK107","C1073","OK107",3689.47616052858
"C1074_OK107","C1074","OK107",3861.96794500338
"C1075_OK107","C1075","OK107",3597.14421762479
"C1058_OK108","C1058","OK108",5206.73718372724
"C1060_OK108","C1060","OK108",5226.91794580693
"C1061_OK108","C1061","OK108",7081.46059417019
"C1062_OK108","C1062","OK108",7039.34741101482
"C1064_OK108","C1064","OK108",2071.66467592195
"C1065_OK108","C1065","OK108",2059.78446275157
"C1066_OK108","C1066","OK108",1653.78856742183
"C1067_OK108","C1067","OK108",1800.4763969724
"C1068_OK108","C1068","OK108",2066.10887568916
"C1069_OK108","C1069","OK108",2689.83768197984
"C1061_OK109","C1061","OK109",5101.86846429839
"C1071_OK109","C1071","OK109",1668.70413061729
"C1072_OK109","C1072","OK109",5556.63374328547
"C1073_OK109","C1073","OK109",5728.88528885247
"C1074_OK109","C1074","OK109",5684.03164236216
"C1075_OK109","C1075","OK109",5613.34777689655
"C1058_OK11","C1058","OK11",6651.28348267524
"C1060_OK11","C1060","OK11",6107.38304806956
"C1064_OK11","C1064","OK11",1094.67181248007
"C1065_OK11","C1065","OK11",740.197337532134
"C1066_OK11","C1066","OK11",772.551064247139
