"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
40001376600,"OK160","Oklahoma",40001,6,22136,573.855,36.11195,-94.6588,3.098175836,"Kansas Pharmacy","1119 E Tulsa Ave",36.20507,-94.777482,36.20507,-94.777482,14874.0751686571,41878,738.03,6,6,56.7429508285571,1303.2165782369
40001376600,"OK78","Oklahoma",40001,6,22136,573.855,36.11195,-94.6588,3.098175836,"WESTVILLE PRESCRIPTION CENTER","301 S WILLIAMS",35.995908,-94.568229,35.995908,-94.568229,15274.4774138149,22136,573.855,6,6,38.5742042850546,1321.79431146455
40001376700,"OK78","Oklahoma",40001,6,22136,573.855,36.00931,-94.66235,6.23211883,"WESTVILLE PRESCRIPTION CENTER","301 S WILLIAMS",35.995908,-94.568229,35.995908,-94.568229,8606.49050584297,22136,573.855,6,6,38.5742042850546,1037.2046302323
40001376800,"OK97","Oklahoma",40001,6,22136,573.855,35.80217,-94.73154,5.811546393,"WALMART PHARMACY 10-0081","RR 6 1895",35.81453,-94.62856,35.81453,-94.62856,9398.06365134812,22136,573.855,6,6,38.5742042850546,1070.98897208246
40001376900,"OK97","Oklahoma",40001,6,22136,573.855,35.81172,-94.63934,5.70794497,"WALMART PHARMACY 10-0081","RR 6 1895",35.81453,-94.62856,35.81453,-94.62856,1022.17465826249,22136,573.855,6,6,38.5742042850546,713.506029857569
40001377000,"OK97","Oklahoma",40001,6,22136,573.855,35.76473,-94.57495,6.451655174,"WALMART PHARMACY 10-0081","RR 6 1895",35.81453,-94.62856,35.81453,-94.62856,7359.84499263563,22136,573.855,6,6,38.5742042850546,983.997799728614
40003955600,"OK37","Oklahoma",40003,9,5877,866.564,36.85083,-98.29835,2.054612565,"SMITH DRUG","121 S GRAND",36.756915,-98.357219,36.756915,-98.357219,11697.4572884167,5877,866.564,9,9,6.78195724724314,1299.95183131236
40003955700,"OK37","Oklahoma",40003,9,5877,866.564,36.74305,-98.44073,1.948176898,"SMITH DRUG","121 S GRAND",36.756915,-98.357219,36.756915,-98.357219,7607.00529932871,5877,866.564,9,9,6.78195724724314,1125.37134041808
40005587700,"OK39","Oklahoma",40005,9,13899,975.446,34.41304,-96.1342,5.292300395,"PALACE DRUG STORE","104 W Ohio Ave",34.539816,-96.219335,34.539816,-96.219335,16130.8189012706,5666,516.77,9,9,14.2488666722709,1488.55594105977
40005587700,"OK89","Oklahoma",40005,9,13899,975.446,34.41304,-96.1342,5.292300395,"RITTER EXPRESS PHARMACY","744 S MISSISSIPPI",34.379502,-96.131007,34.374683,-96.137201,3744.93577276069,13899,975.446,9,9,14.2488666722709,959.926449134967
40007951600,"OK128","Oklahoma",40007,9,5445,1814.838,36.87774,-100.468,3.205195601,"COMMUNITY PHARMACY","212 E 8TH ST",36.810438,-100.516292,36.810438,-100.516292,8639.3694169209,5445,1814.838,9,9,3.00026779249718,1169.74247477394
40007951800,"OK128","Oklahoma",40007,9,5445,1814.838,36.80785,-100.5354,2.364488558,"COMMUNITY PHARMACY","212 E 8TH ST",36.810438,-100.516292,36.810438,-100.516292,1727.22267846679,5445,1814.838,9,9,3.00026779249718,874.732051976723
40009966100,"OK104","Oklahoma",40009,7,22971,901.679,35.40552,-99.38909,10.67590161,"Paul Jones Drug","105 N MAIN ST",35.410714,-99.405068,35.4109351428571,-99.4100327142857,1560.74122069451,22971,901.679,7,7,25.4758068004245,780.305202448083
40009966200,"OK104","Oklahoma",40009,7,22971,901.679,35.40198,-99.49383,9.59133564,"United Pharmacy","2700 W. 3rd Street",35.411509,-99.437469,35.4109351428571,-99.4100327142857,5222.6076137462,22971,901.679,7,7,25.4758068004245,936.593660103529
40009966200,"OK65","Oklahoma",40009,7,22971,901.679,35.40198,-99.49383,9.59133564,"CITY PHARMACY","414 E WASHINGTON AVE",35.306894,-99.63584,35.3040785,-99.637865,16681.5883527299,22971,901.679,7,7,25.4758068004245,1425.66295804335
40009966800,"OK65","Oklahoma",40009,7,22971,901.679,35.24063,-99.58507,8.213061112,"SAYRE PROFESSIONAL PHARMACY","1002 NE HWY 66 STE 1",35.301263,-99.63989,35.3040785,-99.637865,8389.32825179293,22971,901.679,7,7,25.4758068004245,1071.74929693536
