"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P45320","POSTAL PHARMACY,Inc","47809 HWY 58","OAKRIDGE","OR",97463,43.746338,-122.476691,"OR1",43.746338,-122.476691,0,"lane",41039,363471,4556.05,2
"P45328","BI-MART PHARMACY #608","2280 ASHLAND ST","ASHLAND","OR",975201406,42.184204,-122.672234,"OR7",42.18889933,-122.684267,1121.740314,"jackson",41029,212070,2783.255,3
"P45334","BROWNSVILLE PHARMACY","411 N MAIN","BROWNSVILLE","OR",97327,44.394522,-122.984736,"OR11",44.394522,-122.984736,0,"linn",41043,121074,2287.244,3
"P45337","FRED MEYER PHARMACY","777 KING BLVD","CORVALLIS","OR",97330,44.575123,-123.274192,"OR13",44.57832814,-123.27001,487.1000472,"benton",41003,88249,675.181,3
"P45349","MURRAY DRUGS INC","217 N MAIN ST","HEPPNER","OR",97836,45.353665,-119.553637,"OR16",45.353665,-119.553637,0,"morrow",41049,11153,2030.529,6
"P45354","HOMETOWN DRUGS","65 NE Oak St Ste 100","MADRAS","OR",97741,44.639456,-121.128218,"OR21",44.63206233,-121.1306217,844.7957015,"jefferson",41031,22707,1782.24,6
"P45355","MAC PRESCRIPTION SHOP","225 NE 3RD STREET","MCMINNVILLE","OR",971284896,45.210232,-123.197298,"OR22",45.21122238,-123.1893944,629.5679816,"yamhill",41071,102366,715.904,1
"P45358","SEMPERTS DRUG","735 SPRUCE ST","MYRTLE POINT","OR",97458,43.065092,-124.139258,"OR24",43.065092,-124.139258,0,"coos",41011,62921,1596.07,5
"P45369","FRED MEYER PHARMACY","6850 N LOMBARD ST","PORTLAND","OR",97203,45.58667,-122.738396,"OR28",45.59590275,-122.7135775,2189.534315,"multnomah",41051,788459,431.105,1
"P45375","Reedsport Pharmacy","1409 HWY 101","REEDSPORT","OR",97467,43.697515,-124.112542,"OR30",43.6961625,-124.1242765,956.3717725,"douglas",41019,107576,5035.67,4
"P45383","HI SCHOOL PHARMACY","33454 SW Chinook Plz","SCAPPOOSE","OR",97056,45.75147,-122.878633,"OR33",45.7467615,-122.8777395,528.723129,"columbia",41009,50207,658.115,1
"P45388","UNION DRUG COMPANY","105 N MAIN","UNION","OR",978830400,45.20853,-117.865334,"OR36",45.20853,-117.865334,0,"union",41061,25810,2036.942,7
"P45389","MALHEUR DRUG","198 A St W","VALE","OR",979181345,43.982119,-117.240927,"OR37",43.982119,-117.240927,0,"malheur",41045,30421,9887.711,6
"P45395","Gordon's Pharmacy and Gifts","314 MAIN ST","CANYONVILLE","OR",97417,42.930696,-123.280903,"OR39",42.930696,-123.280903,0,"douglas",41019,107576,5035.67,4
"P45403","RITE AID PHARMACY 05334","1400 WEST 6TH STREET","THE DALLES","OR",970583594,45.607174,-121.203324,"OR41",45.608962,-121.201426,247.9182111,"wasco",41065,25687,2381.135,6
"P45425","RITE AID PHARMACY 05369","30 EAST OAK STREET","LEBANON","OR",973553222,44.535959,-122.906376,"OR20",44.533239,-122.9052238,316.2928198,"linn",41043,121074,2287.244,3
"P45430","CAVES PHARMACY","333 S Redwood Hwy","CAVE JUNCTION","OR",97523,42.163081,-123.646422,"OR50",42.163081,-123.646422,0,"josephine",41033,84514,1638.649,3
"P45443","SAFEWAY PHARMACY #4381","1205 CAMPBELL ST","BAKER CITY","OR",978142271,44.781014,-117.818855,"OR54",44.78210625,-117.8184363,126.0102396,"baker",41001,15980,3067.966,7
"P45445","SAFEWAY PHARMACY #2723","1815 4TH STREET","TILLAMOOK","OR",971412210,45.455182,-123.845453,"OR55",45.460388,-123.8444503,584.7937608,"tillamook",41057,25840,1102.367,6
"P45450","Medicap Pharmacy","424 MAIN ST","NYSSA","OR",979133897,43.877249,-116.998307,"OR57",43.877249,-116.998307,0,"malheur",41045,30421,9887.711,6
"P45453","MILL CITY PHARMACY","218 SW BROADWAY","MILL CITY","OR",97360,44.753454,-122.478751,"OR58",44.753454,-122.478751,0,"marion",41047,330453,1180.557,2
"P45454","FRED MEYER PHARMACY #281","929 NW GARDEN VALLEY BLVD","ROSEBURG","OR",97471,43.228038,-123.368191,"OR31",43.23098209,-123.3624519,569.2921973,"douglas",41019,107576,5035.67,4
"P45463","SAFEWAY PHARMACY #0371","601 W North St","ENTERPRISE","OR",978281427,45.426847,-117.285231,"OR63",45.4265565,-117.2827265,198.3218025,"wallowa",41063,6864,3145.897,9
"P45464","BANKS PHARMACY","12350 NW Main St Ste 102","BANKS","OR",97106,45.609882,-123.113225,"OR64",45.609882,-123.113225,0,"washington",41067,572071,724.275,1
"P45465","SAFEWAY PHARMACY #1827","2111 ADAMS AVE","LA GRANDE","OR",978502921,45.321455,-118.082678,"OR42",45.32456283,-118.083285,349.2093564,"union",41061,25810,2036.942,7
"P45471","SAFEWAY PHARMACY #0782","37601 HWY 26","SANDY","OR",970559313,45.400743,-122.276575,"OR65",45.40056733,-122.279477,227.6687031,"clackamas",41005,399962,1870.677,1
"P45473","FRED MEYER PHARMACY","150 NE 20TH","NEWPORT","OR",97365,44.651883,-124.051694,"OR45",44.6503896,-124.0531546,202.525279,"lincoln",41041,213.551,47307,5
"P45475","SAFEWAY PHARMACY #0386","1755 IVY ST","JUNCTION CITY","OR",974482017,44.229136,-123.206709,"OR67",44.24084667,-123.1926967,1717.114359,"lane",41039,363471,4556.05,2
"P45488","FRED MEYER PHARMACY","2655 SHASTA WAY","KLAMATH FALLS","OR",97603,42.215508,-121.755856,"OR38",42.21682171,-121.7599573,368.400131,"klamath",41035,66018,5942.746,5
"P45491","BI-MART PHARMACY #682","1030 SE Oar Ave","LINCOLN CITY","OR",973672441,44.958378,-124.00775,"OR51",44.971635,-124.0105193,1491.79376,"lincoln",41041,213.551,47307,5
"P45492","RITE AID PHARMACY 05400","1430 WESTPARK PLAZA","ONTARIO","OR",979142000,44.024612,-116.985435,"OR46",44.02494675,-116.9662675,1534.678394,"malheur",41045,30421,9887.711,6
"P45505","SAFEWAY PHARMACY #4404","138 W ELLENDALE AVENUE","DALLAS","OR",973381408,44.930687,-123.31254,"OR14",44.92819025,-123.3103895,325.5363563,"polk",41053,79666,740.925,2
"P45506","SAFEWAY PHARMACY #0424","795 S Columbia River Hwy","ST HELENS","OR",970512942,45.850858,-122.829723,"OR53",45.85157925,-122.8284873,125.0082093,"columbia",41009,50207,658.115,1
"P45526","SAV-ON PHARMACY #0571","19007 S BEAVERCREEK RD","OREGON CITY","OR",970459537,45.314544,-122.551548,"OR70",45.314544,-122.551548,0,"clackamas",41005,399962,1870.677,1
"P45532","SHADY COVE PHARMACY","21195 HWY 62","SHADY COVE","OR",97539,42.607618,-122.81564,"OR72",42.607618,-122.81564,0,"jackson",41029,212070,2783.255,3
"P45535","RITE AID PHARMACY 05393","1575 NORTHEAST 3RD STREET OCHOCO PLAZA","PRINEVILLE","OR",977542907,44.303865,-120.828023,"OR29",44.30348025,-120.8314723,278.1043341,"crook",41013,21717,2978.93,6
"P45536","MEDICAP PHARMACY","205 N PACIFIC HIGHWAY","TALENT","OR",97540,42.246895,-122.787372,"OR73",42.246895,-122.787372,0,"jackson",41029,212070,2783.255,3
"P45541","RITE AID PHARMACY 05342","313 SOUTH ROOSEVELT DRIVE","SEASIDE","OR",971386743,45.991736,-123.920297,"OR71",45.99314075,-123.9174718,268.6955883,"clatsop",41007,38021,828.141,4
"P45547","RICKS HI SCHOOL PHARMACY","401 WEST COLUMBIA RIVER HWY","CLATSKANIE","OR",97016,46.102826,-123.201113,"OR75",46.102826,-123.201113,0,"columbia",41009,50207,658.115,1
"P45568","HI SCHOOL PHARMACY","207 S BROADWAY","ESTACADA","OR",97023,45.288544,-122.335495,"OR80",45.288544,-122.335495,0,"clackamas",41005,399962,1870.677,1
"P45569","RITE AID PHARMACY 05328","2049 WEST CASCADE AVENUE","HOOD RIVER","OR",970311069,45.708918,-121.532839,"OR79",45.7059736,-121.5302908,382.9776585,"skamania",53059,11498,1658.282,1
"P45576","RITE AID PHARMACY 05378","3451 HWY 101","FLORENCE","OR",974399619,43.996503,-124.102211,"OR56",43.9947548,-124.101946,195.7624224,"lane",41039,363471,4556.05,2
"P45590","SAFEWAY PHARMACY #1458","1500 E MAIN ST","COTTAGE GROVE","OR",974242208,43.798517,-123.052007,"OR47",43.800043,-123.0497852,246.4235641,"lane",41039,363471,4556.05,2
"P45598","SAFEWAY PHARMACY #1527","1535 N FIRST AVE","STAYTON","OR",973831213,44.805743,-122.795523,"OR35",44.80790775,-122.7965168,253.4381192,"marion",41047,330453,1180.557,2
"P45601","Sheridan Pharmacy","103 E MAIN ST","SHERIDAN","OR",973781828,45.099661,-123.394953,"OR82",45.099661,-123.394953,0,"yamhill",41071,102366,715.904,1
"P45626","SAFEWAY PHARMACY #1590","455 N COLUMBIA St","MILTON FREEWATER","OR",978621370,45.940819,-118.388305,"OR61",45.936856,-118.3882805,441.1632191,"umatilla",41059,76736,3215.449,4
"P45628","BI-MART PHARMACY #652","833 E CENTRAL AVE","SUTHERLIN","OR",974799607,43.392428,-123.300793,"OR81",43.3914665,-123.3067925,496.9782949,"douglas",41019,107576,5035.67,4
"P45649","Hi-School Pharmacy #1187","110 SW HWY 101","WALDPORT","OR",97394,44.426144,-124.068054,"OR83",44.426144,-124.068054,0,"lincoln",41041,213.551,47307,5
"P45650","BI-MART PHARMACY #655","200 SOUTH 1ST PLACE UNIT 1","HERMISTON","OR",978382386,45.83952,-119.290786,"OR17",45.84299243,-119.295349,524.0604393,"umatilla",41059,76736,3215.449,4
"P45657","SAFEWAY PHARMACY #1710","1540 MAIN STREET","SWEET HOME","OR",973861614,44.39949,-122.725792,"OR84",44.39888933,-122.727955,184.5736703,"linn",41043,121074,2287.244,3
"P45670","SAFEWAY PHARMACY #1751","1525 W MAIN ST","MOLALLA","OR",970387362,45.151739,-122.604167,"OR23",45.150813,-122.589486,1157.15686,"clackamas",41005,399962,1870.677,1
"P45690","SAFEWAY PHARMACY #4262","3 EAST FIRST ST","COQUILLE","OR",974231846,43.17494,-124.188033,"OR86",43.17494,-124.188033,0,"coos",41011,62921,1596.07,5
"P45722","BI-MART PHARMACY #671","51670 HUNTINGTON RD","LA PINE","OR",977399626,43.676882,-121.503624,"OR78",43.6759545,-121.503492,103.7943443,"deschutes",41017,175321,3017.618,3
"P45745","CVS Pharmacy #16155","2255 14TH AVE SE","ALBANY","OR",97322,44.630443,-123.078303,"OR6",44.63056891,-123.078198,16.29859385,"linn",41043,121074,2287.244,3
"P45751","WALGREENS #9671","1625 E HARBOR DR","WARRENTON","OR",971469689,46.163652,-123.895706,"OR8",46.16846038,-123.8728398,1842.379595,"clatsop",41007,38021,828.141,4
"P45762","BI-MART PHARMACY #675","150 MELTON ROAD","CRESWELL","OR",97426,43.918512,-123.004828,"OR90",43.917989,-123.01078,480.8096658,"lane",41039,363471,4556.05,2
"P45782","WALGREENS #11398","439 SE 223RD AVE","GRESHAM","OR",970308557,45.526957,-122.434549,"OR26",45.51309486,-122.441445,1634.179302,"multnomah",41051,788459,431.105,1
"P45803","Walmart Pharmacy 10-4221","220 N. Adair St.","Cornelius","OR",97113,45.521989,-123.068739,"OR18",45.5210616,-123.0691324,107.7008973,"washington",41067,572071,724.275,1
"P45806","Rinehart Pharmacy","230 Rowe Rd","Wheeler","OR",97147,45.686168,-123.884806,"OR93",45.686168,-123.884806,0,"tillamook",41057,25840,1102.367,6
"P45817","Bi-Mart Pharmacy #683","248 Wharf St","Brookings","OR",974159653,42.049198,-124.283418,"OR66",42.05104733,-124.2768183,583.0882239,"curry",41015,360.858,22377,7
"P45822","Philomath Family Pharmacy","1640 Main St","Philomath","OR",973709237,44.539697,-123.362469,"OR94",44.539697,-123.362469,0,"benton",41003,88249,675.181,3
"P45840","Hi-School Pharmacy  # 1188","25013 Highway 126","VENETA","OR",974879401,44.055265,-123.353706,"OR87",44.0551195,-123.351345,189.5779319,"lane",41039,363471,4556.05,2
"P45842","Valley Drugs","157 NW Douglas Blvd","Winston","OR",974969670,43.121663,-123.415377,"OR92",43.1210825,-123.4173515,172.9592398,"douglas",41019,107576,5035.67,4
"P45843","SAFEWAY PHARMACY #4904","821 S Main St","MYRTLE CREEK","OR",974579334,43.016006,-123.291843,"OR95",43.016006,-123.291843,0,"douglas",41019,107576,5035.67,4
"P45846","RITE AID PHARMACY 06710","44 MICHIGAN AVE NE","BANDON","OR",974119743,43.121212,-124.399966,"OR96",43.12034,-124.3998175,97.81765277,"coos",41011,62921,1596.07,5
"P45849","VG Newberg Pharmacy","2251 E Hancock St","Newberg","OR",971322145,45.301506,-122.956761,"OR60",45.304197,-122.9548046,336.4538495,"yamhill",41071,102366,715.904,1
"P45863","Waterfall Community Pharmacy","1890 Waite St Ste 1","North Bend","OR",974591229,43.389103,-124.23755,"OR25",43.382763,-124.2382455,708.0052032,"coos",41011,62921,1596.07,5
"P45865","Walmart Pharmacy 10-2590","7650 NE Shaleen St","Hillsboro","OR",970066764,45.515922,-122.898739,"OR9",45.52204504,-122.8970976,693.5333692,"washington",41067,572071,724.275,1
"P45882","Columbia River Pharmacy","220 S Main St","Boardman","OR",97818,45.831785,-119.701329,"OR97",45.8314455,-119.701119,41.15363596,"morrow",41049,11153,2030.529,6
"P45883","corner drug","29670 ELLENSBURG AVE","GOLD BEACH","OR",974449721,42.412809,-124.421064,"OR98",42.412809,-124.421064,0,"curry",41015,360.858,22377,7
