"ID","Origin","Destination","Drive_Time"
"C1076_OR1","C1076","OR1",4831.70479906921
"C1077_OR1","C1077","OR1",3067.80975606139
"C1078_OR1","C1078","OR1",3063.97168861679
"C1090_OR1","C1090","OR1",4512.23324830437
"C1091_OR1","C1091","OR1",6420.43146433552
"C1092_OR1","C1092","OR1",6535.94737394854
"C1093_OR1","C1093","OR1",2827.34588788539
"C1079_OR7","C1079","OR7",3164.02124070523
"C1080_OR7","C1080","OR7",1369.38159220339
"C1090_OR7","C1090","OR7",5986.9516449431
"C1076_OR11","C1076","OR11",6468.35760202356
"C1077_OR11","C1077","OR11",2213.03684200257
"C1078_OR11","C1078","OR11",2207.62333414339
"C1081_OR11","C1081","OR11",5587.43491027574
"C1083_OR11","C1083","OR11",5731.20195092241
"C1084_OR11","C1084","OR11",5919.08639839211
"C1085_OR11","C1085","OR11",5849.73635669236
"C1086_OR11","C1086","OR11",5869.99221062983
"C1087_OR11","C1087","OR11",6143.67262881129
"C1088_OR11","C1088","OR11",5863.83254803955
"C1089_OR11","C1089","OR11",5509.82369777814
"C1090_OR11","C1090","OR11",6347.86850267048
"C1091_OR11","C1091","OR11",3071.45281391687
"C1092_OR11","C1092","OR11",3225.28743119511
"C1093_OR11","C1093","OR11",2139.26362720573
"C1077_OR13","C1077","OR13",3093.91718038468
"C1078_OR13","C1078","OR13",3091.86613062282
"C1081_OR13","C1081","OR13",5107.37763769481
"C1083_OR13","C1083","OR13",5204.11673550208
"C1084_OR13","C1084","OR13",5527.04116179717
"C1085_OR13","C1085","OR13",5348.88157831935
"C1086_OR13","C1086","OR13",5354.93645520012
"C1087_OR13","C1087","OR13",5662.84245443857
"C1088_OR13","C1088","OR13",5334.47466026368
"C1089_OR13","C1089","OR13",4926.63749001675
"C1090_OR13","C1090","OR13",7070.73522896106
"C1091_OR13","C1091","OR13",2378.61892337197
"C1092_OR13","C1092","OR13",2573.37689606901
"C1093_OR13","C1093","OR13",3159.00627410184
"C1082_OR16","C1082","OR16",3571.39842917453
"C1076_OR21","C1076","OR21",3451.2871530043
"C1081_OR21","C1081","OR21",6920.42094015462
"C1083_OR21","C1083","OR21",7144.34727876397
"C1084_OR21","C1084","OR21",6679.16185431909
"C1085_OR21","C1085","OR21",7083.25966698668
"C1086_OR21","C1086","OR21",7145.63178823586
"C1087_OR21","C1087","OR21",7108.50879690513
"C1088_OR21","C1088","OR21",7199.25995339224
"C1092_OR21","C1092","OR21",7170.41362441112
"C1077_OR22","C1077","OR22",6006.45571839108
"C1078_OR22","C1078","OR22",6003.04001585755
"C1081_OR22","C1081","OR22",2517.31163236298
"C1083_OR22","C1083","OR22",2501.08348686044
"C1084_OR22","C1084","OR22",3040.15101990805
"C1085_OR22","C1085","OR22",2673.65393742063
"C1086_OR22","C1086","OR22",2651.43968080458
"C1087_OR22","C1087","OR22",2980.52794773116
"C1088_OR22","C1088","OR22",2606.89800895023
"C1089_OR22","C1089","OR22",2176.60942552889
"C1091_OR22","C1091","OR22",1910.25254678218
"C1092_OR22","C1092","OR22",1813.55213252032
"C1093_OR22","C1093","OR22",6004.87659983486
"C1077_OR24","C1077","OR24",6525.0168705231
"C1078_OR24","C1078","OR24",6532.52558139104
"C1079_OR24","C1079","OR24",4681.31656049381
"C1080_OR24","C1080","OR24",6423.89760035928
"C1090_OR24","C1090","OR24",3467.65544139396
"C1093_OR24","C1093","OR24",6751.11624097092
"C1081_OR28","C1081","OR28",996.298598047286
"C1083_OR28","C1083","OR28",772.076239803646
"C1084_OR28","C1084","OR28",1210.55628228966
"C1085_OR28","C1085","OR28",780.446753791565
"C1086_OR28","C1086","OR28",719.758826793086
"C1087_OR28","C1087","OR28",832.162963055681
"C1088_OR28","C1088","OR28",674.540902731165
"C1089_OR28","C1089","OR28",1004.94431196079
"C1091_OR28","C1091","OR28",3635.57915328923
"C1092_OR28","C1092","OR28",3447.90835326073
"C1077_OR30","C1077","OR30",4442.87567172257
"C1078_OR30","C1078","OR30",4451.09644232195
"C1079_OR30","C1079","OR30",7077.5752405714
"C1090_OR30","C1090","OR30",4108.01599498341
"C1093_OR30","C1093","OR30",4748.29506810556
"C1081_OR33","C1081","OR33",1907.00631808879
"C1083_OR33","C1083","OR33",1680.49540402855
"C1084_OR33","C1084","OR33",2043.98758859221
"C1085_OR33","C1085","OR33",1682.07541252373
"C1086_OR33","C1086","OR33",1624.66090803571
"C1087_OR33","C1087","OR33",1614.27640832787
"C1088_OR33","C1088","OR33",1584.42325808739
"C1089_OR33","C1089","OR33",1896.62743332136
"C1091_OR33","C1091","OR33",4422.18963093189
"C1092_OR33","C1092","OR33",4248.62658885087
"C1082_OR36","C1082","OR36",4533.78309870934
"C1077_OR39","C1077","OR39",5943.04046462044
"C1078_OR39","C1078","OR39",5947.74996929365
"C1079_OR39","C1079","OR39",2828.58409504652
"C1080_OR39","C1080","OR39",3905.54042704941
"C1090_OR39","C1090","OR39",1927.25369942359
"C1093_OR39","C1093","OR39",6020.98929655497
