"ID","Origin","Destination","Drive_Time"
"OR11_OR1","OR11","OR1",4072.61068758103
"OR13_OR1","OR13","OR1",5318.79174709098
"OR21_OR1","OR21","OR1",6919.89521651526
"OR30_OR1","OR30","OR1",6202.6502109001
"OR39_OR1","OR39","OR1",5349.61743234778
"OR20_OR1","OR20","OR1",4565.75372798733
"OR58_OR1","OR58","OR1",5264.07668829628
"OR31_OR1","OR31","OR1",4518.95524612369
"OR67_OR1","OR67","OR1",3885.06617909284
"OR14_OR1","OR14","OR1",6796.36908564242
"OR72_OR1","OR72","OR1",6074.449087533
"OR29_OR1","OR29","OR1",6890.3578996366
"OR56_OR1","OR56","OR1",6188.40580147227
"OR47_OR1","OR47","OR1",2484.81213283812
"OR35_OR1","OR35","OR1",5628.01586402657
"OR81_OR1","OR81","OR1",3878.7489951112
"OR83_OR1","OR83","OR1",6942.27613582776
"OR84_OR1","OR84","OR1",3755.86527687509
"OR23_OR1","OR23","OR1",7175.76646000212
"OR86_OR1","OR86","OR1",7119.75194472844
"OR78_OR1","OR78","OR1",3896.25891045747
"OR6_OR1","OR6","OR1",5212.09104036706
"OR90_OR1","OR90","OR1",2481.88399881292
"OR94_OR1","OR94","OR1",5363.97745213224
"OR87_OR1","OR87","OR1",3837.43455686663
"OR92_OR1","OR92","OR1",4973.77313466976
"OR95_OR1","OR95","OR1",5049.00532659975
"OR25_OR1","OR25","OR1",6918.45572324035
"OR39_OR7","OR39","OR7",4718.48070950441
"OR50_OR7","OR50","OR7",3970.25560908861
"OR31_OR7","OR31","OR7",6103.88644115591
"OR38_OR7","OR38","OR7",3852.80481583762
"OR72_OR7","OR72","OR7",2612.23820276137
"OR73_OR7","OR73","OR7",1041.42798968689
"OR81_OR7","OR81","OR7",6725.80704176063
"OR66_OR7","OR66","OR7",6423.83387598568
"OR92_OR7","OR92","OR7",5736.95049377912
"OR95_OR7","OR95","OR7",5088.37189210481
"OR98_OR7","OR98","OR7",6950.31741275294
"OR1_OR11","OR1","OR11",4072.61068758103
"OR13_OR11","OR13","OR11",1837.53084588157
"OR21_OR11","OR21","OR11",7064.71949687257
"OR22_OR11","OR22","OR11",4474.32213551951
"OR28_OR11","OR28","OR11",6119.16206187891
"OR30_OR11","OR30","OR11",5662.53033473578
"OR33_OR11","OR33","OR11",6995.4067183078
"OR20_OR11","OR20","OR11",1263.08812085892
"OR55_OR11","OR55","OR11",6480.50919675818
"OR58_OR11","OR58","OR11",2938.63156857112
"OR31_OR11","OR31","OR11",6279.10252321961
"OR64_OR11","OR64","OR11",6270.53212933667
"OR65_OR11","OR65","OR11",5869.07725201722
"OR45_OR11","OR45","OR11",4441.36447195443
"OR67_OR11","OR67","OR11",1627.732340114
"OR51_OR11","OR51","OR11",4998.79282482425
"OR14_OR11","OR14","OR11",3313.81615619576
"OR70_OR11","OR70","OR11",5135.48007421044
"OR80_OR11","OR80","OR11",5304.90340856538
"OR56_OR11","OR56","OR11",4788.62332263424
"OR47_OR11","OR47","OR11",3379.26010439452
"OR35_OR11","OR35","OR11",2577.82490209334
"OR82_OR11","OR82","OR11",4157.98647824214
"OR81_OR11","OR81","OR11",5465.7015310851
"OR83_OR11","OR83","OR11",4305.72387255573
"OR84_OR11","OR84","OR11",1419.84093920865
"OR23_OR11","OR23","OR11",4347.0437573557
"OR78_OR11","OR78","OR11",6640.53694856106
"OR6_OR11","OR6","OR11",1705.33591080981
"OR90_OR11","OR90","OR11",2800.89919049653
"OR26_OR11","OR26","OR11",6084.32388114112
"OR18_OR11","OR18","OR11",5844.27236024009
"OR94_OR11","OR94","OR11",1988.78776766122
"OR87_OR11","OR87","OR11",2581.84542386173
"OR92_OR11","OR92","OR11",6808.63397436973
"OR60_OR11","OR60","OR11",4843.32114654005
"OR25_OR11","OR25","OR11",7045.9390444848
"OR9_OR11","OR9","OR11",5815.84737392505
"OR1_OR13","OR1","OR13",5318.79174709098
"OR11_OR13","OR11","OR13",1837.53084588157
"OR22_OR13","OR22","OR13",3561.65992962325
"OR28_OR13","OR28","OR13",5526.06077334169
"OR30_OR13","OR30","OR13",5632.21256805876
"OR33_OR13","OR33","OR13",6277.98964491366
"OR20_OR13","OR20","OR13",1793.17885446642
"OR55_OR13","OR55","OR13",5262.76011577017
"OR58_OR13","OR58","OR13",3340.17888540771
"OR31_OR13","OR31","OR13",6985.09134477653
"OR64_OR13","OR64","OR13",5425.9211042571
"OR65_OR13","OR65","OR13",5687.10462649811
"OR45_OR13","OR45","OR13",3274.36411977217
"OR67_OR13","OR67","OR13",2193.81885668553
"OR51_OR13","OR51","OR13",3691.7777914793
"OR14_OR13","OR14","OR13",2228.38473741991
"OR53_OR13","OR53","OR13",6775.14134797304
"OR70_OR13","OR70","OR13",4798.91588415735
"OR80_OR13","OR80","OR13",5159.49761198541
"OR56_OR13","OR56","OR13",4469.62905169449
"OR47_OR13","OR47","OR13",4300.69767299093
"OR35_OR13","OR35","OR13",2474.96274182282
