"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
41001950200,"OR54","Oregon",41001,7,15980,3067.966,44.77865,-117.8752,6.378454416,"RITE AID PHARMACY 05396","1217 CAMPBELL STREET",44.781027,-117.820018,44.78210625,-117.81843625,4368.31818406157,15980,3067.966,7,7,5.2086626774873,901.793074362581
41001950400,"OR54","Oregon",41001,7,15980,3067.966,44.79115,-117.8172,5.12145637,"BI-MART PHARMACY #658","700 CAMPBELL ST",44.783184,-117.815689,44.78210625,-117.81843625,894.770509965849,15980,3067.966,7,7,5.2086626774873,753.542059632176
41001950500,"OR54","Oregon",41001,7,15980,3067.966,44.90441,-117.7864,4.993658389,"BI-MART PHARMACY #658","700 CAMPBELL ST",44.783184,-117.815689,44.78210625,-117.81843625,13691.3940611131,15980,3067.966,7,7,5.2086626774873,1299.70195279514
41003000100,"OR13","Oregon",41003,3,88249,675.181,44.53596,-123.2632,14.85261169,"SAFEWAY PHARMACY #4333","450 SW 3RD ST",44.560845,-123.263352,44.5783281428571,-123.27001,2770.21177366336,88249,675.181,3,3,130.70421116708,652.344042479033
41003000100,"OR6","Oregon",41003,3,88249,675.181,44.53596,-123.2632,14.85261169,"ELM STREET PHARMACY","1010 7th Ave SW",44.631243,-123.115235,44.6305689090909,-123.078198,15815.5047075202,121074,2287.244,3,3,130.70421116708,1209.11714489604
41003000100,"OR94","Oregon",41003,3,88249,675.181,44.53596,-123.2632,14.85261169,"Philomath Family Pharmacy","1640 Main St",44.539697,-123.362469,44.539697,-123.362469,7887.68894258548,88249,675.181,3,3,130.70421116708,870.757968048629
41003000202,"OR13","Oregon",41003,3,88249,675.181,44.53797,-123.3077,9.216178963,"BI-MART PHARMACY #639","1555 SW 53RD ST",44.550099,-123.311271,44.5783281428571,-123.27001,1379.59902249408,88249,675.181,3,3,130.70421116708,592.992690259128
41003000202,"OR6","Oregon",41003,3,88249,675.181,44.53797,-123.3077,9.216178963,"ELM STREET PHARMACY","1010 7th Ave SW",44.631243,-123.115235,44.6305689090909,-123.078198,18456.8138140331,121074,2287.244,3,3,130.70421116708,1321.84821756201
41003000202,"OR94","Oregon",41003,3,88249,675.181,44.53797,-123.3077,9.216178963,"Philomath Family Pharmacy","1640 Main St",44.539697,-123.362469,44.539697,-123.362469,4349.93905922395,88249,675.181,3,3,130.70421116708,719.766803026759
41003000400,"OR13","Oregon",41003,3,88249,675.181,44.59964,-123.2821,14.27822177,"PROFESSIONAL COMPOUNDING PHARMACY","996 NW CIRCLE BLVD STE 105",44.588315,-123.262286,44.5783281428571,-123.27001,2014.0367013806,88249,675.181,3,3,130.70421116708,620.070490394005
41003000400,"OR6","Oregon",41003,3,88249,675.181,44.59964,-123.2821,14.27822177,"ELM STREET PHARMACY","1010 7th Ave SW",44.631243,-123.115235,44.6305689090909,-123.078198,13682.6032568786,121074,2287.244,3,3,130.70421116708,1118.08491098266
41003000400,"OR94","Oregon",41003,3,88249,675.181,44.59964,-123.2821,14.27822177,"Philomath Family Pharmacy","1640 Main St",44.539697,-123.362469,44.539697,-123.362469,9227.61431670933,88249,675.181,3,3,130.70421116708,927.945983016235
41003000500,"OR13","Oregon",41003,3,88249,675.181,44.63229,-123.2602,6.333112123,"SAMARITAN PHARMACY SERVICES","3521 NW Samaritan Dr Ste 202",44.604262,-123.248434,44.5783281428571,-123.27001,3256.37663717583,88249,675.181,3,3,130.70421116708,673.093558853746
41003000500,"OR6","Oregon",41003,3,88249,675.181,44.63229,-123.2602,6.333112123,"ELM STREET PHARMACY","1010 7th Ave SW",44.631243,-123.115235,44.6305689090909,-123.078198,11484.5763966747,121074,2287.244,3,3,130.70421116708,1024.27312458916
41003000500,"OR94","Oregon",41003,3,88249,675.181,44.63229,-123.2602,6.333112123,"Philomath Family Pharmacy","1640 Main St",44.539697,-123.362469,44.539697,-123.362469,13114.2222255245,88249,675.181,3,3,130.70421116708,1093.82640856447
41003000600,"OR13","Oregon",41003,3,88249,675.181,44.61037,-123.198,7.607887177,"SAMARITAN PHARMACY SERVICES","3521 NW Samaritan Dr Ste 202",44.604262,-123.248434,44.5783281428571,-123.27001,4054.4356681651,88249,675.181,3,3,130.70421116708,707.154718296368
41003000600,"OR6","Oregon",41003,3,88249,675.181,44.61037,-123.198,7.607887177,"ELM STREET PHARMACY","1010 7th Ave SW",44.631243,-123.115235,44.6305689090909,-123.078198,6957.27916760689,121074,2287.244,3,3,130.70421116708,831.048078852543
41003000600,"OR94","Oregon",41003,3,88249,675.181,44.61037,-123.198,7.607887177,"Philomath Family Pharmacy","1640 Main St",44.539697,-123.362469,44.539697,-123.362469,15230.976685924,88249,675.181,3,3,130.70421116708,1184.16948893432
41003000900,"OR13","Oregon",41003,3,88249,675.181,44.58465,-123.3116,10.21672915,"Health Services Pharmacy","530 NW 27th St",44.573263,-123.281473,44.5783281428571,-123.27001,2704.28801879096,88249,675.181,3,3,130.70421116708,649.530416621079
41003000900,"OR6","Oregon",41003,3,88249,675.181,44.58465,-123.3116,10.21672915,"ELM STREET PHARMACY","1010 7th Ave SW",44.631243,-123.115235,44.6305689090909,-123.078198,16403.8018192443,121074,2287.244,3,3,130.70421116708,1234.22566562443
41003000900,"OR94","Oregon",41003,3,88249,675.181,44.58465,-123.3116,10.21672915,"Philomath Family Pharmacy","1640 Main St",44.539697,-123.362469,44.539697,-123.362469,6428.03535689251,88249,675.181,3,3,130.70421116708,808.459953011254
41003001001,"OR13","Oregon",41003,3,88249,675.181,44.58931,-123.2585,7.556006799,"RITE AID PHARMACY 05366","2080 NORTHWEST 9TH STREET",44.588459,-123.255729,44.5783281428571,-123.27001,239.233714968521,88249,675.181,3,3,130.70421116708,544.321898933938
41003001001,"OR6","Oregon",41003,3,88249,675.181,44.58931,-123.2585,7.556006799,"ELM STREET PHARMACY","1010 7th Ave SW",44.631243,-123.115235,44.6305689090909,-123.078198,12275.6717584925,121074,2287.244,3,3,130.70421116708,1058.03707463154
41003001001,"OR94","Oregon",41003,3,88249,675.181,44.58931,-123.2585,7.556006799,"Philomath Family Pharmacy","1640 Main St",44.539697,-123.362469,44.539697,-123.362469,9924.54482742718,88249,675.181,3,3,130.70421116708,957.690977213673
41003001002,"OR13","Oregon",41003,3,88249,675.181,44.58298,-123.2721,5.786515259,"RICES PHARMACY","910 NW KINGS BLVD",44.576093,-123.275855,44.5783281428571,-123.27001,822.441253528814,88249,675.181,3,3,130.70421116708,569.213196679691
41003001002,"OR6","Oregon",41003,3,88249,675.181,44.58298,-123.2721,5.786515259,"ELM STREET PHARMACY","1010 7th Ave SW",44.631243,-123.115235,44.6305689090909,-123.078198,13543.2190025563,121074,2287.244,3,3,130.70421116708,1112.13599100818
41003001002,"OR94","Oregon",41003,3,88249,675.181,44.58298,-123.2721,5.786515259,"Philomath Family Pharmacy","1640 Main St",44.539697,-123.362469,44.539697,-123.362469,8636.56785870572,88249,675.181,3,3,130.70421116708,902.720120188641
41003001101,"OR13","Oregon",41003,3,88249,675.181,44.57382,-123.279,7.374425467,"Health Services Pharmacy","530 NW 27th St",44.573263,-123.281473,44.5783281428571,-123.27001,205.674074089721,88249,675.181,3,3,130.70421116708,542.88957346123
41003001101,"OR6","Oregon",41003,3,88249,675.181,44.57382,-123.279,7.374425467,"ELM STREET PHARMACY","1010 7th Ave SW",44.631243,-123.115235,44.6305689090909,-123.078198,14468.5023309324,121074,2287.244,3,3,130.70421116708,1151.62708346328
41003001101,"OR94","Oregon",41003,3,88249,675.181,44.57382,-123.279,7.374425467,"Philomath Family Pharmacy","1640 Main St",44.539697,-123.362469,44.539697,-123.362469,7633.14971529756,88249,675.181,3,3,130.70421116708,859.894233827981
41003001102,"OR13","Oregon",41003,3,88249,675.181,44.57267,-123.2677,9.092036625,"FRED MEYER PHARMACY","777 KING BLVD",44.575123,-123.274192,44.5783281428571,-123.27001,582.740956957189,88249,675.181,3,3,130.70421116708,558.982788022014
41003001102,"OR6","Oregon",41003,3,88249,675.181,44.57267,-123.2677,9.092036625,"ELM STREET PHARMACY","1010 7th Ave SW",44.631243,-123.115235,44.6305689090909,-123.078198,13731.1871079242,121074,2287.244,3,3,130.70421116708,1120.15846974529
41003001102,"OR94","Oregon",41003,3,88249,675.181,44.57267,-123.2677,9.092036625,"Philomath Family Pharmacy","1640 Main St",44.539697,-123.362469,44.539697,-123.362469,8365.54326243859,88249,675.181,3,3,130.70421116708,891.15279041996
41003010100,"OR13","Oregon",41003,3,88249,675.181,44.66829,-123.1358,0,"SAMARITAN PHARMACY SERVICES","3521 NW Samaritan Dr Ste 202",44.604262,-123.248434,44.5783281428571,-123.27001,11419.5154007516,88249,675.181,3,3,130.70421116708,1021.49632128316
41003010100,"OR20","Oregon",41003,3,88249,675.181,44.66829,-123.1358,0,"Samaritan Lebanon Community Pharmacy","675 N 5th St",44.553997,-122.913793,44.533239,-122.90522375,21711.8354331864,121074,2287.244,3,3,130.70421116708,1460.77254026748
41003010100,"OR6","Oregon",41003,3,88249,675.181,44.66829,-123.1358,0,"ELM STREET PHARMACY","1010 7th Ave SW",44.631243,-123.115235,44.6305689090909,-123.078198,4433.98949321665,121074,2287.244,3,3,130.70421116708,723.354075549568
41003010200,"OR13","Oregon",41003,3,88249,675.181,44.62541,-123.4048,8.095192176,"BI-MART PHARMACY #639","1555 SW 53RD ST",44.550099,-123.311271,44.5783281428571,-123.27001,11192.1871384574,88249,675.181,3,3,130.70421116708,1011.79395104844
41003010200,"OR94","Oregon",41003,3,88249,675.181,44.62541,-123.4048,8.095192176,"Philomath Family Pharmacy","1640 Main St",44.539697,-123.362469,44.539697,-123.362469,10114.605297505,88249,675.181,3,3,130.70421116708,965.802758076595
41003010300,"OR94","Oregon",41003,3,88249,675.181,44.40231,-123.5185,6.422049916,"Philomath Family Pharmacy","1640 Main St",44.539697,-123.362469,44.539697,-123.362469,19685.8571094037,88249,675.181,3,3,130.70421116708,1374.30378540843
41003010400,"OR13","Oregon",41003,3,88249,675.181,44.38341,-123.3334,7.350338148,"BI-MART PHARMACY #639","1555 SW 53RD ST",44.550099,-123.311271,44.5783281428571,-123.27001,18638.8276023723,88249,675.181,3,3,130.70421116708,1329.61656604833
41003010400,"OR67","Oregon",41003,3,88249,675.181,44.38341,-123.3334,7.350338148,"Harrisburg Pharmacy","230 N 3rd St Ste 106",44.272939,-123.170679,44.2408466666667,-123.192696666667,17864.3768209537,363471,4556.05,2,3,130.70421116708,1296.56300669739
41003010400,"OR94","Oregon",41003,3,88249,675.181,44.38341,-123.3334,7.350338148,"Philomath Family Pharmacy","1640 Main St",44.539697,-123.362469,44.539697,-123.362469,17550.4168814155,88249,675.181,3,3,130.70421116708,1283.16319647789
41003010600,"OR13","Oregon",41003,3,88249,675.181,44.56312,-123.267,9.785010275,"SAFEWAY PHARMACY #4333","450 SW 3RD ST",44.560845,-123.263352,44.5783281428571,-123.27001,384.516760376126,88249,675.181,3,3,130.70421116708,550.522579311934
41003010600,"OR6","Oregon",41003,3,88249,675.181,44.56312,-123.267,9.785010275,"ELM STREET PHARMACY","1010 7th Ave SW",44.631243,-123.115235,44.6305689090909,-123.078198,14220.587928021,121074,2287.244,3,3,130.70421116708,1141.04609674702
41003010600,"OR94","Oregon",41003,3,88249,675.181,44.56312,-123.267,9.785010275,"Philomath Family Pharmacy","1640 Main St",44.539697,-123.362469,44.539697,-123.362469,8009.71232030717,88249,675.181,3,3,130.70421116708,875.965925809791
41003010702,"OR13","Oregon",41003,3,88249,675.181,44.56477,-123.2929,7.304016378,"OSU STUDENT HEALTH SERVICES PHARMACY","108 Plageman Bldg",44.565613,-123.278957,44.5783281428571,-123.27001,1109.79191342819,88249,675.181,3,3,130.70421116708,581.477322844196
41003010702,"OR6","Oregon",41003,3,88249,675.181,44.56477,-123.2929,7.304016378,"ELM STREET PHARMACY","1010 7th Ave SW",44.631243,-123.115235,44.6305689090909,-123.078198,15908.3800602813,121074,2287.244,3,3,130.70421116708,1213.08106495189
41003010702,"OR94","Oregon",41003,3,88249,675.181,44.56477,-123.2929,7.304016378,"Philomath Family Pharmacy","1640 Main St",44.539697,-123.362469,44.539697,-123.362469,6184.39612537856,88249,675.181,3,3,130.70421116708,798.061430610238
41003010800,"OR13","Oregon",41003,3,88249,675.181,44.5405,-123.3596,6.485047521,"BI-MART PHARMACY #639","1555 SW 53RD ST",44.550099,-123.311271,44.5783281428571,-123.27001,3980.38744589185,88249,675.181,3,3,130.70421116708,703.994340169745
41003010800,"OR6","Oregon",41003,3,88249,675.181,44.5405,-123.3596,6.485047521,"ELM STREET PHARMACY","1010 7th Ave SW",44.631243,-123.115235,44.6305689090909,-123.078198,21848.9748814644,121074,2287.244,3,3,130.70421116708,1466.62565191998
41003010800,"OR94","Oregon",41003,3,88249,675.181,44.5405,-123.3596,6.485047521,"Philomath Family Pharmacy","1640 Main St",44.539697,-123.362469,44.539697,-123.362469,244.559990894433,88249,675.181,3,3,130.70421116708,544.549224390456
41003010900,"OR13","Oregon",41003,3,88249,675.181,44.58324,-123.3606,9.045714855,"BI-MART PHARMACY #639","1555 SW 53RD ST",44.550099,-123.311271,44.5783281428571,-123.27001,5377.32330476251,88249,675.181,3,3,130.70421116708,763.615562626345
41003010900,"OR6","Oregon",41003,3,88249,675.181,44.58324,-123.3606,9.045714855,"ELM STREET PHARMACY","1010 7th Ave SW",44.631243,-123.115235,44.6305689090909,-123.078198,20166.6343836743,121074,2287.244,3,3,130.70421116708,1394.8233594743
41003010900,"OR94","Oregon",41003,3,88249,675.181,44.58324,-123.3606,9.045714855,"Philomath Family Pharmacy","1640 Main St",44.539697,-123.362469,44.539697,-123.362469,4849.4508347975,88249,675.181,3,3,130.70421116708,741.085965608238
41005020100,"OR26","Oregon",41005,1,399962,1870.677,45.42773,-122.6712,0,"FRED MEYER PHARMACY","14700 SE DIVISION",45.503236,-122.512092,45.5130948571429,-122.441445,14998.4845050369,788459,431.105,1,1,1828.92566776075,949.631438715337
41005020100,"OR28","Oregon",41005,1,399962,1870.677,45.42773,-122.6712,0,"FRED MEYER PHARMACY","6850 N LOMBARD ST",45.58667,-122.738396,45.59590275,-122.7135775,18453.4008190174,788459,431.105,1,1,1828.92566776075,1097.08726699602
41005020100,"OR70","Oregon",41005,1,399962,1870.677,45.42773,-122.6712,0,"SAV-ON PHARMACY #0571","19007 S BEAVERCREEK RD",45.314544,-122.551548,45.314544,-122.551548,15694.3216241968,399962,1870.677,1,1,213.806017821356,1111.65651988062
41005020100,"OR9","Oregon",41005,1,399962,1870.677,45.42773,-122.6712,0,"PHARMACA INTEGRATIVE PHARMACY","240 NW Lost Springs Ter Ste 36",45.521006,-122.802039,45.522045037037,-122.897097555556,14564.6141149644,572071,724.275,1,1,789.85330157744,1016.24504942844
41005020200,"OR26","Oregon",41005,1,399962,1870.677,45.41558,-122.6899,0,"FRED MEYER PHARMACY","14700 SE DIVISION",45.503236,-122.512092,45.5130948571429,-122.441445,16969.5267230604,788459,431.105,1,1,1828.92566776075,1033.75552058058
41005020200,"OR28","Oregon",41005,1,399962,1870.677,45.41558,-122.6899,0,"FRED MEYER PHARMACY","6850 N LOMBARD ST",45.58667,-122.738396,45.59590275,-122.7135775,19417.8805063214,788459,431.105,1,1,1828.92566776075,1138.25126005016
41005020200,"OR60","Oregon",41005,1,399962,1870.677,45.41558,-122.6899,0,"SAFEWAY PHARMACY #2623","1140 N SPRINGBROOK ROAD",45.308552,-122.945571,45.304197,-122.9548046,23277.6732894461,102366,715.904,1,1,213.806017821356,1435.31396895346
41005020200,"OR70","Oregon",41005,1,399962,1870.677,45.41558,-122.6899,0,"SAV-ON PHARMACY #0571","19007 S BEAVERCREEK RD",45.314544,-122.551548,45.314544,-122.551548,15607.3510794894,399962,1870.677,1,1,213.806017821356,1107.9446170325
41005020200,"OR9","Oregon",41005,1,399962,1870.677,45.41558,-122.6899,0,"PHARMACA INTEGRATIVE PHARMACY","240 NW Lost Springs Ter Ste 36",45.521006,-122.802039,45.522045037037,-122.897097555556,14641.5541619368,572071,724.275,1,1,789.85330157744,1019.52885063322
