"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P46237","FINDLEYS PHARMACY","136 W MAIN ST","SOMERSET","PA",155012083,40.008621,-79.079782,"PA1",40.017550375,-79.079837625,994.024791659007,"somerset",42111,75619,1074.359,4
"P45928","CVS Pharmacy #01583","1 N MAIN ST","SHICKSHINNY","PA",18655,41.152964,-76.150234,"PA10",41.152964,-76.150234,0,"luzerne",42079,318222,889.968,2
"P46121","CVS Pharmacy #11422","177 Erie Blvd. Suite 2","SUSQUEHANNA","PA",188471225,41.940563,-75.59719,"PA100",41.940563,-75.59719,0,"susquehanna",42115,41716,823.497,6
"P46124","BELSKI COMMUNITY PHARMACY","49 S OAK ST","MOUNT CARMEL","PA",17851,40.796039,-76.412678,"PA102",40.78917625,-76.376925,3108.5183376602,"northumberland",42097,93038,458.005,4
"P46126","Lowers Pharmacy Inc.","33 E MAIN ST","EVERETT","PA",155371258,40.011787,-78.372411,"PA103",40.0158023333333,-78.3965236666667,2103.84032046902,"bedford",42009,48891,1012.303,6
"P46128","REDDON DRUG COMPANY","25059 US-11 HALLSTEAD PLAZA","HALLSTEAD","PA",18822,41.965897,-75.741955,"PA105",41.965897,-75.741955,0,"susquehanna",42115,41716,823.497,6
"P46130","F B THOMAS DRUG STORE INC","327 MAIN ST","MEYERSDALE","PA",155521035,39.815376,-79.024596,"PA106",39.815376,-79.024596,0,"somerset",42111,75619,1074.359,4
"P46930","Giant Eagle Pharmacy #2414","510 East Pitt St.","BEDFORD","PA",15522,40.019009,-78.495382,"PA107",40.018394,-78.4975958,200.764997752805,"bedford",42009,48891,1012.303,6
"P46555","RITE AID PHARMACY 01496","508 EAST SECOND STREET","OIL CITY","PA",163012327,41.427189,-79.704883,"PA108",41.4321316666667,-79.7001223333333,678.688921588884,"venango",42121,52880,674.285,4
"P46136","CVS Pharmacy #05097","110 EAST CENTRAL AVE","TITUSVILLE","PA",16354,41.627486,-79.672735,"PA109",41.6278468,-79.6768322,343.280823403392,"crawford",42039,86847,1012.301,4
"P46895","RITE AID PHARMACY 11082","801 GROW AVE","MONTROSE","PA",18801,41.838202,-75.851994,"PA110",41.8375303333333,-75.8474026666667,388.062405270582,"susquehanna",42115,41716,823.497,6
"P46150","ALBION PHARMACY","9 E STATE ST","ALBION","PA",164011110,41.890691,-80.365942,"PA113",41.890691,-80.365942,0,"erie",42049,277794,799.057,2
"P46151","CVS Pharmacy #05095","124 Erie St","EDINBORO","PA",16412,41.875469,-80.131306,"PA114",41.8804013333333,-80.1440013333333,1186.89009491388,"erie",42049,277794,799.057,2
"P46154","CVS Pharmacy #04270","10 DAVIS ST","BRADFORD","PA",16701,41.95704,-78.644656,"PA116",41.9640186666667,-78.636131,1049.52334888359,"mckean",42083,42070,979.184,7
"P46768","MACDONALDS PHARMACY","214 Peach Orchard Rd Suite 100","MC CONNELLSBURG","PA",172338559,39.937277,-78.007526,"PA117",39.9328365,-77.998666,903.480290961849,"fulton",42057,14631,437.551,8
"P46160","CARLS DRUG STORE INC","145 N ANTRIM WAY","GREENCASTLE","PA",172251298,39.793539,-77.728992,"PA118",39.7932893333333,-77.7298293333333,76.8233298489576,"franklin",42055,153003,772.299,3
"P46389","CVS PHARMACY #05700","3161 Mount Morris Rd","WAYNESBURG","PA",15370,39.895395,-80.162765,"PA119",39.8952564,-80.161229,132.088212736292,"greene",42059,37338,575.932,6
"P46195","HAZLE DRUGS INC","1 E BROAD ST","HAZLETON","PA",18201,40.958915,-75.995553,"PA12",40.9623576875,-75.99337075,424.882310996922,"luzerne",42079,318222,889.968,2
