"ID","Origin","Destination","Drive_Time"
"C1094_PA1","C1094","PA1",5677.69436614806
"C1096_PA1","C1096","PA1",3815.65211509527
"C1099_PA1","C1099","PA1",2728.67379107477
"C1100_PA1","C1100","PA1",6044.57068469684
"C1102_PA1","C1102","PA1",3901.90347480749
"C1103_PA1","C1103","PA1",3551.64812339044
"C1106_PA1","C1106","PA1",6091.72952038006
"C1108_PA1","C1108","PA1",5510.80409820234
"C1111_PA1","C1111","PA1",3769.75562550313
"C1117_PA1","C1117","PA1",2701.5772460588
"C1121_PA1","C1121","PA1",2601.87067569051
"C1122_PA1","C1122","PA1",2062.12379551219
"C1129_PA1","C1129","PA1",3681.62094498471
"C1134_PA1","C1134","PA1",7182.95125613772
"C1138_PA1","C1138","PA1",3097.18663035036
"C1159_PA1","C1159","PA1",4298.24983487833
"C1160_PA1","C1160","PA1",4492.77388062483
"C1161_PA1","C1161","PA1",4336.57597214404
"C1162_PA1","C1162","PA1",4333.52498713378
"C1163_PA1","C1163","PA1",4170.1356466091
"C1164_PA1","C1164","PA1",4259.48676821686
"C1165_PA1","C1165","PA1",4057.18614367999
"C1169_PA1","C1169","PA1",6055.13618152095
"C1170_PA1","C1170","PA1",6211.55411271058
"C1171_PA1","C1171","PA1",2981.03942671837
"C1172_PA1","C1172","PA1",4043.85616486565
"C1174_PA1","C1174","PA1",4828.5413078448
"C1175_PA1","C1175","PA1",4949.21930483413
"C1095_PA10","C1095","PA10",3345.91040872663
"C1097_PA10","C1097","PA10",1404.2340060983
"C1098_PA10","C1098","PA10",4042.50575063607
"C1101_PA10","C1101","PA10",5662.62299577115
"C1104_PA10","C1104","PA10",7032.14155946676
"C1105_PA10","C1105","PA10",7023.86090007936
"C1107_PA10","C1107","PA10",6126.81467352817
"C1109_PA10","C1109","PA10",6220.43686112668
"C1110_PA10","C1110","PA10",5731.84313529307
"C1112_PA10","C1112","PA10",2785.56436988959
"C1113_PA10","C1113","PA10",5709.57065135918
"C1119_PA10","C1119","PA10",5425.92971651557
"C1120_PA10","C1120","PA10",5376.14045217336
"C1123_PA10","C1123","PA10",6788.65539013167
"C1124_PA10","C1124","PA10",5775.4132253668
"C1125_PA10","C1125","PA10",6912.82398449069
"C1126_PA10","C1126","PA10",6856.71232242387
"C1127_PA10","C1127","PA10",6227.7979546213
"C1131_PA10","C1131","PA10",5813.18559276779
"C1133_PA10","C1133","PA10",3338.76174188572
"C1135_PA10","C1135","PA10",6100.15790845586
"C1136_PA10","C1136","PA10",5864.99802268034
"C1137_PA10","C1137","PA10",3514.39774854264
"C1139_PA10","C1139","PA10",6382.33468533711
"C1140_PA10","C1140","PA10",6290.50208890778
"C1141_PA10","C1141","PA10",6220.706856453
"C1142_PA10","C1142","PA10",6320.3014643901
"C1143_PA10","C1143","PA10",6149.71155680792
"C1144_PA10","C1144","PA10",6129.40541590845
"C1145_PA10","C1145","PA10",6204.41620100678
"C1146_PA10","C1146","PA10",6211.96629970769
"C1147_PA10","C1147","PA10",6051.78115981325
"C1148_PA10","C1148","PA10",6207.40346297293
"C1149_PA10","C1149","PA10",6227.94188221614
"C1150_PA10","C1150","PA10",6163.21579083292
"C1151_PA10","C1151","PA10",5930.07250848336
"C1152_PA10","C1152","PA10",5950.0421553104
"C1153_PA10","C1153","PA10",6072.70655002324
"C1154_PA10","C1154","PA10",6292.25042767192
"C1155_PA10","C1155","PA10",6221.66888308367
"C1156_PA10","C1156","PA10",6111.95568455002
"C1157_PA10","C1157","PA10",6210.87781645234
"C1158_PA10","C1158","PA10",6250.00815442587
"C1166_PA10","C1166","PA10",4937.03919537774
"C1167_PA10","C1167","PA10",4886.60316349397
"C1168_PA10","C1168","PA10",4354.85954523828
"C1170_PA10","C1170","PA10",6988.86481641527
"C1173_PA10","C1173","PA10",6348.31547205389
"C1176_PA10","C1176","PA10",3077.43777664714
"C1177_PA10","C1177","PA10",1727.22136804248
"C1178_PA10","C1178","PA10",3742.54253504699
"C1179_PA10","C1179","PA10",6283.87345819372
"C1095_PA100","C1095","PA100",6849.30969960435
"C1097_PA100","C1097","PA100",4272.44729557818
"C1098_PA100","C1098","PA100",6660.81523732739
"C1112_PA100","C1112","PA100",3056.22749539064
"C1133_PA100","C1133","PA100",4587.68960427777
"C1137_PA100","C1137","PA100",6882.20931092996
"C1176_PA100","C1176","PA100",6748.23046194277
"C1177_PA100","C1177","PA100",3997.33581826827
"C1178_PA100","C1178","PA100",6771.70868338258
"C1095_PA102","C1095","PA102",2911.52475949792
"C1097_PA102","C1097","PA102",3251.69128059054
"C1098_PA102","C1098","PA102",4329.13546083673
"C1101_PA102","C1101","PA102",3817.08252193788
"C1104_PA102","C1104","PA102",6191.5910058301
"C1105_PA102","C1105","PA102",6186.89162537062
"C1107_PA102","C1107","PA102",4960.73191126557
"C1109_PA102","C1109","PA102",5407.60377220027
"C1110_PA102","C1110","PA102",5579.4766050013
"C1112_PA102","C1112","PA102",4702.37341751397
"C1113_PA102","C1113","PA102",4996.84882766557
"C1118_PA102","C1118","PA102",5664.18604570964
"C1119_PA102","C1119","PA102",3575.5021300136
"C1120_PA102","C1120","PA102",3531.30319615049
"C1123_PA102","C1123","PA102",5596.887731464
"C1124_PA102","C1124","PA102",4115.45580536415
"C1125_PA102","C1125","PA102",6777.83718485245
"C1126_PA102","C1126","PA102",6174.42843294166
"C1127_PA102","C1127","PA102",5615.36664383232
"C1128_PA102","C1128","PA102",7033.0389999671
"C1131_PA102","C1131","PA102",3967.94273420524
"C1133_PA102","C1133","PA102",4657.30491111883
"C1135_PA102","C1135","PA102",5498.39799879913
"C1136_PA102","C1136","PA102",5288.68979455247
"C1137_PA102","C1137","PA102",3343.86259740562
"C1139_PA102","C1139","PA102",5783.42664302949
"C1140_PA102","C1140","PA102",5690.92243586462
"C1141_PA102","C1141","PA102",5592.08785175541
"C1142_PA102","C1142","PA102",5738.00138293231
"C1143_PA102","C1143","PA102",5498.20742944927
