"ID","Origin","Destination","Drive_Time"
"PA103_PA1","PA103","PA1",3241.44913244035
"PA106_PA1","PA106","PA1",1521.69086819125
"PA107_PA1","PA107","PA1",2794.37410203147
"PA117_PA1","PA117","PA1",4671.50835830017
"PA118_PA1","PA118","PA1",5599.60809618424
"PA119_PA1","PA119","PA1",4648.11936147963
"PA121_PA1","PA121","PA1",3049.16197769609
"PA124_PA1","PA124","PA1",6687.94704386977
"PA128_PA1","PA128","PA1",3351.51876340502
"PA130_PA1","PA130","PA1",5621.18711708498
"PA132_PA1","PA132","PA1",6579.8610032469
"PA134_PA1","PA134","PA1",4694.37577935126
"PA136_PA1","PA136","PA1",5293.77576033726
"PA141_PA1","PA141","PA1",3679.87305119421
"PA145_PA1","PA145","PA1",5924.55459403122
"PA146_PA1","PA146","PA1",4384.44561282959
"PA158_PA1","PA158","PA1",5143.63186959875
"PA160_PA1","PA160","PA1",6392.74818241786
"PA164_PA1","PA164","PA1",1179.07496058706
"PA165_PA1","PA165","PA1",6159.63172778748
"PA186_PA1","PA186","PA1",2255.29027607237
"PA193_PA1","PA193","PA1",3493.71571379531
"PA197_PA1","PA197","PA1",1764.7788924809
"PA199_PA1","PA199","PA1",2527.42334882076
"PA204_PA1","PA204","PA1",4639.74006161562
"PA208_PA1","PA208","PA1",2898.19694515401
"PA213_PA1","PA213","PA1",5121.5639965927
"PA216_PA1","PA216","PA1",1957.21359142059
"PA219_PA1","PA219","PA1",6231.59202155346
"PA222_PA1","PA222","PA1",5283.91797372266
"PA225_PA1","PA225","PA1",5382.95856942491
"PA227_PA1","PA227","PA1",2513.82781478009
"PA229_PA1","PA229","PA1",3878.11676805605
"PA230_PA1","PA230","PA1",4939.81483620734
"PA234_PA1","PA234","PA1",4418.79770476528
"PA247_PA1","PA247","PA1",6981.73122713197
"PA248_PA1","PA248","PA1",6926.22675509453
"PA258_PA1","PA258","PA1",7116.13326957778
"PA272_PA1","PA272","PA1",7053.38832348355
"PA275_PA1","PA275","PA1",1326.59999052174
"PA276_PA1","PA276","PA1",3726.81304121704
"PA277_PA1","PA277","PA1",6195.49403540563
"PA282_PA1","PA282","PA1",5635.65648036214
"PA287_PA1","PA287","PA1",6678.35044001291
"PA292_PA1","PA292","PA1",1816.31148971353
"PA305_PA1","PA305","PA1",5811.92977565954
"PA311_PA1","PA311","PA1",6868.73270823414
"PA317_PA1","PA317","PA1",2569.96594331691
"PA323_PA1","PA323","PA1",6714.41191252749
"PA325_PA1","PA325","PA1",3195.66131652096
"PA331_PA1","PA331","PA1",5893.48575379121
"PA7_PA1","PA7","PA1",6771.55550491747
"PA70_PA1","PA70","PA1",5775.12321558354
"PA78_PA1","PA78","PA1",5164.86156899785
"PA84_PA1","PA84","PA1",6217.24731779578
"PA90_PA1","PA90","PA1",5988.92875178646
"PA97_PA1","PA97","PA1",2084.9065829973
"PA98_PA1","PA98","PA1",3855.14335623989
"PA100_PA10","PA100","PA10",4870.95882329858
"PA102_PA10","PA102","PA10",2497.84154035971
"PA105_PA10","PA105","PA10",4769.79861933904
"PA110_PA10","PA110","PA10",4068.00867143481
"PA12_PA10","PA12","PA10",1548.46792615178
"PA123_PA10","PA123","PA10",4755.23971786418
"PA125_PA10","PA125","PA10",4098.87763654
"PA129_PA10","PA129","PA10",5028.20641148639
"PA13_PA10","PA13","PA10",4402.95033380615
"PA131_PA10","PA131","PA10",6359.71720487226
"PA135_PA10","PA135","PA10",3531.36284678772
"PA137_PA10","PA137","PA10",4066.63271352829
"PA138_PA10","PA138","PA10",5316.06049810999
"PA140_PA10","PA140","PA10",2930.58905254768
"PA143_PA10","PA143","PA10",3534.62701826967
"PA147_PA10","PA147","PA10",4770.8411705092
"PA150_PA10","PA150","PA10",2228.69086559101
"PA151_PA10","PA151","PA10",4411.00173425923
"PA153_PA10","PA153","PA10",3313.13538384105
"PA155_PA10","PA155","PA10",6779.97638232149
"PA156_PA10","PA156","PA10",3119.59998124295
"PA162_PA10","PA162","PA10",6788.22844204082
"PA17_PA10","PA17","PA10",5080.98296274444
"PA177_PA10","PA177","PA10",4580.60090236242
"PA181_PA10","PA181","PA10",3907.80859215436
"PA182_PA10","PA182","PA10",2416.34808494439
"PA183_PA10","PA183","PA10",4098.61589159888
"PA187_PA10","PA187","PA10",3949.77570127966
"PA188_PA10","PA188","PA10",5610.1779421682
"PA194_PA10","PA194","PA10",3968.6580903453
"PA200_PA10","PA200","PA10",1847.9165639261
"PA203_PA10","PA203","PA10",5244.78043684069
"PA207_PA10","PA207","PA10",1893.71354582494
"PA209_PA10","PA209","PA10",2812.98965031152
"PA21_PA10","PA21","PA10",4807.10533629079
"PA211_PA10","PA211","PA10",3412.01611693707
"PA236_PA10","PA236","PA10",3078.83460174547
"PA237_PA10","PA237","PA10",4427.37246975134
"PA24_PA10","PA24","PA10",6357.55313283213
"PA243_PA10","PA243","PA10",5203.01852815772
"PA246_PA10","PA246","PA10",3823.91063812029
"PA247_PA10","PA247","PA10",6202.24054775752
"PA248_PA10","PA248","PA10",6955.50976487561
"PA25_PA10","PA25","PA10",1747.93781395628
"PA254_PA10","PA254","PA10",6657.54013930664
"PA257_PA10","PA257","PA10",4791.78428369106
"PA258_PA10","PA258","PA10",6165.21915409498
"PA259_PA10","PA259","PA10",4518.146578929
"PA260_PA10","PA260","PA10",3345.74624431206
"PA264_PA10","PA264","PA10",4328.028536051
"PA266_PA10","PA266","PA10",3855.02240576008
"PA274_PA10","PA274","PA10",3579.8566359031
"PA280_PA10","PA280","PA10",2288.80542314351
"PA284_PA10","PA284","PA10",5855.31993024537
"PA288_PA10","PA288","PA10",2555.87771530663
"PA291_PA10","PA291","PA10",2701.32581733533
"PA295_PA10","PA295","PA10",5318.11045776503
"PA296_PA10","PA296","PA10",4189.71457747125
"PA297_PA10","PA297","PA10",4249.24680015107
"PA301_PA10","PA301","PA10",5851.54624999192
"PA302_PA10","PA302","PA10",5618.91089991071
"PA303_PA10","PA303","PA10",4249.29443387151
"PA306_PA10","PA306","PA10",4020.90413517406
"PA307_PA10","PA307","PA10",3791.56176501004
"PA315_PA10","PA315","PA10",3718.58485723006
"PA322_PA10","PA322","PA10",3576.43154471013
"PA323_PA10","PA323","PA10",6944.33524344439
"PA324_PA10","PA324","PA10",5618.43406398568
"PA326_PA10","PA326","PA10",6353.87826706494
"PA327_PA10","PA327","PA10",4905.23808680794
"PA329_PA10","PA329","PA10",2004.93995300529
"PA332_PA10","PA332","PA10",1586.06020102519
"PA339_PA10","PA339","PA10",1371.88447096356
"PA5_PA10","PA5","PA10",3547.85418656551
"PA6_PA10","PA6","PA10",2815.72830284428
"PA7_PA10","PA7","PA10",6251.4042430272
"PA73_PA10","PA73","PA10",2437.16509635027
"PA8_PA10","PA8","PA10",2400.69043566333
"PA83_PA10","PA83","PA10",2657.46092837404
"PA87_PA10","PA87","PA10",1570.77319058236
"PA88_PA10","PA88","PA10",1095.19167051941
"PA89_PA10","PA89","PA10",5292.73829675379
"PA92_PA10","PA92","PA10",3429.85633517922
"PA93_PA10","PA93","PA10",2787.93931602957
"PA94_PA10","PA94","PA10",2152.67852103996
"PA95_PA10","PA95","PA10",4510.77636635118
"PA99_PA10","PA99","PA10",3161.64919832283
"PA10_PA100","PA10","PA100",4870.95882329858
"PA102_PA100","PA102","PA100",6822.68081391834
"PA105_PA100","PA105","PA100",1194.36756597223
"PA110_PA100","PA110","PA100",1692.95241386359
"PA12_PA100","PA12","PA100",5518.6302261545
"PA123_PA100","PA123","PA100",6015.54905352816
"PA125_PA100","PA125","PA100",5320.12351127604
"PA13_PA100","PA13","PA100",2816.90300891629
"PA131_PA100","PA131","PA100",6722.65990256147
"PA135_PA100","PA135","PA100",2408.4309625538
"PA140_PA100","PA140","PA100",7024.63583570321
"PA147_PA100","PA147","PA100",3949.2050740783
"PA150_PA100","PA150","PA100",6131.43932885234
"PA151_PA100","PA151","PA100",4944.21428075016
"PA156_PA100","PA156","PA100",3367.79579842646
"PA182_PA100","PA182","PA100",5097.4876320465
"PA187_PA100","PA187","PA100",5370.52767501906
"PA188_PA100","PA188","PA100",6752.66952303547
"PA200_PA100","PA200","PA100",3541.8835091869
"PA207_PA100","PA207","PA100",4889.7969940516
"PA209_PA100","PA209","PA100",3104.16124763584
"PA211_PA100","PA211","PA100",5543.15849072876
"PA236_PA100","PA236","PA100",2295.91345819791
"PA243_PA100","PA243","PA100",5953.72479236059
"PA246_PA100","PA246","PA100",3777.72262270294
"PA25_PA100","PA25","PA100",6006.20743159821
"PA259_PA100","PA259","PA100",4081.77275663958
"PA260_PA100","PA260","PA100",4607.13625354666
"PA264_PA100","PA264","PA100",5226.23199363773
"PA274_PA100","PA274","PA100",3311.70957099929
"PA280_PA100","PA280","PA100",5813.26698671316
"PA288_PA100","PA288","PA100",4660.18951818921
"PA291_PA100","PA291","PA100",4232.41188099925
"PA302_PA100","PA302","PA100",4806.28567576885
"PA303_PA100","PA303","PA100",3184.08828154073
"PA306_PA100","PA306","PA100",4272.49325256212
"PA307_PA100","PA307","PA100",1792.02911687147
"PA315_PA100","PA315","PA100",2038.80185877448
"PA322_PA100","PA322","PA100",5050.4196863595
"PA327_PA100","PA327","PA100",4644.89891751636
"PA329_PA100","PA329","PA100",5481.24457814196
"PA332_PA100","PA332","PA100",5161.92891849982
"PA339_PA100","PA339","PA100",5136.98054616233
"PA6_PA100","PA6","PA100",7103.79930365112
"PA73_PA100","PA73","PA100",2949.69650644489
"PA8_PA100","PA8","PA100",6545.77427417328
"PA83_PA100","PA83","PA100",5922.02883671928
"PA87_PA100","PA87","PA100",3803.04883808964
"PA88_PA100","PA88","PA100",5465.30293102074
"PA93_PA100","PA93","PA100",6993.7745096791
"PA94_PA100","PA94","PA100",6402.14251186606
"PA99_PA100","PA99","PA100",6200.66658497588
"PA10_PA102","PA10","PA102",2497.84154035971
"PA100_PA102","PA100","PA102",6822.68081391834
"PA105_PA102","PA105","PA102",6706.96099487217
"PA110_PA102","PA110","PA102",5996.74735862296
"PA12_PA102","PA12","PA102",2244.74849050834
"PA123_PA102","PA123","PA102",5459.4895918641
"PA125_PA102","PA125","PA102",5025.79138643981
"PA129_PA102","PA129","PA102",3541.70376099997
"PA13_PA102","PA13","PA102",6193.1652988712
"PA131_PA102","PA131","PA102",7153.97349916623
"PA135_PA102","PA135","PA102",5485.07686056232
"PA137_PA102","PA137","PA102",3082.40537412451
"PA138_PA102","PA138","PA102",4689.86513324305
"PA140_PA102","PA140","PA102",1878.21121551808
"PA143_PA102","PA143","PA102",1733.26099666758
"PA147_PA102","PA147","PA102",6273.08432430665
"PA150_PA102","PA150","PA102",2126.92798960522
"PA151_PA102","PA151","PA102",5546.22890898287
"PA153_PA102","PA153","PA102",1386.26158145842
"PA156_PA102","PA156","PA102",4827.47405706283
"PA158_PA102","PA158","PA102",6620.61172129111
"PA161_PA102","PA161","PA102",6044.4143838219
"PA162_PA102","PA162","PA102",7064.17166674124
"PA165_PA102","PA165","PA102",6467.60469014967
"PA17_PA102","PA17","PA102",3235.6328140625
"PA177_PA102","PA177","PA102",2866.64542123908
"PA181_PA102","PA181","PA102",2882.12015349717
"PA182_PA102","PA182","PA102",3439.81819243007
"PA183_PA102","PA183","PA102",2309.46428437783
"PA187_PA102","PA187","PA102",4958.01490152882
"PA188_PA102","PA188","PA102",6172.8759900855
"PA194_PA102","PA194","PA102",2199.88763015136
"PA200_PA102","PA200","PA102",3873.08749605433
"PA203_PA102","PA203","PA102",3576.73779354583
"PA207_PA102","PA207","PA102",3187.07571023229
"PA209_PA102","PA209","PA102",4706.54557852025
"PA21_PA102","PA21","PA102",2940.3395371348
"PA210_PA102","PA210","PA102",5695.99601886815
"PA211_PA102","PA211","PA102",4242.60639430004
"PA213_PA102","PA213","PA102",6615.44119725248
"PA219_PA102","PA219","PA102",5893.64113982703
"PA222_PA102","PA222","PA102",6214.61777717005
"PA236_PA102","PA236","PA102",5116.33857228584
"PA237_PA102","PA237","PA102",2920.8104815709
"PA24_PA102","PA24","PA102",4553.04240113696
"PA243_PA102","PA243","PA102",6041.43704827757
"PA246_PA102","PA246","PA102",5349.65156113956
"PA247_PA102","PA247","PA102",5125.3879843323
"PA248_PA102","PA248","PA102",6166.84739942297
"PA25_PA102","PA25","PA102",1575.89328447487
"PA254_PA102","PA254","PA102",4834.06035529173
"PA257_PA102","PA257","PA102",3003.21504563102
"PA258_PA102","PA258","PA102",4498.0918602332
"PA259_PA102","PA259","PA102",6120.54904538319
"PA260_PA102","PA260","PA102",4655.92445593716
"PA264_PA102","PA264","PA102",5457.64364633534
"PA266_PA102","PA266","PA102",2163.12509443098
"PA274_PA102","PA274","PA102",5295.31078732076
"PA280_PA102","PA280","PA102",2754.23403059105
"PA284_PA102","PA284","PA102",4102.00815782102
"PA288_PA102","PA288","PA102",3860.65321814964
"PA291_PA102","PA291","PA102",4192.99630706616
"PA295_PA102","PA295","PA102",3555.36640872056
"PA296_PA102","PA296","PA102",2733.12073023358
"PA297_PA102","PA297","PA102",2583.56313078045
"PA301_PA102","PA301","PA102",4303.83103700725
"PA302_PA102","PA302","PA102",7129.62241173382
"PA303_PA102","PA303","PA102",5970.8972894724
"PA306_PA102","PA306","PA102",5382.87722294422
"PA307_PA102","PA307","PA102",5741.80734250834
"PA311_PA102","PA311","PA102",6531.70964566689
"PA315_PA102","PA315","PA102",5651.94246484033
"PA322_PA102","PA322","PA102",4695.02190938554
"PA323_PA102","PA323","PA102",5186.11570122317
"PA324_PA102","PA324","PA102",4591.41363897175
"PA326_PA102","PA326","PA102",6002.38104910696
"PA327_PA102","PA327","PA102",6379.19541631479
"PA329_PA102","PA329","PA102",2779.34784397788
"PA332_PA102","PA332","PA102",2684.46445982995
"PA339_PA102","PA339","PA102",2507.84688171459
"PA5_PA102","PA5","PA102",2228.55980972864
"PA6_PA102","PA6","PA102",1091.93726426551
"PA7_PA102","PA7","PA102",4818.61400458679
"PA70_PA102","PA70","PA102",6646.30727734155
"PA73_PA102","PA73","PA102",4466.48921054852
"PA8_PA102","PA8","PA102",1642.26562988797
"PA83_PA102","PA83","PA102",3108.92345663076
"PA84_PA102","PA84","PA102",7069.49264496987
"PA87_PA102","PA87","PA102",3585.1521330018
"PA88_PA102","PA88","PA102",1933.91591287342
"PA89_PA102","PA89","PA102",3673.94111724583
"PA92_PA102","PA92","PA102",2526.45363352064
"PA93_PA102","PA93","PA102",1515.37479632942
"PA94_PA102","PA94","PA102",1340.95325205085
"PA95_PA102","PA95","PA102",2741.06867501507
"PA99_PA102","PA99","PA102",3474.96862366559
"PA1_PA103","PA1","PA103",3241.44913244035
"PA106_PA103","PA106","PA103",3220.57220262044
"PA107_PA103","PA107","PA103",1117.85678829544
"PA117_PA103","PA117","PA103",2129.43662687877
"PA118_PA103","PA118","PA103",3220.91834685837
"PA121_PA103","PA121","PA103",3243.40767725015
"PA124_PA103","PA124","PA103",6766.42571286447
"PA128_PA103","PA128","PA103",2930.25530207948
"PA130_PA103","PA130","PA103",7117.81435553806
"PA134_PA103","PA134","PA103",6289.42617337454
"PA136_PA103","PA136","PA103",4540.3757174311
"PA138_PA103","PA138","PA103",6831.62313369479
"PA141_PA103","PA141","PA103",3701.09332345865
"PA145_PA103","PA145","PA103",6190.93964123876
"PA146_PA103","PA146","PA103",5631.73506943882
"PA158_PA103","PA158","PA103",3268.68195207306
"PA161_PA103","PA161","PA103",4881.6435033279
"PA164_PA103","PA164","PA103",2852.11128511899
"PA165_PA103","PA165","PA103",3688.77972086052
"PA17_PA103","PA17","PA103",6868.20812099338
"PA177_PA103","PA177","PA103",6327.51139496939
"PA181_PA103","PA181","PA103",7153.28077914873
"PA183_PA103","PA183","PA103",6928.17571049192
"PA186_PA103","PA186","PA103",2228.74665896915
"PA193_PA103","PA193","PA103",2164.54605812663
"PA197_PA103","PA197","PA103",4348.83154437627
"PA199_PA103","PA199","PA103",5025.94176709198
"PA203_PA103","PA203","PA103",5675.43115275273
"PA204_PA103","PA204","PA103",4245.62512471799
"PA208_PA103","PA208","PA103",2746.16618191826
"PA210_PA103","PA210","PA103",4773.52308017271
"PA213_PA103","PA213","PA103",2724.65036360088
"PA216_PA103","PA216","PA103",4377.96783466192
"PA219_PA103","PA219","PA103",3745.6705348129
"PA222_PA103","PA222","PA103",3176.26668016188
"PA225_PA103","PA225","PA103",6498.26174086987
"PA227_PA103","PA227","PA103",2723.56113836741
"PA229_PA103","PA229","PA103",1753.15508507252
"PA230_PA103","PA230","PA103",2557.52320445603
