"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P48905","R & J DRUGS","4633 SAVANNAH HWY","NORTH","SC",29112,33.613375,-81.102427,"SC10",33.613375,-81.102427,0,"orangeburg",45075,89116,1106.345,4
"P49084","BANKS DRUG","630 E MAIN ST","RIDGE SPRING","SC",291290308,33.845612,-81.66092,"SC100",33.845612,-81.66092,0,"saluda",45081,20228,452.95,2
"P49095","CVS Pharmacy #05555","8910 OLD HWY 6","SANTEE","SC",29142,33.492566,-80.495501,"SC102",33.492566,-80.495501,0,"orangeburg",45075,89116,1106.345,4
"P49589","Sherry's Meds & More Pharmacy","3914 Main Street","Loris","SC",29569,34.057077,-78.892664,"SC103",34.0575372,-78.8914174,125.865851781684,"horry",45051,310186,1133.002,2
"P49856","Walgreens #17312","214 ST JAMES AVENUE","GOOSE CREEK","SC",29445,33.009293,-80.045324,"SC105",33.0008068461538,-80.0343402307692,1394.21468612024,"berkeley",45015,204632,1103.67,2
"P49307","BI LO PHARMACY 5214","1013 WEST FLOYD BAKER BLVD","GAFFNEY","SC",29341,35.081181,-81.656462,"SC107",35.0779805,-81.664366625,803.418255588731,"cherokee",45021,56549,393.337,4
"P49663","STUCKEY PHARMACY","207 S Main St","Hemingway","SC",295549191,33.751003,-79.447633,"SC108",33.76597775,-79.44679175,1668.79874120872,"williamsburg",45089,32256,934.166,6
"P49117","ELGIN PHARMACY","1107 ROSS ST","ELGIN","SC",29045,34.170688,-80.791664,"SC109",34.170688,-80.791664,0,"kershaw",45055,63734,726.611,2
"P49762","Publix Pharmacy #1095","501 Gervais St","Columbia","SC",292013045,33.997919,-81.0449,"SC11",34.0032955932203,-81.045434559322,600.549321583984,"richland",45079,404869,757.324,2
"P49634","Williamsburg Pharmacy","411 Thurgood Marshall Hwy","Kingstree","SC",295564032,33.663642,-79.820397,"SC110",33.6823183333333,-79.8208673333333,2079.49646326531,"williamsburg",45089,32256,934.166,6
"P49126","Hawthorne Pelion Pharmacy","8073 EDMUND HWY","PELION","SC",291230237,33.769547,-81.241977,"SC112",33.769547,-81.241977,0,"lexington",45063,281870,698.993,2
"P49369","YORKVILLE PHARMACY","822 B EAST LIBERTY ST","YORK","SC",29745,34.985329,-81.220024,"SC113",34.9910598,-81.222744,684.482737654884,"york",45091,251664,680.675,1
"P49374","Publix Pharmacy #0845","80 BAYLOR DRIVE","BLUFFTON","SC",29910,32.27742,-80.876329,"SC114",32.2674891538462,-80.8799068461538,1155.65047062499,"beaufort",45013,179316,576.15,3
"P49475","WALGREENS","11 N CAUSEWAY RD","PAWLEYS ISLAND","SC",29585,33.438648,-79.126964,"SC116",33.445745,-79.125316,804.728869861436,"georgetown",45043,61065,813.895,4
"P49771","Walmart Pharmacy 10-3442","11980 Highway 17 Byp","Murrells Inlet","SC",295769339,33.584373,-79.028602,"SC117",33.5788066666667,-79.0310192222222,658.945555090436,"horry",45051,310186,1133.002,2
"P49171","WALMART PHARMACY 10-0634","2240 W DEKALB ST","CAMDEN","SC",29020,34.247141,-80.597929,"SC118",34.2482625,-80.619366,1976.53796211961,"kershaw",45055,63734,726.611,2
