"ID","Origin","Destination","Drive_Time"
"C1200_SC10","C1200","SC10",6592.00584970845
"C1201_SC10","C1201","SC10",6127.78762118774
"C1202_SC10","C1202","SC10",5863.72730541879
"C1203_SC10","C1203","SC10",2280.19529210539
"C1206_SC10","C1206","SC10",6456.74869966994
"C1210_SC10","C1210","SC10",5565.46828223078
"C1211_SC10","C1211","SC10",5985.65127005176
"C1213_SC10","C1213","SC10",6310.54413452553
"C1214_SC10","C1214","SC10",6687.07496716212
"C1215_SC10","C1215","SC10",6757.48157603293
"C1218_SC10","C1218","SC10",2461.38417910762
"C1219_SC10","C1219","SC10",2392.52826646928
"C1199_SC100","C1199","SC100",5679.64564967771
"C1202_SC100","C1202","SC100",3714.64808102492
"C1203_SC100","C1203","SC100",3053.81144186678
"C1204_SC100","C1204","SC100",5842.32720164273
"C1205_SC100","C1205","SC100",6371.61258651123
"C1207_SC100","C1207","SC100",7050.34089722688
"C1208_SC100","C1208","SC100",5890.24442146897
"C1209_SC100","C1209","SC100",5769.73664266639
"C1210_SC100","C1210","SC100",3131.93375777663
"C1215_SC100","C1215","SC100",6170.1542025307
"C1216_SC100","C1216","SC100",7135.71071091435
"C1217_SC100","C1217","SC100",6080.31454425257
"C1218_SC100","C1218","SC100",2693.46906439151
"C1219_SC100","C1219","SC100",2770.9986505757
"C1200_SC102","C1200","SC102",4557.3837735009
"C1201_SC102","C1201","SC102",4060.71072998297
"C1203_SC102","C1203","SC102",3626.73061555694
"C1206_SC102","C1206","SC102",4968.45787295761
"C1211_SC102","C1211","SC102",5025.02559917285
"C1212_SC102","C1212","SC102",6847.20019172335
"C1213_SC102","C1213","SC102",4240.49464014574
"C1214_SC102","C1214","SC102",6354.63231190597
"C1218_SC102","C1218","SC102",4090.35812299738
"C1219_SC102","C1219","SC102",3969.69714709028
"C1206_SC103","C1206","SC103",4154.93131710475
"C1211_SC103","C1211","SC103",5338.16694547215
"C1212_SC103","C1212","SC103",2089.78314567547
"C1200_SC105","C1200","SC105",1604.99141535483
"C1201_SC105","C1201","SC105",1119.06808075163
"C1203_SC105","C1203","SC105",6447.9362219503
"C1206_SC105","C1206","SC105",6332.93854785429
"C1211_SC105","C1211","SC105",6934.18686088031
"C1212_SC105","C1212","SC105",6040.73656766784
"C1213_SC105","C1213","SC105",1278.73358303192
"C1214_SC105","C1214","SC105",5325.33961108714
"C1218_SC105","C1218","SC105",6902.40964655103
"C1219_SC105","C1219","SC105",6783.50561224158
"C1199_SC107","C1199","SC107",5280.87137303734
"C1202_SC107","C1202","SC107",3622.99814356628
"C1203_SC107","C1203","SC107",6369.57986680516
"C1204_SC107","C1204","SC107",2508.77316260898
"C1205_SC107","C1205","SC107",4336.85592276178
"C1207_SC107","C1207","SC107",3341.47602616241
"C1208_SC107","C1208","SC107",3454.08475780978
"C1209_SC107","C1209","SC107",3105.09479233031
"C1210_SC107","C1210","SC107",5253.79186175305
"C1215_SC107","C1215","SC107",3211.47436068885
"C1216_SC107","C1216","SC107",6056.72221319644
"C1217_SC107","C1217","SC107",1890.58489127373
"C1218_SC107","C1218","SC107",6021.67222680763
"C1219_SC107","C1219","SC107",6121.49925729781
"C1200_SC108","C1200","SC108",5655.85051226403
"C1201_SC108","C1201","SC108",5365.15489342787
"C1203_SC108","C1203","SC108",6923.75293628368
"C1206_SC108","C1206","SC108",3250.01413899521
"C1211_SC108","C1211","SC108",4427.39633757514
"C1212_SC108","C1212","SC108",2695.25389753291
"C1213_SC108","C1213","SC108",5421.28462008803
"C1202_SC109","C1202","SC109",5233.92528561275
"C1203_SC109","C1203","SC109",1761.74304185404
"C1204_SC109","C1204","SC109",6731.51028581737
"C1206_SC109","C1206","SC109",4445.04993027888
"C1207_SC109","C1207","SC109",4908.41130145061
"C1209_SC109","C1209","SC109",7028.7731085003
"C1210_SC109","C1210","SC109",5959.79370447335
