"ID","Origin","Destination","Drive_Time"
"SC100_SC10","SC100","SC10",3048.22827232887
"SC102_SC10","SC102","SC10",3051.65291672864
"SC105_SC10","SC105","SC10",5657.00024233917
"SC109_SC10","SC109","SC10",3498.11766956101
"SC11_SC10","SC11","SC10",2384.83404658691
"SC110_SC10","SC110","SC10",5743.14585862949
"SC112_SC10","SC112","SC10",1479.11578907491
"SC113_SC10","SC113","SC10",7091.89975498596
"SC114_SC10","SC114","SC10",6973.02746882391
"SC118_SC10","SC118","SC10",4188.94884686943
"SC12_SC10","SC12","SC10",4383.09518306455
"SC120_SC10","SC120","SC10",4191.02337379381
"SC122_SC10","SC122","SC10",5146.32007875638
"SC123_SC10","SC123","SC10",2432.26416820994
"SC124_SC10","SC124","SC10",1890.08178165944
"SC125_SC10","SC125","SC10",3351.42310758292
"SC126_SC10","SC126","SC10",3618.86280365237
"SC128_SC10","SC128","SC10",5785.70908660941
"SC130_SC10","SC130","SC10",3787.15291900674
"SC131_SC10","SC131","SC10",2645.66702230524
"SC134_SC10","SC134","SC10",3443.48693015026
"SC135_SC10","SC135","SC10",1523.26018973635
"SC136_SC10","SC136","SC10",6659.55902985438
"SC137_SC10","SC137","SC10",4070.73876717451
"SC138_SC10","SC138","SC10",6056.08473273415
"SC142_SC10","SC142","SC10",3749.55328075504
"SC143_SC10","SC143","SC10",6431.69522029341
"SC145_SC10","SC145","SC10",6369.4104421195
"SC146_SC10","SC146","SC10",5137.20740214023
"SC149_SC10","SC149","SC10",3162.87860209683
"SC150_SC10","SC150","SC10",2623.71851912982
"SC151_SC10","SC151","SC10",2994.76198370387
"SC153_SC10","SC153","SC10",2279.46576875971
"SC154_SC10","SC154","SC10",4805.54690173479
"SC156_SC10","SC156","SC10",5415.29372883885
"SC157_SC10","SC157","SC10",5963.87487982666
"SC158_SC10","SC158","SC10",3777.06143516219
"SC159_SC10","SC159","SC10",7184.89699628645
"SC16_SC10","SC16","SC10",3897.74189760924
"SC161_SC10","SC161","SC10",2268.10263012589
"SC163_SC10","SC163","SC10",4371.49487336172
"SC166_SC10","SC166","SC10",2594.44705512593
"SC19_SC10","SC19","SC10",5364.4649560304
"SC2_SC10","SC2","SC10",5340.38894228568
"SC22_SC10","SC22","SC10",2758.86074536768
"SC26_SC10","SC26","SC10",4394.50542228301
"SC27_SC10","SC27","SC10",6349.31443641645
"SC34_SC10","SC34","SC10",5238.14617184877
"SC37_SC10","SC37","SC10",6242.75284825026
"SC38_SC10","SC38","SC10",6482.23346372831
"SC39_SC10","SC39","SC10",6734.5707896167
"SC4_SC10","SC4","SC10",3065.62187120917
"SC40_SC10","SC40","SC10",2708.80826991502
"SC43_SC10","SC43","SC10",5042.83205839426
"SC44_SC10","SC44","SC10",2670.2346571907
"SC45_SC10","SC45","SC10",6958.62370476192
"SC47_SC10","SC47","SC10",5738.54134358228
"SC49_SC10","SC49","SC10",2080.24389439486
"SC50_SC10","SC50","SC10",2720.09280799618
