"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
45001950200,"SC27","South Carolina",45001,6,24788,491.426,34.32585,-82.4085,0,"CVS Pharmacy #03543","902 W GREENWOOD ST",34.171715,-82.376806,34.1654486666667,-82.380671,17404.3133897733,24788,491.426,6,6,50.4409616096828,1411.72346749084
45001950300,"SC45","South Carolina",45001,6,24788,491.426,34.25308,-82.58247,0,"CALLAWAYS PHARMACY","546 E SAVANNAH ST",34.08985,-82.590352,34.08985,-82.590352,18185.1758644037,24788,491.426,6,6,50.4409616096828,1445.05067790807
45001950400,"SC27","South Carolina",45001,6,24788,491.426,34.22801,-82.37689,0,"CVS Pharmacy #03543","902 W GREENWOOD ST",34.171715,-82.376806,34.1654486666667,-82.380671,6266.73550649634,24788,491.426,6,6,50.4409616096828,936.371643432582
45001950500,"SC27","South Carolina",45001,6,24788,491.426,34.12661,-82.38052,0,"SAVITZ DRUG STORE INC","815 W GREENWOOD ST SUITE 4",34.162248,-82.38263,34.1654486666667,-82.380671,3971.96393534229,24788,491.426,6,6,50.4409616096828,838.430792775728
45001950600,"SC27","South Carolina",45001,6,24788,491.426,34.12468,-82.58507,2.774400028,"SAVITZ DRUG STORE INC","815 W GREENWOOD ST SUITE 4",34.162248,-82.38263,34.1654486666667,-82.380671,19114.2844947564,24788,491.426,6,6,50.4409616096828,1484.70503425152
45001950600,"SC45","South Carolina",45001,6,24788,491.426,34.12468,-82.58507,2.774400028,"CALLAWAYS PHARMACY","546 E SAVANNAH ST",34.08985,-82.590352,34.08985,-82.590352,3907.70399317573,24788,491.426,6,6,50.4409616096828,835.688178444059
45003020100,"SC100","South Carolina",45003,2,165707,1070.682,33.75943,-81.55896,4.071258506,"BANKS DRUG","630 E MAIN ST",33.845612,-81.66092,33.845612,-81.66092,13453.3668582597,20228,452.95,2,2,154.767708806163,1063.58957912804
45003020100,"SC123","South Carolina",45003,2,165707,1070.682,33.75943,-81.55896,4.071258506,"MORGANS PHARMACY","309 BROAD ST",33.922219,-81.399082,33.922219,-81.399082,23386.139005123,281870,698.993,2,2,403.251534707787,1467.16201450004
45003020100,"SC22","South Carolina",45003,2,165707,1070.682,33.75943,-81.55896,4.071258506,"Morgan's Pharmacy of Batesburg","501 W RAILROAD AVE",33.906683,-81.54725,33.9111376,-81.5325802,16427.8535826169,281870,698.993,2,2,403.251534707787,1170.18239266748
45003020100,"SC64","South Carolina",45003,2,165707,1070.682,33.75943,-81.55896,4.071258506,"WAGENER DRUG CO","129 N MAIN ST",33.651898,-81.362022,33.651898,-81.362022,21815.274152495,165707,1070.682,2,2,154.767708806163,1420.475782446
45003020200,"SC100","South Carolina",45003,2,165707,1070.682,33.66856,-81.64412,4.748216546,"BANKS DRUG","630 E MAIN ST",33.845612,-81.66092,33.845612,-81.66092,19770.5742237251,20228,452.95,2,2,154.767708806163,1333.2079894861
45003020200,"SC151","South Carolina",45003,2,165707,1070.682,33.66856,-81.64412,4.748216546,"Family Health Care Pharmacy","120 Darlington Dr",33.465254,-81.687085,33.448521,-81.6868295,22980.1233407859,165707,1070.682,2,2,154.767708806163,1470.19154580225
45003020200,"SC4","South Carolina",45003,2,165707,1070.682,33.66856,-81.64412,4.748216546,"CVS Pharmacy #05529","1041 YORK ST NE",33.571826,-81.707353,33.5394954375,-81.7261005,12260.3628147563,165707,1070.682,2,2,154.767708806163,1012.67216655131
