"ID","Origin","Destination","Drive_Time"
"C1220_SD11","C1220","SD11",4164.09477660935
"C1220_SD12","C1220","SD12",5589.35989118047
"C1220_SD17","C1220","SD17",5030.44534821429
"C1220_SD2","C1220","SD2",6941.65426276239
"C1220_SD21","C1220","SD21",4330.10749103838
"C1220_SD22","C1220","SD22",6536.10620179847
"C1220_SD24","C1220","SD24",7125.39946554155
"C1220_SD27","C1220","SD27",4528.15796920412
"C1220_SD32","C1220","SD32",3095.32638665913
"C1220_SD34","C1220","SD34",2842.94190908177
"C1220_SD37","C1220","SD37",4166.25247267976
"C1220_SD4","C1220","SD4",1844.82770466642
"C1220_SD44","C1220","SD44",2644.75027790511
"C1220_SD45","C1220","SD45",5181.05633119873
"C1220_SD46","C1220","SD46",6355.23511008002
"C1220_SD47","C1220","SD47",5567.6720898343
"C1220_SD48","C1220","SD48",5444.21628356048
"C1220_SD49","C1220","SD49",2742.32139662431
"C1220_SD5","C1220","SD5",1961.54957877379
"C1220_SD53","C1220","SD53",6493.9543108882
"C1220_SD54","C1220","SD54",3182.2121073243
"C1220_SD67","C1220","SD67",4633.15998153739
"C1220_SD68","C1220","SD68",6519.19952054087
"C1220_SD69","C1220","SD69",2692.19243137743
"C1220_SD7","C1220","SD7",3260.1557777118
"C1220_SD72","C1220","SD72",4857.23912638184
"SD11_C1220","SD11","C1220",4164.09477660935
"SD12_C1220","SD12","C1220",5589.35989118047
"SD17_C1220","SD17","C1220",5030.44534821429
"SD2_C1220","SD2","C1220",6941.65426276239
"SD21_C1220","SD21","C1220",4330.10749103838
"SD22_C1220","SD22","C1220",6536.10620179847
"SD24_C1220","SD24","C1220",7125.39946554155
"SD27_C1220","SD27","C1220",4528.15796920412
"SD32_C1220","SD32","C1220",3095.32638665913
"SD34_C1220","SD34","C1220",2842.94190908177
"SD37_C1220","SD37","C1220",4166.25247267976
"SD4_C1220","SD4","C1220",1844.82770466642
"SD44_C1220","SD44","C1220",2644.75027790511
"SD45_C1220","SD45","C1220",5181.05633119873
"SD46_C1220","SD46","C1220",6355.23511008002
"SD47_C1220","SD47","C1220",5567.6720898343
"SD48_C1220","SD48","C1220",5444.21628356048
"SD49_C1220","SD49","C1220",2742.32139662431
"SD5_C1220","SD5","C1220",1961.54957877379
"SD53_C1220","SD53","C1220",6493.9543108882
"SD54_C1220","SD54","C1220",3182.2121073243
"SD67_C1220","SD67","C1220",4633.15998153739
"SD68_C1220","SD68","C1220",6519.19952054087
"SD69_C1220","SD69","C1220",2692.19243137743
"SD7_C1220","SD7","C1220",3260.1557777118
"SD72_C1220","SD72","C1220",4857.23912638184
