"ID","Origin","Destination","Drive_Time"
"SD12_SD1","SD12","SD1",5821.62320200624
"SD24_SD1","SD24","SD1",2917.1778246275
"SD25_SD1","SD25","SD1",3806.49504519734
"SD32_SD1","SD32","SD1",6748.51785652898
"SD37_SD1","SD37","SD1",5123.15977493567
"SD42_SD1","SD42","SD1",5735.59929380232
"SD54_SD1","SD54","SD1",6325.84985919165
"SD68_SD1","SD68","SD1",3017.2809065619
"SD70_SD1","SD70","SD1",4825.27745817917
"SD71_SD1","SD71","SD1",3320.07242843133
"SD72_SD1","SD72","SD1",5207.63179508825
"SD8_SD1","SD8","SD1",6900.74987758422
"SD9_SD1","SD9","SD1",5398.10946397225
"SD15_SD10","SD15","SD10",7091.71088701513
"SD17_SD10","SD17","SD10",5856.69700368571
"SD22_SD10","SD22","SD10",4808.40590163663
"SD26_SD10","SD26","SD10",5614.12773922505
"SD30_SD10","SD30","SD10",7055.31716938517
"SD39_SD10","SD39","SD10",6506.93846189776
"SD40_SD10","SD40","SD10",1331.68837490124
"SD41_SD10","SD41","SD10",2954.5676184627
"SD45_SD10","SD45","SD10",6067.57355086079
"SD46_SD10","SD46","SD10",4582.96234915961
"SD48_SD10","SD48","SD10",6341.64787817493
"SD53_SD10","SD53","SD10",4453.69103139884
"SD58_SD10","SD58","SD10",4690.53281177082
"SD60_SD10","SD60","SD10",5061.955435279
"SD63_SD10","SD63","SD10",2456.02808472947
"SD64_SD10","SD64","SD10",3576.46185936478
"SD66_SD10","SD66","SD10",5797.98137664622
"SD74_SD10","SD74","SD10",6916.88261862606
"SD12_SD11","SD12","SD11",2587.35792665281
"SD15_SD11","SD15","SD11",6328.70020854828
"SD17_SD11","SD17","SD11",4081.88653008238
"SD2_SD11","SD2","SD11",3584.26321944192
"SD21_SD11","SD21","SD11",6910.6059299059
"SD22_SD11","SD22","SD11",5951.6369534291
"SD24_SD11","SD24","SD11",5203.283033341
"SD25_SD11","SD25","SD11",7080.34225149461
"SD27_SD11","SD27","SD11",6096.46279808281
"SD28_SD11","SD28","SD11",6100.6470483317
"SD32_SD11","SD32","SD11",2182.23887023774
"SD34_SD11","SD34","SD11",2189.04318665922
"SD37_SD11","SD37","SD11",3671.61831079872
"SD4_SD11","SD4","SD11",5413.75214844448
"SD41_SD11","SD41","SD11",6214.13710119948
"SD44_SD11","SD44","SD11",5031.19575361587
"SD45_SD11","SD45","SD11",3062.05274903744
"SD46_SD11","SD46","SD11",5104.85063816168
"SD48_SD11","SD48","SD11",5783.87840520805
"SD49_SD11","SD49","SD11",5841.66124626547
"SD5_SD11","SD5","SD11",3978.68222583278
"SD53_SD11","SD53","SD11",4914.39818112625
"SD54_SD11","SD54","SD11",3949.02532005648
"SD64_SD11","SD64","SD11",7045.36341725087
"SD66_SD11","SD66","SD11",4377.15160062077
"SD68_SD11","SD68","SD11",5355.34164787227
"SD69_SD11","SD69","SD11",5423.33582399322
"SD7_SD11","SD7","SD11",3903.84434969758
"SD70_SD11","SD70","SD11",4987.42508911169
"SD72_SD11","SD72","SD11",2944.86820490277
"SD1_SD12","SD1","SD12",5821.62320200624
"SD11_SD12","SD11","SD12",2587.35792665281
"SD15_SD12","SD15","SD12",5722.79915224064
"SD17_SD12","SD17","SD12",5743.00270668007
"SD2_SD12","SD2","SD12",3068.59610010989
"SD24_SD12","SD24","SD12",3650.85798951027
"SD25_SD12","SD25","SD12",5296.38667456294
"SD28_SD12","SD28","SD12",4812.2075220786
"SD32_SD12","SD32","SD12",3180.72351437327
"SD34_SD12","SD34","SD12",3983.27535611822
"SD37_SD12","SD37","SD12",3478.85057301487
"SD4_SD12","SD4","SD12",6910.17890002675
"SD42_SD12","SD42","SD12",6215.12584842394
"SD44_SD12","SD44","SD12",6794.3136993348
"SD45_SD12","SD45","SD12",4466.10580392292
"SD46_SD12","SD46","SD12",6533.14640797046
"SD5_SD12","SD5","SD12",5713.46998448608
"SD53_SD12","SD53","SD12",6235.85531546403
"SD54_SD12","SD54","SD12",4426.44254202277
"SD56_SD12","SD56","SD12",6946.79415758503
"SD66_SD12","SD66","SD12",4566.64921641976
"SD68_SD12","SD68","SD12",4219.87191970364
"SD69_SD12","SD69","SD12",7154.94821475975
"SD7_SD12","SD7","SD12",5731.47339595679
"SD70_SD12","SD70","SD12",3224.25824402402
"SD71_SD12","SD71","SD12",7101.58012776403
"SD72_SD12","SD72","SD12",2214.67672544931
"SD8_SD12","SD8","SD12",6741.59035726824
"SD23_SD14","SD23","SD14",5054.25839511185
"SD26_SD14","SD26","SD14",4698.79986282866
"SD52_SD14","SD52","SD14",6914.85015472068
"SD60_SD14","SD60","SD14",4582.47642676746
"SD10_SD15","SD10","SD15",7091.71088701513
"SD11_SD15","SD11","SD15",6328.70020854828
"SD12_SD15","SD12","SD15",5722.79915224064
"SD17_SD15","SD17","SD15",7143.94355011019
