"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
46005956600,"SD2","South Dakota",46005,7,18163,1258.709,44.40208,-98.04338,1.767106356,"NORTHSIDE PHARMACY","100 DAKOTA AVE N SUITE A",44.367276,-98.213978,44.345883,-98.21438075,14114.1885045196,18163,1258.709,7,7,14.4298642497988,1316.99132659491
46005956800,"SD2","South Dakota",46005,7,18163,1258.709,44.39141,-98.23951,1.792462187,"NORTHSIDE PHARMACY","100 DAKOTA AVE N SUITE A",44.367276,-98.213978,44.345883,-98.21438075,3368.13197332087,18163,1258.709,7,7,14.4298642497988,858.349633843349
46005956900,"SD2","South Dakota",46005,7,18163,1258.709,44.36152,-98.21582,2.942251588,"NORTHSIDE PHARMACY","100 DAKOTA AVE N SUITE A",44.367276,-98.213978,44.345883,-98.21438075,657.309819988121,18163,1258.709,7,7,14.4298642497988,742.651744339107
46005957000,"SD2","South Dakota",46005,7,18163,1258.709,44.33448,-98.26501,5.73431864,"WALMART PHARMACY 10-3853","2791 DAKOTA AVENUE SOUTH",44.332914,-98.217242,44.345883,-98.21438075,3807.51080773684,18163,1258.709,7,7,14.4298642497988,877.102322496222
46005957100,"SD2","South Dakota",46005,7,18163,1258.709,44.32197,-98.18156,3.519584349,"WALMART PHARMACY 10-3853","2791 DAKOTA AVENUE SOUTH",44.332914,-98.217242,44.345883,-98.21438075,3091.63234288495,18163,1258.709,7,7,14.4298642497988,846.548629616344
46007941000,"SD14","South Dakota",46007,9,3440,1184.642,43.17892,-101.722,1.638715983,"MARTIN DRUG AND MERCANTILE","304 MAIN ST",43.175251,-101.736192,43.175251,-101.736192,1222.34575863608,3440,1184.642,9,9,2.90383086198193,853.191806116066
46007941200,"SD14","South Dakota",46007,9,3440,1184.642,43.18691,-101.6772,1.856127775,"MARTIN DRUG AND MERCANTILE","304 MAIN ST",43.175251,-101.736192,43.175251,-101.736192,4961.3591284543,3440,1184.642,9,9,2.90383086198193,1012.77289673991
46009967600,"SD48","South Dakota",46009,9,6972,563.55,43.00324,-97.7637,3.310999966,"BON HOMME PHARMACY","410 W 16TH AVE",42.991291,-97.867707,42.991291,-97.867707,8571.82821244032,6972,563.55,9,9,12.3715730636146,1166.09202512585
46009967700,"SD48","South Dakota",46009,9,6972,563.55,42.97357,-98.00057,3.878128581,"BON HOMME PHARMACY","410 W 16TH AVE",42.991291,-97.867707,42.991291,-97.867707,10998.349084499,6972,563.55,9,9,12.3715730636146,1269.65593594532
46011958600,"SD37","South Dakota",46011,5,33697,792.225,44.37678,-96.59575,3.788746244,"WALMART PHARMACY 10-1538","2233 6TH ST",44.314379,-96.766072,44.30477925,-96.7736355,15234.9084133805,33697,792.225,5,5,42.5346334690271,1277.04102856296
46011958700,"SD37","South Dakota",46011,5,33697,792.225,44.37688,-96.95784,5.054587331,"Brothers Pharmacy","1004 6th St",44.311393,-96.78818,44.30477925,-96.7736355,15348.4754693147,33697,792.225,5,5,42.5346334690271,1281.88807051023
46011958700,"SD72","South Dakota",46011,5,33697,792.225,44.37688,-96.95784,5.054587331,"Nelson Drug","125 S MAIN ST",44.363498,-97.13422,44.363498,-97.13422,14114.3126834978,5000,832.237,9,9,42.5346334690271,1400.17400281157
46011958802,"SD37","South Dakota",46011,5,33697,792.225,44.33391,-96.81881,5.649474129,"Brothers Pharmacy","1004 6th St",44.311393,-96.78818,44.30477925,-96.7736355,3497.63644112106,33697,792.225,5,5,42.5346334690271,776.09426078693
46011958803,"SD37","South Dakota",46011,5,33697,792.225,44.2754,-96.80861,5.419321205,"LEWIS DRUG #12","910 22ND AVENUE SOUTH",44.2958,-96.770167,44.30477925,-96.7736355,3813.43128509,33697,792.225,5,5,42.5346334690271,789.572384727524
46011958900,"SD37","South Dakota",46011,5,33697,792.225,44.33334,-96.77361,7.514102914,"WALMART PHARMACY 10-1538","2233 6TH ST",44.314379,-96.766072,44.30477925,-96.7736355,2194.43647346167,33697,792.225,5,5,42.5346334690271,720.473686167227
46011959000,"SD37","South Dakota",46011,5,33697,792.225,44.27683,-96.7748,5.435900018,"LEWIS DRUG #12","910 22ND AVENUE SOUTH",44.2958,-96.770167,44.30477925,-96.7736355,2143.76190889581,33697,792.225,5,5,42.5346334690271,718.310895751556
46013951300,"SD8","South Dakota",46013,5,38637,1713.029,45.49521,-98.55096,6.012257556,"Lewis Family Drug #43","119 6th Ave SW",45.45891,-98.49072,45.4624164285714,-98.466194,6199.91106057042,38637,1713.029,5,5,22.5547845366307,893.064290568059
46013951400,"SD8","South Dakota",46013,5,38637,1713.029,45.49505,-98.44337,6.337007233,"Jones Drug","816 6th Avenue Suite 1",45.47199,-98.474644,45.4624164285714,-98.466194,3542.2372861434,38637,1713.029,5,5,22.5547845366307,779.634773875514
46013951500,"SD8","South Dakota",46013,5,38637,1713.029,45.46272,-98.48492,2.91299486,"Lewis Family Drug #43","119 6th Ave SW",45.45891,-98.49072,45.4624164285714,-98.466194,620.455675869922,38637,1713.029,5,5,22.5547845366307,654.933134749042
