"PharmID","Name","Address","City","State","Zip","Latitude","Longitude","Cluster","Cluster_centroid_Latitude","Cluster_centroid_Longitude","distance_to_clust","County","FIPS","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC"
"P50225","Belew Drugs","2021 N BROADWAY ST","KNOXVILLE","TN",37917,35.99089,-83.920189,"TN10",35.9901301282051,-83.9242584871795,376.173407611578,"knox",47093,452286,508.326,2
"P51322","NationalRx","11134 Kingston Pike","Knoxville","TN",379342806,35.886661,-84.150006,"TN100",35.8907598333333,-84.1582415,871.686892565754,"knox",47093,452286,508.326,2
"P50313","CVS Pharmacy #05601","570 HWY 321 N","LENOIR CITY","TN",37771,35.809987,-84.263713,"TN101",35.81341275,-84.267294625,499.970459568485,"loudon",47105,51024,229.272,2
"P50347","CVS Pharmacy #06414","14299 OLD NASHVILLE HIGHWAY","SMYRNA","TN",37167,35.985531,-86.54876,"TN102",35.9822114761905,-86.5403758095238,840.786480004797,"rutherford",47149,298456,619.266,1
"P50283","U SAVE DISCOUNT DRUGS","4017 HWY 66 SUITE 7","ROGERSVILLE","TN",37857,36.395136,-83.013309,"TN103",36.4033568333333,-83.0082986666667,1019.32298562811,"hawkins",47073,56402,487.054,2
"P50559","Walgreens #15816","2401 NORTH CENTRAL AVENUE","HUMBOLDT","TN",383431753,35.831341,-88.916074,"TN104",35.8305726666667,-88.9141476666667,193.755477810403,"gibson",47053,49222,602.747,4
"P50288","HASSLER'S DRUG","401 FRONT ST","SPRING CITY","TN",37381,35.693829,-84.860661,"TN105",35.6929775,-84.8620695,158.74612584413,"rhea",47143,32478,315.384,6
"P50289","Roan Mountain Pharmacy","8251 US-19 E","Roan Mountain","TN",376871430,36.21957,-82.097785,"TN106",36.21957,-82.097785,0,"carter",47019,56500,341.257,3
"P50291","WILEYS PHARMACY","1595 Main Street","ALTAMONT","TN",37301,35.429964,-85.723637,"TN107",35.4020815,-85.713058,3248.85978490357,"grundy",47061,13359,360.444,8
"P50392","HACKETTS DISCOUNT DRUG","70 DIXON SPRINGS HWY","CARTHAGE","TN",370301094,36.267604,-85.962675,"TN108",36.2687683333333,-85.9551366666667,688.884433561983,"smith",47159,19279,314.295,1
