"ID","Origin","Destination","Drive_Time"
"C1225_TN10","C1225","TN10",6293.80401385681
"C1226_TN10","C1226","TN10",582.401521853952
"C1227_TN10","C1227","TN10",508.066347606111
"C1221_TN100","C1221","TN100",6473.37776592222
"C1226_TN100","C1226","TN100",1312.13657287806
"C1227_TN100","C1227","TN100",1380.19159222572
"C1221_TN101","C1221","TN101",5923.79970503926
"C1226_TN101","C1226","TN101",1869.45612498087
"C1227_TN101","C1227","TN101",1940.32590664901
"C1221_TN102","C1221","TN102",7109.96676507857
"C1222_TN102","C1222","TN102",3109.97717109883
"C1230_TN102","C1230","TN102",1639.18261974233
"C1225_TN103","C1225","TN103",2520.83203963675
"C1226_TN103","C1226","TN103",4535.78274609443
"C1227_TN103","C1227","TN103",4465.27100855309
"C1223_TN104","C1223","TN104",2691.72920521391
"C1224_TN104","C1224","TN104",1420.36880193771
"C1228_TN104","C1228","TN104",5836.95850474988
"C1229_TN104","C1229","TN104",5348.68853200646
"C1231_TN104","C1231","TN104",4579.67233400319
"C1221_TN105","C1221","TN105",4227.18783469014
"C1226_TN105","C1226","TN105",4367.17595750527
"C1227_TN105","C1227","TN105",4431.79222173738
"C1225_TN106","C1225","TN106",2233.62811894522
"C1221_TN107","C1221","TN107",3252.2644922076
"C1222_TN107","C1222","TN107",5989.80576379581
"C1230_TN107","C1230","TN107",6073.55632046355
"C1221_TN108","C1221","TN108",6897.47725116468
"C1222_TN108","C1222","TN108",5729.32667337518
"C1230_TN108","C1230","TN108",3642.68774185337
"C1221_TN109","C1221","TN109",4293.12700098775
"C1222_TN109","C1222","TN109",5644.6455165273
"C1230_TN109","C1230","TN109",5115.88697825913
"C1221_TN11","C1221","TN11",5568.90909479042
"C1222_TN11","C1222","TN11",2969.9477992333
"C1230_TN11","C1230","TN11",3888.52611991761
"C1221_TN110","C1221","TN110",3767.67027263791
"C1226_TN110","C1226","TN110",4584.95329723349
"C1227_TN110","C1227","TN110",4656.72053004416
"C1221_TN111","C1221","TN111",2714.8351026134
"C1222_TN111","C1222","TN111",6173.2417329692
"C1230_TN111","C1230","TN111",6620.48722546825
"C1222_TN112","C1222","TN112",5312.08513658225
"C1230_TN112","C1230","TN112",3451.34379368113
"C1221_TN113","C1221","TN113",6650.75978181165
"C1222_TN113","C1222","TN113",2146.73053850308
"C1230_TN113","C1230","TN113",2476.6523809274
"C1223_TN114","C1223","TN114",2605.3615531855
"C1224_TN114","C1224","TN114",1541.10008143556
"C1228_TN114","C1228","TN114",4922.99978814458
"C1229_TN114","C1229","TN114",4434.1061046146
"C1231_TN114","C1231","TN114",4709.10497969838
"C1222_TN115","C1222","TN115",5831.45227255584
"C1223_TN115","C1223","TN115",4882.27393456006
"C1224_TN115","C1224","TN115",2323.71236136777
"C1228_TN115","C1228","TN115",7099.02751554194
"C1229_TN115","C1229","TN115",6760.72609810023
"C1230_TN115","C1230","TN115",7124.96037896933
"C1231_TN115","C1231","TN115",2811.27443468178
"C1223_TN118","C1223","TN118",3227.04696310293
"C1224_TN118","C1224","TN118",3756.64433116606
"C1228_TN118","C1228","TN118",2956.5682342397
"C1229_TN118","C1229","TN118",2343.62006477904
"C1231_TN118","C1231","TN118",6401.36878177384
"C1221_TN119","C1221","TN119",5966.60188927803
"C1222_TN119","C1222","TN119",7127.31727509396
"C1226_TN119","C1226","TN119",6578.05021200365
"C1227_TN119","C1227","TN119",6615.97057781827
"C1230_TN119","C1230","TN119",5497.51336910835
"C1225_TN12","C1225","TN12",1882.57626253826
"C1223_TN120","C1223","TN120",2854.0896316487
"C1224_TN120","C1224","TN120",2292.69652549013
"C1228_TN120","C1228","TN120",4264.60439372178
"C1229_TN120","C1229","TN120",3770.71538385781
"C1231_TN120","C1231","TN120",5009.35760647331
"C1225_TN122","C1225","TN122",5177.07131117726
"C1226_TN122","C1226","TN122",3735.58830131793
"C1227_TN122","C1227","TN122",3663.97452339227
"C1226_TN123","C1226","TN123",6140.04307448505
"C1227_TN123","C1227","TN123",6148.77915709163
"C1221_TN124","C1221","TN124",1332.75298514766
"C1226_TN124","C1226","TN124",6502.37407873881
"C1227_TN124","C1227","TN124",6575.69467735293
"C1222_TN125","C1222","TN125",3901.18970124418
"C1230_TN125","C1230","TN125",1490.77285121989
"C1225_TN126","C1225","TN126",3565.26254137964
"C1226_TN126","C1226","TN126",4584.89493771211
"C1227_TN126","C1227","TN126",4509.85004586245
"C1223_TN127","C1223","TN127",5497.59495183178
"C1224_TN127","C1224","TN127",4922.62644057623
"C1228_TN127","C1228","TN127",1193.54727231596
"C1229_TN127","C1229","TN127",1362.03986031141
"C1231_TN127","C1231","TN127",6344.37704478306
"C1222_TN128","C1222","TN128",4233.60815565417
"C1230_TN128","C1230","TN128",1427.98271953534
"C1221_TN129","C1221","TN129",1646.71138935664
"C1222_TN129","C1222","TN129",6776.75224931911
"C1230_TN129","C1230","TN129",7142.84025822001
"C1221_TN13","C1221","TN13",5471.50346384198
