"ID","Origin","Destination","Drive_Time"
"TN100_TN10","TN100","TN10",1442.47097114002
"TN101_TN10","TN101","TN10",2006.08250590104
"TN103_TN10","TN103","TN10",4401.568764208
"TN105_TN10","TN105","TN10",4487.5145049876
"TN110_TN10","TN110","TN10",4723.38487995407
"TN119_TN10","TN119","TN10",6638.04514491568
"TN122_TN10","TN122","TN10",3585.3212738261
"TN123_TN10","TN123","TN10",6139.05614591389
"TN124_TN10","TN124","TN10",6645.15198236531
"TN126_TN10","TN126","TN10",4436.5057718925
"TN131_TN10","TN131","TN10",6919.66571602831
"TN137_TN10","TN137","TN10",2407.39172988688
"TN140_TN10","TN140","TN10",6201.03418201307
"TN141_TN10","TN141","TN10",7045.62120298055
"TN144_TN10","TN144","TN10",5063.35525239331
"TN145_TN10","TN145","TN10",5497.3768820383
"TN146_TN10","TN146","TN10",1357.40010305391
"TN150_TN10","TN150","TN10",6629.45806780685
"TN158_TN10","TN158","TN10",1262.90475182841
"TN159_TN10","TN159","TN10",1490.03871033771
"TN160_TN10","TN160","TN10",3062.46754214311
"TN163_TN10","TN163","TN10",3913.76348591474
"TN165_TN10","TN165","TN10",4227.00500583733
"TN167_TN10","TN167","TN10",2986.90848098893
"TN168_TN10","TN168","TN10",1752.5351958002
"TN169_TN10","TN169","TN10",2572.11139442129
"TN171_TN10","TN171","TN10",2620.71197391574
"TN174_TN10","TN174","TN10",1575.91219590035
"TN175_TN10","TN175","TN10",6611.91869408849
"TN177_TN10","TN177","TN10",3910.91962971731
"TN178_TN10","TN178","TN10",6792.27138676399
"TN181_TN10","TN181","TN10",5138.91178358923
"TN191_TN10","TN191","TN10",5539.99385247169
"TN192_TN10","TN192","TN10",1782.71116868255
"TN195_TN10","TN195","TN10",6361.83680804611
"TN198_TN10","TN198","TN10",2538.19483960114
"TN199_TN10","TN199","TN10",3389.40005384721
"TN200_TN10","TN200","TN10",6797.55105821437
"TN206_TN10","TN206","TN10",5105.42982960031
"TN208_TN10","TN208","TN10",3487.80654615842
"TN210_TN10","TN210","TN10",5879.83890726361
"TN211_TN10","TN211","TN10",2859.24063948068
"TN212_TN10","TN212","TN10",4414.56119332021
"TN213_TN10","TN213","TN10",5722.5478078644
"TN215_TN10","TN215","TN10",5840.04679637765
"TN217_TN10","TN217","TN10",6358.94164084532
"TN218_TN10","TN218","TN10",2669.95519649909
"TN223_TN10","TN223","TN10",2357.22136643497
"TN26_TN10","TN26","TN10",1014.2629572234
"TN27_TN10","TN27","TN10",6340.44001086213
"TN30_TN10","TN30","TN10",4219.2227437286
"TN32_TN10","TN32","TN10",5806.79328913687
"TN35_TN10","TN35","TN10",2876.06132315066
"TN39_TN10","TN39","TN10",7167.65226228532
"TN41_TN10","TN41","TN10",3959.35260210363
"TN42_TN10","TN42","TN10",2368.59636319398
"TN44_TN10","TN44","TN10",1396.46961081718
"TN45_TN10","TN45","TN10",3652.62787018531
"TN46_TN10","TN46","TN10",6542.85895162161
"TN47_TN10","TN47","TN10",1765.00377300982
"TN48_TN10","TN48","TN10",4857.36477906086
"TN49_TN10","TN49","TN10",3099.44255684269
"TN50_TN10","TN50","TN10",878.124104909539
"TN52_TN10","TN52","TN10",5800.29923158746
"TN54_TN10","TN54","TN10",7172.11422182684
"TN55_TN10","TN55","TN10",5284.19281127636
"TN60_TN10","TN60","TN10",5373.08889325181
"TN61_TN10","TN61","TN10",4795.10450812894
"TN64_TN10","TN64","TN10",6328.47769788529
"TN65_TN10","TN65","TN10",4441.86607329407
"TN71_TN10","TN71","TN10",5156.98114530343
"TN73_TN10","TN73","TN10",2238.83543833308
"TN74_TN10","TN74","TN10",3586.8018549429
"TN76_TN10","TN76","TN10",1153.51458327666
"TN77_TN10","TN77","TN10",918.325229205526
"TN78_TN10","TN78","TN10",1833.77448741211
"TN80_TN10","TN80","TN10",3419.24642202601
"TN82_TN10","TN82","TN10",1595.06957079593
"TN83_TN10","TN83","TN10",3102.25463030856
"TN84_TN10","TN84","TN10",3402.69675053096
"TN85_TN10","TN85","TN10",5907.89861642714
"TN88_TN10","TN88","TN10",3435.09402669892
"TN89_TN10","TN89","TN10",2507.4038744214
"TN91_TN10","TN91","TN10",2030.4865501174
"TN93_TN10","TN93","TN10",3459.94297493508
"TN97_TN10","TN97","TN10",7055.67533830632
"TN99_TN10","TN99","TN10",891.533329741148
"TN10_TN100","TN10","TN100",1442.47097114002
"TN101_TN100","TN101","TN100",998.79625364972
"TN103_TN100","TN103","TN100",5414.85741990039
"TN105_TN100","TN105","TN100",3488.12116815532
"TN107_TN100","TN107","TN100",7136.12861930757
"TN109_TN100","TN109","TN100",6938.16162327173
"TN110_TN100","TN110","TN100",3714.17582062126
"TN119_TN100","TN119","TN100",5862.7520269535
"TN122_TN100","TN122","TN100",4409.33180545856
"TN123_TN100","TN123","TN100",5713.55544810051
"TN124_TN100","TN124","TN100",5644.66671277362
"TN126_TN100","TN126","TN100",5423.79053457317
"TN129_TN100","TN129","TN100",6639.50317583816
"TN13_TN100","TN13","TN100",7006.64081972357
"TN137_TN100","TN137","TN100",3355.04881293215
"TN14_TN100","TN14","TN100",6891.27955437064
"TN140_TN100","TN140","TN100",7188.52795211341
"TN144_TN100","TN144","TN100",4392.48457196185
"TN145_TN100","TN145","TN100",4484.08923420041
"TN146_TN100","TN146","TN100",2022.91156482111
"TN150_TN100","TN150","TN100",5751.93985723433
"TN151_TN100","TN151","TN100",6641.57086362026
"TN158_TN100","TN158","TN100",767.459065667163
"TN159_TN100","TN159","TN100",1793.55790738806
"TN160_TN100","TN160","TN100",2414.73676347337
"TN163_TN100","TN163","TN100",3149.14075091776
"TN165_TN100","TN165","TN100",3403.24668511491
"TN167_TN100","TN167","TN100",3970.93771228923
"TN168_TN100","TN168","TN100",2626.02277475511
"TN169_TN100","TN169","TN100",1574.9252285819
"TN171_TN100","TN171","TN100",3201.97520921262
"TN174_TN100","TN174","TN100",2572.93540983438
"TN175_TN100","TN175","TN100",5638.95559208794
"TN177_TN100","TN177","TN100",4917.73919093499
"TN178_TN100","TN178","TN100",5779.96803264656
"TN181_TN100","TN181","TN100",4178.79921631282
"TN191_TN100","TN191","TN100",4570.39223741787
"TN192_TN100","TN192","TN100",2692.26232543961
"TN195_TN100","TN195","TN100",5746.67367169156
"TN198_TN100","TN198","TN100",1620.39904836274
"TN199_TN100","TN199","TN100",4399.22634832999
"TN200_TN100","TN200","TN100",5847.93823056723
"TN205_TN100","TN205","TN100",6787.9197608622
"TN206_TN100","TN206","TN100",6118.71475819029
"TN208_TN100","TN208","TN100",4498.66926019506
"TN210_TN100","TN210","TN100",4868.09817616598
"TN211_TN100","TN211","TN100",2046.33356254378
"TN212_TN100","TN212","TN100",5399.79442216642
"TN213_TN100","TN213","TN100",4963.96612304782
"TN215_TN100","TN215","TN100",6846.89138194681
"TN216_TN100","TN216","TN100",6689.71430606019
"TN217_TN100","TN217","TN100",5370.65722816477
"TN218_TN100","TN218","TN100",3680.19829734255
"TN223_TN100","TN223","TN100",3169.54461535813
"TN26_TN100","TN26","TN100",861.073440572131
"TN30_TN100","TN30","TN100",3251.29239921424
"TN31_TN100","TN31","TN100",6302.42065743932
"TN32_TN100","TN32","TN100",4848.47582810041
"TN33_TN100","TN33","TN100",6435.95436006208
"TN35_TN100","TN35","TN100",1947.85238928484
"TN41_TN100","TN41","TN100",3897.44195159006
"TN42_TN100","TN42","TN100",2638.63148078388
"TN44_TN100","TN44","TN100",1427.47429863976
"TN45_TN100","TN45","TN100",3474.25074959722
"TN47_TN100","TN47","TN100",1173.87275184152
"TN48_TN100","TN48","TN100",5833.12156050511
"TN49_TN100","TN49","TN100",4109.58055098145
"TN50_TN100","TN50","TN100",1713.22252514821
"TN52_TN100","TN52","TN100",6813.55171545205
"TN54_TN100","TN54","TN100",6387.48312815037
"TN55_TN100","TN55","TN100",4385.03484113649
"TN60_TN100","TN60","TN100",4637.57140812418
