"GEOID","Cluster","State","County.Code","Tract_RUC","Tract_Population","Tract_Land","Tract_Lat","Tract_Long","Tract_methadone_unserved","Name","Address","Pharm_Lat","Pharm_Long","Cluster_centroid_Latitude","Cluster_centroid_Longitude","Shortest_distance","Pharm_County_pop","Pharm_Total_Land","Pharm_RUC","Max_RUC","Max_PopD","Drive_Time"
47001020100,"TN100","Tennessee",47001,2,75538,337.202,35.99572,-84.28156,0,"Food City Pharmacy #616","11501 Hardin Valley Rd",35.930651,-84.18589,35.8907598333333,-84.1582415,11259.302847606,452286,508.326,2,2,889.755786640856,909.729353936339
47001020100,"TN101","Tennessee",47001,2,75538,337.202,35.99572,-84.28156,0,"Vistara Pharmacy","460 Medical Park Dr Ste 101",35.823001,-84.267398,35.81341275,-84.267294625,19269.344046548,51024,229.272,2,2,224.014092443105,1306.14212931281
47001020100,"TN158","Tennessee",47001,2,75538,337.202,35.99572,-84.28156,0,"KROGER PHARMACY #525","9501 S Northshore Dr",35.862186,-84.067493,35.862186,-84.067493,24357.850496338,452286,508.326,2,2,889.755786640856,1468.77536758422
47001020100,"TN26","Tennessee",47001,2,75538,337.202,35.99572,-84.28156,0,"WALGREENS #1634","7810 OAK RIDGE HWY",35.979354,-84.115204,35.93355321875,-84.0501365625,15094.6285212287,452286,508.326,2,2,889.755786640856,1073.42105368656
47001020100,"TN35","Tennessee",47001,2,75538,337.202,35.99572,-84.28156,0,"Food City Pharmacy #653","1000 LADD LANDING BLVD",35.884926,-84.495444,35.9015542222222,-84.5415451111111,22884.7422624967,52926,360.757,2,2,224.014092443105,1460.4473251695
47001020100,"TN44","Tennessee",47001,2,75538,337.202,35.99572,-84.28156,0,"MAC'S EDGEMOOR PHARMACY","643 EDGEMOOR RD",36.034688,-84.132998,36.091391375,-84.131186125,14062.5951876821,75538,337.202,2,2,224.014092443105,1083.91808801641
47001020100,"TN47","Tennessee",47001,2,75538,337.202,35.99572,-84.28156,0,"JEFFERSON COMPOUNDING CENTER","22 JEFFERSON CIR",36.006583,-84.281597,36.0193865833333,-84.2728675833333,1209.26821937519,75538,337.202,2,2,224.014092443105,535.33809300907
47001020100,"TN99","Tennessee",47001,2,75538,337.202,35.99572,-84.28156,0,"WALGREENS #7320","7320 CLINTON HWY",36.015855,-84.045175,36.0266987777778,-84.0234757777778,21404.7931372761,452286,508.326,2,2,889.755786640856,1342.73887949946
47001020201,"TN10","Tennessee",47001,2,75538,337.202,36.00329,-84.20179,0,"WALGREENS #7374","4423 WESTERN AVE",35.972687,-83.98699,35.9901301282051,-83.9242584871795,19645.3267181253,452286,508.326,2,2,889.755786640856,1267.6448527301
47001020201,"TN100","Tennessee",47001,2,75538,337.202,36.00329,-84.20179,0,"BelieveRX","9627 Countryside Center Ln",35.976167,-84.125653,35.8907598333333,-84.1582415,7492.99082830687,452286,508.326,2,2,889.755786640856,748.983156952652
47001020201,"TN101","Tennessee",47001,2,75538,337.202,36.00329,-84.20179,0,"Vistara Pharmacy","460 Medical Park Dr Ste 101",35.823001,-84.267398,35.81341275,-84.267294625,20923.20613041,51024,229.272,2,2,224.014092443105,1376.72896305204
47001020201,"TN158","Tennessee",47001,2,75538,337.202,36.00329,-84.20179,0,"KROGER PHARMACY #525","9501 S Northshore Dr",35.862186,-84.067493,35.862186,-84.067493,19830.7976011674,452286,508.326,2,2,889.755786640856,1275.56075001834
47001020201,"TN159","Tennessee",47001,2,75538,337.202,36.00329,-84.20179,0,"WALGREENS #12311","2151 N Charles G Seivers Blvd",36.158461,-84.092311,36.171302,-84.0793456666667,19884.3656764457,75538,337.202,2,2,224.014092443105,1332.39125247684
47001020201,"TN26","Tennessee",47001,2,75538,337.202,36.00329,-84.20179,0,"WALGREENS #1634","7810 OAK RIDGE HWY",35.979354,-84.115204,35.93355321875,-84.0501365625,8241.36488503112,452286,508.326,2,2,889.755786640856,780.923761693643
47001020201,"TN44","Tennessee",47001,2,75538,337.202,36.00329,-84.20179,0,"MAC'S EDGEMOOR PHARMACY","643 EDGEMOOR RD",36.034688,-84.132998,36.091391375,-84.131186125,7111.99879305993,75538,337.202,2,2,224.014092443105,787.266633893934
47001020201,"TN47","Tennessee",47001,2,75538,337.202,36.00329,-84.20179,0,"MUNSEY PHARMACY","106 Administration Road",36.0252,-84.239348,36.0193865833333,-84.2728675833333,4169.60430804595,75538,337.202,2,2,224.014092443105,661.685237273537
47001020201,"TN99","Tennessee",47001,2,75538,337.202,36.00329,-84.20179,0,"WALGREENS #7320","7320 CLINTON HWY",36.015855,-84.045175,36.0266987777778,-84.0234757777778,14172.1260445445,452286,508.326,2,2,889.755786640856,1034.04864798167
47001020202,"TN10","Tennessee",47001,2,75538,337.202,36.03328,-84.20604,0,"CVS Pharmacy #06364","5401 CLINTON PHWY",36.004264,-83.98152,35.9901301282051,-83.9242584871795,20471.733776552,452286,508.326,2,2,889.755786640856,1302.91590598375
47001020202,"TN100","Tennessee",47001,2,75538,337.202,36.03328,-84.20604,0,"BelieveRX","9627 Countryside Center Ln",35.976167,-84.125653,35.8907598333333,-84.1582415,9634.67879024868,452286,508.326,2,2,889.755786640856,840.390399168328
47001020202,"TN158","Tennessee",47001,2,75538,337.202,36.03328,-84.20604,0,"KROGER PHARMACY #525","9501 S Northshore Dr",35.862186,-84.067493,35.862186,-84.067493,22773.8151283054,452286,508.326,2,2,889.755786640856,1401.16873807659
